ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
ff875d47-b46e-481e-8fba-cc90870483e0|Isperia, Supreme Judge|{2}{W}{W}{U}{U}|Legendary Creature - Sphinx|6|4|Flying<br>Whenever a creature attacks you or a planeswalker you control, you may draw a card.<BR><a href="https://api.scryfall.com/cards/ff875d47-b46e-481e-8fba-cc90870483e0/rulings">Rulings</a>|RNA Guild Kit|Mythic||Lucas Graciano|1|F$ 0.67<br>MID: 460130<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gk2/1/isperia-supreme-judge?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=460130&printed=false">Gatherer</a>|460130|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/f/ff875d47-b46e-481e-8fba-cc90870483e0.jpg?1559958652}
525dcef8-a5dc-49ca-819b-296611f70e63|Azorius Herald|{2}{W}|Creature - Spirit|2|1|This creature can't be blocked.<br>When this creature enters, you gain 4 life.<br>When this creature enters, sacrifice it unless {U} was spent to cast it.<BR><a href="https://api.scryfall.com/cards/525dcef8-a5dc-49ca-819b-296611f70e63/rulings">Rulings</a>|RNA Guild Kit|Uncommon||Justin Sweet|2|R$ 0.16 <br>MID: 460131<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gk2/2/azorius-herald?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=460131&printed=false">Gatherer</a>|460131|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/2/525dcef8-a5dc-49ca-819b-296611f70e63.jpg?1551139653}
a96314f5-eee7-4bac-bbbc-ddab3b52be9d|Azorius Justiciar|{2}{W}{W}|Creature - Human Wizard|2|2|When this creature enters, detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)<BR><a href="https://api.scryfall.com/cards/a96314f5-eee7-4bac-bbbc-ddab3b52be9d/rulings">Rulings</a>|RNA Guild Kit|Uncommon||Chris Rahn|3|R$ 0.21 <br>MID: 460132<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gk2/3/azorius-justiciar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=460132&printed=false">Gatherer</a>|460132|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/9/a96314f5-eee7-4bac-bbbc-ddab3b52be9d.jpg?1551139661}
63058b80-8b19-4077-9219-f064255d1c74|Stoic Ephemera|{2}{W}|Creature - Spirit|5|5|Defender (This creature can't attack.)<br>Flying<br>When this creature blocks, sacrifice it at end of combat.<BR><a href="https://api.scryfall.com/cards/63058b80-8b19-4077-9219-f064255d1c74/rulings">Rulings</a>|RNA Guild Kit|Uncommon||Randy Gallegos|4|R$ 0.16 <br>MID: 460133<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gk2/4/stoic-ephemera?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=460133&printed=false">Gatherer</a>|460133|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/3/63058b80-8b19-4077-9219-f064255d1c74.jpg?1551119260}
23d81636-a550-4e16-94b4-6cb1318e06d2|Court Hussar|{2}{U}|Creature - Vedalken Knight|1|3|Vigilance<br>When this creature enters, look at the top three cards of your library, then put one of them into your hand and the rest on the bottom of your library in any order.<br>When this creature enters, sacrifice it unless {W} was spent to cast it.<BR><a href="https://api.scryfall.com/cards/23d81636-a550-4e16-94b4-6cb1318e06d2/rulings">Rulings</a>|RNA Guild Kit|Uncommon||Ron Spears|5|R$ 0.10 <br>MID: 460134<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gk2/5/court-hussar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=460134&printed=false">Gatherer</a>|460134|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/23d81636-a550-4e16-94b4-6cb1318e06d2.jpg?1551139670}
bae2761b-b34a-45ce-8822-deff1c86e55c|Hover Barrier|{2}{U}|Creature - Illusion Wall|0|6|Defender, flying<BR><a href="https://api.scryfall.com/cards/bae2761b-b34a-45ce-8822-deff1c86e55c/rulings">Rulings</a>|RNA Guild Kit|Uncommon||Mathias Kollros|6|R$ 0.88 <br>MID: 460135<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gk2/6/hover-barrier?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=460135&printed=false">Gatherer</a>|460135|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/bae2761b-b34a-45ce-8822-deff1c86e55c.jpg?1551119269}
2e56c62d-34b4-4394-81bc-e86fe76f9c73|Archon of the Triumvirate|{5}{W}{U}|Creature - Archon|4|5|Flying<br>Whenever this creature attacks, detain up to two target nonland permanents your opponents control. (Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)<BR><a href="https://api.scryfall.com/cards/2e56c62d-34b4-4394-81bc-e86fe76f9c73/rulings">Rulings</a>|RNA Guild Kit|Rare||David Rapoza|7|R$ 0.16 <br>MID: 460136<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gk2/7/archon-of-the-triumvirate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=460136&printed=false">Gatherer</a>|460136|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/e/2e56c62d-34b4-4394-81bc-e86fe76f9c73.jpg?1551139722}
a0653bda-a9de-4d4d-ab95-21458b31c652|Azorius Charm|{W}{U}|Instant|||Choose one —<br>• Creatures you control gain lifelink until end of turn.<br>• Draw a card.<br>• Put target attacking or blocking creature on top of its owner's library.<BR><a href="https://api.scryfall.com/cards/a0653bda-a9de-4d4d-ab95-21458b31c652/rulings">Rulings</a>|RNA Guild Kit|Uncommon||Zoltan Boros|8|R$ 0.45 <br>MID: 460137<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gk2/8/azorius-charm?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=460137&printed=false">Gatherer</a>|460137|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/0/a0653bda-a9de-4d4d-ab95-21458b31c652.jpg?1551139718}
3dc24fbf-6a61-404d-8944-9659f3f5f0a4|Azorius Guildmage|{W/U}{W/U}|Creature - Vedalken Wizard|2|2|{2}{W}: Tap target creature.<br>{2}{U}: Counter target activated ability. (Mana abilities can't be targeted.)<BR><a href="https://api.scryfall.com/cards/3dc24fbf-6a61-404d-8944-9659f3f5f0a4/rulings">Rulings</a>|RNA Guild Kit|Uncommon||Christopher Moeller|9|R$ 0.41 <br>MID: 460138<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gk2/9/azorius-guildmage?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=460138&printed=false">Gatherer</a>|460138|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3dc24fbf-6a61-404d-8944-9659f3f5f0a4.jpg?1551139766}
74de5ed5-eab0-44ff-aa9a-077d487f1b5e|Detention Sphere|{1}{W}{U}|Enchantment|||When this enchantment enters, you may exile target nonland permanent not named Detention Sphere and all other permanents with the same name as that permanent.<br>When this enchantment leaves the battlefield, return the exiled cards to the battlefield under their owner's control.<BR><a href="https://api.scryfall.com/cards/74de5ed5-eab0-44ff-aa9a-077d487f1b5e/rulings">Rulings</a>|RNA Guild Kit|Rare||Kev Walker|10|R$ 0.49 <br>MID: 460139<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gk2/10/detention-sphere?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=460139&printed=false">Gatherer</a>|460139|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/4/74de5ed5-eab0-44ff-aa9a-077d487f1b5e.jpg?1551139761}
