ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
bc883e4e-e5f5-4823-ac2a-9ff8b7772926|Zamriel, Seraph of Steel|{2}{W}{W}|Legendary Creature - Angel|3|4|Flying<br>During your turn, equipped creatures you control have indestructible.<BR><a href="https://api.scryfall.com/cards/bc883e4e-e5f5-4823-ac2a-9ff8b7772926/rulings">Rulings</a>|Game Night: Free-for-All|Mythic||Chris Rallis|1|F$ 6.94<br>MID: 582586<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gn3/1/zamriel-seraph-of-steel?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=582586&printed=false">Gatherer</a>|582586|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/c/bc883e4e-e5f5-4823-ac2a-9ff8b7772926.jpg?1673301229}
2743136b-3610-4c43-8ed7-a00b1f58a874|Maeve, Insidious Singer|{2}{U}{U}|Legendary Creature - Siren|3|4|{2}{U}: Goad target creature. Whenever that creature attacks one of your opponents this turn, you draw a card. (A goaded creature attacks each combat if able and attacks a player other than you if able, until your next turn.)<BR><a href="https://api.scryfall.com/cards/2743136b-3610-4c43-8ed7-a00b1f58a874/rulings">Rulings</a>|Game Night: Free-for-All|Mythic||Jason Rainville|2|F$ 6.77<br>MID: 582587<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gn3/2/maeve-insidious-singer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=582587&printed=false">Gatherer</a>|582587|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/2743136b-3610-4c43-8ed7-a00b1f58a874.jpg?1673301238}
42679318-e5c4-4aa4-8097-97552defc8bf|Vogar, Necropolis Tyrant|{3}{B}{B}|Legendary Creature - Zombie Giant|4|4|Menace<br>Whenever another creature dies during your turn, put a +1/+1 counter on Vogar.<br>When Vogar dies, draw a card for each +1/+1 counter on it.<BR><a href="https://api.scryfall.com/cards/42679318-e5c4-4aa4-8097-97552defc8bf/rulings">Rulings</a>|Game Night: Free-for-All|Mythic||Jason A. Engle|3|F$ 10.23<br>MID: 582588<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gn3/3/vogar-necropolis-tyrant?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=582588&printed=false">Gatherer</a>|582588|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/2/42679318-e5c4-4aa4-8097-97552defc8bf.jpg?1673301246}
6e1ca513-2151-4daa-b442-c52c7838a863|Nogi, Draco-Zealot|{1}{R}{R}|Legendary Creature - Kobold Shaman|3|3|Dragon spells you cast cost {1} less to cast.<br>Whenever Nogi attacks, if you control three or more Dragons, until end of turn, Nogi becomes a Dragon with base power and toughness 5/5 and gains flying.<BR><a href="https://api.scryfall.com/cards/6e1ca513-2151-4daa-b442-c52c7838a863/rulings">Rulings</a>|Game Night: Free-for-All|Mythic||Dmitry Burmak|4|F$ 6.45<br>MID: 582589<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gn3/4/nogi-draco-zealot?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=582589&printed=false">Gatherer</a>|582589|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/e/6e1ca513-2151-4daa-b442-c52c7838a863.jpg?1673301254}
c2c3e33c-8893-436e-ab3a-f8c2ae8b2527|Imaryll, Elfhame Elite|{2}{G}{G}|Legendary Creature - Elf Warrior|3|3|Whenever Imaryll attacks, it gets +X/+X until end of turn, where X is the number of other Elves you control.<br>You may have Imaryll assign its combat damage as though it weren't blocked.<BR><a href="https://api.scryfall.com/cards/c2c3e33c-8893-436e-ab3a-f8c2ae8b2527/rulings">Rulings</a>|Game Night: Free-for-All|Mythic||Ryan Pancoast|5|F$ 16.53<br>MID: 582590<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gn3/5/imaryll-elfhame-elite?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=582590&printed=false">Gatherer</a>|582590|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/2/c2c3e33c-8893-436e-ab3a-f8c2ae8b2527.jpg?1673301263}
8b5a7c8c-5017-4dc7-8bf4-3b179f53fdf7|Ancestral Blade|{1}{W}|Artifact - Equipment|||When this Equipment enters, create a 1/1 white Soldier creature token, then attach this Equipment to it.<br>Equipped creature gets +1/+1.<br>Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/8b5a7c8c-5017-4dc7-8bf4-3b179f53fdf7/rulings">Rulings</a>|Game Night: Free-for-All|Common||Scott Murphy|6|R$ 0.06 <br>MID: 582616<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gn3/6/ancestral-blade?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=582616&printed=false">Gatherer</a>|582616|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/b/8b5a7c8c-5017-4dc7-8bf4-3b179f53fdf7.jpg?1673301270}
6cde5f9d-2ff0-4679-8475-8079464e5e51|Banisher Priest|{1}{W}{W}|Creature - Human Cleric|2|2|When this creature enters, exile target creature an opponent controls until this creature leaves the battlefield.<BR><a href="https://api.scryfall.com/cards/6cde5f9d-2ff0-4679-8475-8079464e5e51/rulings">Rulings</a>|Game Night: Free-for-All|Uncommon||Willian Murai|7|R$ 0.08 <br>MID: 582617<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gn3/7/banisher-priest?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=582617&printed=false">Gatherer</a>|582617|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/c/6cde5f9d-2ff0-4679-8475-8079464e5e51.jpg?1673301278}
d7bb3047-b3fc-4e02-9e19-09d473bb30cb|Captain of the Watch|{4}{W}{W}|Creature - Human Soldier|3|3|Vigilance (Attacking doesn't cause this creature to tap.)<br>Other Soldier creatures you control get +1/+1 and have vigilance.<br>When this creature enters, create three 1/1 white Soldier creature tokens.<BR><a href="https://api.scryfall.com/cards/d7bb3047-b3fc-4e02-9e19-09d473bb30cb/rulings">Rulings</a>|Game Night: Free-for-All|Rare||Greg Staples|8|R$ 0.36 <br>MID: 582618<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gn3/8/captain-of-the-watch?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=582618&printed=false">Gatherer</a>|582618|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/7/d7bb3047-b3fc-4e02-9e19-09d473bb30cb.jpg?1673301285}
cd8eca21-218c-408d-bfd5-e1f776a51278|Danitha Capashen, Paragon|{2}{W}|Legendary Creature - Human Knight|2|2|First strike, vigilance, lifelink<br>Aura and Equipment spells you cast cost {1} less to cast.<BR><a href="https://api.scryfall.com/cards/cd8eca21-218c-408d-bfd5-e1f776a51278/rulings">Rulings</a>|Game Night: Free-for-All|Uncommon||Chris Rallis|9|R$ 0.43 <br>MID: 582619<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gn3/9/danitha-capashen-paragon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=582619&printed=false">Gatherer</a>|582619|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd8eca21-218c-408d-bfd5-e1f776a51278.jpg?1676317057}
5c7c573d-bed8-4444-a2bb-a301f2671f00|Forbidding Spirit|{1}{W}{W}|Creature - Spirit Cleric|3|3|When this creature enters, until your next turn, creatures can't attack you or planeswalkers you control unless their controller pays {2} for each of those creatures.<BR><a href="https://api.scryfall.com/cards/5c7c573d-bed8-4444-a2bb-a301f2671f00/rulings">Rulings</a>|Game Night: Free-for-All|Uncommon||Ryan Yee|10|R$ 0.14 <br>MID: 582620<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gn3/10/forbidding-spirit?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=582620&printed=false">Gatherer</a>|582620|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/c/5c7c573d-bed8-4444-a2bb-a301f2671f00.jpg?1673301301}
