ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
b10441dd-9029-4f95-9566-d3771ebd36bd|Mowu // Mowu||Token Legendary Creature - Dog|3|3|<BR><a href="https://api.scryfall.com/cards/b10441dd-9029-4f95-9566-d3771ebd36bd/rulings">Rulings</a>|Global Series Jiang Yanggu & Mu Yanling|Common||XiaoDi Jin|T1|Finishes: foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/gs1/T1/mowu-mowu?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/1/b10441dd-9029-4f95-9566-d3771ebd36bd.jpg?1737835895, FLIPID=-b10441dd-9029-4f95-9566-d3771ebd36bd}
-b10441dd-9029-4f95-9566-d3771ebd36bd|Mowu // Mowu (double_faced_token)||Token Legendary Creature - Dog|3|3|<BR><a href="https://api.scryfall.com/cards/b10441dd-9029-4f95-9566-d3771ebd36bd/rulings">Rulings</a>|Global Series Jiang Yanggu & Mu Yanling|Common||XiaoDi Jin|T1b|Finishes: foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/gs1/T1/mowu-mowu?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/1/b10441dd-9029-4f95-9566-d3771ebd36bd.jpg?1737835895, FLIPID=b10441dd-9029-4f95-9566-d3771ebd36bd}
a2ee3c3c-768b-434b-a121-6d897b2ae345|Mu Yanling|{4}{U}{U}|Legendary Planeswalker - Yanling|||+2: Target creature can't be blocked this turn.<br>−3: Draw two cards.<br>−10: Tap all creatures your opponents control. You take an extra turn after this one.<BR><a href="https://api.scryfall.com/cards/a2ee3c3c-768b-434b-a121-6d897b2ae345/rulings">Rulings</a>|Global Series Jiang Yanggu & Mu Yanling|Mythic||林玄泰|1|MID: 447049<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gs1/1/mu-yanling?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447049&printed=false">Gatherer</a>|447049|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/2/a2ee3c3c-768b-434b-a121-6d897b2ae345.jpg?1562132001}
846169fb-8f63-4a0f-af94-e08af8927144|Colorful Feiyi Sparrow|{1}{W}|Creature - Bird|1|3|Flying (This creature can't be blocked except by creatures with flying or reach.)<BR><a href="https://api.scryfall.com/cards/846169fb-8f63-4a0f-af94-e08af8927144/rulings">Rulings</a>|Global Series Jiang Yanggu & Mu Yanling|Common||Kee Lo|2|MID: 447050<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gs1/2/colorful-feiyi-sparrow?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447050&printed=false">Gatherer</a>|447050|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/4/846169fb-8f63-4a0f-af94-e08af8927144.jpg?1562131587}
e26c576d-94c8-4f63-9f54-732fb1eade12|Purple-Crystal Crab|{1}{U}|Creature - Crab|1|1|When this creature dies, draw a card.<BR><a href="https://api.scryfall.com/cards/e26c576d-94c8-4f63-9f54-732fb1eade12/rulings">Rulings</a>|Global Series Jiang Yanggu & Mu Yanling|Common||Tan Yan Yao|3|MID: 447051<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gs1/3/purple-crystal-crab?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447051&printed=false">Gatherer</a>|447051|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e26c576d-94c8-4f63-9f54-732fb1eade12.jpg?1562132083}
c6783b19-4d23-445c-9c4c-bb485a1e4149|Vivid Flying Fish|{1}{U}|Creature - Fish Lizard|1|1|This creature has flying as long as it's attacking. (It can't be blocked except by creatures with flying or reach.)<BR><a href="https://api.scryfall.com/cards/c6783b19-4d23-445c-9c4c-bb485a1e4149/rulings">Rulings</a>|Global Series Jiang Yanggu & Mu Yanling|Common||Tingting Yeh|4|MID: 447052<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gs1/4/vivid-flying-fish?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447052&printed=false">Gatherer</a>|447052|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c6783b19-4d23-445c-9c4c-bb485a1e4149.jpg?1562132065}
aa9b56b7-73f1-47fd-834b-37408482cebc|Welkin Tern|{1}{U}|Creature - Bird|2|1|Flying (This creature can't be blocked except by creatures with flying or reach.)<br>This creature can block only creatures with flying.<BR><a href="https://api.scryfall.com/cards/aa9b56b7-73f1-47fd-834b-37408482cebc/rulings">Rulings</a>|Global Series Jiang Yanggu & Mu Yanling|Common||Yutaka Li|5|MID: 447053<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gs1/5/welkin-tern?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447053&printed=false">Gatherer</a>|447053|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/a/aa9b56b7-73f1-47fd-834b-37408482cebc.jpg?1562132016}
f1cb6fba-e314-4270-bbba-fa0584530f72|Heavenly Qilin|{2}{W}|Creature - Kirin|2|2|Flying (This creature can't be blocked except by creatures with flying or reach.)<br>Whenever this creature attacks, another target creature you control gains flying until end of turn.<BR><a href="https://api.scryfall.com/cards/f1cb6fba-e314-4270-bbba-fa0584530f72/rulings">Rulings</a>|Global Series Jiang Yanggu & Mu Yanling|Common||Xin-Yu Liu|6|MID: 447054<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gs1/6/heavenly-qilin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447054&printed=false">Gatherer</a>|447054|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/1/f1cb6fba-e314-4270-bbba-fa0584530f72.jpg?1562132091}
fcc87fdf-6473-4b91-a8b9-2986e57dc071|Armored Whirl Turtle|{2}{U}|Creature - Turtle|0|5|<BR><a href="https://api.scryfall.com/cards/fcc87fdf-6473-4b91-a8b9-2986e57dc071/rulings">Rulings</a>|Global Series Jiang Yanggu & Mu Yanling|Common||Tingting Yeh|7|MID: 447055<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gs1/7/armored-whirl-turtle?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447055&printed=false">Gatherer</a>|447055|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/c/fcc87fdf-6473-4b91-a8b9-2986e57dc071.jpg?1562132458}
a120de1b-cfc2-4a21-9eb0-ddabb3d90896|Nine-Tail White Fox|{2}{U}|Creature - Fox Spirit|2|2|Whenever this creature deals combat damage to a player, draw a card.<BR><a href="https://api.scryfall.com/cards/a120de1b-cfc2-4a21-9eb0-ddabb3d90896/rulings">Rulings</a>|Global Series Jiang Yanggu & Mu Yanling|Common||林玄泰|8|MID: 447056<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gs1/8/nine-tail-white-fox?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447056&printed=false">Gatherer</a>|447056|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/1/a120de1b-cfc2-4a21-9eb0-ddabb3d90896.jpg?1562131982}
