ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
c63e9c49-3fa4-41ad-9eed-19801df103c6|Aerial Maneuver|{1}{W}|Instant|||Target creature gets +1/+1 and gains flying and first strike until end of turn.<BR><a href="https://api.scryfall.com/cards/c63e9c49-3fa4-41ad-9eed-19801df103c6/rulings">Rulings</a>|Gatecrash|Common||Scott Chou|1|R$ 0.04 F$ 0.10<br>MID: 366294<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/gtc/1/aerial-maneuver?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366294&printed=false">Gatherer</a>|366294|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c63e9c49-3fa4-41ad-9eed-19801df103c6.jpg?1561845442}
e24b62d3-c200-4330-a255-92d77f01ba44|Angelic Edict|{4}{W}|Sorcery|||Exile target creature or enchantment.<BR><a href="https://api.scryfall.com/cards/e24b62d3-c200-4330-a255-92d77f01ba44/rulings">Rulings</a>|Gatecrash|Common||Trevor Claxton|2|R$ 0.03 F$ 0.12<br>MID: 366400<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/gtc/2/angelic-edict?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366400&printed=false">Gatherer</a>|366400|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e24b62d3-c200-4330-a255-92d77f01ba44.jpg?1561849760}
beb04702-5cb2-4590-b675-9409ba52a395|Angelic Skirmisher|{4}{W}{W}|Creature - Angel|4|4|Flying<br>At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.<BR><a href="https://api.scryfall.com/cards/beb04702-5cb2-4590-b675-9409ba52a395/rulings">Rulings</a>|Gatecrash|Rare||David Rapoza|3|R$ 1.84 F$ 3.16<br>MID: 366395<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/gtc/3/angelic-skirmisher?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366395&printed=false">Gatherer</a>|366395|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/beb04702-5cb2-4590-b675-9409ba52a395.jpg?1561844079}
704286a5-e3a8-4517-85e5-6447c5c2530f|Assault Griffin|{3}{W}|Creature - Griffin|3|2|Flying<BR><a href="https://api.scryfall.com/cards/704286a5-e3a8-4517-85e5-6447c5c2530f/rulings">Rulings</a>|Gatecrash|Common||Eric Velhagen|4|R$ 0.04 <br>MID: 366337<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/gtc/4/assault-griffin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366337&printed=false">Gatherer</a>|366337|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/0/704286a5-e3a8-4517-85e5-6447c5c2530f.jpg?1561831125}
2be39fed-4b39-4027-9c80-f2186f7dd941|Basilica Guards|{2}{W}|Creature - Human Soldier|1|4|Defender<br>Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)<BR><a href="https://api.scryfall.com/cards/2be39fed-4b39-4027-9c80-f2186f7dd941/rulings">Rulings</a>|Gatecrash|Common||Dan Murayama Scott|5|R$ 0.09 F$ 0.44<br>MID: 366347<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/gtc/5/basilica-guards?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366347&printed=false">Gatherer</a>|366347|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/b/2be39fed-4b39-4027-9c80-f2186f7dd941.jpg?1561820956}
07c3e78d-d917-4552-842f-feff99c059e0|Blind Obedience|{1}{W}|Enchantment|||Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)<br>Artifacts and creatures your opponents control enter tapped.<BR><a href="https://api.scryfall.com/cards/07c3e78d-d917-4552-842f-feff99c059e0/rulings">Rulings</a>|Gatecrash|Rare||Seb McKinnon|6|R$ 4.14 F$ 6.46<br>MID: 366465<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/gtc/6/blind-obedience?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366465&printed=false">Gatherer</a>|366465|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/07c3e78d-d917-4552-842f-feff99c059e0.jpg?1561814751}
a03974e6-aced-4664-8c5c-3190bb1eb233|Boros Elite|{W}|Creature - Human Soldier|1|1|Battalion — Whenever this creature and at least two other creatures attack, this creature gets +2/+2 until end of turn.<BR><a href="https://api.scryfall.com/cards/a03974e6-aced-4664-8c5c-3190bb1eb233/rulings">Rulings</a>|Gatecrash|Uncommon||Willian Murai|7|R$ 0.06 F$ 0.49<br>MID: 366369<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/gtc/7/boros-elite?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366369&printed=false">Gatherer</a>|366369|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/0/a03974e6-aced-4664-8c5c-3190bb1eb233.jpg?1561839470}
ca6a5cb3-b6e5-4879-83b5-4ad590a5467a|Court Street Denizen|{2}{W}|Creature - Human Soldier|2|2|Whenever another white creature you control enters, tap target creature an opponent controls.<BR><a href="https://api.scryfall.com/cards/ca6a5cb3-b6e5-4879-83b5-4ad590a5467a/rulings">Rulings</a>|Gatecrash|Common||Volkan Baǵa|8|R$ 0.05 F$ 0.41<br>MID: 366389<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/gtc/8/court-street-denizen?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366389&printed=false">Gatherer</a>|366389|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/a/ca6a5cb3-b6e5-4879-83b5-4ad590a5467a.jpg?1561845772}
6c28412d-9add-4911-8487-c84559006fb0|Daring Skyjek|{1}{W}|Creature - Human Knight|3|1|Battalion — Whenever this creature and at least two other creatures attack, this creature gains flying until end of turn.<BR><a href="https://api.scryfall.com/cards/6c28412d-9add-4911-8487-c84559006fb0/rulings">Rulings</a>|Gatecrash|Common||Jason Chan|9|R$ 0.04 F$ 0.27<br>MID: 366251<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/gtc/9/daring-skyjek?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366251&printed=false">Gatherer</a>|366251|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/c/6c28412d-9add-4911-8487-c84559006fb0.jpg?1561830643}
fafb0372-6860-4b0b-b92e-873735489006|Debtor's Pulpit|{4}{W}|Enchantment - Aura|||Enchant land<br>Enchanted land has "{T}: Tap target creature."<BR><a href="https://api.scryfall.com/cards/fafb0372-6860-4b0b-b92e-873735489006/rulings">Rulings</a>|Gatecrash|Uncommon||James Paick|10|R$ 0.04 F$ 0.40<br>MID: 366268<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/gtc/10/debtors-pulpit?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366268&printed=false">Gatherer</a>|366268|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/a/fafb0372-6860-4b0b-b92e-873735489006.jpg?1561853416}
