ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
3010|Abbey Gargoyles|{2}{W}{W}{W}|Creature - Gargoyle|3|4|Flying, protection from red|Homelands|Uncommon||Christopher Rush|1|MID: 3010<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/1/abbey-gargoyles?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/1/71a5d8de-25f1-4070-a7a6-dc3f2339ce30.jpg?1562587734}
3011|Abbey Matron|{2}{W}|Creature - Human Cleric|1|3|{W}, {T}: This creature gets +0/+3 until end of turn.|Homelands|Common||Mike Kimble|2a|MID: 3011<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/2a/abbey-matron?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/158caa84-da2e-4c4c-b24d-0c035c900e20.jpg?1562587048}
3012|Abbey Matron|{2}{W}|Creature - Human Cleric|1|3|{W}, {T}: This creature gets +0/+3 until end of turn.|Homelands|Common||Mike Kimble|2b|MID: 3012<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/2b/abbey-matron?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fd950ddc-28f4-47a5-8fc1-d6f70002fceb.jpg?1562588729}
3013|Aysen Bureaucrats|{1}{W}|Creature - Human Advisor|1|1|{T}: Tap target creature with power 2 or less.|Homelands|Common||Alan Rabinowitz|3a|MID: 3013<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/3a/aysen-bureaucrats?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/1/91170faf-3143-4fa8-88d6-eef72e1f5459.jpg?1562587766}
3014|Aysen Bureaucrats|{1}{W}|Creature - Human Advisor|1|1|{T}: Tap target creature with power 2 or less.|Homelands|Common||Alan Rabinowitz|3b|MID: 3014<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/3b/aysen-bureaucrats?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7ca3fa70-50b3-4157-afda-fe58bf72ee16.jpg?1562587740}
3015|Aysen Crusader|{2}{W}{W}|Creature - Human Knight|2+*|2+*|Aysen Crusader's power and toughness are each equal to 2 plus the number of Soldiers and Warriors you control.|Homelands|Rare||NéNé Thomas|4|MID: 3015<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/4/aysen-crusader?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/7908cfdc-5ed6-48a8-a5b9-351864f8b4fd.jpg?1749634351}
3016|Aysen Highway|{3}{W}{W}{W}|Enchantment|||White creatures have plainswalk. (They can't be blocked as long as defending player controls a Plains.)|Homelands|Rare||NéNé Thomas|5|MID: 3016<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/5/aysen-highway?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/d/adfa87eb-9a11-459c-bff8-87bb09b61b87.jpg?1562588221}
3017|Beast Walkers|{1}{W}{W}|Creature - Human Beast Soldier|2|2|{G}: This creature gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Homelands|Rare||Heather Hudson|6|MID: 3017<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/6/beast-walkers?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/9/99b42f6c-5c7e-4ba8-b0fb-ac8564aaf825.jpg?1562587770}
3018|Death Speakers|{W}|Creature - Human Cleric|1|1|Protection from black|Homelands|Uncommon||Douglas Shuler|7|MID: 3018<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/7/death-speakers?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/1/e17c19a4-0186-45a0-89b9-d7b0fb0ddd8a.jpg?1562588699}
3019|Hazduhr the Abbot|{3}{W}{W}|Legendary Creature - Human Cleric|2|5|{X}, {T}: The next X damage that would be dealt this turn to target white creature you control is dealt to Hazduhr instead.|Homelands|Rare||Dan Frazier|8|MID: 3019<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/8/hazduhr-the-abbot?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/d/adfd416a-dddf-40e4-acf0-84057edb7a58.jpg?1562588223}
3020|Leeches|{1}{W}{W}|Sorcery|||Target player loses all poison counters. Leeches deals that much damage to that player.|Homelands|Rare||Alan Rabinowitz|9|MID: 3020<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/9/leeches?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/90db206e-b254-476c-b2f3-1cd56bb5297d.jpg?1562587765}
3022|Mesa Falcon|{1}{W}|Creature - Bird|1|1|Flying<br>{1}{W}: This creature gets +0/+1 until end of turn.|Homelands|Common||Mark Poole|10a|MID: 3022<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/10a/mesa-falcon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7c2c7004-691b-4385-ad9b-60b93d474ebd.jpg?1562587738}
3021|Mesa Falcon|{1}{W}|Creature - Bird|1|1|Flying<br>{1}{W}: This creature gets +0/+1 until end of turn.|Homelands|Common||Mark Poole|10b|MID: 3021<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/10b/mesa-falcon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/4/04d2f5e2-fb95-48b0-b7bf-689d45fa8970.jpg?1562587033}
3023|Prophecy|{W}|Sorcery|||Reveal the top card of target opponent's library. If it's a land, you gain 1 life. Then that player shuffles.<br>Draw a card at the beginning of the next turn's upkeep.|Homelands|Common||Christopher Rush|11|MID: 3023<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/11/prophecy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/5/f514eb63-3a4e-4410-ba3d-487cf81f7063.jpg?1562588721}
3024|Rashka the Slayer|{3}{W}{W}|Legendary Creature - Human Archer|3|3|Reach (This creature can block creatures with flying.)<br>Whenever Rashka blocks one or more black creatures, Rashka gets +1/+2 until end of turn.|Homelands|Uncommon||Christopher Rush|12|MID: 3024<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/12/rashka-the-slayer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/ddf30363-9db2-44c5-8c13-dbf1aaa8c86b.jpg?1562588257}
3025|Samite Alchemist|{3}{W}|Creature - Human Cleric|0|2|{W}{W}, {T}: Prevent the next 4 damage that would be dealt this turn to target creature you control. Tap that creature. It doesn't untap during your next untap step.|Homelands|Common||Tom Wänerstrand|13a|MID: 3025<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/13a/samite-alchemist?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/68224871-d4c2-4b43-9ab8-c0685588b035.jpg?1562587293}
3026|Samite Alchemist|{3}{W}|Creature - Human Cleric|0|2|{W}{W}, {T}: Prevent the next 4 damage that would be dealt this turn to target creature you control. Tap that creature. It doesn't untap during your next untap step.|Homelands|Common||Tom Wänerstrand|13b|MID: 3026<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/13b/samite-alchemist?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/0545fc43-9c67-4ad4-b1d9-6b57b53321af.jpg?1562587034}
3027|Serra Aviary|{3}{W}|World Enchantment|||Creatures with flying get +1/+1.|Homelands|Rare||Nicola Leonard|14|MID: 3027<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/14/serra-aviary?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/688a8de2-0167-4b35-a38d-3574034a892c.jpg?1562587294}
3028|Serra Bestiary|{W}{W}|Enchantment - Aura|||Enchant creature<br>At the beginning of your upkeep, sacrifice this Aura unless you pay {W}{W}.<br>Enchanted creature can't attack or block, and its activated abilities with {T} in their costs can't be activated.|Homelands|Common||Anson Maddocks|15|MID: 3028<br>Finishes: nonfoil:<br>https://scryfall.com/card/hml/15/serra-bestiary?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/a/aab1c8b8-9b3e-444a-a12c-bd09ec899641.jpg?1562588217}
