ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
b8f5e276-d7c3-4b4b-ac5b-9bb1aeeca8d0|Akroma's Vengeance|{4}{W}{W}|Sorcery|||Destroy all artifacts, creatures, and enchantments.<br>Cycling {3} ({3}, Discard this card: Draw a card.)<BR><a href="https://api.scryfall.com/cards/b8f5e276-d7c3-4b4b-ac5b-9bb1aeeca8d0/rulings">Rulings</a>|Planechase|Rare||Greg Hildebrandt & Tim Hildebrandt|1|R$ 0.58 <br>MID: 205366<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/hop/1/akromas-vengeance?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205366&printed=false">Gatherer</a>|205366|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/8/b8f5e276-d7c3-4b4b-ac5b-9bb1aeeca8d0.jpg?1562842869}
6390abbc-a28f-4db5-a4bf-ed9f6e464c9a|Congregate|{3}{W}|Instant|||Target player gains 2 life for each creature on the battlefield.<BR><a href="https://api.scryfall.com/cards/6390abbc-a28f-4db5-a4bf-ed9f6e464c9a/rulings">Rulings</a>|Planechase|Common||Mark Zug|2|R$ 0.25 <br>MID: 205387<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/hop/2/congregate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205387&printed=false">Gatherer</a>|205387|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/3/6390abbc-a28f-4db5-a4bf-ed9f6e464c9a.jpg?1562842168}
2c1544bf-d4f4-4e3a-9b93-8ea50bc86922|Kor Sanctifiers|{2}{W}|Creature - Kor Cleric|2|3|Kicker {W} (You may pay an additional {W} as you cast this spell.)<br>When this creature enters, if it was kicked, destroy target artifact or enchantment.<BR><a href="https://api.scryfall.com/cards/2c1544bf-d4f4-4e3a-9b93-8ea50bc86922/rulings">Rulings</a>|Planechase|Common||Dan Murayama Scott|3|R$ 0.24 <br>MID: 205342<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/hop/3/kor-sanctifiers?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205342&printed=false">Gatherer</a>|205342|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/c/2c1544bf-d4f4-4e3a-9b93-8ea50bc86922.jpg?1562841677}
fbb74aec-2cf1-431d-ae28-ed1e6bae4f5e|Oblivion Ring|{2}{W}|Enchantment|||When this enchantment enters, exile another target nonland permanent.<br>When this enchantment leaves the battlefield, return the exiled card to the battlefield under its owner's control.<BR><a href="https://api.scryfall.com/cards/fbb74aec-2cf1-431d-ae28-ed1e6bae4f5e/rulings">Rulings</a>|Planechase|Common||Franz Vohwinkel|4|R$ 0.25 <br>MID: 205396<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/hop/4/oblivion-ring?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205396&printed=false">Gatherer</a>|205396|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fbb74aec-2cf1-431d-ae28-ed1e6bae4f5e.jpg?1562843372}
dc77e7a2-87cf-46c9-b983-9917310cde64|Orim's Thunder|{2}{W}|Instant|||Kicker {R} (You may pay an additional {R} as you cast this spell.)<br>Destroy target artifact or enchantment. If this spell was kicked, it deals damage equal to that permanent's mana value to target creature.<BR><a href="https://api.scryfall.com/cards/dc77e7a2-87cf-46c9-b983-9917310cde64/rulings">Rulings</a>|Planechase|Common||Carl Critchlow|5|R$ 0.43 <br>MID: 205385<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/hop/5/orims-thunder?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205385&printed=false">Gatherer</a>|205385|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/c/dc77e7a2-87cf-46c9-b983-9917310cde64.jpg?1562843338}
f07cc03d-8a72-4f0c-a3d4-c33a6428fd0f|Prison Term|{1}{W}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.<br>Whenever a creature an opponent controls enters, you may attach this Aura to that creature.<BR><a href="https://api.scryfall.com/cards/f07cc03d-8a72-4f0c-a3d4-c33a6428fd0f/rulings">Rulings</a>|Planechase|Uncommon||Zoltan Boros & Gabor Szikszai|6|R$ 0.74 <br>MID: 205402<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/hop/6/prison-term?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205402&printed=false">Gatherer</a>|205402|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f07cc03d-8a72-4f0c-a3d4-c33a6428fd0f.jpg?1562843364}
ad97b973-0d3a-4d30-b9f2-771912840d8a|Soul Warden|{W}|Creature - Human Cleric|1|1|Whenever another creature enters, you gain 1 life.<BR><a href="https://api.scryfall.com/cards/ad97b973-0d3a-4d30-b9f2-771912840d8a/rulings">Rulings</a>|Planechase|Common||Randy Gallegos|7|R$ 2.55 <br>MID: 205351<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/hop/7/soul-warden?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205351&printed=false">Gatherer</a>|205351|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/d/ad97b973-0d3a-4d30-b9f2-771912840d8a.jpg?1562842855}
28309edb-f255-4b29-b7b6-e36e23ba0690|Broodstar|{8}{U}{U}|Creature - Beast|*|*|Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)<br>Flying<br>Broodstar's power and toughness are each equal to the number of artifacts you control.<BR><a href="https://api.scryfall.com/cards/28309edb-f255-4b29-b7b6-e36e23ba0690/rulings">Rulings</a>|Planechase|Rare||Glen Angus|8|R$ 0.70 <br>MID: 205277<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/hop/8/broodstar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205277&printed=false">Gatherer</a>|205277|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/28309edb-f255-4b29-b7b6-e36e23ba0690.jpg?1562841674}
44e49332-b1e1-4b88-b508-516b55c67a1d|Fabricate|{2}{U}|Sorcery|||Search your library for an artifact card, reveal it, put it into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/44e49332-b1e1-4b88-b508-516b55c67a1d/rulings">Rulings</a>|Planechase|Uncommon||Glen Angus|9|R$ 9.00 <br>MID: 205348<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/hop/9/fabricate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205348&printed=false">Gatherer</a>|205348|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/44e49332-b1e1-4b88-b508-516b55c67a1d.jpg?1707508001}
e98489bc-b5fd-43f2-9afb-198e34e70723|Keep Watch|{2}{U}|Instant|||Draw a card for each attacking creature.<BR><a href="https://api.scryfall.com/cards/e98489bc-b5fd-43f2-9afb-198e34e70723/rulings">Rulings</a>|Planechase|Common||Fred Rahmqvist|10|R$ 2.06 <br>MID: 205346<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/hop/10/keep-watch?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205346&printed=false">Gatherer</a>|205346|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/9/e98489bc-b5fd-43f2-9afb-198e34e70723.jpg?1562843349}
