ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
2904aaaa-cd25-4c05-9d57-4c5a951ac6d9|Scion of Ugin|{6}|Creature - Dragon Spirit|4|4|Flying<BR><a href="https://api.scryfall.com/cards/2904aaaa-cd25-4c05-9d57-4c5a951ac6d9/rulings">Rulings</a>|Iconic Masters|Common||Cliff Childs|1|MID: 438567<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ima/1/scion-of-ugin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=438567&printed=false">Gatherer</a>|438567|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/9/2904aaaa-cd25-4c05-9d57-4c5a951ac6d9.jpg?1562846945}
3f2877ac-195b-4397-89bd-0bee3220b2a4|Abzan Battle Priest|{3}{W}|Creature - Human Cleric|3|2|Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)<br>Each creature you control with a +1/+1 counter on it has lifelink.<BR><a href="https://api.scryfall.com/cards/3f2877ac-195b-4397-89bd-0bee3220b2a4/rulings">Rulings</a>|Iconic Masters|Uncommon||Chris Rahn|2|MID: 438568<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ima/2/abzan-battle-priest?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=438568&printed=false">Gatherer</a>|438568|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3f2877ac-195b-4397-89bd-0bee3220b2a4.jpg?1562847965}
9c06621d-a0c9-4c84-8b1a-cb0abd8390c4|Abzan Falconer|{2}{W}|Creature - Human Soldier|2|3|Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)<br>Each creature you control with a +1/+1 counter on it has flying.<BR><a href="https://api.scryfall.com/cards/9c06621d-a0c9-4c84-8b1a-cb0abd8390c4/rulings">Rulings</a>|Iconic Masters|Uncommon||Steven Belledin|3|MID: 438569<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ima/3/abzan-falconer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=438569&printed=false">Gatherer</a>|438569|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9c06621d-a0c9-4c84-8b1a-cb0abd8390c4.jpg?1562852047}
0f32c514-36b9-4e1f-86e8-1d36e5282062|Ainok Bond-Kin|{1}{W}|Creature - Dog Soldier|2|1|Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)<br>Each creature you control with a +1/+1 counter on it has first strike.<BR><a href="https://api.scryfall.com/cards/0f32c514-36b9-4e1f-86e8-1d36e5282062/rulings">Rulings</a>|Iconic Masters|Common||Chris Rahn|4|MID: 438570<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ima/4/ainok-bond-kin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=438570&printed=false">Gatherer</a>|438570|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/f/0f32c514-36b9-4e1f-86e8-1d36e5282062.jpg?1562845827}
296d0c32-1b7d-4c91-8675-2543c97a3753|Ajani's Pridemate|{1}{W}|Creature - Cat Soldier|2|2|Whenever you gain life, put a +1/+1 counter on this creature.<BR><a href="https://api.scryfall.com/cards/296d0c32-1b7d-4c91-8675-2543c97a3753/rulings">Rulings</a>|Iconic Masters|Uncommon||Svetlin Velinov|5|MID: 438571<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ima/5/ajanis-pridemate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=438571&printed=false">Gatherer</a>|438571|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/9/296d0c32-1b7d-4c91-8675-2543c97a3753.jpg?1562846949}
19caada3-7548-44d4-bf3f-680f7d3fa7b8|Angel of Mercy|{4}{W}|Creature - Angel|3|3|Flying<br>When this creature enters, you gain 3 life.<BR><a href="https://api.scryfall.com/cards/19caada3-7548-44d4-bf3f-680f7d3fa7b8/rulings">Rulings</a>|Iconic Masters|Common||Volkan Baǵa|6|MID: 438572<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ima/6/angel-of-mercy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=438572&printed=false">Gatherer</a>|438572|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/9/19caada3-7548-44d4-bf3f-680f7d3fa7b8.jpg?1562846290}
349e8190-15fd-44ed-a821-9a5f3615d2d9|Angelic Accord|{3}{W}|Enchantment|||At the beginning of each end step, if you gained 4 or more life this turn, create a 4/4 white Angel creature token with flying.<BR><a href="https://api.scryfall.com/cards/349e8190-15fd-44ed-a821-9a5f3615d2d9/rulings">Rulings</a>|Iconic Masters|Uncommon||Michael C. Hayes|7|MID: 438573<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ima/7/angelic-accord?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=438573&printed=false">Gatherer</a>|438573|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/4/349e8190-15fd-44ed-a821-9a5f3615d2d9.jpg?1562847445}
aff10db6-f9bf-4fc8-b3ef-c4c11f192f53|Archangel of Thune|{3}{W}{W}|Creature - Angel|3|4|Flying<br>Lifelink (Damage dealt by this creature also causes you to gain that much life.)<br>Whenever you gain life, put a +1/+1 counter on each creature you control.<BR><a href="https://api.scryfall.com/cards/aff10db6-f9bf-4fc8-b3ef-c4c11f192f53/rulings">Rulings</a>|Iconic Masters|Mythic||James Ryman|8|MID: 438574<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ima/8/archangel-of-thune?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=438574&printed=false">Gatherer</a>|438574|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/aff10db6-f9bf-4fc8-b3ef-c4c11f192f53.jpg?1562852989}
74b769c1-48a0-448b-98d9-0d86526ef51e|Auriok Champion|{W}{W}|Creature - Human Cleric|1|1|Protection from black and from red<br>Whenever another creature enters, you may gain 1 life.<BR><a href="https://api.scryfall.com/cards/74b769c1-48a0-448b-98d9-0d86526ef51e/rulings">Rulings</a>|Iconic Masters|Rare||Eric Deschamps|9|MID: 438575<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ima/9/auriok-champion?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=438575&printed=false">Gatherer</a>|438575|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/4/74b769c1-48a0-448b-98d9-0d86526ef51e.jpg?1562850156}
bef16a71-5ed2-4f30-a844-c02a0754f679|Austere Command|{4}{W}{W}|Sorcery|||Choose two —<br>• Destroy all artifacts.<br>• Destroy all enchantments.<br>• Destroy all creatures with mana value 3 or less.<br>• Destroy all creatures with mana value 4 or greater.<BR><a href="https://api.scryfall.com/cards/bef16a71-5ed2-4f30-a844-c02a0754f679/rulings">Rulings</a>|Iconic Masters|Rare||Anna Steinbauer|10|MID: 438576<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ima/10/austere-command?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=438576&printed=false">Gatherer</a>|438576|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/bef16a71-5ed2-4f30-a844-c02a0754f679.jpg?1562853529}
