ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
22960|Alabaster Leech|{W}|Creature - Leech|1|3|White spells you cast cost {W} more to cast.|Invasion|Rare||Edward P. Beard, Jr.|1|MID: 22960<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/1/alabaster-leech?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c86b45d9-aba6-4c09-8605-037754ba7fd4.jpg?1562935200}
22952|Angel of Mercy|{4}{W}|Creature - Angel|3|3|Flying<br>When this creature enters, you gain 3 life.|Invasion|Uncommon||Mark Tedin|2|MID: 22952<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/2/angel-of-mercy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5b6de688-685f-4389-be35-a472ada988e1.jpg?1562913560}
22931|Ardent Soldier|{1}{W}|Creature - Human Soldier|1|2|Kicker {2} (You may pay an additional {2} as you cast this spell.)<br>Vigilance<br>If this creature was kicked, it enters with a +1/+1 counter on it.|Invasion|Common||Paolo Parente|3|MID: 22931<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/3/ardent-soldier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/9/39dce974-846f-4365-b0a5-851e38668e7d.jpg?1562906683}
22964|Atalya, Samite Master|{3}{W}{W}|Legendary Creature - Human Cleric|2|3|{X}, {T}: Choose one —<br>• Prevent the next X damage that would be dealt to target creature this turn. Spend only white mana on X.<br>• You gain X life. Spend only white mana on X.|Invasion|Rare||Rebecca Guay|4|MID: 22964<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/4/atalya-samite-master?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/90500e7a-f76d-453a-bda0-d56d3f7c7534.jpg?1562924117}
22948|Benalish Emissary|{2}{W}|Creature - Human Wizard|1|4|Kicker {1}{G} (You may pay an additional {1}{G} as you cast this spell.)<br>When this creature enters, if it was kicked, destroy target land.|Invasion|Uncommon||Randy Gallegos|5|MID: 22948<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/5/benalish-emissary?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/b/6b82d56e-80d7-4be9-ac22-de3257efc458.jpg?1562916610}
22947|Benalish Heralds|{3}{W}|Creature - Human Soldier|2|4|{3}{U}, {T}: Draw a card.|Invasion|Uncommon||Don Hazeltine|6|MID: 22947<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/6/benalish-heralds?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/13c6e51d-54eb-4e5b-9ec9-54521b16b8d1.jpg?1562898954}
22932|Benalish Lancer|{2}{W}|Creature - Human Knight|2|2|Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)<br>If this creature was kicked, it enters with two +1/+1 counters on it and with first strike.|Invasion|Common||Paolo Parente|7|MID: 22932<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/7/benalish-lancer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/a/3a38d40a-e745-4fee-b179-f8c27e9b2fbd.jpg?1562906778}
22937|Benalish Trapper|{1}{W}|Creature - Human Soldier|1|2|{W}, {T}: Tap target creature.|Invasion|Common||Ken Meyer, Jr.|8|MID: 22937<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/8/benalish-trapper?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/3/e312653d-c3e1-4c79-90d2-0963419b618c.jpg?1562940560}
22955|Blinding Light|{2}{W}|Sorcery|||Tap all nonwhite creatures.|Invasion|Uncommon||Marc Fishman|9|MID: 22955<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/9/blinding-light?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/882c1e15-b508-4885-9626-4c8d2598a006.jpg?1562922528}
22936|Capashen Unicorn|{1}{W}|Creature - Unicorn|1|2|{1}{W}, {T}, Sacrifice this creature: Destroy target artifact or enchantment.|Invasion|Common||Jerry Tiritilli|10|MID: 22936<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/10/capashen-unicorn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/ec3e5741-88d7-4837-9b43-ba8304d9ee74.jpg?1562942469}
22934|Crimson Acolyte|{1}{W}|Creature - Human Cleric|1|1|Protection from red<br>{W}: Target creature gains protection from red until end of turn.|Invasion|Common||Dany Orizio|11|MID: 22934<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/11/crimson-acolyte?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c1718028-3009-4bdd-9f6f-59c17edd1344.jpg?1562933869}
22963|Crusading Knight|{2}{W}{W}|Creature - Human Knight|2|2|Protection from black<br>This creature gets +1/+1 for each Swamp your opponents control.|Invasion|Rare||Edward P. Beard, Jr.|12|MID: 22963<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/12/crusading-knight?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/4/a4ab4640-1871-41dd-bd21-64741e21ba37.jpg?1562928291}
22956|Death or Glory|{4}{W}|Sorcery|||Separate all creature cards in your graveyard into two piles. Exile the pile of an opponent's choice and return the other to the battlefield.|Invasion|Rare||Jeff Easley|13|MID: 22956<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/13/death-or-glory?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/1/81f967c9-b38d-489d-96cc-44a6b1804e10.jpg?1562921230}
22946|Dismantling Blow|{2}{W}|Instant|||Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.)<br>Destroy target artifact or enchantment. If this spell was kicked, draw two cards.|Invasion|Common||Mark Tedin|14|MID: 22946<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/14/dismantling-blow?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/9/39514d54-cb6c-4b3b-a3be-46db991be4d4.jpg?1562906533}
22969|Divine Presence|{2}{W}|Enchantment|||If a source would deal 4 or more damage to a permanent or player, that source deals 3 damage to that permanent or player instead.|Invasion|Rare||Ron Spears|15|MID: 22969<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/15/divine-presence?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/28cb898d-d6ce-410a-83bf-37962cca2735.jpg?1562903314}
22970|Fight or Flight|{3}{W}|Enchantment|||At the beginning of combat on each opponent's turn, separate all creatures that player controls into two piles. Only creatures in the pile of their choice can attack this turn.|Invasion|Rare||Randy Gallegos|16|MID: 22970<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/16/fight-or-flight?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/6/46bde162-3737-4b93-a27a-63b909a4183d.jpg?1562909374}
22929|Glimmering Angel|{3}{W}|Creature - Angel|2|2|Flying<br>{U}: This creature gains shroud until end of turn. (It can't be the target of spells or abilities.)|Invasion|Common||Ciruelo|17|MID: 22929<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inv/17/glimmering-angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/1/f14f55e4-eded-4a86-87f4-b8fa6f30bc0f.jpg?1562943497}
