ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_674a989e-42ea-458c-bba6-c01b22505b52|Alabaster Potion|{X}{W}{W}|Instant|||Choose one —<br>• Target player gains X life.<br>• Prevent the next X damage that would be dealt to any target this turn.|Introductory Two-Player Set|Common||Harold McNeill|1|Finishes: nonfoil:<br>https://scryfall.com/card/itp/1/alabaster-potion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/7/674a989e-42ea-458c-bba6-c01b22505b52.jpg?1559593512}
scry_9ed24518-dba9-4c25-958d-fbdf2cc6bddc|Circle of Protection: Black|{1}{W}|Enchantment|||{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.|Introductory Two-Player Set|Common||Jesper Myrfors|2|Finishes: nonfoil:<br>https://scryfall.com/card/itp/2/circle-of-protection:-black?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9ed24518-dba9-4c25-958d-fbdf2cc6bddc.jpg?1559593466}
scry_e598f387-cfd7-41c3-89d8-493c32cd6e0c|Circle of Protection: Red|{1}{W}|Enchantment|||{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.|Introductory Two-Player Set|Common||Mark Tedin|3|Finishes: nonfoil:<br>https://scryfall.com/card/itp/3/circle-of-protection:-red?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/5/e598f387-cfd7-41c3-89d8-493c32cd6e0c.jpg?1559593521}
scry_56486eda-2f4d-4c42-a6d3-6b071a5c0ccd|Healing Salve|{W}|Instant|||Choose one —<br>• Target player gains 3 life.<br>• Prevent the next 3 damage that would be dealt to any target this turn.|Introductory Two-Player Set|Common||Dan Frazier|4|Finishes: nonfoil:<br>https://scryfall.com/card/itp/4/healing-salve?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/6/56486eda-2f4d-4c42-a6d3-6b071a5c0ccd.jpg?1559593514}
scry_34f2b9e3-4c45-4f39-b4ea-acdaa2462289|Mesa Pegasus|{1}{W}|Creature - Pegasus|1|1|Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Introductory Two-Player Set|Common||Melissa A. Benson|5|Finishes: nonfoil:<br>https://scryfall.com/card/itp/5/mesa-pegasus?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/4/34f2b9e3-4c45-4f39-b4ea-acdaa2462289.jpg?1559593528}
scry_51f65bc2-e05f-4885-946c-523c2a30f350|Pearled Unicorn|{2}{W}|Creature - Unicorn|2|2||Introductory Two-Player Set|Common||Cornelius Brudi|6|Finishes: nonfoil:<br>https://scryfall.com/card/itp/6/pearled-unicorn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/1/51f65bc2-e05f-4885-946c-523c2a30f350.jpg?1559593534}
scry_15d8f518-0f75-4695-a106-9151860f7b92|Reverse Damage|{1}{W}{W}|Instant|||The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.|Introductory Two-Player Set|Rare||Dameon Willich|7|Finishes: nonfoil:<br>https://scryfall.com/card/itp/7/reverse-damage?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/15d8f518-0f75-4695-a106-9151860f7b92.jpg?1559593483}
scry_a3eedb24-93d1-4526-a94f-1afe90bb3312|Energy Flux|{2}{U}|Enchantment|||All artifacts have "At the beginning of your upkeep, sacrifice this artifact unless you pay {2}."|Introductory Two-Player Set|Uncommon||Kaja Foglio|8|Finishes: nonfoil:<br>https://scryfall.com/card/itp/8/energy-flux?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/3/a3eedb24-93d1-4526-a94f-1afe90bb3312.jpg?1559593470}
scry_d678d5a0-824e-4531-93cd-34046b4e87ef|Feedback|{2}{U}|Enchantment - Aura|||Enchant enchantment<br>At the beginning of the upkeep of enchanted enchantment's controller, this Aura deals 1 damage to that player.|Introductory Two-Player Set|Uncommon||Quinton Hoover|9|Finishes: nonfoil:<br>https://scryfall.com/card/itp/9/feedback?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/6/d678d5a0-824e-4531-93cd-34046b4e87ef.jpg?1559593509}
scry_1d159f1a-8493-4b4b-be30-3440dc27572a|Merfolk of the Pearl Trident|{U}|Creature - Merfolk|1|1||Introductory Two-Player Set|Common||Jeff A. Menges|10|Finishes: nonfoil:<br>https://scryfall.com/card/itp/10/merfolk-of-the-pearl-trident?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/d/1d159f1a-8493-4b4b-be30-3440dc27572a.jpg?1559593526}
