ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
acabfe00-5224-485e-a6eb-c4b9fdf690f8|Arena Rector|{3}{W}|Creature - Human Cleric|1|2|When this creature dies, you may exile it. If you do, search your library for a planeswalker card, put it onto the battlefield, then shuffle.<BR><a href="https://api.scryfall.com/cards/acabfe00-5224-485e-a6eb-c4b9fdf690f8/rulings">Rulings</a>|Judge Gift Cards 2020|Rare||Jason Rainville|1|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/j20/1/arena-rector?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/c/acabfe00-5224-485e-a6eb-c4b9fdf690f8.jpg?1592711925}
e940fd9f-f1f5-455e-b141-b70dde6cb89d|Enlightened Tutor|{W}|Instant|||Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top.<BR><a href="https://api.scryfall.com/cards/e940fd9f-f1f5-455e-b141-b70dde6cb89d/rulings">Rulings</a>|Judge Gift Cards 2020|Rare||Aaron Miller|2|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/j20/2/enlightened-tutor?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/9/e940fd9f-f1f5-455e-b141-b70dde6cb89d.jpg?1592711941}
5cda8633-2661-4fa7-81b0-3ae535619a3c|Spellseeker|{2}{U}|Creature - Human Wizard|1|1|When this creature enters, you may search your library for an instant or sorcery card with mana value 2 or less, reveal it, put it into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/5cda8633-2661-4fa7-81b0-3ae535619a3c/rulings">Rulings</a>|Judge Gift Cards 2020|Rare||Anna Podedworna|3|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/j20/3/spellseeker?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/c/5cda8633-2661-4fa7-81b0-3ae535619a3c.jpg?1592711956}
fdbe0cf7-38e2-4b2e-8fcb-c08f160caf19|Demonic Tutor|{1}{B}|Sorcery|||Search your library for a card, put that card into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/fdbe0cf7-38e2-4b2e-8fcb-c08f160caf19/rulings">Rulings</a>|Judge Gift Cards 2020|Rare||Anna Steinbauer|4|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/j20/4/demonic-tutor?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fdbe0cf7-38e2-4b2e-8fcb-c08f160caf19.jpg?1592711975}
531ad3ed-0657-4203-affd-33915ba363ac|Infernal Tutor|{1}{B}|Sorcery|||Reveal a card from your hand. Search your library for a card with the same name as that card, reveal it, put it into your hand, then shuffle.<br>Hellbent — If you have no cards in hand, instead search your library for a card, put it into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/531ad3ed-0657-4203-affd-33915ba363ac/rulings">Rulings</a>|Judge Gift Cards 2020|Rare||Jason A. Engle|5|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/j20/5/infernal-tutor?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/3/531ad3ed-0657-4203-affd-33915ba363ac.jpg?1596773618}
fa613b38-988c-48b5-99a0-5a11acfc76e4|Gamble|{R}|Sorcery|||Search your library for a card, put that card into your hand, discard a card at random, then shuffle.<BR><a href="https://api.scryfall.com/cards/fa613b38-988c-48b5-99a0-5a11acfc76e4/rulings">Rulings</a>|Judge Gift Cards 2020|Rare||Rudy Siswanto|6|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/j20/6/gamble?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/a/fa613b38-988c-48b5-99a0-5a11acfc76e4.jpg?1592712009}
96d8b133-6431-4dd8-bb41-60f0e2cb67d6|Birthing Pod|{3}{G/P}|Artifact|||({G/P} can be paid with either {G} or 2 life.)<br>{1}{G/P}, {T}, Sacrifice a creature: Search your library for a creature card with mana value equal to 1 plus the sacrificed creature's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery.<BR><a href="https://api.scryfall.com/cards/96d8b133-6431-4dd8-bb41-60f0e2cb67d6/rulings">Rulings</a>|Judge Gift Cards 2020|Rare||Titus Lunter|7|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/j20/7/birthing-pod?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/6/96d8b133-6431-4dd8-bb41-60f0e2cb67d6.jpg?1598287025}
011a086d-f832-4e07-939b-cb453425dda8|Sylvan Tutor|{G}|Sorcery|||Search your library for a creature card, reveal it, then shuffle and put that card on top.<BR><a href="https://api.scryfall.com/cards/011a086d-f832-4e07-939b-cb453425dda8/rulings">Rulings</a>|Judge Gift Cards 2020|Rare||Iris Compiet|8|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/j20/8/sylvan-tutor?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/1/011a086d-f832-4e07-939b-cb453425dda8.jpg?1592712036}
3bd56d8b-fcb9-42fb-b2fd-65b7fa852378|Sterling Grove|{G}{W}|Enchantment|||Other enchantments you control have shroud. (They can't be the targets of spells or abilities.)<br>{1}, Sacrifice this enchantment: Search your library for an enchantment card, reveal it, then shuffle and put that card on top.<BR><a href="https://api.scryfall.com/cards/3bd56d8b-fcb9-42fb-b2fd-65b7fa852378/rulings">Rulings</a>|Judge Gift Cards 2020|Rare||Seb McKinnon|9|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/j20/9/sterling-grove?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/b/3bd56d8b-fcb9-42fb-b2fd-65b7fa852378.jpg?1596773258}
927596bc-4c9f-404a-97f2-89db53826f6b|Eye of Ugin||Legendary Land|||Colorless Eldrazi spells you cast cost {2} less to cast.<br>{7}, {T}: Search your library for a colorless creature card, reveal it, put it into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/927596bc-4c9f-404a-97f2-89db53826f6b/rulings">Rulings</a>|Judge Gift Cards 2020|Rare||Daniel Ljunggren|10|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/j20/10/eye-of-ugin?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/2/927596bc-4c9f-404a-97f2-89db53826f6b.jpg?1596772939}
