ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
f2b2f381-86a2-42ac-b694-dcde437d574f|Aegis of the Gods|{1}{W}|Enchantment Creature - Human Soldier|2|1|You have hexproof. (You can't be the target of spells or abilities your opponents control.)<BR><a href="https://api.scryfall.com/cards/f2b2f381-86a2-42ac-b694-dcde437d574f/rulings">Rulings</a>|Journey into Nyx|Rare||Yefim Kligerman|1|MID: 380364<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/jou/1/aegis-of-the-gods?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380364&printed=false">Gatherer</a>|380364|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f2b2f381-86a2-42ac-b694-dcde437d574f.jpg?1593095152}
e77e2fd5-5c46-4f6b-ac43-ec23fab57a1a|Ajani's Presence|{W}|Instant|||Strive — This spell costs {2}{W} more to cast for each target beyond the first.<br>Any number of target creatures each get +1/+1 and gain indestructible until end of turn. (Damage and effects that say "destroy" don't destroy them.)<BR><a href="https://api.scryfall.com/cards/e77e2fd5-5c46-4f6b-ac43-ec23fab57a1a/rulings">Rulings</a>|Journey into Nyx|Common||Raymond Swanland|2|MID: 380368<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/jou/2/ajanis-presence?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380368&printed=false">Gatherer</a>|380368|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/7/e77e2fd5-5c46-4f6b-ac43-ec23fab57a1a.jpg?1593095164}
7e21938b-46b1-4b2f-8269-0cd0e998cddc|Akroan Mastiff|{3}{W}|Creature - Dog|2|2|{W}, {T}: Tap target creature.<BR><a href="https://api.scryfall.com/cards/7e21938b-46b1-4b2f-8269-0cd0e998cddc/rulings">Rulings</a>|Journey into Nyx|Common||Zoltan Boros|3|MID: 380370<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/jou/3/akroan-mastiff?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380370&printed=false">Gatherer</a>|380370|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/e/7e21938b-46b1-4b2f-8269-0cd0e998cddc.jpg?1593095175}
4203df15-dd44-496b-889a-d7a8fe320330|Armament of Nyx|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has double strike as long as it's an enchantment. Otherwise, prevent all damage that would be dealt by enchanted creature. (A creature with double strike deals both first-strike and regular combat damage.)<BR><a href="https://api.scryfall.com/cards/4203df15-dd44-496b-889a-d7a8fe320330/rulings">Rulings</a>|Journey into Nyx|Common||Slawomir Maniak|4|MID: 380371<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/jou/4/armament-of-nyx?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380371&printed=false">Gatherer</a>|380371|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/2/4203df15-dd44-496b-889a-d7a8fe320330.jpg?1593095185}
fbaa4800-30cc-4a80-a6cc-9a24ada9eb40|Banishing Light|{2}{W}|Enchantment|||When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.<BR><a href="https://api.scryfall.com/cards/fbaa4800-30cc-4a80-a6cc-9a24ada9eb40/rulings">Rulings</a>|Journey into Nyx|Uncommon||Willian Murai|5|MID: 380375<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/jou/5/banishing-light?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380375&printed=false">Gatherer</a>|380375|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fbaa4800-30cc-4a80-a6cc-9a24ada9eb40.jpg?1593095193}
eca7b7d9-8b69-411a-8a1d-9b7d0492e7d0|Dawnbringer Charioteers|{2}{W}{W}|Creature - Human Soldier|2|4|Flying, lifelink<br>Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on this creature.<BR><a href="https://api.scryfall.com/cards/eca7b7d9-8b69-411a-8a1d-9b7d0492e7d0/rulings">Rulings</a>|Journey into Nyx|Rare||Ryan Alexander Lee|6|MID: 380394<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/jou/6/dawnbringer-charioteers?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380394&printed=false">Gatherer</a>|380394|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/eca7b7d9-8b69-411a-8a1d-9b7d0492e7d0.jpg?1593095201}
6012964c-eb76-4581-82ae-aec2d36f0d56|Deicide|{1}{W}|Instant|||Exile target enchantment. If the exiled card is a God card, search its controller's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles.<BR><a href="https://api.scryfall.com/cards/6012964c-eb76-4581-82ae-aec2d36f0d56/rulings">Rulings</a>|Journey into Nyx|Rare||Jason Chan|7|MID: 380395<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/jou/7/deicide?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380395&printed=false">Gatherer</a>|380395|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/0/6012964c-eb76-4581-82ae-aec2d36f0d56.jpg?1593095208}
95602d52-988c-472b-ba8e-cf25aa92f1fc|Dictate of Heliod|{3}{W}{W}|Enchantment|||Flash<br>Creatures you control get +2/+2.<BR><a href="https://api.scryfall.com/cards/95602d52-988c-472b-ba8e-cf25aa92f1fc/rulings">Rulings</a>|Journey into Nyx|Rare||Terese Nielsen|8|MID: 380400<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/jou/8/dictate-of-heliod?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380400&printed=false">Gatherer</a>|380400|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/5/95602d52-988c-472b-ba8e-cf25aa92f1fc.jpg?1593095214}
dc4b6fb1-dc06-48f4-aae2-aa8bbb573548|Eagle of the Watch|{2}{W}|Creature - Bird|2|1|Flying, vigilance<BR><a href="https://api.scryfall.com/cards/dc4b6fb1-dc06-48f4-aae2-aa8bbb573548/rulings">Rulings</a>|Journey into Nyx|Common||Scott Murphy|9|MID: 380407<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/jou/9/eagle-of-the-watch?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380407&printed=false">Gatherer</a>|380407|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/c/dc4b6fb1-dc06-48f4-aae2-aa8bbb573548.jpg?1593095221}
c3bc8b9e-4d22-41ba-b593-d383fd301ef9|Eidolon of Rhetoric|{2}{W}|Enchantment Creature - Spirit|1|4|Each player can't cast more than one spell each turn.<BR><a href="https://api.scryfall.com/cards/c3bc8b9e-4d22-41ba-b593-d383fd301ef9/rulings">Rulings</a>|Journey into Nyx|Uncommon||Ryan Yee|10|MID: 380409<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/jou/10/eidolon-of-rhetoric?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380409&printed=false">Gatherer</a>|380409|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/3/c3bc8b9e-4d22-41ba-b593-d383fd301ef9.jpg?1593095228}
