ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
4de5ff64-6fe7-4fc5-be27-cdbaa14545ab|Axgard Braggart|{3}{W}|Creature - Dwarf Warrior|3|3|Boast — {1}{W}: Untap this creature. Put a +1/+1 counter on it. (Activate only if this creature attacked this turn and only once each turn.)<BR><a href="https://api.scryfall.com/cards/4de5ff64-6fe7-4fc5-be27-cdbaa14545ab/rulings">Rulings</a>|Kaldheim|Common||Svetlin Velinov|1|MID: 503605<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/khm/1/axgard-braggart?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=503605&printed=false">Gatherer</a>|503605|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/d/4de5ff64-6fe7-4fc5-be27-cdbaa14545ab.jpg?1631045424}
fb79dc85-f85a-4846-9ac3-c75c64ea9c0a|Battershield Warrior|{2}{W}|Creature - Human Warrior|2|2|Boast — {1}{W}: Creatures you control get +1/+1 until end of turn. (Activate only if this creature attacked this turn and only once each turn.)<BR><a href="https://api.scryfall.com/cards/fb79dc85-f85a-4846-9ac3-c75c64ea9c0a/rulings">Rulings</a>|Kaldheim|Uncommon||Colin Boyer|2|MID: 503606<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/khm/2/battershield-warrior?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=503606&printed=false">Gatherer</a>|503606|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fb79dc85-f85a-4846-9ac3-c75c64ea9c0a.jpg?1631045455}
389f0045-218d-41cd-bdca-8a9a0ab1b31b|Battlefield Raptor|{W}|Creature - Bird|1|2|Flying, first strike<BR><a href="https://api.scryfall.com/cards/389f0045-218d-41cd-bdca-8a9a0ab1b31b/rulings">Rulings</a>|Kaldheim|Common||Mike Bierek|3|MID: 503607<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/khm/3/battlefield-raptor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=503607&printed=false">Gatherer</a>|503607|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/389f0045-218d-41cd-bdca-8a9a0ab1b31b.jpg?1762812048}
dfc1df84-9c47-444b-9d58-d9c7bed51c66|Beskir Shieldmate|{1}{W}|Creature - Human Warrior|2|1|When this creature dies, create a 1/1 white Human Warrior creature token.<BR><a href="https://api.scryfall.com/cards/dfc1df84-9c47-444b-9d58-d9c7bed51c66/rulings">Rulings</a>|Kaldheim|Common||Manuel Castañón|4|MID: 503608<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/khm/4/beskir-shieldmate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=503608&printed=false">Gatherer</a>|503608|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/f/dfc1df84-9c47-444b-9d58-d9c7bed51c66.jpg?1631045508}
074d526a-1eef-4045-bd38-f6d68c4bc4b9|Bound in Gold|{2}{W}|Enchantment - Aura|||Enchant permanent<br>Enchanted permanent can't attack, block, or crew Vehicles, and its activated abilities can't be activated unless they're mana abilities.<BR><a href="https://api.scryfall.com/cards/074d526a-1eef-4045-bd38-f6d68c4bc4b9/rulings">Rulings</a>|Kaldheim|Common||Victor Adame Minguez|5|MID: 503609<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/khm/5/bound-in-gold?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=503609&printed=false">Gatherer</a>|503609|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/074d526a-1eef-4045-bd38-f6d68c4bc4b9.jpg?1631045534}
86a4c348-1012-4339-960a-c7bc7fd84fbb|Clarion Spirit|{1}{W}|Creature - Spirit|2|2|Whenever you cast your second spell each turn, create a 1/1 white Spirit creature token with flying.<BR><a href="https://api.scryfall.com/cards/86a4c348-1012-4339-960a-c7bc7fd84fbb/rulings">Rulings</a>|Kaldheim|Uncommon||Anastasia Ovchinnikova|6|MID: 503610<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/khm/6/clarion-spirit?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=503610&printed=false">Gatherer</a>|503610|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/86a4c348-1012-4339-960a-c7bc7fd84fbb.jpg?1631045559}
1316a74e-da55-4668-87f2-98389a90a2a4|Codespell Cleric|{W}|Creature - Human Cleric|1|1|Vigilance<br>When this creature enters, if it was the second spell you cast this turn, put a +1/+1 counter on target creature.<BR><a href="https://api.scryfall.com/cards/1316a74e-da55-4668-87f2-98389a90a2a4/rulings">Rulings</a>|Kaldheim|Common||Manuel Castañón|7|MID: 503611<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/khm/7/codespell-cleric?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=503611&printed=false">Gatherer</a>|503611|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/1316a74e-da55-4668-87f2-98389a90a2a4.jpg?1631045584}
696a8c12-4a1f-4b96-a921-538fa1a2de43|Divine Gambit|{W}{W}|Sorcery|||Exile target artifact, creature, or enchantment an opponent controls. That player may put a permanent card from their hand onto the battlefield.<BR><a href="https://api.scryfall.com/cards/696a8c12-4a1f-4b96-a921-538fa1a2de43/rulings">Rulings</a>|Kaldheim|Uncommon||Joe Slucher|8|MID: 503612<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/khm/8/divine-gambit?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=503612&printed=false">Gatherer</a>|503612|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/9/696a8c12-4a1f-4b96-a921-538fa1a2de43.jpg?1631045611}
130ee895-1e5e-4f82-bb66-e1275bac75dd|Doomskar|{3}{W}{W}|Sorcery|||Destroy all creatures.<br>Foretell {1}{W}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)<BR><a href="https://api.scryfall.com/cards/130ee895-1e5e-4f82-bb66-e1275bac75dd/rulings">Rulings</a>|Kaldheim|Rare||Piotr Dura|9|MID: 503613<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br><br><a href="https://scryfall.com/card/khm/9/doomskar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=503613&printed=false">Gatherer</a>|503613|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/130ee895-1e5e-4f82-bb66-e1275bac75dd.jpg?1631045641}
6dae01c8-15bb-44ad-a2c6-9bcf7a9e8c17|Doomskar Oracle|{2}{W}|Creature - Human Cleric|3|2|Whenever you cast your second spell each turn, you gain 2 life.<br>Foretell {W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)<BR><a href="https://api.scryfall.com/cards/6dae01c8-15bb-44ad-a2c6-9bcf7a9e8c17/rulings">Rulings</a>|Kaldheim|Common||Taylor Ingvarsson|10|MID: 503614<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/khm/10/doomskar-oracle?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=503614&printed=false">Gatherer</a>|503614|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/d/6dae01c8-15bb-44ad-a2c6-9bcf7a9e8c17.jpg?1631045669}
