ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
bdc2d492-9d1e-4543-8b9c-c66ee67992ce|Admiral Brass, Unsinkable|{2}{U}{B}{R}|Legendary Creature - Human Pirate|3|3|When Admiral Brass enters, mill four cards.<br>At the beginning of combat on your turn, you may return target Pirate creature card from your graveyard to the battlefield with a finality counter on it. It has base power and toughness 4/4. It gains haste until end of turn. (If a creature with a finality counter on it would die, exile it instead.)<BR><a href="https://api.scryfall.com/cards/bdc2d492-9d1e-4543-8b9c-c66ee67992ce/rulings">Rulings</a>|The Lost Caverns of Ixalan Commander|Mythic||Jason Rainville|1|MID: 642440<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lcc/1/admiral-brass-unsinkable?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=642440&printed=false">Gatherer</a>|642440|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bdc2d492-9d1e-4543-8b9c-c66ee67992ce.jpg?1699972732}
9f55b648-b1ec-407a-a0c7-7647755793d1|Clavileño, First of the Blessed|{1}{W}{B}|Legendary Creature - Vampire Cleric|2|2|Whenever you attack, target attacking Vampire that isn't a Demon becomes a Demon in addition to its other types. It gains "When this creature dies, draw a card and create a tapped 4/3 white and black Vampire Demon creature token with flying."<BR><a href="https://api.scryfall.com/cards/9f55b648-b1ec-407a-a0c7-7647755793d1/rulings">Rulings</a>|The Lost Caverns of Ixalan Commander|Mythic||Matt Stewart|2|MID: 642441<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lcc/2/clavile%C3%B1o-first-of-the-blessed?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=642441&printed=false">Gatherer</a>|642441|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/f/9f55b648-b1ec-407a-a0c7-7647755793d1.jpg?1699972735}
e738e675-4fd1-4bc3-97f5-71d0e2fc3f2e|Hakbal of the Surging Soul|{2}{G}{U}|Legendary Creature - Merfolk Scout|3|3|At the beginning of combat on your turn, each Merfolk creature you control explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on the exploring creature, then put the card back or put it into your graveyard.)<br>Whenever Hakbal attacks, you may put a land card from your hand onto the battlefield. If you don't, draw a card.<BR><a href="https://api.scryfall.com/cards/e738e675-4fd1-4bc3-97f5-71d0e2fc3f2e/rulings">Rulings</a>|The Lost Caverns of Ixalan Commander|Mythic||Tyler Walpole|3|MID: 642442<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lcc/3/hakbal-of-the-surging-soul?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=642442&printed=false">Gatherer</a>|642442|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/7/e738e675-4fd1-4bc3-97f5-71d0e2fc3f2e.jpg?1699885010}
2524645e-b066-4351-885b-10faa8d819d7|Pantlaza, Sun-Favored|{2}{R}{G}{W}|Legendary Creature - Dinosaur|4|4|Whenever Pantlaza or another Dinosaur you control enters, you may discover X, where X is that creature's toughness. Do this only once each turn. (Exile cards from the top of your library until you exile a nonland card with that mana value or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)<BR><a href="https://api.scryfall.com/cards/2524645e-b066-4351-885b-10faa8d819d7/rulings">Rulings</a>|The Lost Caverns of Ixalan Commander|Mythic||Sam Burley|4|MID: 642443<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lcc/4/pantlaza-sun-favored?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=642443&printed=false">Gatherer</a>|642443|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/5/2524645e-b066-4351-885b-10faa8d819d7.jpg?1699972737}
c0e07f8a-5290-47c4-a93d-0c3a14afebd3|Carmen, Cruel Skymarcher|{3}{W}{B}|Legendary Creature - Vampire Soldier|2|2|Flying<br>Whenever a player sacrifices a permanent, put a +1/+1 counter on Carmen and you gain 1 life.<br>Whenever Carmen attacks, return up to one target permanent card with mana value less than or equal to Carmen's power from your graveyard to the battlefield.<BR><a href="https://api.scryfall.com/cards/c0e07f8a-5290-47c4-a93d-0c3a14afebd3/rulings">Rulings</a>|The Lost Caverns of Ixalan Commander|Mythic||Randy Vargas|5|MID: 642143<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lcc/5/carmen-cruel-skymarcher?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=642143&printed=false">Gatherer</a>|642143|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c0e07f8a-5290-47c4-a93d-0c3a14afebd3.jpg?1698987733}
3cf9f3ae-694d-4d37-9498-4bdd1723a55e|Don Andres, the Renegade|{1}{U}{B}{R}|Legendary Creature - Vampire Pirate|4|3|Each creature you control but don't own gets +2/+2, has menace and deathtouch, and is a Pirate in addition to its other types.<br>Whenever you cast a noncreature spell you don't own, create two tapped Treasure tokens.<BR><a href="https://api.scryfall.com/cards/3cf9f3ae-694d-4d37-9498-4bdd1723a55e/rulings">Rulings</a>|The Lost Caverns of Ixalan Commander|Mythic||Daarken|6|MID: 642144<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lcc/6/don-andres-the-renegade?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=642144&printed=false">Gatherer</a>|642144|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/c/3cf9f3ae-694d-4d37-9498-4bdd1723a55e.jpg?1698987741}
04f2d7ee-43a4-48e8-af64-d9fad4b9c5f1|Wayta, Trainer Prodigy|{R}{G}{W}|Legendary Creature - Human Warrior|1|5|Haste<br>{2}{G}, {T}: Target creature you control fights another target creature. This ability costs {2} less to activate if it targets two creatures you control.<br>If a creature you control being dealt damage causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.<BR><a href="https://api.scryfall.com/cards/04f2d7ee-43a4-48e8-af64-d9fad4b9c5f1/rulings">Rulings</a>|The Lost Caverns of Ixalan Commander|Mythic||Magali Villeneuve|7|MID: 642145<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lcc/7/wayta-trainer-prodigy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=642145&printed=false">Gatherer</a>|642145|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/4/04f2d7ee-43a4-48e8-af64-d9fad4b9c5f1.jpg?1701246288}
1444a798-4e94-4bcc-b16a-0f20334f2550|Xolatoyac, the Smiling Flood|{4}{G}{U}|Legendary Creature - Salamander Serpent|6|6|Whenever Xolatoyac enters or attacks, put a flood counter on target land. That land is an Island in addition to its other types for as long as it has a flood counter on it.<br>At the beginning of your end step, untap each permanent you control with a counter on it.<BR><a href="https://api.scryfall.com/cards/1444a798-4e94-4bcc-b16a-0f20334f2550/rulings">Rulings</a>|The Lost Caverns of Ixalan Commander|Mythic||Campbell White|8|MID: 642146<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lcc/8/xolatoyac-the-smiling-flood?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=642146&printed=false">Gatherer</a>|642146|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/4/1444a798-4e94-4bcc-b16a-0f20334f2550.jpg?1699972738}
30e02cc7-8ea9-468b-ba61-a1e00fefea22|Illustrious Wanderglyph|{4}{W}|Artifact Creature - Golem|2|2|Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)<br>Other artifact creatures you control get +2/+2 as long as you have the city's blessing.<br>At the beginning of each upkeep, create a 1/1 colorless Gnome artifact creature token.<BR><a href="https://api.scryfall.com/cards/30e02cc7-8ea9-468b-ba61-a1e00fefea22/rulings">Rulings</a>|The Lost Caverns of Ixalan Commander|Rare||Erikas Perl|9|MID: 642472<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lcc/9/illustrious-wanderglyph?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=642472&printed=false">Gatherer</a>|642472|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/30e02cc7-8ea9-468b-ba61-a1e00fefea22.jpg?1699304183}
e2c812bb-19f8-4a22-bda9-f2a6233cf700|Altar of the Wretched // Wretched Bonemass|{2}{B}|Artifact|||When this artifact enters, you may sacrifice a nontoken creature. If you do, draw X cards, then mill X cards, where X is that creature's power.<br>Craft with one or more creatures {2}{B}{B}<br>{2}{B}: Return this card from your graveyard to your hand.<BR><a href="https://api.scryfall.com/cards/e2c812bb-19f8-4a22-bda9-f2a6233cf700/rulings">Rulings</a>|The Lost Caverns of Ixalan Commander|Rare||Helge C. Balzer|10|MID: 642473<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lcc/10/altar-of-the-wretched-wretched-bonemass?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=642473&printed=false">Gatherer</a>|642473|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e2c812bb-19f8-4a22-bda9-f2a6233cf700.jpg?1703645955, FLIPID=-e2c812bb-19f8-4a22-bda9-f2a6233cf700}
