ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
f93b725e-2b9c-4830-ac54-b2562afe09bb|Abuelo's Awakening|{X}{3}{W}|Sorcery|||Return target artifact or non-Aura enchantment card from your graveyard to the battlefield with X additional +1/+1 counters on it. It's a 1/1 Spirit creature with flying in addition to its other types.|The Lost Caverns of Ixalan|Rare||Eelis Kyttanen|1|MID: 636691<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br>https://scryfall.com/card/lci/1/abuelos-awakening?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f93b725e-2b9c-4830-ac54-b2562afe09bb.jpg?1752091370}
47f82d84-03ad-42dd-80ce-f0ac5e353e46|Acrobatic Leap|{W}|Instant|||Target creature gets +1/+3 and gains flying until end of turn. Untap it.|The Lost Caverns of Ixalan|Common||Fesbra|2|MID: 636692<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/lci/2/acrobatic-leap?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/7/47f82d84-03ad-42dd-80ce-f0ac5e353e46.jpg?1699043064}
83c91e24-b7e8-4040-80cb-d1b375002c10|Adaptive Gemguard|{3}{W}|Artifact Creature - Gnome|3|3|Tap two untapped artifacts and/or creatures you control: Put a +1/+1 counter on this creature. Activate only as a sorcery.|The Lost Caverns of Ixalan|Common||Anthony Devine|3|MID: 636693<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/lci/3/adaptive-gemguard?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83c91e24-b7e8-4040-80cb-d1b375002c10.jpg?1699043073}
ad1a0159-7f00-429c-9318-b028b1e03ba8|Attentive Sunscribe|{1}{W}|Artifact Creature - Gnome|2|2|Whenever this creature becomes tapped, scry 1. (Look at the top card of your library. You may put that card on the bottom.)|The Lost Caverns of Ixalan|Common||Devin Platts|4|MID: 636694<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/lci/4/attentive-sunscribe?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/d/ad1a0159-7f00-429c-9318-b028b1e03ba8.jpg?1699043082}
1c02134c-ec9f-4090-820e-8ba7ae4a8c2b|Bat Colony|{2}{W}|Enchantment|||When this enchantment enters, create a 1/1 black Bat creature token with flying for each mana from a Cave spent to cast it.<br>Whenever a Cave you control enters, put a +1/+1 counter on target creature you control.|The Lost Caverns of Ixalan|Uncommon||Cristi Balanescu|5|MID: 636695<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/lci/5/bat-colony?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/c/1c02134c-ec9f-4090-820e-8ba7ae4a8c2b.jpg?1699043091}
8aece300-656b-4e0d-a45f-aa7feaff0a4e|Clay-Fired Bricks // Cosmium Kiln|{1}{W}|Artifact|||When this artifact enters, search your library for a basic Plains card, reveal it, put it into your hand, then shuffle. You gain 2 life.<br>Craft with artifact {5}{W}{W} ({5}{W}{W}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner's control. Craft only as a sorcery.)|The Lost Caverns of Ixalan|Uncommon||Steve Ellis|6|MID: 636696 // 636697<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/lci/6/clay-fired-bricks-cosmium-kiln?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/a/8aece300-656b-4e0d-a45f-aa7feaff0a4e.jpg?1699125724, FLIPID=-8aece300-656b-4e0d-a45f-aa7feaff0a4e}
-8aece300-656b-4e0d-a45f-aa7feaff0a4e|Clay-Fired Bricks // Cosmium Kiln (transform)||Artifact|||When this artifact enters, create two 1/1 colorless Gnome artifact creature tokens.<br>Creatures you control get +1/+1.|The Lost Caverns of Ixalan|Uncommon||Steve Ellis|6b|MID: 636697 // 636696<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/lci/6/clay-fired-bricks-cosmium-kiln?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/a/8aece300-656b-4e0d-a45f-aa7feaff0a4e.jpg?1699125724, FLIPID=8aece300-656b-4e0d-a45f-aa7feaff0a4e}
193d1eac-ede7-4f75-9c74-05133b215f93|Cosmium Blast|{1}{W}|Instant|||Cosmium Blast deals 4 damage to target attacking or blocking creature.|The Lost Caverns of Ixalan|Common||Caroline Gariba|7|MID: 636698<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/lci/7/cosmium-blast?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/9/193d1eac-ede7-4f75-9c74-05133b215f93.jpg?1699043121}
3d771631-0aab-4f09-b9a6-49b6b2d8d2aa|Dauntless Dismantler|{1}{W}|Creature - Human Artificer|1|4|Artifacts your opponents control enter tapped.<br>{X}{X}{W}, Sacrifice this creature: Destroy each artifact with mana value X.|The Lost Caverns of Ixalan|Uncommon||Dibujante Nocturno|8|MID: 636699<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/lci/8/dauntless-dismantler?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3d771631-0aab-4f09-b9a6-49b6b2d8d2aa.jpg?1699043129}
0c7ba382-18c4-4833-b3d2-bd469ae2ad77|Deconstruction Hammer|{W}|Artifact - Equipment|||Equipped creature gets +1/+1 and has "{3}, {T}, Sacrifice Deconstruction Hammer: Destroy target artifact or enchantment."<br>Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)|The Lost Caverns of Ixalan|Common||Dibujante Nocturno|9|MID: 636700<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/lci/9/deconstruction-hammer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/c/0c7ba382-18c4-4833-b3d2-bd469ae2ad77.jpg?1699043140}
