ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
d5c83259-9b90-47c2-b48e-c7d78519e792|Animate Wall|{W}|Enchantment - Aura|||Enchant Wall<br>Enchanted Wall can attack as though it didn't have defender.|Limited Edition Alpha|Rare||Dan Frazier|1|MID: 232<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/1/animate-wall?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/5/d5c83259-9b90-47c2-b48e-c7d78519e792.jpg?1559591365}
5b6ddce7-b9c5-431d-a0b0-46d4aa93cbcb|Armageddon|{3}{W}|Sorcery|||Destroy all lands.|Limited Edition Alpha|Rare||Jesper Myrfors|2|MID: 233<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/2/armageddon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5b6ddce7-b9c5-431d-a0b0-46d4aa93cbcb.jpg?1559591324}
6f9ea46a-411f-40ce-a873-a905180093f4|Balance|{1}{W}|Sorcery|||Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.|Limited Edition Alpha|Rare||Mark Poole|3|MID: 234<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/3/balance?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/f/6f9ea46a-411f-40ce-a873-a905180093f4.jpg?1559591470}
11600105-56c6-4073-a4a6-8469030b39c9|Benalish Hero|{W}|Creature - Human Soldier|1|1|Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Limited Edition Alpha|Common||Douglas Shuler|4|MID: 235<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/4/benalish-hero?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/1/11600105-56c6-4073-a4a6-8469030b39c9.jpg?1559591360}
15967a39-303f-457d-bcde-51837c8d63e1|Black Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has protection from black. This effect doesn't remove this Aura.|Limited Edition Alpha|Uncommon||Dan Frazier|5|MID: 236<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/5/black-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/15967a39-303f-457d-bcde-51837c8d63e1.jpg?1559591664}
98fba951-c5bb-497c-9292-ce1b2a1e1247|Blaze of Glory|{W}|Instant|||Cast this spell only during combat before blockers are declared.<br>Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.|Limited Edition Alpha|Rare||Richard Thomas|6|MID: 237<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/6/blaze-of-glory?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/98fba951-c5bb-497c-9292-ce1b2a1e1247.jpg?1559591662}
f131fd27-18da-47ca-b59f-135bcac83abd|Blessing|{W}{W}|Enchantment - Aura|||Enchant creature<br>{W}: Enchanted creature gets +1/+1 until end of turn.|Limited Edition Alpha|Rare||Julie Baroh|7|MID: 238<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/7/blessing?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/1/f131fd27-18da-47ca-b59f-135bcac83abd.jpg?1559591478}
93f9f0f2-e1cc-4740-888c-1336c6de0a27|Blue Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has protection from blue. This effect doesn't remove this Aura.|Limited Edition Alpha|Uncommon||Dan Frazier|8|MID: 239<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/8/blue-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/3/93f9f0f2-e1cc-4740-888c-1336c6de0a27.jpg?1559591321}
b0da8d56-3178-44c2-9344-95d2346d326f|Castle|{3}{W}|Enchantment|||Untapped creatures you control get +0/+2.|Limited Edition Alpha|Uncommon||Dameon Willich|9|MID: 240<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/9/castle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/0/b0da8d56-3178-44c2-9344-95d2346d326f.jpg?1559591357}
848b1a7f-e8ba-40b5-92b7-af1e963a0319|Circle of Protection: Blue|{1}{W}|Enchantment|||{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.|Limited Edition Alpha|Common||Dameon Willich|10|MID: 241<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/10/circle-of-protection:-blue?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/4/848b1a7f-e8ba-40b5-92b7-af1e963a0319.jpg?1559591555}
1ae32d20-b438-4f43-b603-e8f706ecfb03|Circle of Protection: Green|{1}{W}|Enchantment|||{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.|Limited Edition Alpha|Common||Sandra Everingham|11|MID: 242<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/11/circle-of-protection:-green?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1ae32d20-b438-4f43-b603-e8f706ecfb03.jpg?1559591301}
b3dd94c5-42f6-4148-be6e-2a3a4226cc0e|Circle of Protection: Red|{1}{W}|Enchantment|||{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.|Limited Edition Alpha|Common||Mark Tedin|12|MID: 243<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/12/circle-of-protection:-red?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b3dd94c5-42f6-4148-be6e-2a3a4226cc0e.jpg?1562008913}
92df19c9-e127-42d9-8dd2-7fa5a7095428|Circle of Protection: White|{1}{W}|Enchantment|||{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.|Limited Edition Alpha|Common||Douglas Shuler|13|MID: 244<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/13/circle-of-protection:-white?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/2/92df19c9-e127-42d9-8dd2-7fa5a7095428.jpg?1559591455}
d2379f78-c03f-447f-b3c9-10a918d556e9|Consecrate Land|{W}|Enchantment - Aura|||Enchant land<br>Enchanted land has indestructible and can't be enchanted by other Auras.|Limited Edition Alpha|Uncommon||Jeff A. Menges|14|MID: 245<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/14/consecrate-land?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d2379f78-c03f-447f-b3c9-10a918d556e9.jpg?1559591317}
13186bc9-8d9c-433b-ba15-121ef94dd68a|Conversion|{2}{W}{W}|Enchantment|||At the beginning of your upkeep, sacrifice this enchantment unless you pay {W}{W}.<br>All Mountains are Plains.|Limited Edition Alpha|Uncommon||Jesper Myrfors|15|MID: 246<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/15/conversion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/13186bc9-8d9c-433b-ba15-121ef94dd68a.jpg?1559591659}
057986c7-20c0-4157-b4df-beae4ef5c66d|Crusade|{W}{W}|Enchantment|||White creatures get +1/+1.|Limited Edition Alpha|Rare||Mark Poole|16|MID: 247<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/16/crusade?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/057986c7-20c0-4157-b4df-beae4ef5c66d.jpg?1591836776}
fa5466cc-aa57-4a7f-8b21-d92b2fe02e13|Death Ward|{W}|Instant|||Regenerate target creature.|Limited Edition Alpha|Common||Mark Poole|17|MID: 248<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/17/death-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/a/fa5466cc-aa57-4a7f-8b21-d92b2fe02e13.jpg?1562008850}
2722d7e2-61c6-4934-9c21-875ee78fd06c|Disenchant|{1}{W}|Instant|||Destroy target artifact or enchantment.|Limited Edition Alpha|Common||Amy Weber|18|MID: 249<br>Finishes: nonfoil:<br>https://scryfall.com/card/lea/18/disenchant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/2722d7e2-61c6-4934-9c21-875ee78fd06c.jpg?1559591316}
