ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
5c5b4738-20bb-465d-b67e-c6146dce9d0b|Animate Wall|{W}|Enchantment - Aura|||Enchant Wall<br>Enchanted Wall can attack as though it didn't have defender.|Limited Edition Beta|Rare||Dan Frazier|1|MID: 527<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/1/animate-wall?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/c/5c5b4738-20bb-465d-b67e-c6146dce9d0b.jpg?1559591879}
02c4edfa-7822-40bc-88d1-d051b3a64df1|Armageddon|{3}{W}|Sorcery|||Destroy all lands.|Limited Edition Beta|Rare||Jesper Myrfors|2|MID: 528<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/2/armageddon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/02c4edfa-7822-40bc-88d1-d051b3a64df1.jpg?1559591653}
0f2c32a0-ee97-4239-94e3-aabab91dab83|Balance|{1}{W}|Sorcery|||Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.|Limited Edition Beta|Rare||Mark Poole|3|MID: 529<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/3/balance?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/f/0f2c32a0-ee97-4239-94e3-aabab91dab83.jpg?1559591887}
f62c68d0-9b1e-4abe-991d-a645effeb676|Benalish Hero|{W}|Creature - Human Soldier|1|1|Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Limited Edition Beta|Common||Douglas Shuler|4|MID: 530<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/4/benalish-hero?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f62c68d0-9b1e-4abe-991d-a645effeb676.jpg?1559591869}
30d5d3fe-5741-40f7-8f45-dadb818d79b0|Black Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has protection from black. This effect doesn't remove this Aura.|Limited Edition Beta|Uncommon||Dan Frazier|5|MID: 531<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/5/black-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/30d5d3fe-5741-40f7-8f45-dadb818d79b0.jpg?1559591862}
f78aef20-e3bb-484c-9fa1-d2859408b04a|Blaze of Glory|{W}|Instant|||Cast this spell only during combat before blockers are declared.<br>Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.|Limited Edition Beta|Rare||Richard Thomas|6|MID: 532<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/6/blaze-of-glory?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f78aef20-e3bb-484c-9fa1-d2859408b04a.jpg?1559591863}
bcd624c8-f06e-4181-865e-6a14ffc9302f|Blessing|{W}{W}|Enchantment - Aura|||Enchant creature<br>{W}: Enchanted creature gets +1/+1 until end of turn.|Limited Edition Beta|Rare||Julie Baroh|7|MID: 533<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/7/blessing?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/c/bcd624c8-f06e-4181-865e-6a14ffc9302f.jpg?1559591632}
aafae6f4-0880-4532-9224-44545bfa5eb4|Blue Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has protection from blue. This effect doesn't remove this Aura.|Limited Edition Beta|Uncommon||Dan Frazier|8|MID: 534<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/8/blue-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/a/aafae6f4-0880-4532-9224-44545bfa5eb4.jpg?1559591859}
a8ba6b09-b24f-40cb-b219-ad8a1fd6692c|Castle|{3}{W}|Enchantment|||Untapped creatures you control get +0/+2.|Limited Edition Beta|Uncommon||Dameon Willich|9|MID: 535<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/9/castle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/8/a8ba6b09-b24f-40cb-b219-ad8a1fd6692c.jpg?1559591855}
fa47b4cd-8da4-4544-b011-ba92b7009203|Circle of Protection: Black|{1}{W}|Enchantment|||{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.|Limited Edition Beta|Common||Jesper Myrfors|10|MID: 536<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/10/circle-of-protection:-black?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/a/fa47b4cd-8da4-4544-b011-ba92b7009203.jpg?1559591574}
07a86eb1-f6a0-4a4e-bd59-e19e22ec487d|Circle of Protection: Blue|{1}{W}|Enchantment|||{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.|Limited Edition Beta|Common||Dameon Willich|11|MID: 537<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/11/circle-of-protection:-blue?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/07a86eb1-f6a0-4a4e-bd59-e19e22ec487d.jpg?1559591851}
e041b0ea-4a57-4950-9f8e-72d6e6ab2968|Circle of Protection: Green|{1}{W}|Enchantment|||{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.|Limited Edition Beta|Common||Sandra Everingham|12|MID: 538<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/12/circle-of-protection:-green?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/0/e041b0ea-4a57-4950-9f8e-72d6e6ab2968.jpg?1559591849}
5de9dc85-d566-4cb0-a2e3-1ed4e5fe2f14|Circle of Protection: Red|{1}{W}|Enchantment|||{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.|Limited Edition Beta|Common||Mark Tedin|13|MID: 539<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/13/circle-of-protection:-red?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/d/5de9dc85-d566-4cb0-a2e3-1ed4e5fe2f14.jpg?1559591848}
671aca82-6c55-43ef-b452-d6a2e706a7ae|Circle of Protection: White|{1}{W}|Enchantment|||{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.|Limited Edition Beta|Common||Douglas Shuler|14|MID: 540<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/14/circle-of-protection:-white?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/7/671aca82-6c55-43ef-b452-d6a2e706a7ae.jpg?1559591847}
077cf242-f866-497f-a23c-70e1b04a748e|Consecrate Land|{W}|Enchantment - Aura|||Enchant land<br>Enchanted land has indestructible and can't be enchanted by other Auras.|Limited Edition Beta|Uncommon||Jeff A. Menges|15|MID: 541<br>Finishes: nonfoil:<br>https://scryfall.com/card/leb/15/consecrate-land?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/077cf242-f866-497f-a23c-70e1b04a748e.jpg?1559591844}
