ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
814245de-6105-43ef-acbf-d12d304b6331|Akroma, Angel of Wrath|{5}{W}{W}{W}|Legendary Creature - Angel|6|6|Flying, first strike, vigilance, trample, haste, protection from black and from red<BR><a href="https://api.scryfall.com/cards/814245de-6105-43ef-acbf-d12d304b6331/rulings">Rulings</a>|Legions|Rare||Ron Spears|1|MID: 42049<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lgn/1/akroma-angel-of-wrath?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=42049&printed=false">Gatherer</a>|42049|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/1/814245de-6105-43ef-acbf-d12d304b6331.jpg?1562921034}
798893df-e720-471d-822d-50284de23efd|Akroma's Devoted|{3}{W}|Creature - Human Cleric|2|4|Cleric creatures have vigilance.<BR><a href="https://api.scryfall.com/cards/798893df-e720-471d-822d-50284de23efd/rulings">Rulings</a>|Legions|Uncommon||Dave Dorman|2|MID: 44747<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lgn/2/akromas-devoted?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=44747&printed=false">Gatherer</a>|44747|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/798893df-e720-471d-822d-50284de23efd.jpg?1562919405}
8a2fa0a3-e40f-49e4-a4fd-427e7e808afd|Aven Redeemer|{3}{W}|Creature - Bird Cleric|2|2|Flying<br>{T}: Prevent the next 2 damage that would be dealt to any target this turn.<BR><a href="https://api.scryfall.com/cards/8a2fa0a3-e40f-49e4-a4fd-427e7e808afd/rulings">Rulings</a>|Legions|Common||Tim Hildebrandt|3|MID: 43497<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lgn/3/aven-redeemer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=43497&printed=false">Gatherer</a>|43497|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/a/8a2fa0a3-e40f-49e4-a4fd-427e7e808afd.jpg?1562922946}
386a7062-6da8-4663-a218-75d894f7c0e0|Aven Warhawk|{4}{W}|Creature - Bird Soldier|2|2|Amplify 1 (As this creature enters, put a +1/+1 counter on it for each Bird and/or Soldier card you reveal in your hand.)<br>Flying<BR><a href="https://api.scryfall.com/cards/386a7062-6da8-4663-a218-75d894f7c0e0/rulings">Rulings</a>|Legions|Uncommon||Glen Angus|4|MID: 45838<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lgn/4/aven-warhawk?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45838&printed=false">Gatherer</a>|45838|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/386a7062-6da8-4663-a218-75d894f7c0e0.jpg?1562906368}
30b1cad7-4e96-4ebe-8c99-4ed9217becf3|Beacon of Destiny|{1}{W}|Creature - Human Cleric|1|3|{T}: The next time a source of your choice would deal damage to you this turn, that damage is dealt to this creature instead.<BR><a href="https://api.scryfall.com/cards/30b1cad7-4e96-4ebe-8c99-4ed9217becf3/rulings">Rulings</a>|Legions|Rare||Tim Hildebrandt|5|MID: 44496<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lgn/5/beacon-of-destiny?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=44496&printed=false">Gatherer</a>|44496|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/30b1cad7-4e96-4ebe-8c99-4ed9217becf3.jpg?1562904924}
0b4dc1d3-53a1-411b-abf9-f5e4e80edc63|Celestial Gatekeeper|{3}{W}{W}|Creature - Bird Cleric|2|2|Flying<br>When this creature dies, exile it, then return up to two target Bird and/or Cleric permanent cards from your graveyard to the battlefield.<BR><a href="https://api.scryfall.com/cards/0b4dc1d3-53a1-411b-abf9-f5e4e80edc63/rulings">Rulings</a>|Legions|Rare||Christopher Moeller|6|MID: 42271<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lgn/6/celestial-gatekeeper?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=42271&printed=false">Gatherer</a>|42271|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0b4dc1d3-53a1-411b-abf9-f5e4e80edc63.jpg?1562897265}
65680bda-b999-4c2a-99a8-b03287e00807|Cloudreach Cavalry|{1}{W}|Creature - Human Soldier|1|1|As long as you control a Bird, this creature gets +2/+2 and has flying.<BR><a href="https://api.scryfall.com/cards/65680bda-b999-4c2a-99a8-b03287e00807/rulings">Rulings</a>|Legions|Uncommon||Kev Walker|7|MID: 45839<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lgn/7/cloudreach-cavalry?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45839&printed=false">Gatherer</a>|45839|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/5/65680bda-b999-4c2a-99a8-b03287e00807.jpg?1562915593}
de13fba8-3fee-4ce2-b84d-b518a99eefe0|Daru Mender|{W}|Creature - Human Cleric|1|1|Morph {W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)<br>When this creature is turned face up, regenerate target creature.<BR><a href="https://api.scryfall.com/cards/de13fba8-3fee-4ce2-b84d-b518a99eefe0/rulings">Rulings</a>|Legions|Uncommon||Ben Thompson|8|MID: 42053<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lgn/8/daru-mender?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=42053&printed=false">Gatherer</a>|42053|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/de13fba8-3fee-4ce2-b84d-b518a99eefe0.jpg?1562939683}
38b14a24-c74a-4465-9b36-8f5309e0a333|Daru Sanctifier|{3}{W}|Creature - Human Cleric|1|4|Morph {1}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)<br>When this creature is turned face up, destroy target enchantment.<BR><a href="https://api.scryfall.com/cards/38b14a24-c74a-4465-9b36-8f5309e0a333/rulings">Rulings</a>|Legions|Common||Tony Szczudlo|9|MID: 44504<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lgn/9/daru-sanctifier?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=44504&printed=false">Gatherer</a>|44504|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/38b14a24-c74a-4465-9b36-8f5309e0a333.jpg?1562906416}
ff5866a4-f4c0-45bc-9b33-b77387441d34|Daru Stinger|{3}{W}|Creature - Soldier|1|1|Amplify 1 (As this creature enters, put a +1/+1 counter on it for each Soldier card you reveal in your hand.)<br>{T}: This creature deals damage equal to the number of +1/+1 counters on it to target attacking or blocking creature.<BR><a href="https://api.scryfall.com/cards/ff5866a4-f4c0-45bc-9b33-b77387441d34/rulings">Rulings</a>|Legions|Common||Greg Staples|10|MID: 42278<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/lgn/10/daru-stinger?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=42278&printed=false">Gatherer</a>|42278|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/f/ff5866a4-f4c0-45bc-9b33-b77387441d34.jpg?1562946568}
