ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
dd4a00ff-2206-4e12-a0ab-61ed82c9e6c5|Éowyn, Shieldmaiden|{2}{U}{R}{W}|Legendary Creature - Human Knight|5|4|First strike<br>At the beginning of combat on your turn, if another Human entered the battlefield under your control this turn, create two 2/2 red Human Knight creature tokens with trample and haste. Then if you control six or more Humans, draw a card.<BR><a href="https://api.scryfall.com/cards/dd4a00ff-2206-4e12-a0ab-61ed82c9e6c5/rulings">Rulings</a>|Tales of Middle-earth Commander|Mythic||Craig Elliott|1|R$ 0.38 F$ 0.26<br>MID: 620631<br>Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/1/%C3%A9owyn-shieldmaiden?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620631&printed=false">Gatherer</a>|620631|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/dd4a00ff-2206-4e12-a0ab-61ed82c9e6c5.jpg?1686963690}
328df403-7428-4b17-bdd1-9759fc0f32d8|Frodo, Adventurous Hobbit|{W}{B}|Legendary Creature - Halfling Scout|1|3|Partner with Sam, Loyal Attendant<br>Vigilance<br>Whenever Frodo attacks, if you gained 3 or more life this turn, the Ring tempts you. Then if Frodo is your Ring-bearer and the Ring has tempted you two or more times this game, draw a card.<BR><a href="https://api.scryfall.com/cards/328df403-7428-4b17-bdd1-9759fc0f32d8/rulings">Rulings</a>|Tales of Middle-earth Commander|Mythic||Axel Sauerwald|2|R$ 0.33 F$ 0.26<br>MID: 620632<br>Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/2/frodo-adventurous-hobbit?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620632&printed=false">Gatherer</a>|620632|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/2/328df403-7428-4b17-bdd1-9759fc0f32d8.jpg?1686963703}
8fa46d54-563d-4b5c-9c69-5ab37dd529b3|Galadriel, Elven-Queen|{2}{G}{U}|Legendary Creature - Elf Noble|4|5|Will of the council — At the beginning of combat on your turn, if another Elf entered the battlefield under your control this turn, starting with you, each player votes for dominion or guidance. If dominion gets more votes, the Ring tempts you, then you put a +1/+1 counter on your Ring-bearer. If guidance gets more votes or the vote is tied, draw a card.<BR><a href="https://api.scryfall.com/cards/8fa46d54-563d-4b5c-9c69-5ab37dd529b3/rulings">Rulings</a>|Tales of Middle-earth Commander|Mythic||Axel Sauerwald|3|R$ 0.21 F$ 0.15<br>MID: 620633<br>Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/3/galadriel-elven-queen?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620633&printed=false">Gatherer</a>|620633|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8fa46d54-563d-4b5c-9c69-5ab37dd529b3.jpg?1686963714}
fc53dec0-79fe-4f6f-9d5b-cf298588e808|Sauron, Lord of the Rings|{5}{U}{B}{R}|Legendary Creature - Avatar Horror|9|9|When you cast this spell, amass Orcs 5, mill five cards, then return a creature card from your graveyard to the battlefield.<br>Trample<br>Whenever a commander an opponent controls dies, the Ring tempts you.<BR><a href="https://api.scryfall.com/cards/fc53dec0-79fe-4f6f-9d5b-cf298588e808/rulings">Rulings</a>|Tales of Middle-earth Commander|Mythic||Alex Brock|4|R$ 0.35 F$ 0.65<br>MID: 620634<br>Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/4/sauron-lord-of-the-rings?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620634&printed=false">Gatherer</a>|620634|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/c/fc53dec0-79fe-4f6f-9d5b-cf298588e808.jpg?1686963724}
1c7ac04c-8510-468b-aa6f-f249bde9ff87|Aragorn, King of Gondor|{1}{U}{R}{W}|Legendary Creature - Human Noble|4|4|Vigilance, lifelink<br>When Aragorn enters, you become the monarch.<br>Whenever Aragorn attacks, up to one target creature can't block this turn. If you're the monarch, creatures can't block this turn.<BR><a href="https://api.scryfall.com/cards/1c7ac04c-8510-468b-aa6f-f249bde9ff87/rulings">Rulings</a>|Tales of Middle-earth Commander|Mythic||Yongjae Choi|5|R$ 0.44 F$ 0.46<br>MID: 620663<br>Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/5/aragorn-king-of-gondor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620663&printed=false">Gatherer</a>|620663|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/c/1c7ac04c-8510-468b-aa6f-f249bde9ff87.jpg?1686963734}
56910251-6339-4f8b-b863-29caab4965d8|Gandalf, Westward Voyager|{3}{G}{U}|Legendary Creature - Avatar Wizard|5|5|Whenever you cast a spell with mana value 5 or greater, each opponent reveals the top card of their library. If any of those cards shares a card type with that spell, copy that spell, you may choose new targets for the copy, and each opponent draws a card. Otherwise, you draw a card. (A copy of a permanent spell becomes a token.)<BR><a href="https://api.scryfall.com/cards/56910251-6339-4f8b-b863-29caab4965d8/rulings">Rulings</a>|Tales of Middle-earth Commander|Mythic||Sidharth Chaturvedi|6|R$ 0.26 F$ 0.16<br>MID: 620664<br>Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/6/gandalf-westward-voyager?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620664&printed=false">Gatherer</a>|620664|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/6/56910251-6339-4f8b-b863-29caab4965d8.jpg?1686963744}
687a2b76-3f05-4732-bd9b-513d06d16300|Sam, Loyal Attendant|{1}{G}{W}|Legendary Creature - Halfling Peasant|2|4|Partner with Frodo, Adventurous Hobbit (When this creature enters, target player may put Frodo into their hand from their library, then shuffle.)<br>At the beginning of combat on your turn, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")<br>Activated abilities of Foods you control cost {1} less to activate.<BR><a href="https://api.scryfall.com/cards/687a2b76-3f05-4732-bd9b-513d06d16300/rulings">Rulings</a>|Tales of Middle-earth Commander|Mythic||Campbell White|7|R$ 0.24 F$ 0.46<br>MID: 620665<br>Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/7/sam-loyal-attendant?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620665&printed=false">Gatherer</a>|620665|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/687a2b76-3f05-4732-bd9b-513d06d16300.jpg?1686963755}
6487ccbf-f6cd-45a6-8514-2c458b655ef2|Saruman, the White Hand|{1}{U}{B}{R}|Legendary Creature - Avatar Wizard|2|5|Whenever you cast a noncreature spell, amass Orcs X, where X is that spell's mana value. (Put X +1/+1 counters on an Army you control. It's also an Orc. If you don't control an Army, create a 0/0 black Orc Army creature token first.)<br>Goblins and Orcs you control have ward {2}.<BR><a href="https://api.scryfall.com/cards/6487ccbf-f6cd-45a6-8514-2c458b655ef2/rulings">Rulings</a>|Tales of Middle-earth Commander|Mythic||Leonardo Borazio|8|R$ 0.41 F$ 0.59<br>MID: 620666<br>Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/8/saruman-the-white-hand?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620666&printed=false">Gatherer</a>|620666|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/6487ccbf-f6cd-45a6-8514-2c458b655ef2.jpg?1686963765}
6aad41a6-e894-43f8-a4b5-abc206836306|Beregond of the Guard|{3}{W}|Legendary Creature - Human Soldier|3|3|Whenever Beregond or another Human you control enters, creatures you control get +1/+1 and gain vigilance until end of turn.<BR><a href="https://api.scryfall.com/cards/6aad41a6-e894-43f8-a4b5-abc206836306/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Campbell White|9|R$ 0.16 <br>MID: 620695<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/9/beregond-of-the-guard?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620695&printed=false">Gatherer</a>|620695|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/a/6aad41a6-e894-43f8-a4b5-abc206836306.jpg?1686963775}
34301efe-7085-476b-90e6-7ecd778b2970|Champions of Minas Tirith|{5}{W}|Creature - Human Soldier|4|6|When this creature enters, you become the monarch.<br>At the beginning of combat on each opponent's turn, if you're the monarch, that opponent may pay {X}, where X is the number of cards in their hand. If they don't, they can't attack you this combat.<BR><a href="https://api.scryfall.com/cards/34301efe-7085-476b-90e6-7ecd778b2970/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Tatiana Kirgetova|10|R$ 0.18 <br>MID: 620696<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/10/champions-of-minas-tirith?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620696&printed=false">Gatherer</a>|620696|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/4/34301efe-7085-476b-90e6-7ecd778b2970.jpg?1686963785}
1d770a59-1c54-407e-9c58-8d8b6f44c90a|Field-Tested Frying Pan|{2}{W}|Artifact - Equipment|||When this Equipment enters, create a Food token, then create a 1/1 white Halfling creature token and attach this Equipment to it.<br>Equipped creature has "Whenever you gain life, this creature gets +X/+X until end of turn, where X is the amount of life you gained."<br>Equip {2}<BR><a href="https://api.scryfall.com/cards/1d770a59-1c54-407e-9c58-8d8b6f44c90a/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Nino Is|11|R$ 0.22 <br>MID: 620697<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/11/field-tested-frying-pan?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620697&printed=false">Gatherer</a>|620697|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/d/1d770a59-1c54-407e-9c58-8d8b6f44c90a.jpg?1686963795}
863ed552-dc6d-4910-b188-3cefc3ebf0ed|The Gaffer|{2}{W}|Legendary Creature - Halfling Peasant|2|3|At the beginning of each end step, if you gained 3 or more life this turn, draw a card.<BR><a href="https://api.scryfall.com/cards/863ed552-dc6d-4910-b188-3cefc3ebf0ed/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Tomas Duchek|12|R$ 7.65 <br>MID: 620698<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/12/the-gaffer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620698&printed=false">Gatherer</a>|620698|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/863ed552-dc6d-4910-b188-3cefc3ebf0ed.jpg?1686963805}
07efe592-5851-4577-b73f-0bb232feb68b|Gilraen, Dúnedain Protector|{2}{W}|Legendary Creature - Human Noble|2|3|{2}, {T}: Exile another target creature you control. You may return that card to the battlefield under its owner's control. If you don't, at the beginning of the next end step, return that card to the battlefield under its owner's control with a vigilance counter and a lifelink counter on it.<BR><a href="https://api.scryfall.com/cards/07efe592-5851-4577-b73f-0bb232feb68b/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Marie Magny|13|R$ 0.45 <br>MID: 620699<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/13/gilraen-d%C3%BAnedain-protector?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620699&printed=false">Gatherer</a>|620699|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/07efe592-5851-4577-b73f-0bb232feb68b.jpg?1686963815}
7d72498c-7ac0-41f7-8f8a-47fda31d99e5|Grey Host Reinforcements|{3}{W}|Creature - Spirit Soldier|1|1|Flying, ward {3}<br>When this creature enters, exile target player's graveyard. Put a number of +1/+1 counters on this creature equal to the number of creature cards exiled this way.<BR><a href="https://api.scryfall.com/cards/7d72498c-7ac0-41f7-8f8a-47fda31d99e5/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Patrik Hell|14|R$ 0.10 <br>MID: 620700<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/14/grey-host-reinforcements?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620700&printed=false">Gatherer</a>|620700|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/d/7d72498c-7ac0-41f7-8f8a-47fda31d99e5.jpg?1686963825}
9c17c3bb-aa20-43b0-8a28-b46a18b060ef|Gwaihir, Greatest of the Eagles|{4}{W}|Legendary Creature - Bird Noble|5|5|Flying<br>Whenever Gwaihir attacks, target attacking creature gains flying until end of turn.<br>At the beginning of each end step, if you gained 3 or more life this turn, create a 3/3 white Bird creature token with flying and "Whenever this token attacks, target attacking creature gains flying until end of turn."<BR><a href="https://api.scryfall.com/cards/9c17c3bb-aa20-43b0-8a28-b46a18b060ef/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Jesper Ejsing|15|R$ 0.31 <br>MID: 620701<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/15/gwaihir-greatest-of-the-eagles?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620701&printed=false">Gatherer</a>|620701|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9c17c3bb-aa20-43b0-8a28-b46a18b060ef.jpg?1686963834}
08b78cd2-7c52-4dcd-b063-1ac5e96420d4|Lossarnach Captain|{3}{W}|Creature - Human Soldier|3|1|First strike<br>Whenever this creature or another Human you control enters, tap target creature an opponent controls.<br>At the beginning of your upkeep, create a 1/1 white Human Soldier creature token.<BR><a href="https://api.scryfall.com/cards/08b78cd2-7c52-4dcd-b063-1ac5e96420d4/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Justine Cruz|16|R$ 0.29 <br>MID: 620702<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/16/lossarnach-captain?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620702&printed=false">Gatherer</a>|620702|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/8/08b78cd2-7c52-4dcd-b063-1ac5e96420d4.jpg?1686963843}
c58623cb-8b49-470c-9622-dd6e09d47599|Of Herbs and Stewed Rabbit|{2}{W}|Enchantment - Saga|||(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)<br>I — Put a +1/+1 counter on up to one target creature. Create a Food token.<br>II — Draw a card. Create a Food token.<br>III — Create a 1/1 white Halfling creature token for each Food you control.<BR><a href="https://api.scryfall.com/cards/c58623cb-8b49-470c-9622-dd6e09d47599/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Dan Murayama Scott|17|R$ 0.30 <br>MID: 620703<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/17/of-herbs-and-stewed-rabbit?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620703&printed=false">Gatherer</a>|620703|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c58623cb-8b49-470c-9622-dd6e09d47599.jpg?1688569222}
ec691418-1075-477f-b0df-f0d064588baf|Archivist of Gondor|{2}{U}|Creature - Human Advisor|2|3|When your commander deals combat damage to a player, if there is no monarch, you become the monarch.<br>At the beginning of the monarch's end step, that player draws a card.<BR><a href="https://api.scryfall.com/cards/ec691418-1075-477f-b0df-f0d064588baf/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Wisnu Tan|18|R$ 0.10 <br>MID: 620704<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/18/archivist-of-gondor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620704&printed=false">Gatherer</a>|620704|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/ec691418-1075-477f-b0df-f0d064588baf.jpg?1686963863}
159727a9-0bc4-497d-8fb2-4a66923726d8|Corsairs of Umbar|{3}{U}|Creature - Human Pirate|3|3|{2}{U}: Target Goblin, Orc, or Pirate can't be blocked this turn.<br>Whenever this creature deals combat damage to a player, amass Orcs 3. (Put three +1/+1 counters on an Army you control. It's also an Orc. If you don't control an Army, create a 0/0 black Orc Army creature token first.)<BR><a href="https://api.scryfall.com/cards/159727a9-0bc4-497d-8fb2-4a66923726d8/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Narendra Bintara Adi|19|R$ 0.50 <br>MID: 620705<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/19/corsairs-of-umbar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620705&printed=false">Gatherer</a>|620705|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/159727a9-0bc4-497d-8fb2-4a66923726d8.jpg?1686963873}
d32d3d8a-7450-4a29-abc7-f472426f0c28|Denethor, Stone Seer|{1}{U}|Legendary Creature - Human Noble|1|3|When Denethor enters, scry 2.<br>{3}{R}, {T}, Sacrifice Denethor: Target player becomes the monarch. Denethor deals 3 damage to any target.<BR><a href="https://api.scryfall.com/cards/d32d3d8a-7450-4a29-abc7-f472426f0c28/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Bruno Biazotto|20|R$ 0.09 <br>MID: 620706<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/20/denethor-stone-seer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620706&printed=false">Gatherer</a>|620706|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d32d3d8a-7450-4a29-abc7-f472426f0c28.jpg?1686963882}
017a5dbf-5773-448d-abf3-9a3d42bde9e5|Fealty to the Realm|{4}{U}|Enchantment - Aura|||Enchant creature<br>When this Aura enters, you become the monarch.<br>The monarch controls enchanted creature.<br>Enchanted creature attacks each combat if able and can't attack you.<BR><a href="https://api.scryfall.com/cards/017a5dbf-5773-448d-abf3-9a3d42bde9e5/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Lorenzo Mastroianni|21|R$ 0.16 <br>MID: 620707<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/21/fealty-to-the-realm?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620707&printed=false">Gatherer</a>|620707|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/1/017a5dbf-5773-448d-abf3-9a3d42bde9e5.jpg?1686963892}
d72aa8fc-6808-4865-879e-417a300c40de|Monstrosity of the Lake|{4}{U}|Legendary Creature - Kraken|4|6|When Monstrosity of the Lake enters, you may pay {5}. If you do, tap all creatures your opponents control, then put a stun counter on each of those creatures. (If a permanent with a stun counter would become untapped, remove one from it instead.)<br>Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)<BR><a href="https://api.scryfall.com/cards/d72aa8fc-6808-4865-879e-417a300c40de/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Ben Wootten|22|R$ 0.31 <br>MID: 620708<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/22/monstrosity-of-the-lake?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620708&printed=false">Gatherer</a>|620708|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/7/d72aa8fc-6808-4865-879e-417a300c40de.jpg?1686963901}
7966eb7a-0ef7-470f-9769-0d5f45f0395b|Raise the Palisade|{4}{U}|Sorcery|||Choose a creature type. Return all creatures that aren't of the chosen type to their owners' hands.<BR><a href="https://api.scryfall.com/cards/7966eb7a-0ef7-470f-9769-0d5f45f0395b/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Jason Kang|23|R$ 17.11 <br>MID: 620709<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/23/raise-the-palisade?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620709&printed=false">Gatherer</a>|620709|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/7966eb7a-0ef7-470f-9769-0d5f45f0395b.jpg?1686963911}
6206d9f1-6a57-46a2-942f-6f20e33e5d6a|Subjugate the Hobbits|{5}{U}{U}|Sorcery|||Gain control of each noncommander creature with mana value 3 or less.<BR><a href="https://api.scryfall.com/cards/6206d9f1-6a57-46a2-942f-6f20e33e5d6a/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Chris Cold|24|R$ 0.16 <br>MID: 620710<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/24/subjugate-the-hobbits?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620710&printed=false">Gatherer</a>|620710|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/2/6206d9f1-6a57-46a2-942f-6f20e33e5d6a.jpg?1686963919}
a077a046-300b-41d2-b891-c57ebe983ba2|Trap the Trespassers|{2}{U}|Instant|||Secret council — Each player secretly votes for a creature you don't control, then those votes are revealed. For each creature with one or more votes, put that many stun counters on it, then tap it. (If a permanent with a stun counter would become untapped, remove one from it instead.)<BR><a href="https://api.scryfall.com/cards/a077a046-300b-41d2-b891-c57ebe983ba2/rulings">Rulings</a>|Tales of Middle-earth Commander|Rare||Tatiana Kirgetova|25|R$ 0.13 <br>MID: 620711<br>Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/ltc/25/trap-the-trespassers?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=620711&printed=false">Gatherer</a>|620711|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/0/a077a046-300b-41d2-b891-c57ebe983ba2.jpg?1686963929}
