ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
93de9042-cc62-4ade-8d8d-68fdbc84bfae|The One Ring|{4}|Legendary Artifact|||Indestructible<br>When The One Ring enters, if you cast it, you gain protection from everything until your next turn.<br>At the beginning of your upkeep, you lose 1 life for each burden counter on The One Ring.<br>{T}: Put a burden counter on The One Ring, then draw a card for each burden counter on The One Ring.|The Lord of the Rings: Tales of Middle-earth|Mythic|Quenya|Veli Nyström|0|Finishes: foil:<br>FullArt: true<br>Promos: boosterfun:serialized:<br>https://scryfall.com/card/ltr/0/the-one-ring?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/3/93de9042-cc62-4ade-8d8d-68fdbc84bfae.jpg?1740417602}
a4410076-e1fe-45f3-a0ca-a91ab0133ff4|Banish from Edoras|{4}{W}|Sorcery|||This spell costs {2} less to cast if it targets a tapped creature.<br>Exile target creature.|The Lord of the Rings: Tales of Middle-earth|Common||Veli Nyström|1|MID: 616831<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ltr/1/banish-from-edoras?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/4/a4410076-e1fe-45f3-a0ca-a91ab0133ff4.jpg?1686967642}
9bae7a4d-9117-43c5-a048-80a0ddadc034|The Battle of Bywater|{1}{W}{W}|Sorcery|||Destroy all creatures with power 3 or greater. Then create a Food token for each creature you control. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")|The Lord of the Rings: Tales of Middle-earth|Rare||Tomas Duchek|2|MID: 616832<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ltr/2/the-battle-of-bywater?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/b/9bae7a4d-9117-43c5-a048-80a0ddadc034.jpg?1708013075}
9ac68519-ed7f-4f38-9549-c02975f88eed|Bill the Pony|{3}{W}|Legendary Creature - Horse|1|4|When Bill the Pony enters, create two Food tokens. (They're artifacts with "{2}, {T}, Sacrifice this token: You gain 3 life.")<br>Sacrifice a Food: Until end of turn, target creature you control assigns combat damage equal to its toughness rather than its power.|The Lord of the Rings: Tales of Middle-earth|Uncommon||Christina Kraus|3|MID: 616833<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ltr/3/bill-the-pony?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9ac68519-ed7f-4f38-9549-c02975f88eed.jpg?1686967660}
f6bc3720-2892-4dda-8f30-079a1ac8e1e2|Boromir, Warden of the Tower|{2}{W}|Legendary Creature - Human Soldier|3|3|Vigilance<br>Whenever an opponent casts a spell, if no mana was spent to cast it, counter that spell.<br>Sacrifice Boromir: Creatures you control gain indestructible until end of turn. The Ring tempts you.|The Lord of the Rings: Tales of Middle-earth|Rare||Yigit Koroglu|4|MID: 616834<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ltr/4/boromir-warden-of-the-tower?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f6bc3720-2892-4dda-8f30-079a1ac8e1e2.jpg?1686967669}
cb966ee6-bf1b-4bb6-9277-8de6f3918ae2|Dawn of a New Age|{1}{W}|Enchantment|||This enchantment enters with a hope counter on it for each creature you control.<br>At the beginning of your end step, remove a hope counter from this enchantment. If you do, draw a card. Then if this enchantment has no hope counters on it, sacrifice it and you gain 4 life.|The Lord of the Rings: Tales of Middle-earth|Mythic||Anato Finnstark|5|MID: 616835<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ltr/5/dawn-of-a-new-age?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/b/cb966ee6-bf1b-4bb6-9277-8de6f3918ae2.jpg?1686967678}
3d5f92bf-e4e7-487a-834c-964fdd6ad674|Dúnedain Blade|{1}{W}|Artifact - Equipment|||Equipped creature gets +2/+1.<br>Equip Human {1}<br>Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)|The Lord of the Rings: Tales of Middle-earth|Common||Jarel Threat|6|MID: 616836<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ltr/6/d%C3%BAnedain-blade?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3d5f92bf-e4e7-487a-834c-964fdd6ad674.jpg?1686967688}
c1bd3bc0-77bd-40fe-b4f1-835a04cb6e41|Eagles of the North|{5}{W}|Creature - Bird Soldier|3|3|Flying<br>When this creature enters, creatures you control get +1/+0 and gain first strike until end of turn.<br>Plainscycling {1} ({1}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)|The Lord of the Rings: Tales of Middle-earth|Common||Axel Sauerwald|7|MID: 616837<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ltr/7/eagles-of-the-north?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c1bd3bc0-77bd-40fe-b4f1-835a04cb6e41.jpg?1687210951}
26bb65ba-d605-4b79-a700-4a08ec5a90b4|Eastfarthing Farmer|{2}{W}|Creature - Halfling Peasant|2|3|When this creature enters, create a Food token. When you do, target creature you control gets +1/+1 until end of turn for each Food you control. (A Food token is an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")|The Lord of the Rings: Tales of Middle-earth|Common||Iga Oliwiak|8|MID: 616838<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ltr/8/eastfarthing-farmer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/6/26bb65ba-d605-4b79-a700-4a08ec5a90b4.jpg?1686967706}
9be412c0-45d4-4856-a8cf-63a5a822dc5c|East-Mark Cavalier|{1}{W}|Creature - Human Knight|2|2|Vigilance<br>Whenever this creature deals damage to a Goblin or Orc, destroy that creature.|The Lord of the Rings: Tales of Middle-earth|Common||Viko Menezes|9|MID: 616839<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ltr/9/east-mark-cavalier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/b/9be412c0-45d4-4856-a8cf-63a5a822dc5c.jpg?1686967715}
