ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
2d911053-a026-4b20-ba2d-dbcc367c1413|Ajani Goldmane|{2}{W}{W}|Legendary Planeswalker - Ajani|||+1: You gain 2 life.<br>−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.<br>−6: Create a white Avatar creature token. It has "This token's power and toughness are each equal to your life total."<BR><a href="https://api.scryfall.com/cards/2d911053-a026-4b20-ba2d-dbcc367c1413/rulings">Rulings</a>|Magic 2011|Mythic||Aleksi Briclot|1|MID: 205957<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m11/1/ajani-goldmane?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205957&printed=false">Gatherer</a>|205957|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2d911053-a026-4b20-ba2d-dbcc367c1413.jpg?1562454645}
089b1057-ed1f-45a5-ba95-28aa51713764|Ajani's Mantra|{1}{W}|Enchantment|||At the beginning of your upkeep, you may gain 1 life.<BR><a href="https://api.scryfall.com/cards/089b1057-ed1f-45a5-ba95-28aa51713764/rulings">Rulings</a>|Magic 2011|Common||James Paick|2|MID: 204987<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m11/2/ajanis-mantra?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=204987&printed=false">Gatherer</a>|204987|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/8/089b1057-ed1f-45a5-ba95-28aa51713764.jpg?1562450218}
f70d1452-6b61-4c63-841f-4256ac498e9f|Ajani's Pridemate|{1}{W}|Creature - Cat Soldier|2|2|Whenever you gain life, put a +1/+1 counter on this creature.<BR><a href="https://api.scryfall.com/cards/f70d1452-6b61-4c63-841f-4256ac498e9f/rulings">Rulings</a>|Magic 2011|Uncommon||Svetlin Velinov|3|MID: 205065<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m11/3/ajanis-pridemate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205065&printed=false">Gatherer</a>|205065|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f70d1452-6b61-4c63-841f-4256ac498e9f.jpg?1562481673}
71f05793-9e6f-4815-9a13-f791cb4b6aa0|Angelic Arbiter|{5}{W}{W}|Creature - Angel|5|6|Flying<br>Each opponent who cast a spell this turn can't attack with creatures.<br>Each opponent who attacked with a creature this turn can't cast spells.<BR><a href="https://api.scryfall.com/cards/71f05793-9e6f-4815-9a13-f791cb4b6aa0/rulings">Rulings</a>|Magic 2011|Rare||Steve Argyle|4|MID: 204975<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m11/4/angelic-arbiter?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=204975&printed=false">Gatherer</a>|204975|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/1/71f05793-9e6f-4815-9a13-f791cb4b6aa0.jpg?1562464158}
5647c21e-5926-462c-8b01-862f8cedf777|Armored Ascension|{3}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+1 for each Plains you control and has flying.<BR><a href="https://api.scryfall.com/cards/5647c21e-5926-462c-8b01-862f8cedf777/rulings">Rulings</a>|Magic 2011|Uncommon||Jesper Ejsing|5|MID: 204997<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m11/5/armored-ascension?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=204997&printed=false">Gatherer</a>|204997|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/6/5647c21e-5926-462c-8b01-862f8cedf777.jpg?1562460545}
f72ced22-1f2c-4fa6-a938-8ebe2c15cc8d|Assault Griffin|{3}{W}|Creature - Griffin|3|2|Flying<BR><a href="https://api.scryfall.com/cards/f72ced22-1f2c-4fa6-a938-8ebe2c15cc8d/rulings">Rulings</a>|Magic 2011|Common||Jesper Ejsing|6|MID: 208296<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m11/6/assault-griffin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=208296&printed=false">Gatherer</a>|208296|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f72ced22-1f2c-4fa6-a938-8ebe2c15cc8d.jpg?1562481674}
ff70c4ff-a241-4333-bd8f-9f0ed5a0333b|Baneslayer Angel|{3}{W}{W}|Creature - Angel|5|5|Flying, first strike, lifelink, protection from Demons and from Dragons<BR><a href="https://api.scryfall.com/cards/ff70c4ff-a241-4333-bd8f-9f0ed5a0333b/rulings">Rulings</a>|Magic 2011|Mythic||Greg Staples|7|MID: 205077<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m11/7/baneslayer-angel?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205077&printed=false">Gatherer</a>|205077|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/f/ff70c4ff-a241-4333-bd8f-9f0ed5a0333b.jpg?1562482659}
2468c21b-d041-4e26-91cf-d53850e2a57e|Blinding Mage|{1}{W}|Creature - Human Wizard|1|2|{W}, {T}: Tap target creature.<BR><a href="https://api.scryfall.com/cards/2468c21b-d041-4e26-91cf-d53850e2a57e/rulings">Rulings</a>|Magic 2011|Common||Eric Deschamps|8|MID: 205219<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m11/8/blinding-mage?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205219&printed=false">Gatherer</a>|205219|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/2468c21b-d041-4e26-91cf-d53850e2a57e.jpg?1562453832}
c69ffb67-0454-48b1-8043-e7f8fb12bb54|Celestial Purge|{1}{W}|Instant|||Exile target black or red permanent.<BR><a href="https://api.scryfall.com/cards/c69ffb67-0454-48b1-8043-e7f8fb12bb54/rulings">Rulings</a>|Magic 2011|Uncommon||David Palumbo|9|MID: 208290<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m11/9/celestial-purge?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=208290&printed=false">Gatherer</a>|208290|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c69ffb67-0454-48b1-8043-e7f8fb12bb54.jpg?1562475034}
83ce09da-6c1d-46ac-870e-ff58ceaba116|Cloud Crusader|{2}{W}{W}|Creature - Human Knight|2|3|Flying<br>First strike (This creature deals combat damage before creatures without first strike.)<BR><a href="https://api.scryfall.com/cards/83ce09da-6c1d-46ac-870e-ff58ceaba116/rulings">Rulings</a>|Magic 2011|Common||Aleksi Briclot|10|MID: 208287<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m11/10/cloud-crusader?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=208287&printed=false">Gatherer</a>|208287|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83ce09da-6c1d-46ac-870e-ff58ceaba116.jpg?1562466336}
