ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
0503c55d-74bb-4165-9273-127c01bb2214|Aegis of the Heavens|{1}{W}|Instant|||Target creature gets +1/+7 until end of turn.|Core Set 2019|Uncommon||Anthony Palumbo|1|MID: 447137<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/m19/1/aegis-of-the-heavens?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/0503c55d-74bb-4165-9273-127c01bb2214.jpg?1562300260}
226f7c45-db9f-4d48-b575-4d2f1904c963|Aethershield Artificer|{3}{W}|Creature - Dwarf Artificer|3|3|At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)|Core Set 2019|Uncommon||Izzy|2|MID: 447138<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/m19/2/aethershield-artificer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/2/226f7c45-db9f-4d48-b575-4d2f1904c963.jpg?1562300805}
4c565076-5db2-47ea-8ee0-4a4fd7bb353d|Ajani, Adversary of Tyrants|{2}{W}{W}|Legendary Planeswalker - Ajani|||+1: Put a +1/+1 counter on each of up to two target creatures.<br>−2: Return target creature card with mana value 2 or less from your graveyard to the battlefield.<br>−7: You get an emblem with "At the beginning of your end step, create three 1/1 white Cat creature tokens with lifelink."|Core Set 2019|Mythic||Victor Adame Minguez|3|MID: 447139<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/m19/3/ajani-adversary-of-tyrants?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/c/4c565076-5db2-47ea-8ee0-4a4fd7bb353d.jpg?1562302134}
1aebbb57-31b3-4289-815e-4f529e29f3ea|Ajani's Last Stand|{2}{W}{W}|Enchantment|||Whenever a creature or planeswalker you control dies, you may sacrifice this enchantment. If you do, create a 4/4 white Avatar creature token with flying.<br>When a spell or ability an opponent controls causes you to discard this card, if you control a Plains, create a 4/4 white Avatar creature token with flying.|Core Set 2019|Rare||Slawomir Maniak|4|MID: 447140<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/m19/4/ajanis-last-stand?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1aebbb57-31b3-4289-815e-4f529e29f3ea.jpg?1562300738}
2f717e04-c078-4696-9ed6-e973033d7be0|Ajani's Pridemate|{1}{W}|Creature - Cat Soldier|2|2|Whenever you gain life, put a +1/+1 counter on this creature.|Core Set 2019|Uncommon||Svetlin Velinov|5|MID: 447141<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/m19/5/ajanis-pridemate?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/f/2f717e04-c078-4696-9ed6-e973033d7be0.jpg?1562301224}
c9045fcb-b633-4c35-8058-6234311551ae|Ajani's Welcome|{W}|Enchantment|||Whenever a creature you control enters, you gain 1 life.|Core Set 2019|Uncommon||Eric Deschamps|6|MID: 447142<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/m19/6/ajanis-welcome?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/9/c9045fcb-b633-4c35-8058-6234311551ae.jpg?1562304330}
f4bae0e4-1143-4dc4-afb1-e6b4201ff101|Angel of the Dawn|{4}{W}|Creature - Angel|3|3|Flying<br>When this creature enters, creatures you control get +1/+1 and gain vigilance until end of turn.|Core Set 2019|Common||Livia Prima|7|MID: 447143<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/m19/7/angel-of-the-dawn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/4/f4bae0e4-1143-4dc4-afb1-e6b4201ff101.jpg?1562305274}
62d2e929-7ae3-4560-9cfa-53b89c8a6016|Cavalry Drillmaster|{1}{W}|Creature - Human Knight|2|1|When this creature enters, target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)|Core Set 2019|Common||Slawomir Maniak|8|MID: 447144<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/m19/8/cavalry-drillmaster?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/2/62d2e929-7ae3-4560-9cfa-53b89c8a6016.jpg?1562302622}
5be8eed7-c033-42cc-bd21-4512db7af66c|Cleansing Nova|{3}{W}{W}|Sorcery|||Choose one —<br>• Destroy all creatures.<br>• Destroy all artifacts and enchantments.|Core Set 2019|Rare||Noah Bradley|9|MID: 447145<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/m19/9/cleansing-nova?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5be8eed7-c033-42cc-bd21-4512db7af66c.jpg?1562302239}
c2f461b1-c801-4f0c-8fd7-fe68b6078ac6|Daybreak Chaplain|{1}{W}|Creature - Human Cleric|1|3|Lifelink (Damage dealt by this creature also causes you to gain that much life.)|Core Set 2019|Common||Volkan Baǵa|10|MID: 447146<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/m19/10/daybreak-chaplain?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/2/c2f461b1-c801-4f0c-8fd7-fe68b6078ac6.jpg?1562304303}
