ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
c976edeb-0fa1-4647-a16c-870d8a3c30c6|Disa the Restless|{2}{B}{R}{G}|Legendary Creature - Human Scout|5|6|Whenever a Lhurgoyf permanent card is put into your graveyard from anywhere other than the battlefield, put it onto the battlefield.<br>Whenever one or more creatures you control deal combat damage to a player, create a Tarmogoyf token.<BR><a href="https://api.scryfall.com/cards/c976edeb-0fa1-4647-a16c-870d8a3c30c6/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Jana Schirmer|1|R$ 0.25 F$ 0.13<br>MID: 665302<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m3c/1/disa-the-restless?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=665302&printed=false">Gatherer</a>|665302|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/9/c976edeb-0fa1-4647-a16c-870d8a3c30c6.jpg?1727175653}
e5d1c814-4c22-4917-95ae-dffaf491db32|Omo, Queen of Vesuva|{2}{G/U}|Legendary Creature - Shapeshifter Noble|1|5|Whenever Omo enters or attacks, put an everything counter on each of up to one target land and up to one target creature.<br>Each land with an everything counter on it is every land type in addition to its other types.<br>Each nonland creature with an everything counter on it is every creature type.<BR><a href="https://api.scryfall.com/cards/e5d1c814-4c22-4917-95ae-dffaf491db32/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Alex Brock|2|R$ 0.31 F$ 0.14<br>MID: 665303<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m3c/2/omo-queen-of-vesuva?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=665303&printed=false">Gatherer</a>|665303|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/5/e5d1c814-4c22-4917-95ae-dffaf491db32.jpg?1727175657}
3b964bbe-54cc-425c-9cc6-c877f82af7ba|Satya, Aetherflux Genius|{1}{U}{R}{W}|Legendary Creature - Human Artificer|3|5|Menace, haste<br>Whenever Satya attacks, create a tapped and attacking token that's a copy of up to one other target nontoken creature you control. You get {E}{E} (two energy counters). At the beginning of the next end step, sacrifice that token unless you pay an amount of {E} equal to its mana value.<BR><a href="https://api.scryfall.com/cards/3b964bbe-54cc-425c-9cc6-c877f82af7ba/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Aaron Miller|3|R$ 0.26 F$ 0.20<br>MID: 665304<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m3c/3/satya-aetherflux-genius?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=665304&printed=false">Gatherer</a>|665304|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/b/3b964bbe-54cc-425c-9cc6-c877f82af7ba.jpg?1727175658}
fdad1b0e-d3cc-4d76-ae7e-fee12558cf2c|Ulalek, Fused Atrocity|{C/W}{C/U}{C/B}{C/R}{C/G}|Legendary Creature - Eldrazi|2|5|Devoid (This card has no color.)<br>Whenever you cast an Eldrazi spell, you may pay {C}{C}. If you do, copy all spells you control, then copy all other activated and triggered abilities you control. You may choose new targets for the copies. (Mana abilities can't be copied.)<BR><a href="https://api.scryfall.com/cards/fdad1b0e-d3cc-4d76-ae7e-fee12558cf2c/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Alex Konstad|4|R$ 0.84 F$ 1.72<br>MID: 668531<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m3c/4/ulalek-fused-atrocity?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668531&printed=false">Gatherer</a>|668531|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fdad1b0e-d3cc-4d76-ae7e-fee12558cf2c.jpg?1735676761}
ced9db11-ba95-4b09-89b6-0b49ffb1fa82|Azlask, the Swelling Scourge|{3}|Legendary Creature - Eldrazi|2|2|Whenever Azlask or another colorless creature you control dies, you get an experience counter.<br>{W}{U}{B}{R}{G}: Creatures you control get +X/+X until end of turn, where X is the number of experience counters you have. Scions and Spawns you control gain indestructible and annihilator 1 until end of turn.<BR><a href="https://api.scryfall.com/cards/ced9db11-ba95-4b09-89b6-0b49ffb1fa82/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Alexander Mokhov|5|R$ 0.27 F$ 0.28<br>MID: 665326<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m3c/5/azlask-the-swelling-scourge?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=665326&printed=false">Gatherer</a>|665326|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/ced9db11-ba95-4b09-89b6-0b49ffb1fa82.jpg?1727175670}
5f8e6e5d-63d8-48c3-93a0-e7de1d75f5ca|Cayth, Famed Mechanist|{1}{U}{R}{W}|Legendary Creature - Dwarf Artificer|3|3|Fabricate 1 (When this creature enters, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)<br>Other nontoken creatures you control have fabricate 1.<br>{2}, {T}: Choose one —<br>• Populate.<br>• Proliferate.<BR><a href="https://api.scryfall.com/cards/5f8e6e5d-63d8-48c3-93a0-e7de1d75f5ca/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Eric Wilkerson|6|R$ 0.45 F$ 0.44<br>MID: 665327<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m3c/6/cayth-famed-mechanist?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=665327&printed=false">Gatherer</a>|665327|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5f8e6e5d-63d8-48c3-93a0-e7de1d75f5ca.jpg?1727175647}
ab5cfb0c-8e95-4d2d-9e23-cf58c1c7e51c|Coram, the Undertaker|{1}{B}{R}{G}|Legendary Creature - Human Warrior|0|5|Coram gets +X/+0, where X is the greatest power among creature cards in all graveyards.<br>Whenever Coram attacks, each player mills a card.<br>During each of your turns, you may play a land and cast a spell from among cards in graveyards that were put there from libraries this turn.<BR><a href="https://api.scryfall.com/cards/ab5cfb0c-8e95-4d2d-9e23-cf58c1c7e51c/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Kai Carpenter|7|R$ 0.26 F$ 0.23<br>MID: 665328<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m3c/7/coram-the-undertaker?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=665328&printed=false">Gatherer</a>|665328|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/ab5cfb0c-8e95-4d2d-9e23-cf58c1c7e51c.jpg?1727175651}
9d2cb8d1-6aaa-487f-bf5a-89d657c0f37e|Jyoti, Moag Ancient|{2}{G}{U}|Legendary Creature - Elemental|2|4|When Jyoti enters, create a 1/1 green Forest Dryad land creature token for each time you've cast your commander from the command zone this game. (They're affected by summoning sickness.)<br>At the beginning of each combat, land creatures you control get +X/+X until end of turn, where X is Jyoti's power.<BR><a href="https://api.scryfall.com/cards/9d2cb8d1-6aaa-487f-bf5a-89d657c0f37e/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Brent Hollowell|8|R$ 0.20 F$ 0.15<br>MID: 665329<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/m3c/8/jyoti-moag-ancient?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=665329&printed=false">Gatherer</a>|665329|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/d/9d2cb8d1-6aaa-487f-bf5a-89d657c0f37e.jpg?1727175655}
d6a6cfc8-32c0-4f73-a36e-b45f6b71d6d0|Azlask, the Swelling Scourge|{3}|Legendary Creature - Eldrazi|2|2|Whenever Azlask or another colorless creature you control dies, you get an experience counter.<br>{W}{U}{B}{R}{G}: Creatures you control get +X/+X until end of turn, where X is the number of experience counters you have. Scions and Spawns you control gain indestructible and annihilator 1 until end of turn.<BR><a href="https://api.scryfall.com/cards/d6a6cfc8-32c0-4f73-a36e-b45f6b71d6d0/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Cosmin Podar|9|R$ 0.66 F$ 1.18<br>MID: 664951<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: portrait:<br><br><a href="https://scryfall.com/card/m3c/9/azlask-the-swelling-scourge?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=664951&printed=false">Gatherer</a>|664951|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/6/d6a6cfc8-32c0-4f73-a36e-b45f6b71d6d0.jpg?1719466145}
57ac4344-937d-4861-99e1-db8ff3fd2e4d|Cayth, Famed Mechanist|{1}{U}{R}{W}|Legendary Creature - Dwarf Artificer|3|3|Fabricate 1 (When this creature enters, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)<br>Other nontoken creatures you control have fabricate 1.<br>{2}, {T}: Choose one —<br>• Populate.<br>• Proliferate.<BR><a href="https://api.scryfall.com/cards/57ac4344-937d-4861-99e1-db8ff3fd2e4d/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Boell Oyino|10|R$ 0.65 F$ 0.65<br>MID: 664952<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: portrait:<br><br><a href="https://scryfall.com/card/m3c/10/cayth-famed-mechanist?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=664952&printed=false">Gatherer</a>|664952|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/7/57ac4344-937d-4861-99e1-db8ff3fd2e4d.jpg?1719466147}
7df31ed9-7375-48d3-a344-1b20d1d5037c|Coram, the Undertaker|{1}{B}{R}{G}|Legendary Creature - Human Warrior|0|5|Coram gets +X/+0, where X is the greatest power among creature cards in all graveyards.<br>Whenever Coram attacks, each player mills a card.<br>During each of your turns, you may play a land and cast a spell from among cards in graveyards that were put there from libraries this turn.<BR><a href="https://api.scryfall.com/cards/7df31ed9-7375-48d3-a344-1b20d1d5037c/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Zara H|11|R$ 0.26 F$ 0.62<br>MID: 664953<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: portrait:<br><br><a href="https://scryfall.com/card/m3c/11/coram-the-undertaker?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=664953&printed=false">Gatherer</a>|664953|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/d/7df31ed9-7375-48d3-a344-1b20d1d5037c.jpg?1719466150}
fefadcd8-cdf7-4080-bc34-5ce8f02c383e|Disa the Restless|{2}{B}{R}{G}|Legendary Creature - Human Scout|5|6|Whenever a Lhurgoyf permanent card is put into your graveyard from anywhere other than the battlefield, put it onto the battlefield.<br>Whenever one or more creatures you control deal combat damage to a player, create a Tarmogoyf token.<BR><a href="https://api.scryfall.com/cards/fefadcd8-cdf7-4080-bc34-5ce8f02c383e/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Boell Oyino|12|R$ 0.29 F$ 0.36<br>MID: 664954<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: portrait:<br><br><a href="https://scryfall.com/card/m3c/12/disa-the-restless?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=664954&printed=false">Gatherer</a>|664954|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fefadcd8-cdf7-4080-bc34-5ce8f02c383e.jpg?1719466158}
949ce545-4d5b-4329-a44e-5486fd3bebe6|Jyoti, Moag Ancient|{2}{G}{U}|Legendary Creature - Elemental|2|4|When Jyoti enters, create a 1/1 green Forest Dryad land creature token for each time you've cast your commander from the command zone this game. (They're affected by summoning sickness.)<br>At the beginning of each combat, land creatures you control get +X/+X until end of turn, where X is Jyoti's power.<BR><a href="https://api.scryfall.com/cards/949ce545-4d5b-4329-a44e-5486fd3bebe6/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Alex Stone|13|R$ 0.32 F$ 0.52<br>MID: 664955<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: portrait:<br><br><a href="https://scryfall.com/card/m3c/13/jyoti-moag-ancient?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=664955&printed=false">Gatherer</a>|664955|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/4/949ce545-4d5b-4329-a44e-5486fd3bebe6.jpg?1719466134}
c5c9b663-135a-4bd7-81d9-fa6a5331ef57|Omo, Queen of Vesuva|{2}{G/U}|Legendary Creature - Shapeshifter Noble|1|5|Whenever Omo enters or attacks, put an everything counter on each of up to one target land and up to one target creature.<br>Each land with an everything counter on it is every land type in addition to its other types.<br>Each nonland creature with an everything counter on it is every creature type.<BR><a href="https://api.scryfall.com/cards/c5c9b663-135a-4bd7-81d9-fa6a5331ef57/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Chun Lo|14|R$ 0.82 F$ 1.80<br>MID: 664956<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: portrait:<br><br><a href="https://scryfall.com/card/m3c/14/omo-queen-of-vesuva?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=664956&printed=false">Gatherer</a>|664956|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c5c9b663-135a-4bd7-81d9-fa6a5331ef57.jpg?1719466130}
0be45f11-e89b-4f21-9166-e67929f87636|Satya, Aetherflux Genius|{1}{U}{R}{W}|Legendary Creature - Human Artificer|3|5|Menace, haste<br>Whenever Satya attacks, create a tapped and attacking token that's a copy of up to one other target nontoken creature you control. You get {E}{E} (two energy counters). At the beginning of the next end step, sacrifice that token unless you pay an amount of {E} equal to its mana value.<BR><a href="https://api.scryfall.com/cards/0be45f11-e89b-4f21-9166-e67929f87636/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Cosmin Podar|15|R$ 0.25 F$ 0.48<br>MID: 664957<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: portrait:<br><br><a href="https://scryfall.com/card/m3c/15/satya-aetherflux-genius?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=664957&printed=false">Gatherer</a>|664957|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0be45f11-e89b-4f21-9166-e67929f87636.jpg?1729185152}
5edd2be5-7923-4488-9e27-c366873b2322|Ulalek, Fused Atrocity|{C/W}{C/U}{C/B}{C/R}{C/G}|Legendary Creature - Eldrazi|2|5|Devoid (This card has no color.)<br>Whenever you cast an Eldrazi spell, you may pay {C}{C}. If you do, copy all spells you control, then copy all other activated and triggered abilities you control. You may choose new targets for the copies. (Mana abilities can't be copied.)<BR><a href="https://api.scryfall.com/cards/5edd2be5-7923-4488-9e27-c366873b2322/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Cosmin Podar|16|R$ 1.72 F$ 2.64<br>MID: 668532<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: portrait:<br><br><a href="https://scryfall.com/card/m3c/16/ulalek-fused-atrocity?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668532&printed=false">Gatherer</a>|668532|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5edd2be5-7923-4488-9e27-c366873b2322.jpg?1735676783}
25542498-0459-4579-be7c-6f9e531377e7|Azlask, the Swelling Scourge|{3}|Legendary Creature - Eldrazi|2|2|Whenever Azlask or another colorless creature you control dies, you get an experience counter.<br>{W}{U}{B}{R}{G}: Creatures you control get +X/+X until end of turn, where X is the number of experience counters you have. Scions and Spawns you control gain indestructible and annihilator 1 until end of turn.<BR><a href="https://api.scryfall.com/cards/25542498-0459-4579-be7c-6f9e531377e7/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Alexander Mokhov|17|MID: 666606<br>Finishes: etched:<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/m3c/17/azlask-the-swelling-scourge?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=666606&printed=false">Gatherer</a>|666606|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/5/25542498-0459-4579-be7c-6f9e531377e7.jpg?1721158644}
d6822300-79b6-49b6-822b-daa46bb0c151|Cayth, Famed Mechanist|{1}{U}{R}{W}|Legendary Creature - Dwarf Artificer|3|3|Fabricate 1 (When this creature enters, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)<br>Other nontoken creatures you control have fabricate 1.<br>{2}, {T}: Choose one —<br>• Populate.<br>• Proliferate.<BR><a href="https://api.scryfall.com/cards/d6822300-79b6-49b6-822b-daa46bb0c151/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Eric Wilkerson|18|MID: 666607<br>Finishes: etched:<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/m3c/18/cayth-famed-mechanist?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=666607&printed=false">Gatherer</a>|666607|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/6/d6822300-79b6-49b6-822b-daa46bb0c151.jpg?1742466444}
07ffacde-149c-4c45-bd89-d47b30ef5a3e|Coram, the Undertaker|{1}{B}{R}{G}|Legendary Creature - Human Warrior|0|5|Coram gets +X/+0, where X is the greatest power among creature cards in all graveyards.<br>Whenever Coram attacks, each player mills a card.<br>During each of your turns, you may play a land and cast a spell from among cards in graveyards that were put there from libraries this turn.<BR><a href="https://api.scryfall.com/cards/07ffacde-149c-4c45-bd89-d47b30ef5a3e/rulings">Rulings</a>|Modern Horizons 3 Commander|Mythic||Kai Carpenter|19|MID: 666608<br>Finishes: etched:<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/m3c/19/coram-the-undertaker?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=666608&printed=false">Gatherer</a>|666608|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/07ffacde-149c-4c45-bd89-d47b30ef5a3e.jpg?1721158651}
