ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
df0a4370-729d-40e7-b68b-21902648492d|Accorder Paladin|{1}{W}|Creature - Human Knight|3|1|Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)<BR><a href="https://api.scryfall.com/cards/df0a4370-729d-40e7-b68b-21902648492d/rulings">Rulings</a>|Mirrodin Besieged|Uncommon||Kekai Kotaki|1|MID: 213818<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mbs/1/accorder-paladin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=213818&printed=false">Gatherer</a>|213818|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/f/df0a4370-729d-40e7-b68b-21902648492d.jpg?1562615434}
69c42dac-f0b3-41aa-b3b2-f203e265131d|Ardent Recruit|{W}|Creature - Human Soldier|1|1|Metalcraft — This creature gets +2/+2 as long as you control three or more artifacts.<BR><a href="https://api.scryfall.com/cards/69c42dac-f0b3-41aa-b3b2-f203e265131d/rulings">Rulings</a>|Mirrodin Besieged|Common||Mike Bierek|2|MID: 213794<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mbs/2/ardent-recruit?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=213794&printed=false">Gatherer</a>|213794|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/9/69c42dac-f0b3-41aa-b3b2-f203e265131d.jpg?1758622796}
2c5f605c-9d16-493e-bc44-0e15bdf8c0bf|Banishment Decree|{3}{W}{W}|Instant|||Put target artifact, creature, or enchantment on top of its owner's library.<BR><a href="https://api.scryfall.com/cards/2c5f605c-9d16-493e-bc44-0e15bdf8c0bf/rulings">Rulings</a>|Mirrodin Besieged|Common||James Ryman|3|MID: 213792<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mbs/3/banishment-decree?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=213792&printed=false">Gatherer</a>|213792|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/c/2c5f605c-9d16-493e-bc44-0e15bdf8c0bf.jpg?1562610340}
1b9af543-5273-4754-ab7d-75d0b632240f|Choking Fumes|{2}{W}|Instant|||Put a -1/-1 counter on each attacking creature.<BR><a href="https://api.scryfall.com/cards/1b9af543-5273-4754-ab7d-75d0b632240f/rulings">Rulings</a>|Mirrodin Besieged|Uncommon||Scott Chou|4|MID: 213808<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mbs/4/choking-fumes?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=213808&printed=false">Gatherer</a>|213808|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/b/1b9af543-5273-4754-ab7d-75d0b632240f.jpg?1562609946}
fe7c7a65-5a96-4986-877b-b34583092bb6|Divine Offering|{1}{W}|Instant|||Destroy target artifact. You gain life equal to its mana value.<BR><a href="https://api.scryfall.com/cards/fe7c7a65-5a96-4986-877b-b34583092bb6/rulings">Rulings</a>|Mirrodin Besieged|Common||Terese Nielsen|5|MID: 213760<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mbs/5/divine-offering?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=213760&printed=false">Gatherer</a>|213760|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fe7c7a65-5a96-4986-877b-b34583092bb6.jpg?1621834401}
aff909bc-0bda-4e8a-b7a3-ebc963552246|Frantic Salvage|{3}{W}|Instant|||Put any number of target artifact cards from your graveyard on top of your library.<br>Draw a card.<BR><a href="https://api.scryfall.com/cards/aff909bc-0bda-4e8a-b7a3-ebc963552246/rulings">Rulings</a>|Mirrodin Besieged|Common||Scott Chou|6|MID: 213791<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mbs/6/frantic-salvage?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=213791&printed=false">Gatherer</a>|213791|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/aff909bc-0bda-4e8a-b7a3-ebc963552246.jpg?1562613892}
c2889bba-58a8-46e1-959c-0fd38c1732f9|Gore Vassal|{2}{W}|Creature - Phyrexian Dog|2|1|Sacrifice this creature: Put a -1/-1 counter on target creature. Then if that creature's toughness is 1 or greater, regenerate it.<BR><a href="https://api.scryfall.com/cards/c2889bba-58a8-46e1-959c-0fd38c1732f9/rulings">Rulings</a>|Mirrodin Besieged|Uncommon||Matt Cavotta|7|MID: 213798<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mbs/7/gore-vassal?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=213798&printed=false">Gatherer</a>|213798|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/2/c2889bba-58a8-46e1-959c-0fd38c1732f9.jpg?1562614527}
8a3853ec-e307-46e0-96d7-0706b5c45c5e|Hero of Bladehold|{2}{W}{W}|Creature - Human Knight|3|4|Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)<br>Whenever this creature attacks, create two 1/1 white Soldier creature tokens that are tapped and attacking.<BR><a href="https://api.scryfall.com/cards/8a3853ec-e307-46e0-96d7-0706b5c45c5e/rulings">Rulings</a>|Mirrodin Besieged|Mythic||Austin Hsu|8|MID: 214064<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mbs/8/hero-of-bladehold?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=214064&printed=false">Gatherer</a>|214064|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/a/8a3853ec-e307-46e0-96d7-0706b5c45c5e.jpg?1562612851}
30731756-81a8-480b-938f-48c1d0cb95d7|Kemba's Legion|{5}{W}{W}|Creature - Cat Soldier|4|6|Vigilance<br>This creature can block an additional creature each combat for each Equipment attached to this creature.<BR><a href="https://api.scryfall.com/cards/30731756-81a8-480b-938f-48c1d0cb95d7/rulings">Rulings</a>|Mirrodin Besieged|Uncommon||Anthony Francisco|9|MID: 214056<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mbs/9/kembas-legion?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=214056&printed=false">Gatherer</a>|214056|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/30731756-81a8-480b-938f-48c1d0cb95d7.jpg?1562610450}
dd0900e1-df78-466d-b747-33f22c273d67|Leonin Relic-Warder|{W}{W}|Creature - Cat Cleric|2|2|When this creature enters, you may exile target artifact or enchantment.<br>When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.<BR><a href="https://api.scryfall.com/cards/dd0900e1-df78-466d-b747-33f22c273d67/rulings">Rulings</a>|Mirrodin Besieged|Uncommon||Greg Staples|10|MID: 222860<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mbs/10/leonin-relic-warder?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=222860&printed=false">Gatherer</a>|222860|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/dd0900e1-df78-466d-b747-33f22c273d67.jpg?1710406338}
