ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_d4200017-5b26-40fe-9a0d-2872aa3b017e|Peace Talks|{1}{W}|Sorcery|||This turn and next turn, creatures can't attack, and players and permanents can't be the targets of spells or activated abilities.|Multiverse Gift Box|Rare||Roger Raupp|1|Finishes: nonfoil:<br>https://scryfall.com/card/mgb/1/peace-talks?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d4200017-5b26-40fe-9a0d-2872aa3b017e.jpg?1562636864}
scry_978eb187-50dc-4774-993b-7e95be360d25|Ovinomancer|{2}{U}|Creature - Human Wizard|0|1|When this creature enters, sacrifice it unless you return three basic lands you control to their owner's hand.<br>{T}, Return this creature to its owner's hand: Destroy target creature. It can't be regenerated. That creature's controller creates a 0/1 green Sheep creature token.|Multiverse Gift Box|Rare||Kev Walker|2|Finishes: nonfoil:<br>https://scryfall.com/card/mgb/2/ovinomancer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/978eb187-50dc-4774-993b-7e95be360d25.jpg?1562636800}
scry_c63ecd7b-a5e6-4e19-9ca2-dda14754305a|Dark Privilege|{1}{B}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+1.<br>Sacrifice a creature: Regenerate enchanted creature.|Multiverse Gift Box|Rare||Tom Kyffin|3|Finishes: nonfoil:<br>https://scryfall.com/card/mgb/3/dark-privilege?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c63ecd7b-a5e6-4e19-9ca2-dda14754305a.jpg?1562636847}
scry_50668c85-49ad-456c-9022-0abe560bc50c|Necrosavant|{3}{B}{B}{B}|Creature - Zombie Giant|5|5|{3}{B}{B}, Sacrifice a creature: Return this card from your graveyard to the battlefield. Activate only during your upkeep.|Multiverse Gift Box|Rare||John Coulthart|4|Finishes: nonfoil:<br>https://scryfall.com/card/mgb/4/necrosavant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/0/50668c85-49ad-456c-9022-0abe560bc50c.jpg?1562636748}
scry_8acbd8c6-da34-45d6-921a-11f370662833|Urborg Mindsucker|{2}{B}|Creature - Horror|2|2|{B}, Sacrifice this creature: Target opponent discards a card at random. Activate only as a sorcery.|Multiverse Gift Box|Rare||DiTerlizzi|5|Finishes: nonfoil:<br>https://scryfall.com/card/mgb/5/urborg-mindsucker?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/a/8acbd8c6-da34-45d6-921a-11f370662833.jpg?1562636786}
scry_c65b5cfd-d45b-4144-8608-541d455fb004|Vampirism|{1}{B}|Enchantment - Aura|||Enchant creature<br>When this Aura enters, draw a card at the beginning of the next turn's upkeep.<br>Enchanted creature gets +1/+1 for each other creature you control.<br>Other creatures you control get -1/-1.|Multiverse Gift Box|Rare||Gary Leach|6|Finishes: nonfoil:<br>https://scryfall.com/card/mgb/6/vampirism?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c65b5cfd-d45b-4144-8608-541d455fb004.jpg?1562636848}
scry_e02aeae5-4918-42c6-872d-ffe1517de2ad|Wicked Reward|{1}{B}|Instant|||As an additional cost to cast this spell, sacrifice a creature.<br>Target creature gets +4/+2 until end of turn.|Multiverse Gift Box|Rare||D. Alexander Gregory|7|Finishes: nonfoil:<br>https://scryfall.com/card/mgb/7/wicked-reward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/0/e02aeae5-4918-42c6-872d-ffe1517de2ad.jpg?1562636868}
scry_0eb0579a-a0b0-43b0-884c-13035158ae64|Viashino Sandstalker|{1}{R}{R}|Creature - Lizard Warrior|4|2|Haste (This creature can attack and {T} as soon as it comes under your control.)<br>At the beginning of the end step, return this creature to its owner's hand. (Return it only if it's on the battlefield.)|Multiverse Gift Box|Rare||Andrew Robinson|8|Finishes: nonfoil:<br>https://scryfall.com/card/mgb/8/viashino-sandstalker?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/e/0eb0579a-a0b0-43b0-884c-13035158ae64.jpg?1562636674}
scry_6b161f83-a0d9-4b65-af36-6d71aa76c912|Bull Elephant|{3}{G}|Creature - Elephant|4|4|When this creature enters, sacrifice it unless you return two Forests you control to their owner's hand.|Multiverse Gift Box|Rare||Steve White|9|Finishes: nonfoil:<br>https://scryfall.com/card/mgb/9/bull-elephant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/b/6b161f83-a0d9-4b65-af36-6d71aa76c912.jpg?1562636769}
scry_0c607ba1-e133-47f3-a79a-5f0dc8c4b9ac|King Cheetah|{3}{G}|Creature - Cat|3|2|Flash|Multiverse Gift Box|Rare||Terese Nielsen|10|Finishes: nonfoil:<br>https://scryfall.com/card/mgb/10/king-cheetah?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/c/0c607ba1-e133-47f3-a79a-5f0dc8c4b9ac.jpg?1562636671}
