ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
9693e59b-032d-4ddc-a7d1-88a0f52dcc6c|Morophon, the Boundless|{7}|Legendary Creature - Shapeshifter|6|6|Changeling (This card is every creature type.)<br>As Morophon enters, choose a creature type.<br>Spells of the chosen type you cast cost {W}{U}{B}{R}{G} less to cast. This effect reduces only the amount of colored mana you pay.<br>Other creatures you control of the chosen type get +1/+1.|Modern Horizons|Mythic||Victor Adame Minguez|1|MID: 463950<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mh1/1/morophon-the-boundless?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=463950&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/6/9693e59b-032d-4ddc-a7d1-88a0f52dcc6c.jpg?1676913841, GATHERERID=463950}
175b6e34-9cb3-4c8d-9cc0-960082a9ee71|Answered Prayers|{1}{W}{W}|Enchantment|||Whenever a creature you control enters, you gain 1 life. If this enchantment isn't a creature, it becomes a 3/3 Angel creature with flying in addition to its other types until end of turn.|Modern Horizons|Common||Seb McKinnon|2|MID: 463951<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mh1/2/answered-prayers?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=463951&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/175b6e34-9cb3-4c8d-9cc0-960082a9ee71.jpg?1562201057, GATHERERID=463951}
5be49ed9-a078-4a57-a84a-03cfaf184fef|Astral Drift|{2}{W}|Enchantment|||Whenever you cycle this card or cycle another card while this enchantment is on the battlefield, you may exile target creature. If you do, return that card to the battlefield under its owner's control at the beginning of the next end step.<br>Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)|Modern Horizons|Rare||Anna Steinbauer|3|MID: 463952<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mh1/3/astral-drift?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=463952&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5be49ed9-a078-4a57-a84a-03cfaf184fef.jpg?1562201063, GATHERERID=463952}
eacf7dd0-5855-4e7b-b75c-8119cc3d1460|Battle Screech|{2}{W}{W}|Sorcery|||Create two 1/1 white Bird creature tokens with flying.<br>Flashback—Tap three untapped white creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.)|Modern Horizons|Uncommon||Anastasia Ovchinnikova|4|MID: 463953<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mh1/4/battle-screech?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=463953&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/a/eacf7dd0-5855-4e7b-b75c-8119cc3d1460.jpg?1562201069, GATHERERID=463953}
70edc5da-4477-49f6-bbcc-f208fdaae0d3|Dismantling Blow|{2}{W}|Instant|||Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.)<br>Destroy target artifact or enchantment. If this spell was kicked, draw two cards.|Modern Horizons|Uncommon||Tomasz Jedruszek|5|MID: 463954<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mh1/5/dismantling-blow?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=463954&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/0/70edc5da-4477-49f6-bbcc-f208fdaae0d3.jpg?1620929919, GATHERERID=463954}
6ed0f6a5-ed40-44fc-a5e1-3f8bb968d1d9|Enduring Sliver|{1}{W}|Creature - Sliver|2|2|Outlast {2} ({2}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)<br>Other Sliver creatures you control have outlast {2}.|Modern Horizons|Common||Josh Hass|6|MID: 463955<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mh1/6/enduring-sliver?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=463955&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/e/6ed0f6a5-ed40-44fc-a5e1-3f8bb968d1d9.jpg?1562201082, GATHERERID=463955}
2da5f3f8-5eef-498f-ba2c-2f3fbc3745aa|Ephemerate|{W}|Instant|||Exile target creature you control, then return it to the battlefield under its owner's control.<br>Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)|Modern Horizons|Common||Bastien L. Deharme|7|MID: 463956<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mh1/7/ephemerate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=463956&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2da5f3f8-5eef-498f-ba2c-2f3fbc3745aa.jpg?1562201088, GATHERERID=463956}
14167f33-00e2-41f9-b545-b476562881c6|Face of Divinity|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2.<br>As long as another Aura is attached to enchanted creature, it has first strike and lifelink.|Modern Horizons|Uncommon||Martina Pilcerova|8|MID: 463957<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mh1/8/face-of-divinity?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=463957&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/4/14167f33-00e2-41f9-b545-b476562881c6.jpg?1562201094, GATHERERID=463957}
7f5c4368-4f2e-4f5f-8944-8b0d49ab3e38|First Sliver's Chosen|{4}{W}|Creature - Sliver|3|3|Sliver creatures you control have exalted. (Whenever a creature you control attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents you control.)|Modern Horizons|Uncommon||Steven Belledin|9|MID: 463958<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mh1/9/first-slivers-chosen?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=463958&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7f5c4368-4f2e-4f5f-8944-8b0d49ab3e38.jpg?1562201099, GATHERERID=463958}
9736d6f4-5ff6-4006-b45d-8e630382d160|Force of Virtue|{2}{W}{W}|Enchantment|||If it's not your turn, you may exile a white card from your hand rather than pay this spell's mana cost.<br>Flash<br>Creatures you control get +1/+1.|Modern Horizons|Rare||Livia Prima|10|MID: 463959<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mh1/10/force-of-virtue?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=463959&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/9736d6f4-5ff6-4006-b45d-8e630382d160.jpg?1562201106, GATHERERID=463959}
