ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
648c15d1-a2a2-4f59-9b0a-5448be3e990f|Kaust, Eyes of the Glade|{R/W}{G}|Legendary Creature - Dryad Detective|2|2|Whenever a creature you control that was turned face up this turn deals combat damage to a player, draw a card.<br>{T}: Turn target face-down attacking creature you control face up.<BR><a href="https://api.scryfall.com/cards/648c15d1-a2a2-4f59-9b0a-5448be3e990f/rulings">Rulings</a>|Murders at Karlov Manor Commander|Mythic||Volkan Baǵa|1|MID: 649907<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mkc/1/kaust-eyes-of-the-glade?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=649907&printed=false">Gatherer</a>|649907|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/648c15d1-a2a2-4f59-9b0a-5448be3e990f.jpg?1706448869}
690acbbf-5e92-4323-b939-31bdb07f9905|Mirko, Obsessive Theorist|{1}{U}{B}|Legendary Creature - Vampire Detective|1|3|Flying, vigilance<br>Whenever you surveil, put a +1/+1 counter on Mirko.<br>At the beginning of your end step, you may return target creature card with power less than Mirko's from your graveyard to the battlefield with a finality counter on it. (If it would die, exile it instead.)<BR><a href="https://api.scryfall.com/cards/690acbbf-5e92-4323-b939-31bdb07f9905/rulings">Rulings</a>|Murders at Karlov Manor Commander|Mythic||Heonhwa Choe|2|MID: 649908<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mkc/2/mirko-obsessive-theorist?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=649908&printed=false">Gatherer</a>|649908|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/9/690acbbf-5e92-4323-b939-31bdb07f9905.jpg?1706448873}
ae9ccfec-05c6-469e-b1dd-dfbafa1e927f|Morska, Undersea Sleuth|{G}{W}{U}|Legendary Creature - Vedalken Fish Detective|2|3|You have no maximum hand size.<br>At the beginning of your upkeep, investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")<br>Whenever you draw your second card each turn, put two +1/+1 counters on Morska.<BR><a href="https://api.scryfall.com/cards/ae9ccfec-05c6-469e-b1dd-dfbafa1e927f/rulings">Rulings</a>|Murders at Karlov Manor Commander|Mythic||Ekaterina Burmak|3|MID: 649909<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mkc/3/morska-undersea-sleuth?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=649909&printed=false">Gatherer</a>|649909|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/e/ae9ccfec-05c6-469e-b1dd-dfbafa1e927f.jpg?1706448877}
2ef59aa9-f5e1-413a-869b-d287db95efd0|Nelly Borca, Impulsive Accuser|{2}{R}{W}|Legendary Creature - Human Detective|2|4|Vigilance<br>Whenever Nelly Borca attacks, suspect target creature. Then goad all suspected creatures. (A suspected creature has menace and can't block.)<br>Whenever one or more creatures an opponent controls deal combat damage to one or more of your opponents, you and the controller of those creatures each draw a card.<BR><a href="https://api.scryfall.com/cards/2ef59aa9-f5e1-413a-869b-d287db95efd0/rulings">Rulings</a>|Murders at Karlov Manor Commander|Mythic||James Ryman|4|MID: 649910<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mkc/4/nelly-borca-impulsive-accuser?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=649910&printed=false">Gatherer</a>|649910|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/e/2ef59aa9-f5e1-413a-869b-d287db95efd0.jpg?1706448880}
31fa9d47-43d6-44b5-ab86-fc94a83eac26|Duskana, the Rage Mother|{2}{R}{G}{W}|Legendary Creature - Bear|5|5|When Duskana enters, draw a card for each creature you control with base power and toughness 2/2.<br>Whenever a creature you control with base power and toughness 2/2 attacks, it gets +3/+3 until end of turn.<BR><a href="https://api.scryfall.com/cards/31fa9d47-43d6-44b5-ab86-fc94a83eac26/rulings">Rulings</a>|Murders at Karlov Manor Commander|Mythic||Samuel Perin|5|MID: 649927<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mkc/5/duskana-the-rage-mother?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=649927&printed=false">Gatherer</a>|649927|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/1/31fa9d47-43d6-44b5-ab86-fc94a83eac26.jpg?1706448894}
d763695b-c184-409d-962d-5aaf39a6264e|Feather, Radiant Arbiter|{R}{W}{W}|Legendary Creature - Angel|4|3|Flying, lifelink<br>Whenever you cast a noncreature spell that targets only Feather, you may choose any number of other creatures that spell could target and pay {2} for each of those creatures. If you do, for each of those creatures, copy that spell. The copy targets that creature. (Copies of permanent spells become tokens.)<BR><a href="https://api.scryfall.com/cards/d763695b-c184-409d-962d-5aaf39a6264e/rulings">Rulings</a>|Murders at Karlov Manor Commander|Mythic||Dan Dos Santos|6|MID: 649928<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mkc/6/feather-radiant-arbiter?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=649928&printed=false">Gatherer</a>|649928|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/7/d763695b-c184-409d-962d-5aaf39a6264e.jpg?1706448890}
8fdb30c1-0551-48b7-8bcb-d7e0dbb6690a|Marvo, Deep Operative|{3}{U}{B}|Legendary Creature - Octopus Rogue|1|8|Whenever Marvo attacks, clash with defending player. (Each clashing player reveals the top card of their library, then puts that card on their choice of the top or bottom. A player wins if their card had a greater mana value.)<br>Whenever you win a clash, draw a card. Then you may cast a spell from your hand with mana value 8 or less without paying its mana cost.<BR><a href="https://api.scryfall.com/cards/8fdb30c1-0551-48b7-8bcb-d7e0dbb6690a/rulings">Rulings</a>|Murders at Karlov Manor Commander|Mythic||John Tedrick|7|MID: 649929<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mkc/7/marvo-deep-operative?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=649929&printed=false">Gatherer</a>|649929|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8fdb30c1-0551-48b7-8bcb-d7e0dbb6690a.jpg?1706448887}
df653cf9-5a99-4f81-adb4-c155a9a63226|Sophia, Dogged Detective|{1}{G}{W}{U}|Legendary Creature - Human Detective|3|4|When Sophia enters, create Tiny, a legendary 2/2 green Dog Detective creature token with trample.<br>{1}, Sacrifice an artifact token: Put a +1/+1 counter on each Dog you control.<br>Whenever a Dog you control deals combat damage to a player, create a Food token, then investigate.<BR><a href="https://api.scryfall.com/cards/df653cf9-5a99-4f81-adb4-c155a9a63226/rulings">Rulings</a>|Murders at Karlov Manor Commander|Mythic||Campbell White|8|MID: 649930<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mkc/8/sophia-dogged-detective?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=649930&printed=false">Gatherer</a>|649930|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/f/df653cf9-5a99-4f81-adb4-c155a9a63226.jpg?1706448884}
6e75470f-fe57-4b6e-a76b-5daf9d9caf0b|Armed with Proof|{2}{W}|Enchantment|||When this enchantment enters, investigate twice. (To investigate, create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")<br>Clues you control are Equipment in addition to their other types and have "Equipped creature gets +2/+0" and equip {2}.<BR><a href="https://api.scryfall.com/cards/6e75470f-fe57-4b6e-a76b-5daf9d9caf0b/rulings">Rulings</a>|Murders at Karlov Manor Commander|Rare||Serena Malyon|9|MID: 649947<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/mkc/9/armed-with-proof?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=649947&printed=false">Gatherer</a>|649947|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/e/6e75470f-fe57-4b6e-a76b-5daf9d9caf0b.jpg?1706240413}
bdadc60f-942f-47e2-b8fc-51deb3d0b86d|Immortal Obligation|{1}{W}|Instant|||Return target creature card from an opponent's graveyard to the battlefield under their control with a duty counter on it. For as long as that creature has a duty counter on it, it is goaded, can't attack you or a permanent you control, and can't block creatures you control.<BR><a href="https://api.scryfall.com/cards/bdadc60f-942f-47e2-b8fc-51deb3d0b86d/rulings">Rulings</a>|Murders at Karlov Manor Commander|Rare||Nino Vecia|10|MID: 649948<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/mkc/10/immortal-obligation?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=649948&printed=false">Gatherer</a>|649948|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bdadc60f-942f-47e2-b8fc-51deb3d0b86d.jpg?1706240413}
