ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
c0c9f6dd-308e-4c91-8bcc-975d273a0a33|All Is Dust|{7}|Kindred Sorcery - Eldrazi|||Each player sacrifices all permanents they control that are one or more colors.|Modern Masters 2015|Rare||Jason Felix|1|MID: 397750<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mm2/1/all-is-dust?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397750&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c0c9f6dd-308e-4c91-8bcc-975d273a0a33.jpg?1562266931, GATHERERID=397750}
c79dedcf-ecba-49a1-81dc-7e3bdb7abefd|Artisan of Kozilek|{9}|Creature - Eldrazi|10|9|When you cast this spell, you may return target creature card from your graveyard to the battlefield.<br>Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.)|Modern Masters 2015|Uncommon||Jason Felix|2|MID: 397777<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mm2/2/artisan-of-kozilek?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397777&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/7/c79dedcf-ecba-49a1-81dc-7e3bdb7abefd.jpg?1562267339, GATHERERID=397777}
3197aa08-9fb1-47d2-b873-432700cb790e|Emrakul, the Aeons Torn|{15}|Legendary Creature - Eldrazi|15|15|This spell can't be countered.<br>When you cast this spell, take an extra turn after this one.<br>Flying, protection from spells that are one or more colors, annihilator 6<br>When Emrakul is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.|Modern Masters 2015|Mythic||Mark Tedin|3|MID: 397905<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mm2/3/emrakul-the-aeons-torn?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397905&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/1/3197aa08-9fb1-47d2-b873-432700cb790e.jpg?1562260268, GATHERERID=397905}
cd1deda0-c99d-4570-a5dd-f51eb5d12570|Karn Liberated|{7}|Legendary Planeswalker - Karn|||+4: Target player exiles a card from their hand.<br>−3: Exile target permanent.<br>−14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn. Then put those cards onto the battlefield under your control.|Modern Masters 2015|Mythic||Jason Chan|4|MID: 397828<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mm2/4/karn-liberated?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397828&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd1deda0-c99d-4570-a5dd-f51eb5d12570.jpg?1562267420, GATHERERID=397828}
6dc70f3b-844e-428c-a8cd-d6c6a55b925a|Kozilek, Butcher of Truth|{10}|Legendary Creature - Eldrazi|12|12|When you cast this spell, draw four cards.<br>Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents of their choice.)<br>When Kozilek is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.|Modern Masters 2015|Mythic||Michael Komarck|5|MID: 397668<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mm2/5/kozilek-butcher-of-truth?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397668&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/d/6dc70f3b-844e-428c-a8cd-d6c6a55b925a.jpg?1562263332, GATHERERID=397668}
a056241d-513a-4de7-a604-bf8248c31225|Ulamog, the Infinite Gyre|{11}|Legendary Creature - Eldrazi|10|10|When you cast this spell, destroy target permanent.<br>Indestructible<br>Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents of their choice.)<br>When Ulamog is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.|Modern Masters 2015|Mythic||Aleksi Briclot|6|MID: 397815<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mm2/6/ulamog-the-infinite-gyre?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397815&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/0/a056241d-513a-4de7-a604-bf8248c31225.jpg?1562265676, GATHERERID=397815}
f54baced-fabe-4ed6-9203-5bb5fbb64007|Ulamog's Crusher|{8}|Creature - Eldrazi|8|8|Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.)<br>This creature attacks each combat if able.|Modern Masters 2015|Common||Todd Lockwood|7|MID: 397678<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mm2/7/ulamogs-crusher?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397678&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/5/f54baced-fabe-4ed6-9203-5bb5fbb64007.jpg?1562269284, GATHERERID=397678}
fdfbc07e-d726-4d42-9394-6aa0f5fc3a3a|Apostle's Blessing|{1}{WP}|Instant|||({W/P} can be paid with either {W} or 2 life.)<br>Target artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.|Modern Masters 2015|Common||Brad Rigney|8|MID: 397768<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mm2/8/apostles-blessing?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397768&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fdfbc07e-d726-4d42-9394-6aa0f5fc3a3a.jpg?1562269765, GATHERERID=397768}
9fc0be19-e041-4347-a51c-7e93a3d9e712|Arrest|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.|Modern Masters 2015|Common||Daarken|9|MID: 397723<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mm2/9/arrest?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397723&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/f/9fc0be19-e041-4347-a51c-7e93a3d9e712.jpg?1562265669, GATHERERID=397723}
1cf72b23-a951-4e88-a52b-b3abe8f16bf4|Battlegrace Angel|{3}{W}{W}|Creature - Angel|4|4|Flying<br>Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)<br>Whenever a creature you control attacks alone, it gains lifelink until end of turn.|Modern Masters 2015|Rare||Matt Stewart|10|MID: 397766<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mm2/10/battlegrace-angel?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397766&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/c/1cf72b23-a951-4e88-a52b-b3abe8f16bf4.jpg?1562259656, GATHERERID=397766}
