ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
a485c2c3-c90b-43b4-bb00-c1b811b4b392|Bright-Palm, Soul Awakener|{1}{R}{G}{W}|Legendary Creature - Fox Shaman|4|3|Backup 1 (When this creature enters, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)<br>Whenever this creature attacks, double the number of +1/+1 counters on target creature. That creature can't be blocked by creatures with power 2 or less this turn.|March of the Machine Commander|Mythic||Mila Pesic|1|MID: 612004<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/moc/1/bright-palm-soul-awakener?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=612004&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/4/a485c2c3-c90b-43b4-bb00-c1b811b4b392.jpg?1682207202, GATHERERID=612004}
f0d31ae7-8580-402a-a917-3d626a9e1f49|Brimaz, Blight of Oreskos|{2}{W}{B}|Legendary Creature - Phyrexian Cat|3|4|Whenever you cast a Phyrexian creature or artifact creature spell, incubate X, where X is that spell's mana value. (Create an Incubator token with X +1/+1 counters on it and "{2}: Transform this token." It transforms into a 0/0 Phyrexian artifact creature.)<br>At the beginning of each end step, if a Phyrexian died under your control this turn, proliferate.|March of the Machine Commander|Mythic||Uriah Voth|2|MID: 612005<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/moc/2/brimaz-blight-of-oreskos?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=612005&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f0d31ae7-8580-402a-a917-3d626a9e1f49.jpg?1682207211, GATHERERID=612005}
4a9aa899-752b-4106-89ba-9475ee777d41|Gimbal, Gremlin Prodigy|{2}{G}{U}{R}|Legendary Creature - Gremlin Artificer|4|4|Artifact creatures you control have trample.<br>At the beginning of your end step, create a 0/0 red Gremlin artifact creature token. Put X +1/+1 counters on it, where X is the number of differently named artifact tokens you control.|March of the Machine Commander|Mythic||Fajareka Setiawan|3|MID: 612006<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/moc/3/gimbal-gremlin-prodigy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=612006&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/a/4a9aa899-752b-4106-89ba-9475ee777d41.jpg?1682207220, GATHERERID=612006}
a209bda2-f0bf-4417-94f9-b73eff0b4217|Kasla, the Broken Halo|{3}{U}{R}{W}|Legendary Creature - Angel Ally|5|4|Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)<br>Flying, vigilance, haste<br>Whenever you cast another spell that has convoke, scry 2, then draw a card.|March of the Machine Commander|Mythic||Martina Fačková|4|MID: 612007<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/moc/4/kasla-the-broken-halo?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=612007&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/2/a209bda2-f0bf-4417-94f9-b73eff0b4217.jpg?1682207229, GATHERERID=612007}
5fc707be-9286-4ba1-90f6-475265d19ed2|Sidar Jabari of Zhalfir|{1}{W}{U}{B}|Legendary Creature - Human Knight|4|3|Eminence — Whenever you attack with one or more Knights, if Sidar Jabari is in the command zone or on the battlefield, draw a card, then discard a card.<br>Flying, first strike<br>Whenever Sidar Jabari deals combat damage to a player, return target Knight creature card from your graveyard to the battlefield.|March of the Machine Commander|Mythic||Simon Dominic|5|MID: 612008<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/moc/5/sidar-jabari-of-zhalfir?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=612008&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5fc707be-9286-4ba1-90f6-475265d19ed2.jpg?1682207238, GATHERERID=612008}
35db4bfe-78e1-46b1-a70b-728ceede94b2|Elenda and Azor|{3}{W}{U}{B}|Legendary Creature - Vampire Knight Sphinx|6|6|Flying, ward {2}<br>Whenever Elenda and Azor attacks, you may pay {X}{W}{U}{B}. If you do, draw X cards.<br>At the beginning of each end step, you may pay 4 life. If you do, create a number of 1/1 black Vampire Knight creature tokens with lifelink equal to the number of cards you've drawn this turn.|March of the Machine Commander|Mythic||Randy Vargas|6|MID: 612084<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/moc/6/elenda-and-azor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=612084&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/35db4bfe-78e1-46b1-a70b-728ceede94b2.jpg?1682207247, GATHERERID=612084}
19d0acaa-bfbf-4155-a9b0-5b39c3c87361|Moira and Teshar|{3}{W}{B}|Legendary Creature - Phyrexian Spirit Bird|4|5|Flying<br>Whenever you cast a historic spell, return target nonland permanent card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step. If it would leave the battlefield, exile it instead of putting it anywhere else. (Artifacts, legendaries, and Sagas are historic.)|March of the Machine Commander|Mythic||Josh Hass|7|MID: 612085<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/moc/7/moira-and-teshar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=612085&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/9/19d0acaa-bfbf-4155-a9b0-5b39c3c87361.jpg?1682207255, GATHERERID=612085}
30b2f2fd-8087-4fa8-9eb7-bf9b89a5dfb9|Rashmi and Ragavan|{1}{G}{U}{R}|Legendary Creature - Elf Monkey|2|4|Whenever you cast your first spell during each of your turns, exile the top card of target opponent's library and create a Treasure token. Then you may cast the exiled card without paying its mana cost if it's a spell with mana value less than the number of artifacts you control. If you don't cast it this way, you may cast it this turn.|March of the Machine Commander|Mythic||Joshua Cairos|8|MID: 612086<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/moc/8/rashmi-and-ragavan?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=612086&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/30b2f2fd-8087-4fa8-9eb7-bf9b89a5dfb9.jpg?1682207264, GATHERERID=612086}
55a45de4-cc76-4aa0-a1dc-24df8e495215|Saint Traft and Rem Karolus|{U}{R}{W}|Legendary Creature - Spirit Human|3|4|Whenever Saint Traft and Rem Karolus becomes tapped, create a 1/1 red Human creature token if this is the first time this ability has resolved this turn. If it's the second time, create a 1/1 blue Spirit creature token with flying. If it's the third time, create a 4/4 white Angel creature token with flying.<br>Whenever you cast a spell that has convoke, untap Saint Traft and Rem Karolus.|March of the Machine Commander|Mythic||Lucas Graciano|9|MID: 612087<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/moc/9/saint-traft-and-rem-karolus?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=612087&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/5/55a45de4-cc76-4aa0-a1dc-24df8e495215.jpg?1701606017, GATHERERID=612087}
80804f25-efc3-44a2-bbae-9a97fec98009|Shalai and Hallar|{1}{R}{G}{W}|Legendary Creature - Angel Elf|3|3|Flying, vigilance<br>Whenever one or more +1/+1 counters are put on a creature you control, Shalai and Hallar deals that much damage to target opponent.|March of the Machine Commander|Mythic||Mila Pesic|10|MID: 612088<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/moc/10/shalai-and-hallar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=612088&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/0/80804f25-efc3-44a2-bbae-9a97fec98009.jpg?1682207281, GATHERERID=612088}
f96d4b03-e3b0-4b24-869d-4270b813b518|Chivalric Alliance|{1}{W}|Enchantment|||Whenever you attack with two or more creatures, draw a card.<br>{2}, Discard a card: Create a 2/2 white and blue Knight creature token with vigilance.|March of the Machine Commander|Rare||Jim Pavelec|11|MID: 612124<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/moc/11/chivalric-alliance?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=612124&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f96d4b03-e3b0-4b24-869d-4270b813b518.jpg?1682207289, GATHERERID=612124}
