ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
73f8fc4f-2f36-4932-8d04-3c2651c116dc|Invasion of Ravnica // Guildpact Paragon|{5}|Battle - Siege|||(As a Siege enters, choose an opponent to protect it. You and others can attack it. When it's defeated, exile it, then cast it transformed.)<br>When this Siege enters, exile target nonland permanent an opponent controls that isn't exactly two colors.<BR><a href="https://api.scryfall.com/cards/73f8fc4f-2f36-4932-8d04-3c2651c116dc/rulings">Rulings</a>|March of the Machine|Mythic||Leon Tukker|1|MID: 607011 // 607012<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mom/1/invasion-of-ravnica-guildpact-paragon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=607011&printed=false">Gatherer</a>|607011|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/3/73f8fc4f-2f36-4932-8d04-3c2651c116dc.jpg?1682704897, FLIPID=-73f8fc4f-2f36-4932-8d04-3c2651c116dc}
-73f8fc4f-2f36-4932-8d04-3c2651c116dc|Invasion of Ravnica // Guildpact Paragon (transform)||Artifact Creature - Construct|5|5|Whenever you cast a spell that's exactly two colors, look at the top six cards of your library. You may reveal a card that's exactly two colors from among them and put it into your hand. Put the rest on the bottom of your library in a random order.<BR><a href="https://api.scryfall.com/cards/73f8fc4f-2f36-4932-8d04-3c2651c116dc/rulings">Rulings</a>|March of the Machine|Mythic||Leon Tukker|1b|MID: 607012 // 607011<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mom/1/invasion-of-ravnica-guildpact-paragon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=607011&printed=false">Gatherer</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/7/3/73f8fc4f-2f36-4932-8d04-3c2651c116dc.jpg?1682704897, FLIPID=73f8fc4f-2f36-4932-8d04-3c2651c116dc}
f7017afb-4c7c-4c8d-9c9d-3f056a55561e|Aerial Boost|{1}{W}|Instant|||Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)<br>Target creature gets +2/+2 and gains flying until end of turn.<BR><a href="https://api.scryfall.com/cards/f7017afb-4c7c-4c8d-9c9d-3f056a55561e/rulings">Rulings</a>|March of the Machine|Common||Artur Nakhodkin|2|MID: 607013<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mom/2/aerial-boost?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=607013&printed=false">Gatherer</a>|607013|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f7017afb-4c7c-4c8d-9c9d-3f056a55561e.jpg?1682202442}
165357cc-ec74-490f-aec3-7048bb43c8f9|Alabaster Host Intercessor|{5}{W}|Creature - Phyrexian Samurai|3|4|When this creature enters, exile target creature an opponent controls until this creature leaves the battlefield.<br>Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)<BR><a href="https://api.scryfall.com/cards/165357cc-ec74-490f-aec3-7048bb43c8f9/rulings">Rulings</a>|March of the Machine|Common||Konstantin Porubov|3|MID: 607014<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mom/3/alabaster-host-intercessor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=607014&printed=false">Gatherer</a>|607014|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/165357cc-ec74-490f-aec3-7048bb43c8f9.jpg?1687243716}
efbd934a-39c4-4ce7-af2a-34ca226d7f23|Alabaster Host Sanctifier|{1}{W}|Creature - Phyrexian Cleric|2|2|Lifelink<BR><a href="https://api.scryfall.com/cards/efbd934a-39c4-4ce7-af2a-34ca226d7f23/rulings">Rulings</a>|March of the Machine|Common||Konstantin Porubov|4|MID: 607015<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mom/4/alabaster-host-sanctifier?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=607015&printed=false">Gatherer</a>|607015|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/f/efbd934a-39c4-4ce7-af2a-34ca226d7f23.jpg?1682202464}
09fb5876-5b47-4a05-be57-7ad3890c8953|Angelic Intervention|{1}{W}|Instant|||Target creature or planeswalker you control gains protection from colorless or from the color of your choice until end of turn. If it's a creature, put a +1/+1 counter on it. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything with that quality.)<BR><a href="https://api.scryfall.com/cards/09fb5876-5b47-4a05-be57-7ad3890c8953/rulings">Rulings</a>|March of the Machine|Common||Awanqi (Angela Wang)|5|MID: 607016<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mom/5/angelic-intervention?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=607016&printed=false">Gatherer</a>|607016|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/9/09fb5876-5b47-4a05-be57-7ad3890c8953.jpg?1682202475}
35ed6263-bdd7-4013-ac8c-9b652d71a0db|Archangel Elspeth|{2}{W}{W}|Legendary Planeswalker - Elspeth|||+1: Create a 1/1 white Soldier creature token with lifelink.<br>−2: Put two +1/+1 counters on target creature. It becomes an Angel in addition to its other types and gains flying.<br>−6: Return all nonland permanent cards with mana value 3 or less from your graveyard to the battlefield.<BR><a href="https://api.scryfall.com/cards/35ed6263-bdd7-4013-ac8c-9b652d71a0db/rulings">Rulings</a>|March of the Machine|Mythic||Cynthia Sheppard|6|MID: 607017<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br><br><a href="https://scryfall.com/card/mom/6/archangel-elspeth?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=607017&printed=false">Gatherer</a>|607017|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/35ed6263-bdd7-4013-ac8c-9b652d71a0db.jpg?1682202486}
83d89bd5-95cc-41fc-aea2-2dde52231919|Attentive Skywarden|{2}{W}|Creature - Phyrexian Kor|2|2|Flying<br>Whenever this creature deals combat damage to a player or battle, transform up to one target Incubator token you control.<BR><a href="https://api.scryfall.com/cards/83d89bd5-95cc-41fc-aea2-2dde52231919/rulings">Rulings</a>|March of the Machine|Common||Jodie Muir|7|MID: 607018<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mom/7/attentive-skywarden?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=607018&printed=false">Gatherer</a>|607018|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83d89bd5-95cc-41fc-aea2-2dde52231919.jpg?1682202495}
896043a7-c7a2-4542-8739-7b4f09c6e1f1|Bola Slinger|{3}{W}|Creature - Cat Soldier|2|2|Backup 1 (When this creature enters, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)<br>Whenever this creature attacks, tap target artifact or creature an opponent controls.<BR><a href="https://api.scryfall.com/cards/896043a7-c7a2-4542-8739-7b4f09c6e1f1/rulings">Rulings</a>|March of the Machine|Common||Hendry Iwanaga|8|MID: 607019<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mom/8/bola-slinger?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=607019&printed=false">Gatherer</a>|607019|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/9/896043a7-c7a2-4542-8739-7b4f09c6e1f1.jpg?1682202505}
84e1cc7d-e645-4b0e-b117-63f93528ed12|Boon-Bringer Valkyrie|{3}{W}{W}|Creature - Angel Warrior|4|4|Backup 1 (When this creature enters, put a +1/+1 counter on target creature. If that's another creature, it gains the following abilities until end of turn.)<br>Flying, first strike, lifelink<BR><a href="https://api.scryfall.com/cards/84e1cc7d-e645-4b0e-b117-63f93528ed12/rulings">Rulings</a>|March of the Machine|Rare||Heonhwa Choe|9|MID: 607020<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mom/9/boon-bringer-valkyrie?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=607020&printed=false">Gatherer</a>|607020|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/4/84e1cc7d-e645-4b0e-b117-63f93528ed12.jpg?1682202516}
