ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
f4a32cc0-0d46-4af3-9b0c-e5384cd6aff5|Cataclysmic Gearhulk|{3}{W}{W}|Artifact Creature - Construct|4|5|Vigilance<br>When this creature enters, each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents they control, then sacrifices the rest.<BR><a href="https://api.scryfall.com/cards/f4a32cc0-0d46-4af3-9b0c-e5384cd6aff5/rulings">Rulings</a>|Kaladesh Inventions|Special||Jason Rainville|1|F$ 32.48<br>MID: 420588<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mps/1/cataclysmic-gearhulk?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=420588&printed=false">Gatherer</a>|420588|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/4/f4a32cc0-0d46-4af3-9b0c-e5384cd6aff5.jpg?1562946665}
7892c45c-1b17-4474-82fd-01f6d9a83181|Torrential Gearhulk|{4}{U}{U}|Artifact Creature - Construct|5|6|Flash<br>When this creature enters, you may cast target instant card from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.<BR><a href="https://api.scryfall.com/cards/7892c45c-1b17-4474-82fd-01f6d9a83181/rulings">Rulings</a>|Kaladesh Inventions|Special||Jakub Kasper|2|F$ 45.02<br>MID: 420589<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mps/2/torrential-gearhulk?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=420589&printed=false">Gatherer</a>|420589|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/8/7892c45c-1b17-4474-82fd-01f6d9a83181.jpg?1562920334}
d3bb2c02-7153-4231-a313-f75f5a1338e3|Noxious Gearhulk|{4}{B}{B}|Artifact Creature - Construct|5|4|Menace<br>When this creature enters, you may destroy another target creature. If a creature is destroyed this way, you gain life equal to its toughness.<BR><a href="https://api.scryfall.com/cards/d3bb2c02-7153-4231-a313-f75f5a1338e3/rulings">Rulings</a>|Kaladesh Inventions|Special||Vincent Proce|3|F$ 81.95<br>MID: 420590<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mps/3/noxious-gearhulk?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=420590&printed=false">Gatherer</a>|420590|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d3bb2c02-7153-4231-a313-f75f5a1338e3.jpg?1562939796}
a861f50c-8152-4cf6-bb17-3efcfac3be9b|Combustible Gearhulk|{4}{R}{R}|Artifact Creature - Construct|6|6|First strike<br>When this creature enters, target opponent may have you draw three cards. If the player doesn't, you mill three cards, then this creature deals damage to that player equal to the total mana value of those cards.<BR><a href="https://api.scryfall.com/cards/a861f50c-8152-4cf6-bb17-3efcfac3be9b/rulings">Rulings</a>|Kaladesh Inventions|Special||Greg Opalinski|4|F$ 55.35<br>MID: 420591<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mps/4/combustible-gearhulk?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=420591&printed=false">Gatherer</a>|420591|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/8/a861f50c-8152-4cf6-bb17-3efcfac3be9b.jpg?1562930471}
39997212-6943-4094-a9f7-cbdfa8938090|Verdurous Gearhulk|{3}{G}{G}|Artifact Creature - Construct|4|4|Trample<br>When this creature enters, distribute four +1/+1 counters among any number of target creatures you control.<BR><a href="https://api.scryfall.com/cards/39997212-6943-4094-a9f7-cbdfa8938090/rulings">Rulings</a>|Kaladesh Inventions|Special||Zack Stella|5|F$ 37.54<br>MID: 420592<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mps/5/verdurous-gearhulk?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=420592&printed=false">Gatherer</a>|420592|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/9/39997212-6943-4094-a9f7-cbdfa8938090.jpg?1562907044}
b3205343-03f8-4ffd-8bbc-6df1ae5621b4|Aether Vial|{1}|Artifact|||At the beginning of your upkeep, you may put a charge counter on this artifact.<br>{T}: You may put a creature card with mana value equal to the number of charge counters on this artifact from your hand onto the battlefield.<BR><a href="https://api.scryfall.com/cards/b3205343-03f8-4ffd-8bbc-6df1ae5621b4/rulings">Rulings</a>|Kaladesh Inventions|Special||Raoul Vitale|6|F$ 77.00<br>MID: 420593<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mps/6/aether-vial?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=420593&printed=false">Gatherer</a>|420593|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b3205343-03f8-4ffd-8bbc-6df1ae5621b4.jpg?1562932749}
7c71065f-6242-4c1b-a2d4-e940d6d4fad7|Champion's Helm|{3}|Artifact - Equipment|||Equipped creature gets +2/+2.<br>As long as equipped creature is legendary, it has hexproof. (It can't be the target of spells or abilities your opponents control.)<br>Equip {1}<BR><a href="https://api.scryfall.com/cards/7c71065f-6242-4c1b-a2d4-e940d6d4fad7/rulings">Rulings</a>|Kaladesh Inventions|Special||Lindsey Look|7|F$ 43.86<br>MID: 420594<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mps/7/champions-helm?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=420594&printed=false">Gatherer</a>|420594|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7c71065f-6242-4c1b-a2d4-e940d6d4fad7.jpg?1562921221}
c7970aee-494f-45c1-9842-04632ad27313|Chromatic Lantern|{3}|Artifact|||Lands you control have "{T}: Add one mana of any color."<br>{T}: Add one mana of any color.<BR><a href="https://api.scryfall.com/cards/c7970aee-494f-45c1-9842-04632ad27313/rulings">Rulings</a>|Kaladesh Inventions|Special||Yeong-Hao Han|8|F$ 106.99<br>MID: 420595<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mps/8/chromatic-lantern?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=420595&printed=false">Gatherer</a>|420595|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/7/c7970aee-494f-45c1-9842-04632ad27313.jpg?1562937163}
90bbc0fa-4810-490d-bda7-a8fd4aaa01c4|Chrome Mox|{0}|Artifact|||Imprint — When this artifact enters, you may exile a nonartifact, nonland card from your hand.<br>{T}: Add one mana of any of the exiled card's colors.<BR><a href="https://api.scryfall.com/cards/90bbc0fa-4810-490d-bda7-a8fd4aaa01c4/rulings">Rulings</a>|Kaladesh Inventions|Special||Kieran Yanner|9|F$ 465.56<br>MID: 420596<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mps/9/chrome-mox?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=420596&printed=false">Gatherer</a>|420596|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/90bbc0fa-4810-490d-bda7-a8fd4aaa01c4.jpg?1562925493}
d581d8fd-a6af-4082-b8e3-3cf714db88c6|Cloudstone Curio|{3}|Artifact|||Whenever a nonartifact permanent you control enters, you may return another permanent you control that shares a permanent type with it to its owner's hand.<BR><a href="https://api.scryfall.com/cards/d581d8fd-a6af-4082-b8e3-3cf714db88c6/rulings">Rulings</a>|Kaladesh Inventions|Special||Noah Bradley|10|F$ 86.27<br>MID: 420597<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/mps/10/cloudstone-curio?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=420597&printed=false">Gatherer</a>|420597|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/5/d581d8fd-a6af-4082-b8e3-3cf714db88c6.jpg?1562940182}
