ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
dd037f62-7cef-4737-b575-942c5959f1ea|Altar's Light|{2}{W}{W}|Instant|||Exile target artifact or enchantment.<BR><a href="https://api.scryfall.com/cards/dd037f62-7cef-4737-b575-942c5959f1ea/rulings">Rulings</a>|Mirrodin|Uncommon||Daren Bader|1|R$ 0.15 F$ 0.55<br>MID: 48383<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mrd/1/altars-light?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=48383&printed=false">Gatherer</a>|48383|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/dd037f62-7cef-4737-b575-942c5959f1ea.jpg?1562160313}
a5ca260d-4ed8-4a99-b00a-0be15ba0df9f|Arrest|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.<BR><a href="https://api.scryfall.com/cards/a5ca260d-4ed8-4a99-b00a-0be15ba0df9f/rulings">Rulings</a>|Mirrodin|Common||Tim Hildebrandt|2|R$ 0.08 F$ 0.41<br>MID: 48432<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mrd/2/arrest?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=48432&printed=false">Gatherer</a>|48432|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/5/a5ca260d-4ed8-4a99-b00a-0be15ba0df9f.jpg?1562153205}
51605471-1198-4296-a9b5-3bee14ac2091|Auriok Bladewarden|{1}{W}|Creature - Human Soldier|1|1|{T}: Target creature gets +X/+X until end of turn, where X is this creature's power.<BR><a href="https://api.scryfall.com/cards/51605471-1198-4296-a9b5-3bee14ac2091/rulings">Rulings</a>|Mirrodin|Uncommon||Dave Dorman|3|R$ 0.20 F$ 0.35<br>MID: 48433<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mrd/3/auriok-bladewarden?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=48433&printed=false">Gatherer</a>|48433|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/1/51605471-1198-4296-a9b5-3bee14ac2091.jpg?1562143791}
4dd09c01-5a77-4992-96ae-c395a5966a92|Auriok Steelshaper|{1}{W}|Creature - Human Soldier|1|1|Equip costs you pay cost {1} less.<br>As long as this creature is equipped, each creature you control that's a Soldier or a Knight gets +1/+1.<BR><a href="https://api.scryfall.com/cards/4dd09c01-5a77-4992-96ae-c395a5966a92/rulings">Rulings</a>|Mirrodin|Rare||Dany Orizio|4|R$ 0.87 F$ 6.69<br>MID: 46081<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mrd/4/auriok-steelshaper?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=46081&printed=false">Gatherer</a>|46081|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/d/4dd09c01-5a77-4992-96ae-c395a5966a92.jpg?1626162174}
9f5c3f22-f228-4503-9d35-ee1b36a46ef0|Auriok Transfixer|{W}|Creature - Human Scout|1|1|{W}, {T}: Tap target artifact.<BR><a href="https://api.scryfall.com/cards/9f5c3f22-f228-4503-9d35-ee1b36a46ef0/rulings">Rulings</a>|Mirrodin|Common||Stephen Tappin|5|R$ 0.14 F$ 0.75<br>MID: 45963<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mrd/5/auriok-transfixer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45963&printed=false">Gatherer</a>|45963|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/f/9f5c3f22-f228-4503-9d35-ee1b36a46ef0.jpg?1562152665}
a5cd231b-7891-42b5-b5de-5112d1230c37|Awe Strike|{W}|Instant|||The next time target creature would deal damage this turn, prevent that damage. You gain life equal to the damage prevented this way.<BR><a href="https://api.scryfall.com/cards/a5cd231b-7891-42b5-b5de-5112d1230c37/rulings">Rulings</a>|Mirrodin|Common||Scott M. Fischer|6|R$ 0.11 F$ 0.81<br>MID: 48074<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mrd/6/awe-strike?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=48074&printed=false">Gatherer</a>|48074|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/5/a5cd231b-7891-42b5-b5de-5112d1230c37.jpg?1562153206}
b73f6e4c-9da7-45ec-b786-1b2f59d6b73b|Blinding Beam|{2}{W}|Instant|||Choose one —<br>• Tap two target creatures.<br>• Creatures don't untap during target player's next untap step.<br>Entwine {1} (Choose both if you pay the entwine cost.)<BR><a href="https://api.scryfall.com/cards/b73f6e4c-9da7-45ec-b786-1b2f59d6b73b/rulings">Rulings</a>|Mirrodin|Common||Doug Chaffee|7|R$ 0.16 F$ 0.41<br>MID: 48099<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mrd/7/blinding-beam?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=48099&printed=false">Gatherer</a>|48099|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b73f6e4c-9da7-45ec-b786-1b2f59d6b73b.jpg?1562155372}
c5474bcc-4ffd-4b6d-98d0-891b766d5961|Leonin Abunas|{3}{W}|Creature - Cat Cleric|2|5|Artifacts you control have hexproof. (They can't be the targets of spells or abilities your opponents control.)<BR><a href="https://api.scryfall.com/cards/c5474bcc-4ffd-4b6d-98d0-891b766d5961/rulings">Rulings</a>|Mirrodin|Rare||Darrell Riche|8|R$ 1.12 F$ 7.96<br>MID: 46550<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mrd/8/leonin-abunas?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=46550&printed=false">Gatherer</a>|46550|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c5474bcc-4ffd-4b6d-98d0-891b766d5961.jpg?1562157263}
c9f30b7a-75bb-44e6-b1a2-726df1b5b1f3|Leonin Den-Guard|{1}{W}|Creature - Cat Soldier|1|3|As long as this creature is equipped, it gets +1/+1 and has vigilance.<BR><a href="https://api.scryfall.com/cards/c9f30b7a-75bb-44e6-b1a2-726df1b5b1f3/rulings">Rulings</a>|Mirrodin|Common||Todd Lockwood|9|R$ 0.12 F$ 0.97<br>MID: 45958<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mrd/9/leonin-den-guard?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45958&printed=false">Gatherer</a>|45958|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/9/c9f30b7a-75bb-44e6-b1a2-726df1b5b1f3.jpg?1562158157}
e9b766e7-fe4a-47fb-949b-e046b5a38d91|Leonin Elder|{W}|Creature - Cat Cleric|1|1|Whenever an artifact enters, you may gain 1 life.<BR><a href="https://api.scryfall.com/cards/e9b766e7-fe4a-47fb-949b-e046b5a38d91/rulings">Rulings</a>|Mirrodin|Common||Todd Lockwood|10|R$ 0.33 F$ 5.58<br>MID: 46072<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mrd/10/leonin-elder?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=46072&printed=false">Gatherer</a>|46072|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/9/e9b766e7-fe4a-47fb-949b-e046b5a38d91.jpg?1562161847}
