ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
278d7781-ddfe-4bcb-94bd-3c155030dfdc|Anafenza, Kin-Tree Spirit|{W}{W}|Legendary Creature - Spirit Soldier|2|2|Whenever another nontoken creature you control enters, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)|Multiverse Legends|Rare||Domenico Cava|1|MID: 611306<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/mul/1/anafenza-kin-tree-spirit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/278d7781-ddfe-4bcb-94bd-3c155030dfdc.jpg?1682200282}
42496543-db8c-4053-aaf5-8e96948bafb9|Daxos, Blessed by the Sun|{W}{W}|Legendary Enchantment Creature - Demigod|2|*|Daxos's toughness is equal to your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)<br>Whenever another creature you control enters or dies, you gain 1 life.|Multiverse Legends|Uncommon||Jason A. Engle|2|MID: 611307<br>Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/mul/2/daxos-blessed-by-the-sun?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/2/42496543-db8c-4053-aaf5-8e96948bafb9.jpg?1682347253}
0ee0719c-07d0-419a-b6ed-fc3bf982e4d3|Elesh Norn, Grand Cenobite|{5}{W}{W}|Legendary Creature - Phyrexian Praetor|4|7|Vigilance<br>Other creatures you control get +2/+2.<br>Creatures your opponents control get -2/-2.|Multiverse Legends|Mythic||Flavio Girón|3|MID: 611308<br>Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/mul/3/elesh-norn-grand-cenobite?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/e/0ee0719c-07d0-419a-b6ed-fc3bf982e4d3.jpg?1682347264}
5ed8b9c5-8b09-40a0-ae08-bc7a7a391256|Kenrith, the Returned King|{4}{W}|Legendary Creature - Human Noble|5|5|{R}: All creatures gain trample and haste until end of turn.<br>{1}{G}: Put a +1/+1 counter on target creature.<br>{2}{W}: Target player gains 5 life.<br>{3}{U}: Target player draws a card.<br>{4}{B}: Put target creature card from a graveyard onto the battlefield under its owner's control.|Multiverse Legends|Mythic||Aaron Miller|4|MID: 611309<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/mul/4/kenrith-the-returned-king?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5ed8b9c5-8b09-40a0-ae08-bc7a7a391256.jpg?1682200313}
427cf253-71c1-40cf-bdc3-eeb0431ae37f|Kwende, Pride of Femeref|{3}{W}|Legendary Creature - Human Knight|2|2|Double strike<br>Creatures you control with first strike have double strike.|Multiverse Legends|Uncommon||Jody Clark|5|MID: 611310<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/mul/5/kwende-pride-of-femeref?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/2/427cf253-71c1-40cf-bdc3-eeb0431ae37f.jpg?1682200324}
cb7eb35d-2684-40f7-b678-0d9a180c955a|Sram, Senior Edificer|{1}{W}|Legendary Creature - Dwarf Advisor|2|2|Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.|Multiverse Legends|Rare||Adam Paquette|6|MID: 611311<br>Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/mul/6/sram-senior-edificer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/b/cb7eb35d-2684-40f7-b678-0d9a180c955a.jpg?1682347370}
9716a5ff-f1ed-4285-a0a7-68114eeb1ba7|Thalia, Guardian of Thraben|{1}{W}|Legendary Creature - Human Soldier|2|1|First strike<br>Noncreature spells cost {1} more to cast.|Multiverse Legends|Rare||Joshua Alvarado|7|MID: 611312<br>Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/mul/7/thalia-guardian-of-thraben?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/9716a5ff-f1ed-4285-a0a7-68114eeb1ba7.jpg?1682347379}
47eb1fa4-a332-4618-a400-c082719f7d5f|Baral, Chief of Compliance|{1}{U}|Legendary Creature - Human Wizard|1|3|Instant and sorcery spells you cast cost {1} less to cast.<br>Whenever a spell or ability you control counters a spell, you may draw a card. If you do, discard a card.|Multiverse Legends|Rare||Yeong-Hao Han|8|MID: 611313<br>Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/mul/8/baral-chief-of-compliance?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/7/47eb1fa4-a332-4618-a400-c082719f7d5f.jpg?1682347374}
766a0ac7-2051-46f6-a5e5-32fd65b09553|Emry, Lurker of the Loch|{2}{U}|Legendary Creature - Merfolk Wizard|1|2|Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)<br>When Emry enters, mill four cards.<br>{T}: Choose target artifact card in your graveyard. You may cast that card this turn. (You still pay its costs. Timing rules still apply.)|Multiverse Legends|Rare||Wylie Beckert|9|MID: 611314<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/mul/9/emry-lurker-of-the-loch?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/6/766a0ac7-2051-46f6-a5e5-32fd65b09553.jpg?1682200364}
386b9f57-b75c-4431-9abe-a5cec2a35340|Inga Rune-Eyes|{3}{U}|Legendary Creature - Human Wizard|3|3|When Inga Rune-Eyes enters, scry 3.<br>When Inga Rune-Eyes dies, draw three cards if three or more creatures died this turn.|Multiverse Legends|Uncommon||rishxxv|10|MID: 611315<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/mul/10/inga-rune-eyes?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/386b9f57-b75c-4431-9abe-a5cec2a35340.jpg?1682720477}
77fd8de3-bd4a-473d-b1ed-05305ab15d75|Jin-Gitaxias, Core Augur|{8}{U}{U}|Legendary Creature - Phyrexian Praetor|5|4|Flash<br>At the beginning of your end step, draw seven cards.<br>Each opponent's maximum hand size is reduced by seven.|Multiverse Legends|Mythic||Kekai Kotaki|11|MID: 611316<br>Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/mul/11/jin-gitaxias-core-augur?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/7/77fd8de3-bd4a-473d-b1ed-05305ab15d75.jpg?1682347365}
469beb59-1e57-474e-9dcf-9c13957cbfdd|Tetsuko Umezawa, Fugitive|{1}{U}|Legendary Creature - Human Rogue|1|3|Creatures you control with power or toughness 1 or less can't be blocked.|Multiverse Legends|Uncommon||Serena Malyon|12|MID: 611317<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/mul/12/tetsuko-umezawa-fugitive?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/6/469beb59-1e57-474e-9dcf-9c13957cbfdd.jpg?1682200394}
e915b51b-761c-432e-9565-f3aca2ca33f7|Ayara, First of Locthwain|{B}{B}{B}|Legendary Creature - Elf Noble|2|3|Whenever Ayara or another black creature you control enters, each opponent loses 1 life and you gain 1 life.<br>{T}, Sacrifice another black creature: Draw a card.|Multiverse Legends|Rare||Omar Rayyan|13|MID: 611318<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/mul/13/ayara-first-of-locthwain?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/9/e915b51b-761c-432e-9565-f3aca2ca33f7.jpg?1682200405}
