ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
871ad2f3-1dd2-45ea-881d-529aad3b76ec|Angelic Favor|{3}{W}|Instant|||If you control a Plains, you may tap an untapped creature you control rather than pay this spell's mana cost.<br>Cast this spell only during combat.<br>Create a 4/4 white Angel creature token with flying. Exile it at the beginning of the next end step.|Nemesis|Uncommon||Paolo Parente|1|MID: 21258<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/nem/1/angelic-favor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/871ad2f3-1dd2-45ea-881d-529aad3b76ec.jpg?1562630884}
fcf6f711-c0bc-4e12-b9d0-41581924e13c|Avenger en-Dal|{1}{W}|Creature - Human Spellshaper|1|1|{2}{W}, {T}, Discard a card: Exile target attacking creature. Its controller gains life equal to its toughness.|Nemesis|Rare||Ron Spencer|2|MID: 21263<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/nem/2/avenger-en-dal?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/c/fcf6f711-c0bc-4e12-b9d0-41581924e13c.jpg?1562632893}
48c25553-6554-4e31-9012-c50da1f0a171|Blinding Angel|{3}{W}{W}|Creature - Angel|2|4|Flying (This creature can't be blocked except by creatures with flying or reach.)<br>Whenever this creature deals combat damage to a player, that player skips their next combat phase.|Nemesis|Rare||Todd Lockwood|3|MID: 21273<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/nem/3/blinding-angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/8/48c25553-6554-4e31-9012-c50da1f0a171.jpg?1562629720}
0c1f49bc-d144-466f-8795-c0dae7afdc10|Chieftain en-Dal|{1}{W}{W}|Creature - Human Knight|2|2|Whenever this creature attacks, attacking creatures gain first strike until end of turn.|Nemesis|Uncommon||Dany Orizio|4|MID: 21264<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/nem/4/chieftain-en-dal?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/c/0c1f49bc-d144-466f-8795-c0dae7afdc10.jpg?1562628611}
e7b224b7-d5f7-4515-beca-523f305ee3b8|Defender en-Vec|{3}{W}|Creature - Human Cleric|2|4|Fading 4 (This creature enters with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)<br>Remove a fade counter from this creature: Prevent the next 2 damage that would be dealt to any target this turn.|Nemesis|Common||Bradley Williams|5|MID: 22026<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/nem/5/defender-en-vec?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/7/e7b224b7-d5f7-4515-beca-523f305ee3b8.jpg?1562632613}
4c80032b-daeb-4661-9a66-61abe9d12ddd|Defiant Falcon|{1}{W}|Creature - Rebel Bird|1|1|Flying<br>{4}, {T}: Search your library for a Rebel permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.|Nemesis|Common||Heather Hudson|6|MID: 21251<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/nem/6/defiant-falcon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/c/4c80032b-daeb-4661-9a66-61abe9d12ddd.jpg?1562629779}
4c0bd267-59ec-41df-b0b7-37f6e6d6b073|Defiant Vanguard|{2}{W}|Creature - Human Rebel|2|2|When this creature blocks, at end of combat, destroy it and all creatures it blocked this turn.<br>{5}, {T}: Search your library for a Rebel permanent card with mana value 4 or less, put it onto the battlefield, then shuffle.|Nemesis|Uncommon||Pete Venters|7|MID: 21266<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/nem/7/defiant-vanguard?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/c/4c0bd267-59ec-41df-b0b7-37f6e6d6b073.jpg?1562629767}
be0ed1fb-d380-4e3e-a43f-c39660a996e9|Fanatical Devotion|{2}{W}|Enchantment|||Sacrifice a creature: Regenerate target creature.|Nemesis|Common||Massimilano Frezzato|8|MID: 21260<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/nem/8/fanatical-devotion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/be0ed1fb-d380-4e3e-a43f-c39660a996e9.jpg?1562631775}
fd7451cc-4126-4518-a103-2558fa81323f|Lashknife|{1}{W}|Enchantment - Aura|||If you control a Plains, you may tap an untapped creature you control rather than pay this spell's mana cost.<br>Enchant creature<br>Enchanted creature has first strike.|Nemesis|Common||Hannibal King|9|MID: 21257<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/nem/9/lashknife?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fd7451cc-4126-4518-a103-2558fa81323f.jpg?1562632899}
2d76b7e3-6890-4120-8575-732909c8bdff|Lawbringer|{2}{W}|Creature - Kor Rebel|2|2|{T}, Sacrifice this creature: Exile target red creature.|Nemesis|Common||Matt Cavotta|10|MID: 21255<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/nem/10/lawbringer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2d76b7e3-6890-4120-8575-732909c8bdff.jpg?1562629226}
