ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
f9287151-95df-4f5a-b32a-4b0aea825452|Karn Liberated|{7}|Legendary Planeswalker - Karn|||+4: Target player exiles a card from their hand.<br>−3: Exile target permanent.<br>−14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn. Then put those cards onto the battlefield under your control.<BR><a href="https://api.scryfall.com/cards/f9287151-95df-4f5a-b32a-4b0aea825452/rulings">Rulings</a>|New Phyrexia|Mythic||Jason Chan|1|R$ 4.39 F$ 15.64<br>MID: 214350<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/1/karn-liberated?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=214350&printed=false">Gatherer</a>|214350|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f9287151-95df-4f5a-b32a-4b0aea825452.jpg?1562882947}
9f7c3571-925d-486e-80dd-bac47aa48283|Apostle's Blessing|{1}{WP}|Instant|||({W/P} can be paid with either {W} or 2 life.)<br>Target artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.<BR><a href="https://api.scryfall.com/cards/9f7c3571-925d-486e-80dd-bac47aa48283/rulings">Rulings</a>|New Phyrexia|Common||Brad Rigney|2|R$ 0.34 F$ 4.34<br>MID: 194208<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/2/apostles-blessing?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=194208&printed=false">Gatherer</a>|194208|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/f/9f7c3571-925d-486e-80dd-bac47aa48283.jpg?1562880233}
deffb601-6a53-4d88-a6af-686ce97eb4f0|Auriok Survivors|{5}{W}|Creature - Human Soldier|4|6|When this creature enters, you may return target Equipment card from your graveyard to the battlefield. If you do, you may attach it to this creature.<BR><a href="https://api.scryfall.com/cards/deffb601-6a53-4d88-a6af-686ce97eb4f0/rulings">Rulings</a>|New Phyrexia|Uncommon||James Ryman|3|R$ 0.14 F$ 0.10<br>MID: 214353<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/3/auriok-survivors?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=214353&printed=false">Gatherer</a>|214353|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/deffb601-6a53-4d88-a6af-686ce97eb4f0.jpg?1562882106}
b8e56a28-713b-4a13-a601-1128cf117539|Blade Splicer|{2}{W}|Creature - Phyrexian Human Artificer|1|1|When this creature enters, create a 3/3 colorless Phyrexian Golem artifact creature token.<br>Golems you control have first strike.<BR><a href="https://api.scryfall.com/cards/b8e56a28-713b-4a13-a601-1128cf117539/rulings">Rulings</a>|New Phyrexia|Rare||Greg Staples|4|R$ 0.34 F$ 0.72<br>MID: 233068<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/4/blade-splicer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=233068&printed=false">Gatherer</a>|233068|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/8/b8e56a28-713b-4a13-a601-1128cf117539.jpg?1562880986}
07592731-68be-4218-bb2c-c2523c5a27f1|Cathedral Membrane|{1}{WP}|Artifact Creature - Phyrexian Wall|0|3|({W/P} can be paid with either {W} or 2 life.)<br>Defender<br>When this creature dies during combat, it deals 6 damage to each creature it blocked this combat.<BR><a href="https://api.scryfall.com/cards/07592731-68be-4218-bb2c-c2523c5a27f1/rulings">Rulings</a>|New Phyrexia|Uncommon||Richard Whitters|5|R$ 0.25 F$ 1.43<br>MID: 218024<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/5/cathedral-membrane?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=218024&printed=false">Gatherer</a>|218024|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/07592731-68be-4218-bb2c-c2523c5a27f1.jpg?1562875353}
be1b482a-badb-4b9a-ab63-2e7944826aa0|Chancellor of the Annex|{4}{W}{W}{W}|Creature - Phyrexian Angel|5|6|You may reveal this card from your opening hand. If you do, when each opponent casts their first spell of the game, counter that spell unless that player pays {1}.<br>Flying<br>Whenever an opponent casts a spell, counter it unless that player pays {1}.<BR><a href="https://api.scryfall.com/cards/be1b482a-badb-4b9a-ab63-2e7944826aa0/rulings">Rulings</a>|New Phyrexia|Rare||Min Yum|6|R$ 1.82 F$ 35.25<br>MID: 218083<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/6/chancellor-of-the-annex?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=218083&printed=false">Gatherer</a>|218083|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/be1b482a-badb-4b9a-ab63-2e7944826aa0.jpg?1562881152}
496634f9-1271-4be7-bad5-364bb87a6962|Dispatch|{W}|Instant|||Tap target creature.<br>Metalcraft — If you control three or more artifacts, exile that creature.<BR><a href="https://api.scryfall.com/cards/496634f9-1271-4be7-bad5-364bb87a6962/rulings">Rulings</a>|New Phyrexia|Uncommon||Erica Yang|7|R$ 0.78 F$ 22.93<br>MID: 218072<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/7/dispatch?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=218072&printed=false">Gatherer</a>|218072|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/9/496634f9-1271-4be7-bad5-364bb87a6962.jpg?1562877282}
a7159850-964b-4f12-957f-614eb0570544|Due Respect|{1}{W}|Instant|||Permanents enter tapped this turn.<br>Draw a card.<BR><a href="https://api.scryfall.com/cards/a7159850-964b-4f12-957f-614eb0570544/rulings">Rulings</a>|New Phyrexia|Uncommon||James Ryman|8|R$ 0.22 F$ 0.58<br>MID: 233077<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/8/due-respect?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=233077&printed=false">Gatherer</a>|233077|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a7159850-964b-4f12-957f-614eb0570544.jpg?1562880485}
b66390d6-1649-4bfa-92d3-77664650d552|Elesh Norn, Grand Cenobite|{5}{W}{W}|Legendary Creature - Phyrexian Praetor|4|7|Vigilance<br>Other creatures you control get +2/+2.<br>Creatures your opponents control get -2/-2.<BR><a href="https://api.scryfall.com/cards/b66390d6-1649-4bfa-92d3-77664650d552/rulings">Rulings</a>|New Phyrexia|Mythic||Igor Kieryluk|9|R$ 17.26 F$ 57.38<br>MID: 214352<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/9/elesh-norn-grand-cenobite?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=214352&printed=false">Gatherer</a>|214352|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/6/b66390d6-1649-4bfa-92d3-77664650d552.jpg?1562880933}
9e3b826a-7349-45ae-89bf-675fea7ce8e3|Exclusion Ritual|{4}{W}{W}|Enchantment|||Imprint — When this enchantment enters, exile target nonland permanent.<br>Players can't cast spells with the same name as the exiled card.<BR><a href="https://api.scryfall.com/cards/9e3b826a-7349-45ae-89bf-675fea7ce8e3/rulings">Rulings</a>|New Phyrexia|Uncommon||Daniel Ljunggren|10|R$ 0.19 F$ 0.50<br>MID: 214364<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/10/exclusion-ritual?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=214364&printed=false">Gatherer</a>|214364|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9e3b826a-7349-45ae-89bf-675fea7ce8e3.jpg?1562880207}
e050701d-4609-470d-85ff-4b7638893c6a|Forced Worship|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack.<br>{2}{W}: Return this Aura to its owner's hand.<BR><a href="https://api.scryfall.com/cards/e050701d-4609-470d-85ff-4b7638893c6a/rulings">Rulings</a>|New Phyrexia|Common||Karl Kopinski|11|R$ 0.06 F$ 0.35<br>MID: 230083<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/11/forced-worship?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=230083&printed=false">Gatherer</a>|230083|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/0/e050701d-4609-470d-85ff-4b7638893c6a.jpg?1562882126}
49e241a0-a027-494b-8187-6ecb006d1d33|Inquisitor Exarch|{W}{W}|Creature - Phyrexian Cleric|2|2|When this creature enters, choose one —<br>• You gain 2 life.<br>• Target opponent loses 2 life.<BR><a href="https://api.scryfall.com/cards/49e241a0-a027-494b-8187-6ecb006d1d33/rulings">Rulings</a>|New Phyrexia|Uncommon||Igor Kieryluk|12|R$ 0.19 F$ 1.75<br>MID: 218070<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/12/inquisitor-exarch?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=218070&printed=false">Gatherer</a>|218070|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/9/49e241a0-a027-494b-8187-6ecb006d1d33.jpg?1562877293}
8209fa5d-2c0e-4827-813b-fff123533f16|Lost Leonin|{1}{W}|Creature - Phyrexian Cat Soldier|2|1|Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)<BR><a href="https://api.scryfall.com/cards/8209fa5d-2c0e-4827-813b-fff123533f16/rulings">Rulings</a>|New Phyrexia|Common||Min Yum|13|R$ 0.22 F$ 4.98<br>MID: 218053<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/nph/13/lost-leonin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=218053&printed=false">Gatherer</a>|218053|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/2/8209fa5d-2c0e-4827-813b-fff123533f16.jpg?1562879208}
