ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
17b941e9-5dcc-473e-a461-709d74e32a3c|All in Good Time||Scheme|||When you set this scheme in motion, take an extra turn after this one. Schemes can't be set in motion that turn.|Archenemy Schemes|Common||Nic Klein|1★|MID: 212648<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/oarc/1%E2%98%85/all-in-good-time?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=212648&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/17b941e9-5dcc-473e-a461-709d74e32a3c.jpg?1562252328, GATHERERID=212648}
c07620a1-dc3f-49a7-b2e9-aaff19faa85a|All Shall Smolder in My Wake||Scheme|||When you set this scheme in motion, destroy up to one target artifact, up to one target enchantment, and up to one target nonbasic land.|Archenemy Schemes|Common||Jim Nelson|2★|MID: 212617<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/oarc/2%E2%98%85/all-shall-smolder-in-my-wake?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=212617&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c07620a1-dc3f-49a7-b2e9-aaff19faa85a.jpg?1562252694, GATHERERID=212617}
6fdcf1f6-6cb5-467e-90ed-66d7c51ff485|Approach My Molten Realm||Scheme|||When you set this scheme in motion, until your next turn, if a source would deal damage, it deals double that damage instead.|Archenemy Schemes|Common||Jim Pavelec|3★|MID: 212591<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/oarc/3%E2%98%85/approach-my-molten-realm?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=212591&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/f/6fdcf1f6-6cb5-467e-90ed-66d7c51ff485.jpg?1562252563, GATHERERID=212591}
1f4f7e7d-a7e0-4b1e-89e4-c2a6b903d784|Behold the Power of Destruction||Scheme|||When you set this scheme in motion, destroy all nonland permanents target opponent controls.|Archenemy Schemes|Common||Jesper Ejsing|4★|MID: 212585<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/oarc/4%E2%98%85/behold-the-power-of-destruction?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=212585&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1f4f7e7d-a7e0-4b1e-89e4-c2a6b903d784.jpg?1562252368, GATHERERID=212585}
f0349a40-d7c9-429e-99d3-709883712c8c|Choose Your Champion||Scheme|||When you set this scheme in motion, target opponent chooses a player. Until your next turn, only you and the chosen player can cast spells and attack with creatures.|Archenemy Schemes|Common||Jim Nelson|5★|MID: 212581<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/oarc/5%E2%98%85/choose-your-champion?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=212581&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f0349a40-d7c9-429e-99d3-709883712c8c.jpg?1562252974, GATHERERID=212581}
d65edf9e-a859-4314-9e04-0c1d15f1dd39|Dance, Pathetic Marionette||Scheme|||When you set this scheme in motion, each opponent reveals cards from the top of their library until they reveal a creature card. Choose one of the revealed creature cards and put it onto the battlefield under your control. Put all other cards revealed this way into their owners' graveyards.|Archenemy Schemes|Common||Steve Prescott|6★|MID: 212610<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/oarc/6%E2%98%85/dance-pathetic-marionette?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=212610&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/6/d65edf9e-a859-4314-9e04-0c1d15f1dd39.jpg?1562252756, GATHERERID=212610}
ddd87e69-e660-4ce7-8953-344e2602a999|The Dead Shall Serve||Scheme|||When you set this scheme in motion, for each opponent, put up to one target creature card from that player's graveyard onto the battlefield under your control. Each of those creatures attacks its owner each combat if able.|Archenemy Schemes|Common||Jesper Ejsing|7★|MID: 212613<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/oarc/7%E2%98%85/the-dead-shall-serve?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=212613&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/ddd87e69-e660-4ce7-8953-344e2602a999.jpg?1562252954, GATHERERID=212613}
c5287e77-890d-41bd-acc6-7a8f1866426d|A Display of My Dark Power||Scheme|||When you set this scheme in motion, until your next turn, whenever a player taps a land for mana, that player adds one mana of any type that land produced.|Archenemy Schemes|Common||Jim Nelson|8★|MID: 212578<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/oarc/8%E2%98%85/a-display-of-my-dark-power?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=212578&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c5287e77-890d-41bd-acc6-7a8f1866426d.jpg?1562252706, GATHERERID=212578}
48d8a236-4a89-43ed-8e2b-464770a474b0|Embrace My Diabolical Vision||Scheme|||When you set this scheme in motion, each player shuffles their hand and graveyard into their library. You draw seven cards, then each other player draws four cards.|Archenemy Schemes|Common||Franz Vohwinkel|9★|MID: 212596<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/oarc/9%E2%98%85/embrace-my-diabolical-vision?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=212596&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/8/48d8a236-4a89-43ed-8e2b-464770a474b0.jpg?1562252482, GATHERERID=212596}
7b149aac-b827-4f0b-a8de-0051777bd90e|Every Hope Shall Vanish||Scheme|||When you set this scheme in motion, each opponent reveals their hand. Choose a nonland card from each of those hands. Those players discard those cards.|Archenemy Schemes|Common||John Stanko|10★|MID: 212593<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/oarc/10%E2%98%85/every-hope-shall-vanish?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=212593&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/b/7b149aac-b827-4f0b-a8de-0051777bd90e.jpg?1562252573, GATHERERID=212593}
