ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
3f770c56-58ea-4b70-b9b6-9b2cb13e2234|Academy at Tolaria West||Plane - Dominaria|||At the beginning of your end step, if you have no cards in hand, draw seven cards.<br>Whenever chaos ensues, discard your hand.<BR><a href="https://api.scryfall.com/cards/3f770c56-58ea-4b70-b9b6-9b2cb13e2234/rulings">Rulings</a>|Planechase Planes|Common||James Paick|1|R$ 7.84 <br>MID: 198073<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ohop/1/academy-at-tolaria-west?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198073&printed=false">Gatherer</a>|198073|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3f770c56-58ea-4b70-b9b6-9b2cb13e2234.jpg?1547434215}
79dcf946-f5b1-4f8c-ba2b-d1f912946144|The Aether Flues||Plane - Iquatana|||When you planeswalk to The Aether Flues and at the beginning of your upkeep, you may sacrifice a creature. If you do, reveal cards from the top of your library until you reveal a creature card, put that card onto the battlefield, then shuffle all other cards revealed this way into your library.<br>Whenever chaos ensues, you may put a creature card from your hand onto the battlefield.<BR><a href="https://api.scryfall.com/cards/79dcf946-f5b1-4f8c-ba2b-d1f912946144/rulings">Rulings</a>|Planechase Planes|Common||Jason A. Engle|2|MID: 198098<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ohop/2/the-aether-flues?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198098&printed=false">Gatherer</a>|198098|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/79dcf946-f5b1-4f8c-ba2b-d1f912946144.jpg?1547434391}
3d03025d-a53e-4bd4-9f21-1249d0af5bc2|Agyrem||Plane - Ravnica|||Whenever a white creature dies, return it to the battlefield under its owner's control at the beginning of the next end step.<br>Whenever a nonwhite creature dies, return it to its owner's hand at the beginning of the next end step.<br>Whenever chaos ensues, creatures can't attack you until a player planeswalks.<BR><a href="https://api.scryfall.com/cards/3d03025d-a53e-4bd4-9f21-1249d0af5bc2/rulings">Rulings</a>|Planechase Planes|Common||Todd Lockwood|3|R$ 3.90 <br>MID: 198090<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ohop/3/agyrem?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198090&printed=false">Gatherer</a>|198090|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3d03025d-a53e-4bd4-9f21-1249d0af5bc2.jpg?1547434423}
95e19068-54e6-46a0-b341-9039382fe463|Bant||Plane - Alara|||All creatures have exalted. (Whenever a creature attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents its controller controls.)<br>Whenever chaos ensues, put a divinity counter on target green, white, or blue creature. That creature has indestructible for as long as it has a divinity counter on it.<BR><a href="https://api.scryfall.com/cards/95e19068-54e6-46a0-b341-9039382fe463/rulings">Rulings</a>|Planechase Planes|Common||Michael Komarck|4|R$ 7.21 <br>MID: 198099<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ohop/4/bant?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198099&printed=false">Gatherer</a>|198099|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/5/95e19068-54e6-46a0-b341-9039382fe463.jpg?1547434115}
8f1db58b-e199-4417-a20e-6a4ed2cde856|Cliffside Market||Plane - Mercadia|||When you planeswalk to Cliffside Market and at the beginning of your upkeep, you may exchange life totals with target player.<br>Whenever chaos ensues, exchange control of two target permanents that share a card type.<BR><a href="https://api.scryfall.com/cards/8f1db58b-e199-4417-a20e-6a4ed2cde856/rulings">Rulings</a>|Planechase Planes|Common||Matt Stewart|5|R$ 4.44 <br>MID: 198077<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ohop/5/cliffside-market?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198077&printed=false">Gatherer</a>|198077|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f1db58b-e199-4417-a20e-6a4ed2cde856.jpg?1547434332}
379809a2-988b-46a8-a38e-134cee7eeaaf|The Dark Barony||Plane - Ulgrotha|||Whenever a nonblack card is put into a player's graveyard from anywhere, that player loses 1 life.<br>Whenever chaos ensues, each opponent discards a card.<BR><a href="https://api.scryfall.com/cards/379809a2-988b-46a8-a38e-134cee7eeaaf/rulings">Rulings</a>|Planechase Planes|Common||Pete Venters|6|R$ 4.45 <br>MID: 198083<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ohop/6/the-dark-barony?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198083&printed=false">Gatherer</a>|198083|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/7/379809a2-988b-46a8-a38e-134cee7eeaaf.jpg?1547434254}
691cdea0-d9ed-4cee-884c-32b8420e974c|Eloren Wilds||Plane - Shandalar|||Whenever a player taps a permanent for mana, that player adds one mana of any type that permanent produced.<br>Whenever chaos ensues, target player can't cast spells until a player planeswalks.<BR><a href="https://api.scryfall.com/cards/691cdea0-d9ed-4cee-884c-32b8420e974c/rulings">Rulings</a>|Planechase Planes|Common||Darrell Riche|7|R$ 3.82 <br>MID: 198109<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ohop/7/eloren-wilds?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198109&printed=false">Gatherer</a>|198109|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/9/691cdea0-d9ed-4cee-884c-32b8420e974c.jpg?1547434164}
c13ee1df-b481-4f09-87e5-3366967d136c|The Eon Fog||Plane - Equilor|||Players skip their untap steps.<br>Whenever chaos ensues, untap all permanents you control.<BR><a href="https://api.scryfall.com/cards/c13ee1df-b481-4f09-87e5-3366967d136c/rulings">Rulings</a>|Planechase Planes|Common||Jaime Jones|8|R$ 4.00 <br>MID: 198092<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ohop/8/the-eon-fog?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198092&printed=false">Gatherer</a>|198092|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c13ee1df-b481-4f09-87e5-3366967d136c.jpg?1547434402}
206d6c77-9754-45db-9bf7-819d9c4a6fbc|Feeding Grounds||Plane - Muraganda|||Red spells cost {1} less to cast.<br>Green spells cost {1} less to cast.<br>Whenever chaos ensues, put X +1/+1 counters on target creature, where X is that creature's mana value.<BR><a href="https://api.scryfall.com/cards/206d6c77-9754-45db-9bf7-819d9c4a6fbc/rulings">Rulings</a>|Planechase Planes|Common||Matt Stewart|9|R$ 6.68 <br>MID: 198066<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ohop/9/feeding-grounds?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198066&printed=false">Gatherer</a>|198066|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/0/206d6c77-9754-45db-9bf7-819d9c4a6fbc.jpg?1547434235}
08445a56-25a9-40be-bcf1-a147733d6f0a|Fields of Summer||Plane - Moag|||Whenever a player casts a spell, that player may gain 2 life.<br>Whenever chaos ensues, you may gain 10 life.<BR><a href="https://api.scryfall.com/cards/08445a56-25a9-40be-bcf1-a147733d6f0a/rulings">Rulings</a>|Planechase Planes|Common||Daniel Ljunggren|10|R$ 2.50 <br>MID: 198097<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ohop/10/fields-of-summer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198097&printed=false">Gatherer</a>|198097|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/8/08445a56-25a9-40be-bcf1-a147733d6f0a.jpg?1547434273}
