ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
f2a70628-b1ea-4d41-b6a1-1d1150018ffd|Plains||Basic Land - Plains|||({T}: Add {W}.)|Oversized League Prizes|Rare||Tony Roberts|1|Finishes: nonfoil:<br>https://scryfall.com/card/olep/1/plains?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f2a70628-b1ea-4d41-b6a1-1d1150018ffd.jpg?1661824314}
285d91c2-6128-4dc3-b573-065ddf8bd54e|Island||Basic Land - Island|||({T}: Add {U}.)|Oversized League Prizes|Rare||Tony Roberts|2|Finishes: nonfoil:<br>https://scryfall.com/card/olep/2/island?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/285d91c2-6128-4dc3-b573-065ddf8bd54e.jpg?1661824340}
3f8c0338-626b-44cb-b6ce-18879f59a94c|Swamp||Basic Land - Swamp|||({T}: Add {B}.)|Oversized League Prizes|Rare||Tony Roberts|3|Finishes: nonfoil:<br>https://scryfall.com/card/olep/3/swamp?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3f8c0338-626b-44cb-b6ce-18879f59a94c.jpg?1661824362}
870b7039-e8b5-4c11-ad12-9d083d1dc235|Mountain||Basic Land - Mountain|||({T}: Add {R}.)|Oversized League Prizes|Rare||Tony Roberts|4|Finishes: nonfoil:<br>https://scryfall.com/card/olep/4/mountain?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/870b7039-e8b5-4c11-ad12-9d083d1dc235.jpg?1661824384}
455f0a21-61d7-43b1-9011-f025a2ee1c44|Forest||Basic Land - Forest|||({T}: Add {G}.)|Oversized League Prizes|Rare||Tony Roberts|5|Finishes: nonfoil:<br>https://scryfall.com/card/olep/5/forest?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/5/455f0a21-61d7-43b1-9011-f025a2ee1c44.jpg?1661824406}
716c7757-d27d-4726-a45e-c154844a52c2|Icy Manipulator|{4}|Artifact|||{1}, {T}: Tap target artifact, creature, or land.|Oversized League Prizes|Rare||Douglas Shuler|6|Finishes: nonfoil:<br>https://scryfall.com/card/olep/6/icy-manipulator?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/1/716c7757-d27d-4726-a45e-c154844a52c2.jpg?1661824432}
3bb47025-abe1-41c5-aa3f-77e198949f2b|Wheel of Fortune|{2}{R}|Sorcery|||Each player discards their hand, then draws seven cards.|Oversized League Prizes|Rare||Daniel Gelon|7|Finishes: nonfoil:<br>https://scryfall.com/card/olep/7/wheel-of-fortune?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/b/3bb47025-abe1-41c5-aa3f-77e198949f2b.jpg?1661824450}
5c51ee28-bf22-4d2c-bf05-ae9e63046cc0|Erhnam Djinn|{3}{G}|Creature - Djinn|4|5|At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep. (It can't be blocked as long as defending player controls a Forest.)|Oversized League Prizes|Rare||Ken Meyer, Jr.|8|Finishes: nonfoil:<br>https://scryfall.com/card/olep/8/erhnam-djinn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/c/5c51ee28-bf22-4d2c-bf05-ae9e63046cc0.jpg?1661824469}
fbb93061-e684-4a8b-b20e-4a8478ab9607|Erhnam Djinn|{3}{G}|Creature - Djinn|4|5|At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep. (It can't be blocked as long as defending player controls a Forest.)|Oversized League Prizes|Rare||Ken Meyer, Jr.|9|Finishes: nonfoil:<br>https://scryfall.com/card/olep/9/erhnam-djinn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fbb93061-e684-4a8b-b20e-4a8478ab9607.jpg?1661824493}
5ede4eb3-13c7-4526-9ce4-dc105fb79227|Balduvian Horde|{2}{R}{R}|Creature - Human Barbarian|5|5|When this creature enters, sacrifice it unless you discard a card at random.|Oversized League Prizes|Rare||Brian Snõddy|10|Finishes: nonfoil:<br>https://scryfall.com/card/olep/10/balduvian-horde?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5ede4eb3-13c7-4526-9ce4-dc105fb79227.jpg?1661824521}
