ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
ab866ec4-dcb4-47ef-8de1-a369986609c0|Ixhel, Scion of Atraxa|{1}{W}{B}{G}|Legendary Creature - Phyrexian Angel|2|5|Flying, vigilance, toxic 2<br>Corrupted — At the beginning of your end step, each opponent who has three or more poison counters exiles the top card of their library face down. You may look at and play those cards for as long as they remain exiled, and you may spend mana as though it were mana of any color to cast those spells.<BR><a href="https://api.scryfall.com/cards/ab866ec4-dcb4-47ef-8de1-a369986609c0/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Mythic||Campbell White|1|R$ 2.73 F$ 1.56<br>MID: 605655<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/onc/1/ixhel-scion-of-atraxa?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605655&printed=false">Gatherer</a>|605655|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/ab866ec4-dcb4-47ef-8de1-a369986609c0.jpg?1738281205}
2b5df03d-2463-468b-b444-d946eeb1c96d|Neyali, Suns' Vanguard|{2}{R}{W}|Legendary Creature - Human Rebel|3|3|Attacking tokens you control have double strike.<br>Whenever one or more tokens you control attack a player, exile the top card of your library. During any turn you attacked with a token, you may play that card.<BR><a href="https://api.scryfall.com/cards/2b5df03d-2463-468b-b444-d946eeb1c96d/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Mythic||Bryan Sola|2|R$ 1.76 F$ 2.00<br>MID: 605656<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/onc/2/neyali-suns-vanguard?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605656&printed=false">Gatherer</a>|605656|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/b/2b5df03d-2463-468b-b444-d946eeb1c96d.jpg?1738281219}
80c72839-0fa6-4b5f-83b7-6553ebf09bef|Otharri, Suns' Glory|{3}{R}{W}|Legendary Creature - Phoenix|3|3|Flying, lifelink, haste<br>Whenever Otharri attacks, you get an experience counter. Then create a 2/2 red Rebel creature token that's tapped and attacking for each experience counter you have.<br>{2}{R}{W}, Tap an untapped Rebel you control: Return this card from your graveyard to the battlefield tapped.<BR><a href="https://api.scryfall.com/cards/80c72839-0fa6-4b5f-83b7-6553ebf09bef/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Mythic||Marta Nael|3|R$ 7.85 F$ 9.95<br>MID: 605671<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/onc/3/otharri-suns-glory?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605671&printed=false">Gatherer</a>|605671|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/0/80c72839-0fa6-4b5f-83b7-6553ebf09bef.jpg?1738281232}
fb1d33b2-9082-4043-8e52-a5c2f3a174ba|Vishgraz, the Doomhive|{2}{W}{B}{G}|Legendary Creature - Phyrexian Insect|3|3|Menace, toxic 1 (Players dealt combat damage by this creature also get a poison counter.)<br>When Vishgraz enters, create three 1/1 colorless Phyrexian Mite artifact creature tokens with toxic 1 and "This token can't block."<br>Vishgraz gets +1/+1 for each poison counter your opponents have.<BR><a href="https://api.scryfall.com/cards/fb1d33b2-9082-4043-8e52-a5c2f3a174ba/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Mythic||Andrew Mar|4|R$ 0.89 F$ 0.88<br>MID: 605672<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/onc/4/vishgraz-the-doomhive?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605672&printed=false">Gatherer</a>|605672|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fb1d33b2-9082-4043-8e52-a5c2f3a174ba.jpg?1738281245}
5d84cc58-0965-4c7f-a408-7630f23fb8f3|Clever Concealment|{2}{W}{W}|Instant|||Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)<br>Any number of target nonland permanents you control phase out. (Treat them and anything attached to them as though they don't exist until your next turn.)<BR><a href="https://api.scryfall.com/cards/5d84cc58-0965-4c7f-a408-7630f23fb8f3/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Rare||Alexey Kruglov|5|R$ 11.83 <br>MID: 605687<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/onc/5/clever-concealment?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605687&printed=false">Gatherer</a>|605687|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/d/5d84cc58-0965-4c7f-a408-7630f23fb8f3.jpg?1675905567}
c9262000-e6f3-4da1-ad1c-038f65d3bef6|Glimmer Lens|{1}{W}|Artifact - Equipment|||For Mirrodin! (When this Equipment enters, create a 2/2 red Rebel creature token, then attach this to it.)<br>Whenever equipped creature and at least one other creature attack, draw a card.<br>Equip {1}{W}<BR><a href="https://api.scryfall.com/cards/c9262000-e6f3-4da1-ad1c-038f65d3bef6/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Rare||Sidharth Chaturvedi|6|R$ 2.03 <br>MID: 605688<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/onc/6/glimmer-lens?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605688&printed=false">Gatherer</a>|605688|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/9/c9262000-e6f3-4da1-ad1c-038f65d3bef6.jpg?1764758685}
5e50c148-9f30-4131-8ec1-85e9ba8cafbb|Kemba's Banner|{3}{W}|Artifact - Equipment|||For Mirrodin! (When this Equipment enters, create a 2/2 red Rebel creature token, then attach this to it.)<br>Equipped creature gets +1/+1 for each creature you control.<br>Equip {2}{W}<BR><a href="https://api.scryfall.com/cards/5e50c148-9f30-4131-8ec1-85e9ba8cafbb/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Rare||Wisnu Tan|7|R$ 0.26 <br>MID: 605689<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/onc/7/kembas-banner?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605689&printed=false">Gatherer</a>|605689|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5e50c148-9f30-4131-8ec1-85e9ba8cafbb.jpg?1675905571}
1da10c9f-4c9f-4eee-8480-665c453215d4|Norn's Choirmaster|{3}{W}{W}|Creature - Phyrexian Angel|5|4|Flying, first strike<br>Whenever a commander you control enters or attacks, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)<BR><a href="https://api.scryfall.com/cards/1da10c9f-4c9f-4eee-8480-665c453215d4/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Rare||Jason A. Engle|8|R$ 14.80 <br>MID: 605690<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/onc/8/norns-choirmaster?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605690&printed=false">Gatherer</a>|605690|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/d/1da10c9f-4c9f-4eee-8480-665c453215d4.jpg?1675905572}
76f28aa2-1c18-4d58-a3f9-6cd5b49280d8|Norn's Decree|{2}{W}|Enchantment|||Whenever one or more creatures an opponent controls deal combat damage to you, that opponent gets a poison counter.<br>Whenever a player attacks, if one or more players being attacked are poisoned, the attacking player draws a card.<BR><a href="https://api.scryfall.com/cards/76f28aa2-1c18-4d58-a3f9-6cd5b49280d8/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Rare||Néstor Ossandón Leal|9|R$ 6.80 <br>MID: 605691<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/onc/9/norns-decree?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605691&printed=false">Gatherer</a>|605691|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/6/76f28aa2-1c18-4d58-a3f9-6cd5b49280d8.jpg?1675905575}
ab1d1461-1625-4163-aacd-a939f4871fad|Staff of the Storyteller|{1}{W}|Artifact|||When this artifact enters, create a 1/1 white Spirit creature token with flying.<br>Whenever you create one or more creature tokens, put a story counter on this artifact.<br>{W}, {T}, Remove a story counter from this artifact: Draw a card.<BR><a href="https://api.scryfall.com/cards/ab1d1461-1625-4163-aacd-a939f4871fad/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Rare||Dan Murayama Scott|10|R$ 2.99 <br>MID: 605692<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/onc/10/staff-of-the-storyteller?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605692&printed=false">Gatherer</a>|605692|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/ab1d1461-1625-4163-aacd-a939f4871fad.jpg?1759826207}
9cdab166-c0d2-45c4-8326-f4670cd7efd4|Geth's Summons|{2}{B}{B}|Sorcery|||Return up to one target creature card from your graveyard to the battlefield.<br>Corrupted — For each opponent who has three or more poison counters as you cast this spell, put up to one target creature card from that player's graveyard onto the battlefield under your control.<BR><a href="https://api.scryfall.com/cards/9cdab166-c0d2-45c4-8326-f4670cd7efd4/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Rare||Johann Bodin|11|R$ 0.71 <br>MID: 605693<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/onc/11/geths-summons?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605693&printed=false">Gatherer</a>|605693|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9cdab166-c0d2-45c4-8326-f4670cd7efd4.jpg?1675905580}
812498c8-974c-460c-b782-506f5f735346|Phyresis Outbreak|{2}{B}|Sorcery|||Each opponent gets a poison counter. Then each creature your opponents control gets -1/-1 until end of turn for each poison counter its controller has.<BR><a href="https://api.scryfall.com/cards/812498c8-974c-460c-b782-506f5f735346/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Rare||Matthew G. Lewis|12|R$ 7.34 <br>MID: 605694<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/onc/12/phyresis-outbreak?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605694&printed=false">Gatherer</a>|605694|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/1/812498c8-974c-460c-b782-506f5f735346.jpg?1675905584}
0cb7f413-f9b9-4b1c-898a-c49c571613f0|Goldwardens' Gambit|{6}{R}{R}|Sorcery|||Affinity for Equipment (This spell costs {1} less to cast for each Equipment you control.)<br>Create five 2/2 red Rebel creature tokens. They gain haste until end of turn. For each of those tokens, you may attach an Equipment you control to it.<BR><a href="https://api.scryfall.com/cards/0cb7f413-f9b9-4b1c-898a-c49c571613f0/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Rare||Manuel Castañón|13|R$ 0.29 <br>MID: 605695<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/onc/13/goldwardens-gambit?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605695&printed=false">Gatherer</a>|605695|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/c/0cb7f413-f9b9-4b1c-898a-c49c571613f0.jpg?1675905584}
f75e6145-79a4-4400-8e0a-c334e4a780fb|Hexplate Wallbreaker|{3}{R}{R}|Artifact - Equipment|||For Mirrodin! (When this Equipment enters, create a 2/2 red Rebel creature token, then attach this to it.)<br>Equipped creature gets +2/+2.<br>Whenever equipped creature attacks, if it's the first combat phase of the turn, untap each attacking creature. After this phase, there is an additional combat phase.<br>Equip {3}{R}<BR><a href="https://api.scryfall.com/cards/f75e6145-79a4-4400-8e0a-c334e4a780fb/rulings">Rulings</a>|Phyrexia: All Will Be One Commander|Rare||Aaron Miller|14|R$ 8.17 <br>MID: 605696<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/onc/14/hexplate-wallbreaker?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=605696&printed=false">Gatherer</a>|605696|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f75e6145-79a4-4400-8e0a-c334e4a780fb.jpg?1675905586}
