ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
fbd897e0-0f6b-4a35-9f33-a16d85ddfad8|Fell the Mighty|{4}{W}|Sorcery|||Destroy all creatures with power greater than target creature's power.|Breaking News|Rare||Magnus Jansson|1|MID: 657746<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/1/fell-the-mighty?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fbd897e0-0f6b-4a35-9f33-a16d85ddfad8.jpg?1712353389}
92270719-352d-426f-b498-fbeaf8fd087b|Fierce Retribution|{1}{W}|Instant|||Cleave {5}{W} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)<br>Destroy target [attacking] creature.|Breaking News|Uncommon||Magnus Jansson|2|MID: 657747<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/2/fierce-retribution?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/2/92270719-352d-426f-b498-fbeaf8fd087b.jpg?1712353389}
442bb671-8b23-4e3b-bf39-18152a68887e|Journey to Nowhere|{1}{W}|Enchantment|||When this enchantment enters, exile target creature.<br>When this enchantment leaves the battlefield, return the exiled card to the battlefield under its owner's control.|Breaking News|Uncommon||Adam Volker|3|MID: 657748<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/3/journey-to-nowhere?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/442bb671-8b23-4e3b-bf39-18152a68887e.jpg?1712353397}
5f48b1fe-175a-40bb-be21-84b5c768403e|Leyline Binding|{5}{W}|Enchantment|||Flash<br>Domain — This spell costs {1} less to cast for each basic land type among lands you control.<br>When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.|Breaking News|Mythic||Yohann Schepacz|4|MID: 657749<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/4/leyline-binding?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5f48b1fe-175a-40bb-be21-84b5c768403e.jpg?1712353398}
1995fed6-992f-4333-afa6-63d61cfdfa00|Pariah|{2}{W}|Enchantment - Aura|||Enchant creature<br>All damage that would be dealt to you is dealt to enchanted creature instead.|Breaking News|Rare||Magnus Jansson|5|MID: 657750<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/5/pariah?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/9/1995fed6-992f-4333-afa6-63d61cfdfa00.jpg?1712353406}
aa112736-7596-448a-be2f-0798acb3b2ee|Path to Exile|{W}|Instant|||Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.|Breaking News|Rare||Calder Moore|6|MID: 657751<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/6/path-to-exile?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/a/aa112736-7596-448a-be2f-0798acb3b2ee.jpg?1712859024}
defa687c-a064-4a7b-afa2-3c3ecdb5e13f|Archive Trap|{3}{U}{U}|Instant - Trap|||If an opponent searched their library this turn, you may pay {0} rather than pay this spell's mana cost.<br>Target opponent mills thirteen cards.|Breaking News|Rare||William Tempest|7|MID: 657752<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/7/archive-trap?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/defa687c-a064-4a7b-afa2-3c3ecdb5e13f.jpg?1712353415}
44fe86de-c131-41b2-a06a-827b4d374a6d|Archmage's Charm|{U}{U}{U}|Instant|||Choose one —<br>• Counter target spell.<br>• Target player draws two cards.<br>• Gain control of target nonland permanent with mana value 1 or less.|Breaking News|Rare||Justine Mara Andersen|8|MID: 657753<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/8/archmages-charm?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/44fe86de-c131-41b2-a06a-827b4d374a6d.jpg?1712353415}
e473db8a-ee0e-4753-aaab-76eda5808075|Commandeer|{5}{U}{U}|Instant|||You may exile two blue cards from your hand rather than pay this spell's mana cost.<br>Gain control of target noncreature spell. You may choose new targets for it. (If that spell is an artifact, enchantment, or planeswalker, the permanent enters under your control.)|Breaking News|Rare||Magnus Jansson|9|MID: 657754<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/9/commandeer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/4/e473db8a-ee0e-4753-aaab-76eda5808075.jpg?1712353423}
d2bcfba6-fbd8-487c-8a89-2327c3d07870|Essence Capture|{U}{U}|Instant|||Counter target creature spell. Put a +1/+1 counter on up to one target creature you control.|Breaking News|Uncommon||Adam Volker|10|MID: 657755<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/10/essence-capture?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d2bcfba6-fbd8-487c-8a89-2327c3d07870.jpg?1712353424}
4c7f0ea5-a142-4157-b85d-ec49dd79adf6|Mana Drain|{U}{U}|Instant|||Counter target spell. At the beginning of your next main phase, add an amount of {C} equal to that spell's mana value.|Breaking News|Mythic||Florey|11|MID: 657756<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/11/mana-drain?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/c/4c7f0ea5-a142-4157-b85d-ec49dd79adf6.jpg?1748079663}
4ddb33dd-a92a-4f71-bcb3-56678ef5e45d|Mindbreak Trap|{2}{U}{U}|Instant - Trap|||If an opponent cast three or more spells this turn, you may pay {0} rather than pay this spell's mana cost.<br>Exile any number of target spells.|Breaking News|Mythic||Arik Roper|12|MID: 657757<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/12/mindbreak-trap?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/d/4ddb33dd-a92a-4f71-bcb3-56678ef5e45d.jpg?1712353434}
88941ed3-1cae-47ce-8ccb-938c5d0e767f|Repulse|{2}{U}|Instant|||Return target creature to its owner's hand.<br>Draw a card.|Breaking News|Uncommon||Mark A. Nelson|13|MID: 657758<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/13/repulse?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/88941ed3-1cae-47ce-8ccb-938c5d0e767f.jpg?1712353439}
d06a1a70-aa26-4178-8486-e0a25c907cdb|Heartless Pillage|{2}{B}|Sorcery|||Target opponent discards two cards.<br>Raid — If you attacked this turn, create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.")|Breaking News|Uncommon||Mark A. Nelson|14|MID: 657759<br>Finishes: nonfoil:foil:<br>Promos: boosterfun:<br>https://scryfall.com/card/otp/14/heartless-pillage?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/0/d06a1a70-aa26-4178-8486-e0a25c907cdb.jpg?1712353444}
