ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
b677f531-27e3-4bda-9670-6a1927ac307a|Greater Auramancy|{1}{W}|Enchantment|||Other enchantments you control have shroud. (A permanent with shroud can't be the target of spells or abilities.)<br>Enchanted creatures you control have shroud.<BR><a href="https://api.scryfall.com/cards/b677f531-27e3-4bda-9670-6a1927ac307a/rulings">Rulings</a>|Judge Gift Cards 2022|Rare||Lucas Graciano|1|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/p22/1/greater-auramancy?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/6/b677f531-27e3-4bda-9670-6a1927ac307a.jpg?1655488449}
88826cb1-a31b-499f-bcac-e1a3de956db1|Omniscience|{7}{U}{U}{U}|Enchantment|||You may cast spells from your hand without paying their mana costs.<BR><a href="https://api.scryfall.com/cards/88826cb1-a31b-499f-bcac-e1a3de956db1/rulings">Rulings</a>|Judge Gift Cards 2022|Rare||Alayna Danner|2|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/p22/2/omniscience?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/88826cb1-a31b-499f-bcac-e1a3de956db1.jpg?1655488432}
c532c697-2a66-4c69-a785-59822581b379|Parallel Lives|{3}{G}|Enchantment|||If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.<BR><a href="https://api.scryfall.com/cards/c532c697-2a66-4c69-a785-59822581b379/rulings">Rulings</a>|Judge Gift Cards 2022|Rare||Greg Staples|3|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/p22/3/parallel-lives?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c532c697-2a66-4c69-a785-59822581b379.jpg?1651636215}
53745403-f855-42a2-9767-0092c9f1f18b|Stranglehold|{3}{R}|Enchantment|||Your opponents can't search libraries.<br>If an opponent would begin an extra turn, that player skips that turn instead.<BR><a href="https://api.scryfall.com/cards/53745403-f855-42a2-9767-0092c9f1f18b/rulings">Rulings</a>|Judge Gift Cards 2022|Rare||Ralph Horsley|4|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/p22/4/stranglehold?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/3/53745403-f855-42a2-9767-0092c9f1f18b.jpg?1660636716}
24921817-36fe-4a2d-86e7-d3749bb8da32|Smothering Tithe|{3}{W}|Enchantment|||Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.")<BR><a href="https://api.scryfall.com/cards/24921817-36fe-4a2d-86e7-d3749bb8da32/rulings">Rulings</a>|Judge Gift Cards 2022|Rare||Aurore Folny|5|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/p22/5/smothering-tithe?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/24921817-36fe-4a2d-86e7-d3749bb8da32.jpg?1660636728}
969a8b6d-3186-497f-87ae-68c21d06e2a2|Training Grounds|{U}|Enchantment|||Activated abilities of creatures you control cost {2} less to activate. This effect can't reduce the mana in that cost to less than one mana.<BR><a href="https://api.scryfall.com/cards/969a8b6d-3186-497f-87ae-68c21d06e2a2/rulings">Rulings</a>|Judge Gift Cards 2022|Rare||Caroline Gariba|6|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/p22/6/training-grounds?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/6/969a8b6d-3186-497f-87ae-68c21d06e2a2.jpg?1660636733}
f9e02314-bb21-48d0-b0c9-2824583b9c6f|Animate Dead|{1}{B}|Enchantment - Aura|||Enchant creature card in a graveyard<br>When this Aura enters, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with this Aura." Return enchanted creature card to the battlefield under your control and attach this Aura to it. When this Aura leaves the battlefield, that creature's controller sacrifices it.<br>Enchanted creature gets -1/-0.<BR><a href="https://api.scryfall.com/cards/f9e02314-bb21-48d0-b0c9-2824583b9c6f/rulings">Rulings</a>|Judge Gift Cards 2022|Rare||Helge C. Balzer|7|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/p22/7/animate-dead?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f9e02314-bb21-48d0-b0c9-2824583b9c6f.jpg?1662252204}
d8969a3c-46eb-463a-b9e5-aaad912a5f15|Purphoros, God of the Forge|{3}{R}|Legendary Enchantment Creature - God|6|5|Indestructible<br>As long as your devotion to red is less than five, Purphoros isn't a creature.<br>Whenever another creature you control enters, Purphoros deals 2 damage to each opponent.<br>{2}{R}: Creatures you control get +1/+0 until end of turn.<BR><a href="https://api.scryfall.com/cards/d8969a3c-46eb-463a-b9e5-aaad912a5f15/rulings">Rulings</a>|Judge Gift Cards 2022|Rare||Anato Finnstark|8|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/p22/8/purphoros-god-of-the-forge?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/8/d8969a3c-46eb-463a-b9e5-aaad912a5f15.jpg?1681729297}
4133fcbc-de7b-4270-b6c5-8246f290c8cf|No Mercy|{2}{B}{B}|Enchantment|||Whenever a creature deals damage to you, destroy it.<BR><a href="https://api.scryfall.com/cards/4133fcbc-de7b-4270-b6c5-8246f290c8cf/rulings">Rulings</a>|Judge Gift Cards 2022|Rare||John Stanko|9|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/p22/9/no-mercy?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/1/4133fcbc-de7b-4270-b6c5-8246f290c8cf.jpg?1659095209}
38b45fa7-ccbc-4fdc-9ba5-117f7671d056|Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun|{2}{G}|Legendary Enchantment|||When Growing Rites of Itlimoc enters, look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.<br>At the beginning of your end step, if you control four or more creatures, transform Growing Rites of Itlimoc.<BR><a href="https://api.scryfall.com/cards/38b45fa7-ccbc-4fdc-9ba5-117f7671d056/rulings">Rulings</a>|Judge Gift Cards 2022|Rare||Dmitry Burmak|10|Finishes: foil:<br>Promos: judgegift:<br><br><a href="https://scryfall.com/card/p22/10/growing-rites-of-itlimoc-itlimoc-cradle-of-the-sun?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/38b45fa7-ccbc-4fdc-9ba5-117f7671d056.jpg?1673182729, FLIPID=-38b45fa7-ccbc-4fdc-9ba5-117f7671d056}
