ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
aff9859d-ff0c-4865-9629-cf3dc31ccbef|Aethergeode Miner|{1}{W}|Creature - Dwarf Scout|3|1|Whenever this creature attacks, you get {E}{E} (two energy counters).<br>Pay {E}{E}: Exile this creature, then return it to the battlefield under its owner's control.<BR><a href="https://api.scryfall.com/cards/aff9859d-ff0c-4865-9629-cf3dc31ccbef/rulings">Rulings</a>|Aether Revolt Promos|Rare||Winona Nelson|4s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/paer/4s/aethergeode-miner?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/aff9859d-ff0c-4865-9629-cf3dc31ccbef.jpg?1562271470}
413b2015-208a-4086-88bd-9089240763e0|Call for Unity|{3}{W}{W}|Enchantment|||Revolt — At the beginning of your end step, if a permanent left the battlefield under your control this turn, put a unity counter on this enchantment.<br>Creatures you control get +1/+1 for each unity counter on this enchantment.<BR><a href="https://api.scryfall.com/cards/413b2015-208a-4086-88bd-9089240763e0/rulings">Rulings</a>|Aether Revolt Promos|Rare||John Severin Brassell|9s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/paer/9s/call-for-unity?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/1/413b2015-208a-4086-88bd-9089240763e0.jpg?1562271011}
de80cc7d-d868-41ba-b81a-39c2e4f69fe2|Consulate Crackdown|{3}{W}{W}|Enchantment|||When this enchantment enters, exile all artifacts your opponents control until this enchantment leaves the battlefield.<BR><a href="https://api.scryfall.com/cards/de80cc7d-d868-41ba-b81a-39c2e4f69fe2/rulings">Rulings</a>|Aether Revolt Promos|Rare||Jonas De Ro|11s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/paer/11s/consulate-crackdown?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/de80cc7d-d868-41ba-b81a-39c2e4f69fe2.jpg?1562271488}
22244d3f-a693-4576-a9e1-f1f5e0373c75|Exquisite Archangel|{5}{W}{W}|Creature - Angel|5|5|Flying<br>If you would lose the game, instead exile this creature and your life total becomes equal to your starting life total.<BR><a href="https://api.scryfall.com/cards/22244d3f-a693-4576-a9e1-f1f5e0373c75/rulings">Rulings</a>|Aether Revolt Promos|Mythic||Brad Rigney|18s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/paer/18s/exquisite-archangel?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/2/22244d3f-a693-4576-a9e1-f1f5e0373c75.jpg?1562270960}
eedfdf12-938f-455c-8e73-ed1425fad3fb|Solemn Recruit|{1}{W}{W}|Creature - Dwarf Warrior|2|2|Double strike<br>Revolt — At the beginning of your end step, if a permanent left the battlefield under your control this turn, put a +1/+1 counter on this creature.<BR><a href="https://api.scryfall.com/cards/eedfdf12-938f-455c-8e73-ed1425fad3fb/rulings">Rulings</a>|Aether Revolt Promos|Rare||Eric Deschamps|22s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/paer/22s/solemn-recruit?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/e/eedfdf12-938f-455c-8e73-ed1425fad3fb.jpg?1562271524}
f0b9edd6-e6f3-42d8-b669-36bcfd748814|Sram, Senior Edificer|{1}{W}|Legendary Creature - Dwarf Advisor|2|2|Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.<BR><a href="https://api.scryfall.com/cards/f0b9edd6-e6f3-42d8-b669-36bcfd748814/rulings">Rulings</a>|Aether Revolt Promos|Rare||Chris Rahn|23p|Finishes: nonfoil:foil:<br>Promos: setpromo:promopack:stamped:<br><br><a href="https://scryfall.com/card/paer/23p/sram-senior-edificer?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f0b9edd6-e6f3-42d8-b669-36bcfd748814.jpg?1612984598}
efa3f433-ef51-4452-8444-86241c0cbc8a|Sram, Senior Edificer|{1}{W}|Legendary Creature - Dwarf Advisor|2|2|Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.<BR><a href="https://api.scryfall.com/cards/efa3f433-ef51-4452-8444-86241c0cbc8a/rulings">Rulings</a>|Aether Revolt Promos|Rare||Chris Rahn|23s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/paer/23s/sram-senior-edificer?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/f/efa3f433-ef51-4452-8444-86241c0cbc8a.jpg?1562271529}
3658c18f-e940-479d-a1aa-7ddb41337ef1|Sram's Expertise|{2}{W}{W}|Sorcery|||Create three 1/1 colorless Servo artifact creature tokens.<br>You may cast a spell with mana value 3 or less from your hand without paying its mana cost.<BR><a href="https://api.scryfall.com/cards/3658c18f-e940-479d-a1aa-7ddb41337ef1/rulings">Rulings</a>|Aether Revolt Promos|Rare||Kieran Yanner|24s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/paer/24s/srams-expertise?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/6/3658c18f-e940-479d-a1aa-7ddb41337ef1.jpg?1562270989}
e12c01d2-53c6-434e-af76-abb6f90cb9d5|Aethertide Whale|{4}{U}{U}|Creature - Whale|6|4|Flying<br>When this creature enters, you get six {E} (energy counters).<br>Pay {E}{E}{E}{E}: Return this creature to its owner's hand.<BR><a href="https://api.scryfall.com/cards/e12c01d2-53c6-434e-af76-abb6f90cb9d5/rulings">Rulings</a>|Aether Revolt Promos|Rare||Steven Belledin|27s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/paer/27s/aethertide-whale?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/1/e12c01d2-53c6-434e-af76-abb6f90cb9d5.jpg?1562271501}
64e1b4e5-1e24-4e2e-8fd4-1b22c6da2a58|Baral, Chief of Compliance|{1}{U}|Legendary Creature - Human Wizard|1|3|Instant and sorcery spells you cast cost {1} less to cast.<br>Whenever a spell or ability you control counters a spell, you may draw a card. If you do, discard a card.<BR><a href="https://api.scryfall.com/cards/64e1b4e5-1e24-4e2e-8fd4-1b22c6da2a58/rulings">Rulings</a>|Aether Revolt Promos|Rare||Wesley Burt|28s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/paer/28s/baral-chief-of-compliance?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/64e1b4e5-1e24-4e2e-8fd4-1b22c6da2a58.jpg?1562271041}
8e5dbc8a-c826-45d4-b913-c81d5e95122e|Baral's Expertise|{3}{U}{U}|Sorcery|||Return up to three target artifacts and/or creatures to their owners' hands.<br>You may cast a spell with mana value 4 or less from your hand without paying its mana cost.<BR><a href="https://api.scryfall.com/cards/8e5dbc8a-c826-45d4-b913-c81d5e95122e/rulings">Rulings</a>|Aether Revolt Promos|Rare||Todd Lockwood|29s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/paer/29s/barals-expertise?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/e/8e5dbc8a-c826-45d4-b913-c81d5e95122e.jpg?1562271423}
e423e3fe-0acb-4318-9b98-7aa7a3f4c931|Disallow|{1}{U}{U}|Instant|||Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)<BR><a href="https://api.scryfall.com/cards/e423e3fe-0acb-4318-9b98-7aa7a3f4c931/rulings">Rulings</a>|Aether Revolt Promos|Rare||Min Yum|31p|Finishes: nonfoil:foil:<br>Promos: setpromo:promopack:stamped:<br><br><a href="https://scryfall.com/card/paer/31p/disallow?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/4/e423e3fe-0acb-4318-9b98-7aa7a3f4c931.jpg?1579730371}
