ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_dee0d6d4-321e-456d-9040-42f7845ff6a1|The Book of Exalted Deeds|{W}{W}{W}|Legendary Artifact|||At the beginning of your end step, if you gained 3 or more life this turn, create a 3/3 white Angel creature token with flying.<br>{W}{W}{W}, {T}, Exile The Book of Exalted Deeds: Put an enlightened counter on target Angel. It gains "You can't lose the game and your opponents can't win the game." Activate only as a sorcery.|Adventures in the Forgotten Realms Promos|Mythic||Daniel Ljunggren|4a|Finishes: foil:<br>Promos: embossed:<br>https://scryfall.com/card/pafr/4a/the-book-of-exalted-deeds?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/dee0d6d4-321e-456d-9040-42f7845ff6a1.jpg?1630012475}
scry_b0477339-1a1f-45f3-a9ba-704de1a788cc|The Book of Exalted Deeds|{W}{W}{W}|Legendary Artifact|||At the beginning of your end step, if you gained 3 or more life this turn, create a 3/3 white Angel creature token with flying.<br>{W}{W}{W}, {T}, Exile The Book of Exalted Deeds: Put an enlightened counter on target Angel. It gains "You can't lose the game and your opponents can't win the game." Activate only as a sorcery.|Adventures in the Forgotten Realms Promos|Mythic||Daniel Ljunggren|4p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br>https://scryfall.com/card/pafr/4p/the-book-of-exalted-deeds?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/0/b0477339-1a1f-45f3-a9ba-704de1a788cc.jpg?1627953689}
scry_8b34a9ad-3198-4ff6-b27b-62d97a7ca743|The Book of Exalted Deeds|{W}{W}{W}|Legendary Artifact|||At the beginning of your end step, if you gained 3 or more life this turn, create a 3/3 white Angel creature token with flying.<br>{W}{W}{W}, {T}, Exile The Book of Exalted Deeds: Put an enlightened counter on target Angel. It gains "You can't lose the game and your opponents can't win the game." Activate only as a sorcery.|Adventures in the Forgotten Realms Promos|Mythic||Daniel Ljunggren|4s|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pafr/4s/the-book-of-exalted-deeds?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/b/8b34a9ad-3198-4ff6-b27b-62d97a7ca743.jpg?1627952518}
scry_deb64214-5d1b-4fe6-8d38-0175bb1284a4|Dancing Sword|{1}{W}|Artifact - Equipment|||Equipped creature gets +2/+1.<br>When equipped creature dies, you may have this Equipment become a 2/1 Construct artifact creature with flying and ward {1}. If you do, it isn't an Equipment.<br>Equip {1}|Adventures in the Forgotten Realms Promos|Rare||Wisnu Tan|8a|Finishes: foil:<br>Promos: embossed:<br>https://scryfall.com/card/pafr/8a/dancing-sword?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/deb64214-5d1b-4fe6-8d38-0175bb1284a4.jpg?1630012453}
scry_3f137c19-45d7-43ad-ad0a-fefeeb396667|Dancing Sword|{1}{W}|Artifact - Equipment|||Equipped creature gets +2/+1.<br>When equipped creature dies, you may have this Equipment become a 2/1 Construct artifact creature with flying and ward {1}. If you do, it isn't an Equipment.<br>Equip {1}|Adventures in the Forgotten Realms Promos|Rare||Wisnu Tan|8p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br>https://scryfall.com/card/pafr/8p/dancing-sword?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3f137c19-45d7-43ad-ad0a-fefeeb396667.jpg?1627953648}
scry_03f1fff6-b9b9-4973-b832-e6007965a9aa|Dancing Sword|{1}{W}|Artifact - Equipment|||Equipped creature gets +2/+1.<br>When equipped creature dies, you may have this Equipment become a 2/1 Construct artifact creature with flying and ward {1}. If you do, it isn't an Equipment.<br>Equip {1}|Adventures in the Forgotten Realms Promos|Rare||Wisnu Tan|8s|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pafr/8s/dancing-sword?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/3/03f1fff6-b9b9-4973-b832-e6007965a9aa.jpg?1627952474}
scry_53e72fcb-2825-4c89-ae02-26977daef452|Flumph|{1}{W}|Creature - Jellyfish|0|4|Defender, flying<br>Whenever this creature is dealt damage, you and target opponent each draw a card.|Adventures in the Forgotten Realms Promos|Rare||Brian Valeza|15a|Finishes: foil:<br>Promos: embossed:<br>https://scryfall.com/card/pafr/15a/flumph?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/3/53e72fcb-2825-4c89-ae02-26977daef452.jpg?1630012432}
scry_8f9cc078-0413-4a50-8330-470fd2590686|Flumph|{1}{W}|Creature - Jellyfish|0|4|Defender, flying<br>Whenever this creature is dealt damage, you and target opponent each draw a card.|Adventures in the Forgotten Realms Promos|Rare||Brian Valeza|15p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br>https://scryfall.com/card/pafr/15p/flumph?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f9cc078-0413-4a50-8330-470fd2590686.jpg?1627953612}
scry_2e52c226-88df-40cd-a742-214824387278|Flumph|{1}{W}|Creature - Jellyfish|0|4|Defender, flying<br>Whenever this creature is dealt damage, you and target opponent each draw a card.|Adventures in the Forgotten Realms Promos|Rare||Brian Valeza|15s|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pafr/15s/flumph?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/e/2e52c226-88df-40cd-a742-214824387278.jpg?1627952431}
scry_9aa1bfb1-071a-4e97-84cf-c2ae8f749ea9|Grand Master of Flowers|{2}{W}{W}|Legendary Planeswalker - Bahamut|||As long as Grand Master of Flowers has seven or more loyalty counters on him, he's a 7/7 Dragon God creature with flying and indestructible.<br>+1: Target creature without first strike, double strike, or vigilance can't attack or block until your next turn.<br>+1: Search your library and/or graveyard for a card named Monk of the Open Hand, reveal it, and put it into your hand. If you search your library this way, shuffle.|Adventures in the Forgotten Realms Promos|Mythic||Ekaterina Burmak|17a|Finishes: foil:<br>Promos: embossed:<br>https://scryfall.com/card/pafr/17a/grand-master-of-flowers?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9aa1bfb1-071a-4e97-84cf-c2ae8f749ea9.jpg?1630012409}
scry_0b761e86-308d-4253-ab68-1a0c74c9bbf5|Grand Master of Flowers|{2}{W}{W}|Legendary Planeswalker - Bahamut|||As long as Grand Master of Flowers has seven or more loyalty counters on him, he's a 7/7 Dragon God creature with flying and indestructible.<br>+1: Target creature without first strike, double strike, or vigilance can't attack or block until your next turn.<br>+1: Search your library and/or graveyard for a card named Monk of the Open Hand, reveal it, and put it into your hand. If you search your library this way, shuffle.|Adventures in the Forgotten Realms Promos|Mythic||Ekaterina Burmak|17p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br>https://scryfall.com/card/pafr/17p/grand-master-of-flowers?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0b761e86-308d-4253-ab68-1a0c74c9bbf5.jpg?1627953567}
scry_92351d3a-fd4d-4a7e-8af4-52b0accce0e1|Grand Master of Flowers|{2}{W}{W}|Legendary Planeswalker - Bahamut|||As long as Grand Master of Flowers has seven or more loyalty counters on him, he's a 7/7 Dragon God creature with flying and indestructible.<br>+1: Target creature without first strike, double strike, or vigilance can't attack or block until your next turn.<br>+1: Search your library and/or graveyard for a card named Monk of the Open Hand, reveal it, and put it into your hand. If you search your library this way, shuffle.|Adventures in the Forgotten Realms Promos|Mythic||Ekaterina Burmak|17s|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pafr/17s/grand-master-of-flowers?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/2/92351d3a-fd4d-4a7e-8af4-52b0accce0e1.jpg?1627952394}
scry_3c4b8b8e-7208-4235-b473-7579a51b4d54|Guardian of Faith|{1}{W}{W}|Creature - Spirit Knight|3|2|Flash<br>Vigilance<br>When this creature enters, any number of other target creatures you control phase out. (Treat them and anything attached to them as though they don't exist until their controller's next turn.)|Adventures in the Forgotten Realms Promos|Rare||Brian Valeza|18a|Finishes: foil:<br>Promos: embossed:<br>https://scryfall.com/card/pafr/18a/guardian-of-faith?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/c/3c4b8b8e-7208-4235-b473-7579a51b4d54.jpg?1630012387}
scry_02f093c0-135f-4e92-8baa-353b49ad4b5a|Guardian of Faith|{1}{W}{W}|Creature - Spirit Knight|3|2|Flash<br>Vigilance<br>When this creature enters, any number of other target creatures you control phase out. (Treat them and anything attached to them as though they don't exist until their controller's next turn.)|Adventures in the Forgotten Realms Promos|Rare||Brian Valeza|18p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br>https://scryfall.com/card/pafr/18p/guardian-of-faith?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/02f093c0-135f-4e92-8baa-353b49ad4b5a.jpg?1627953527}
scry_04473e78-6bde-4285-bffa-214d69e8e09f|Guardian of Faith|{1}{W}{W}|Creature - Spirit Knight|3|2|Flash<br>Vigilance<br>When this creature enters, any number of other target creatures you control phase out. (Treat them and anything attached to them as though they don't exist until their controller's next turn.)|Adventures in the Forgotten Realms Promos|Rare||Brian Valeza|18s|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pafr/18s/guardian-of-faith?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/4/04473e78-6bde-4285-bffa-214d69e8e09f.jpg?1627952352}
