ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
-scry_186b40ef-16c3-4d59-83fc-9526ca3e33e7|Commit // Memory (split)|{4}{U}{U}|Sorcery|||Aftermath (Cast this spell only from your graveyard. Then exile it.)<br>Each player shuffles their hand and graveyard into their library, then draws seven cards.|Amonkhet Promos|Rare||Ryan Alexander Lee|211pb|Finishes: nonfoil:foil:<br>Promos: setpromo:promopack:stamped:<br>https://scryfall.com/card/pakh/211p/commit-memory?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/8/186b40ef-16c3-4d59-83fc-9526ca3e33e7.jpg?1590103802, FLIPID=scry_186b40ef-16c3-4d59-83fc-9526ca3e33e7}
-scry_b32644ce-ae31-425c-8363-284ab9f5cc4c|Commit // Memory (split)|{4}{U}{U}|Sorcery|||Aftermath (Cast this spell only from your graveyard. Then exile it.)<br>Each player shuffles their hand and graveyard into their library, then draws seven cards.|Amonkhet Promos|Rare||Ryan Alexander Lee|211sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pakh/211s/commit-memory?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b32644ce-ae31-425c-8363-284ab9f5cc4c.jpg?1562928343, FLIPID=scry_b32644ce-ae31-425c-8363-284ab9f5cc4c}
-scry_bfca1ca4-8a6d-436d-8be4-88e015ccdac8|Cut // Ribbons (split)|{X}{B}{B}|Sorcery|||Aftermath (Cast this spell only from your graveyard. Then exile it.)<br>Each opponent loses X life.|Amonkhet Promos|Rare||Raymond Swanland|223sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pakh/223s/cut-ribbons?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bfca1ca4-8a6d-436d-8be4-88e015ccdac8.jpg?1562930835, FLIPID=scry_bfca1ca4-8a6d-436d-8be4-88e015ccdac8}
-scry_d3c99f65-2355-444b-b49a-c6b916f268b1|Dusk // Dawn (split)|{3}{W}{W}|Sorcery|||Aftermath (Cast this spell only from your graveyard. Then exile it.)<br>Return all creature cards with power 2 or less from your graveyard to your hand.|Amonkhet Promos|Rare||Noah Bradley|210sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pakh/210s/dusk-dawn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d3c99f65-2355-444b-b49a-c6b916f268b1.jpg?1562934595, FLIPID=scry_d3c99f65-2355-444b-b49a-c6b916f268b1}
-scry_f61abbc1-5e3a-4185-8532-c3dfdd54cc9b|Failure // Comply (split)|{W}|Sorcery|||Aftermath (Cast this spell only from your graveyard. Then exile it.)<br>Choose a card name. Until your next turn, your opponents can't cast spells with the chosen name.|Amonkhet Promos|Rare||Jason A. Engle|221sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pakh/221s/failure-comply?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f61abbc1-5e3a-4185-8532-c3dfdd54cc9b.jpg?1562941215, FLIPID=scry_f61abbc1-5e3a-4185-8532-c3dfdd54cc9b}
-scry_60c9821a-dcba-4eb1-8a79-00e798532154|Heaven // Earth (split)|{X}{R}{R}|Sorcery|||Aftermath (Cast this spell only from your graveyard. Then exile it.)<br>Earth deals X damage to each creature without flying.|Amonkhet Promos|Rare||Jonas De Ro|224sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pakh/224s/heaven-earth?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/0/60c9821a-dcba-4eb1-8a79-00e798532154.jpg?1562912865, FLIPID=scry_60c9821a-dcba-4eb1-8a79-00e798532154}
-scry_5f92876b-efe0-4862-8186-8336f80a9222|Insult // Injury (split)|{2}{R}|Sorcery|||Aftermath (Cast this spell only from your graveyard. Then exile it.)<br>Injury deals 2 damage to target creature and 2 damage to target player or planeswalker.|Amonkhet Promos|Rare||Lucas Graciano|213sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pakh/213s/insult-injury?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5f92876b-efe0-4862-8186-8336f80a9222.jpg?1562912602, FLIPID=scry_5f92876b-efe0-4862-8186-8336f80a9222}
-scry_99a14aba-a7db-4138-9869-ec296e39bf97|Mouth // Feed (split)|{3}{G}|Sorcery|||Aftermath (Cast this spell only from your graveyard. Then exile it.)<br>Draw a card for each creature you control with power 3 or greater.|Amonkhet Promos|Rare||Zack Stella|214sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pakh/214s/mouth-feed?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/9/99a14aba-a7db-4138-9869-ec296e39bf97.jpg?1562923548, FLIPID=scry_99a14aba-a7db-4138-9869-ec296e39bf97}
-scry_f899208e-fb3e-4daa-a086-38651dceb7eb|Never // Return (split)|{3}{B}|Sorcery|||Aftermath (Cast this spell only from your graveyard. Then exile it.)<br>Exile target card from a graveyard. Create a 2/2 black Zombie creature token.|Amonkhet Promos|Rare||Daarken|212sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pakh/212s/never-return?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/8/f899208e-fb3e-4daa-a086-38651dceb7eb.jpg?1562941704, FLIPID=scry_f899208e-fb3e-4daa-a086-38651dceb7eb}
-scry_2b1cdcb8-7449-4e08-a6ad-f99207c090a8|Prepare // Fight (split)|{3}{G}|Sorcery|||Aftermath (Cast this spell only from your graveyard. Then exile it.)<br>Target creature you control fights target creature an opponent controls.|Amonkhet Promos|Rare||Zack Stella|220sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pakh/220s/prepare-fight?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/b/2b1cdcb8-7449-4e08-a6ad-f99207c090a8.jpg?1562902998, FLIPID=scry_2b1cdcb8-7449-4e08-a6ad-f99207c090a8}
