ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
a7da9157-fdb6-477f-a605-5ee325410fda|Duress|{B}|Sorcery|||Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.<BR><a href="https://api.scryfall.com/cards/a7da9157-fdb6-477f-a605-5ee325410fda/rulings">Rulings</a>|Arena League 2000|Rare||Lawrence Snelly|2|F$ 78.33<br>Finishes: foil:<br>Promos: arenaleague:<br><br><a href="https://scryfall.com/card/pal00/2/duress?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a7da9157-fdb6-477f-a605-5ee325410fda.jpg?1562636808}
1f04144b-5943-4d24-8a1a-ff5009322fd7|Uktabi Orangutan|{2}{G}|Creature - Ape|2|2|When this creature enters, destroy target artifact.<BR><a href="https://api.scryfall.com/cards/1f04144b-5943-4d24-8a1a-ff5009322fd7/rulings">Rulings</a>|Arena League 2000|Rare||Una Fricker|3|F$ 34.99<br>Finishes: foil:<br>Promos: arenaleague:<br><br><a href="https://scryfall.com/card/pal00/3/uktabi-orangutan?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1f04144b-5943-4d24-8a1a-ff5009322fd7.jpg?1562636699}
fc9a7c57-bc83-4965-b670-144a0019b466|Chill|{1}{U}|Enchantment|||Red spells cost {2} more to cast.<BR><a href="https://api.scryfall.com/cards/fc9a7c57-bc83-4965-b670-144a0019b466/rulings">Rulings</a>|Arena League 2000|Rare||Greg Simanson|4|F$ 23.42<br>Finishes: foil:<br>Promos: arenaleague:<br><br><a href="https://scryfall.com/card/pal00/4/chill?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/c/fc9a7c57-bc83-4965-b670-144a0019b466.jpg?1562636896}
01230f9e-9d35-47a5-bd96-2cf584b439e3|Pillage|{1}{R}{R}|Sorcery|||Destroy target artifact or land. It can't be regenerated.<BR><a href="https://api.scryfall.com/cards/01230f9e-9d35-47a5-bd96-2cf584b439e3/rulings">Rulings</a>|Arena League 2000|Rare||Richard Kane Ferguson|5|F$ 17.18<br>Finishes: foil:<br>Promos: arenaleague:<br><br><a href="https://scryfall.com/card/pal00/5/pillage?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/1/01230f9e-9d35-47a5-bd96-2cf584b439e3.jpg?1562636666}
4d682f2d-cefa-451f-b58c-2d3c96de23f8|Enlightened Tutor|{W}|Instant|||Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top.<BR><a href="https://api.scryfall.com/cards/4d682f2d-cefa-451f-b58c-2d3c96de23f8/rulings">Rulings</a>|Arena League 2000|Rare||Dan Frazier|6|F$ 148.21<br>Finishes: foil:<br>Promos: arenaleague:<br><br><a href="https://scryfall.com/card/pal00/6/enlightened-tutor?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/d/4d682f2d-cefa-451f-b58c-2d3c96de23f8.jpg?1562636735}
632fd85f-036f-48ef-8b3a-36f3d14f4dce|Stupor|{2}{B}|Sorcery|||Target opponent discards a card at random, then discards a card.<BR><a href="https://api.scryfall.com/cards/632fd85f-036f-48ef-8b3a-36f3d14f4dce/rulings">Rulings</a>|Arena League 2000|Rare||Mike Kimble|7|F$ 6.74<br>Finishes: foil:<br>Promos: arenaleague:<br><br><a href="https://scryfall.com/card/pal00/7/stupor?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/3/632fd85f-036f-48ef-8b3a-36f3d14f4dce.jpg?1562636763}
d453e952-0b24-4b95-849c-25fecc9c683d|Plains||Basic Land - Plains|||({T}: Add {W}.)<BR><a href="https://api.scryfall.com/cards/d453e952-0b24-4b95-849c-25fecc9c683d/rulings">Rulings</a>|Arena League 2000|Rare||Edward P. Beard, Jr.|8|F$ 6.41<br>Finishes: foil:<br>Promos: arenaleague:<br><br><a href="https://scryfall.com/card/pal00/8/plains?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d453e952-0b24-4b95-849c-25fecc9c683d.jpg?1562636865}
c4311e22-d106-456a-9d81-6d6c6fbee9a7|Island||Basic Land - Island|||({T}: Add {U}.)<BR><a href="https://api.scryfall.com/cards/c4311e22-d106-456a-9d81-6d6c6fbee9a7/rulings">Rulings</a>|Arena League 2000|Rare||Tony Szczudlo|9|F$ 7.86<br>Finishes: foil:<br>Promos: arenaleague:<br><br><a href="https://scryfall.com/card/pal00/9/island?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/4/c4311e22-d106-456a-9d81-6d6c6fbee9a7.jpg?1562636844}
e44f31c6-8837-4659-98b8-98206f18cf92|Swamp||Basic Land - Swamp|||({T}: Add {B}.)<BR><a href="https://api.scryfall.com/cards/e44f31c6-8837-4659-98b8-98206f18cf92/rulings">Rulings</a>|Arena League 2000|Rare||Rob Alexander|10|F$ 18.74<br>Finishes: foil:<br>Promos: arenaleague:<br><br><a href="https://scryfall.com/card/pal00/10/swamp?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/4/e44f31c6-8837-4659-98b8-98206f18cf92.jpg?1562636875}
4be19a74-09c3-4eb3-ba77-3e7700779cde|Mountain||Basic Land - Mountain|||({T}: Add {R}.)<BR><a href="https://api.scryfall.com/cards/4be19a74-09c3-4eb3-ba77-3e7700779cde/rulings">Rulings</a>|Arena League 2000|Rare||Rob Alexander|11|F$ 13.05<br>Finishes: foil:<br>Promos: arenaleague:<br><br><a href="https://scryfall.com/card/pal00/11/mountain?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/b/4be19a74-09c3-4eb3-ba77-3e7700779cde.jpg?1562636733}
