ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
1b87c785-d06d-4965-8637-0444ee7fea90|Blight Herder|{5}|Creature - Eldrazi Processor|4|5|When you cast this spell, you may put two cards your opponents own from exile into their owners' graveyards. If you do, create three 1/1 colorless Eldrazi Scion creature tokens. They have "Sacrifice this token: Add {C}."|Battle for Zendikar Promos|Rare||Jaime Jones|2|Finishes: foil:<br>Promos: setpromo:datestamped:release:<br><br><a href="https://scryfall.com/card/pbfz/2/blight-herder?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/b/1b87c785-d06d-4965-8637-0444ee7fea90.jpg?1562132513}
b2758c4f-8d3b-41f3-84f7-9d8d5c301b93|Blight Herder|{5}|Creature - Eldrazi Processor|4|5|When you cast this spell, you may put two cards your opponents own from exile into their owners' graveyards. If you do, create three 1/1 colorless Eldrazi Scion creature tokens. They have "Sacrifice this token: Add {C}."|Battle for Zendikar Promos|Rare||Todd Lockwood|2s|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pbfz/2s/blight-herder?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/2/b2758c4f-8d3b-41f3-84f7-9d8d5c301b93.jpg?1562133450}
91ef023f-a22f-4a63-8856-17dc4c569f88|Conduit of Ruin|{6}|Creature - Eldrazi|5|5|When you cast this spell, you may search your library for a colorless creature card with mana value 7 or greater, reveal it, then shuffle and put that card on top.<br>The first creature spell you cast each turn costs {2} less to cast.|Battle for Zendikar Promos|Rare||Slawomir Maniak|4s|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pbfz/4s/conduit-of-ruin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/1/91ef023f-a22f-4a63-8856-17dc4c569f88.jpg?1562133413}
6ac84590-6ce6-4851-afbc-5f07dc9edf47|Desolation Twin|{10}|Creature - Eldrazi|10|10|When you cast this spell, create a 10/10 colorless Eldrazi creature token.|Battle for Zendikar Promos|Rare||Jack Wang|6s|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pbfz/6s/desolation-twin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/a/6ac84590-6ce6-4851-afbc-5f07dc9edf47.jpg?1562132990}
70532516-d39b-4a0f-af57-fa640284e5c2|Endless One|{X}|Creature - Eldrazi|0|0|This creature enters with X +1/+1 counters on it.|Battle for Zendikar Promos|Rare||Jason Felix|8s|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pbfz/8s/endless-one?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/0/70532516-d39b-4a0f-af57-fa640284e5c2.jpg?1562133004}
ca2ba2c0-5434-498f-9fe9-2d79d6186e32|Gruesome Slaughter|{6}|Sorcery|||Until end of turn, colorless creatures you control gain "{T}: This creature deals damage equal to its power to target creature."|Battle for Zendikar Promos|Rare||Aleksi Briclot|9s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pbfz/9s/gruesome-slaughter?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/a/ca2ba2c0-5434-498f-9fe9-2d79d6186e32.jpg?1562133494}
b728a235-67fc-4beb-b921-8674176645c5|Oblivion Sower|{6}|Creature - Eldrazi|5|8|When you cast this spell, target opponent exiles the top four cards of their library, then you may put any number of land cards that player owns from exile onto the battlefield under your control.|Battle for Zendikar Promos|Mythic||Jaime Jones|11s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pbfz/11s/oblivion-sower?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b728a235-67fc-4beb-b921-8674176645c5.jpg?1562133459}
8ecae6b7-423a-4c50-b435-abaaeeb390a3|Ulamog, the Ceaseless Hunger|{10}|Legendary Creature - Eldrazi|10|10|When you cast this spell, exile two target permanents.<br>Indestructible<br>Whenever Ulamog attacks, defending player exiles the top twenty cards of their library.|Battle for Zendikar Promos|Mythic||Michael Komarck|15s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pbfz/15s/ulamog-the-ceaseless-hunger?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/e/8ecae6b7-423a-4c50-b435-abaaeeb390a3.jpg?1562133060}
6d9dfacf-6cc1-455f-88ff-068e1c4d87d4|Void Winnower|{9}|Creature - Eldrazi|11|9|Your opponents can't cast spells with even mana values. (Zero is even.)<br>Your opponents can't block with creatures with even mana values.|Battle for Zendikar Promos|Mythic||Chase Stone|17p|Finishes: nonfoil:foil:<br>Promos: setpromo:promopack:stamped:<br><br><a href="https://scryfall.com/card/pbfz/17p/void-winnower?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/d/6d9dfacf-6cc1-455f-88ff-068e1c4d87d4.jpg?1612984927}
ee3eabf8-48a8-49b8-858f-a246e549d1fe|Void Winnower|{9}|Creature - Eldrazi|11|9|Your opponents can't cast spells with even mana values. (Zero is even.)<br>Your opponents can't block with creatures with even mana values.|Battle for Zendikar Promos|Mythic||Chase Stone|17s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pbfz/17s/void-winnower?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/e/ee3eabf8-48a8-49b8-858f-a246e549d1fe.jpg?1587039593}
