ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
47965362-8d74-41a1-a41e-96c6d36cf8d3|Construct||Token Artifact Creature - Construct|*|*||The Brothers' War Promos|Common||Seung Hoon Na|T1|Finishes: nonfoil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/pbro/T1/construct?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/7/47965362-8d74-41a1-a41e-96c6d36cf8d3.jpg?1681393021}
c57e9113-d59c-42ac-b873-9064bb454e03|Construct||Token Artifact Creature - Construct|*|*||The Brothers' War Promos|Common||Seung Hoon Na|T2|Finishes: nonfoil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/pbro/T2/construct?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c57e9113-d59c-42ac-b873-9064bb454e03.jpg?1732131167}
3c497ffc-f2c2-42f5-a560-4fd1239399fd|In the Trenches|{1}{W}{W}|Enchantment|||Creatures you control get +1/+1.<br>{5}{W}: Exile target nonland permanent you don't control until this enchantment leaves the battlefield. Activate only as a sorcery and only once.|The Brothers' War Promos|Mythic||Daarken|8p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pbro/8p/in-the-trenches?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/c/3c497ffc-f2c2-42f5-a560-4fd1239399fd.jpg?1675621918}
1b0257be-7de8-4c30-86f2-ac1e0f915855|In the Trenches|{1}{W}{W}|Enchantment|||Creatures you control get +1/+1.<br>{5}{W}: Exile target nonland permanent you don't control until this enchantment leaves the battlefield. Activate only as a sorcery and only once.|The Brothers' War Promos|Mythic||Daarken|8s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pbro/8s/in-the-trenches?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/b/1b0257be-7de8-4c30-86f2-ac1e0f915855.jpg?1675621718}
b2fb03d1-78c2-4b0c-a57b-0640ca9fe37d|Kayla's Command|{1}{W}{W}|Sorcery|||Choose two —<br>• Create a 2/2 colorless Construct artifact creature token.<br>• Put a +1/+1 counter on a creature you control. It gains double strike until end of turn.<br>• Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.<br>• You gain 2 life and scry 2.|The Brothers' War Promos|Rare||Dominik Mayer|9p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pbro/9p/kaylas-command?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/2/b2fb03d1-78c2-4b0c-a57b-0640ca9fe37d.jpg?1675621898}
392e7ac5-eadd-4d0a-b65f-36f6e20518b0|Kayla's Command|{1}{W}{W}|Sorcery|||Choose two —<br>• Create a 2/2 colorless Construct artifact creature token.<br>• Put a +1/+1 counter on a creature you control. It gains double strike until end of turn.<br>• Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.<br>• You gain 2 life and scry 2.|The Brothers' War Promos|Rare||Dominik Mayer|9s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pbro/9s/kaylas-command?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/9/392e7ac5-eadd-4d0a-b65f-36f6e20518b0.jpg?1675621704}
0b596f57-1bfa-4878-82e0-067e85c0b3c8|Kayla's Reconstruction|{X}{W}{W}{W}|Sorcery|||Look at the top seven cards of your library. Put up to X artifact and/or creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.|The Brothers' War Promos|Rare||Nicholas Elias|10p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pbro/10p/kaylas-reconstruction?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0b596f57-1bfa-4878-82e0-067e85c0b3c8.jpg?1675621878}
de95b80f-c520-4e2d-8afb-03d789cefa69|Kayla's Reconstruction|{X}{W}{W}{W}|Sorcery|||Look at the top seven cards of your library. Put up to X artifact and/or creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.|The Brothers' War Promos|Rare||Nicholas Elias|10s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pbro/10s/kaylas-reconstruction?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/de95b80f-c520-4e2d-8afb-03d789cefa69.jpg?1675621690}
71d515a3-4d94-47a8-bac2-4cfc6904077b|Loran of the Third Path|{2}{W}|Legendary Creature - Human Artificer|2|1|Vigilance<br>When Loran enters, destroy up to one target artifact or enchantment.<br>{T}: You and target opponent each draw a card.|The Brothers' War Promos|Rare||Steven Belledin|12p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pbro/12p/loran-of-the-third-path?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/1/71d515a3-4d94-47a8-bac2-4cfc6904077b.jpg?1675621857}
0762ed45-b00b-438d-b497-47ba06d20877|Loran of the Third Path|{2}{W}|Legendary Creature - Human Artificer|2|1|Vigilance<br>When Loran enters, destroy up to one target artifact or enchantment.<br>{T}: You and target opponent each draw a card.|The Brothers' War Promos|Rare||Steven Belledin|12s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pbro/12s/loran-of-the-third-path?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/0762ed45-b00b-438d-b497-47ba06d20877.jpg?1675621674}
