ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
521a1843-e604-4954-be21-38b31867f670|Electrolyze|{1}{U}{R}|Instant|||Electrolyze deals 2 damage divided as you choose among one or two targets.<br>Draw a card.<BR><a href="https://api.scryfall.com/cards/521a1843-e604-4954-be21-38b31867f670/rulings">Rulings</a>|Champs and States|Rare||Zoltan Boros & Gabor Szikszai|1|R$ 3.66 <br>Finishes: nonfoil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/1/electrolyze?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/2/521a1843-e604-4954-be21-38b31867f670.jpg?1562384951}
1531face-701e-4b4b-af47-ddac71c93928|Niv-Mizzet, the Firemind|{2}{U}{U}{R}{R}|Legendary Creature - Dragon Wizard|4|4|Flying<br>Whenever you draw a card, Niv-Mizzet deals 1 damage to any target.<br>{T}: Draw a card.<BR><a href="https://api.scryfall.com/cards/1531face-701e-4b4b-af47-ddac71c93928/rulings">Rulings</a>|Champs and States|Rare||Todd Lockwood|2|F$ 114.33<br>Finishes: foil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/2/niv-mizzet-the-firemind?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/1531face-701e-4b4b-af47-ddac71c93928.jpg?1562384944}
5211b39a-cbf3-4aec-861e-cf721da53c6d|Rakdos Guildmage|{B/R}{B/R}|Creature - Zombie Shaman|2|2|({B/R} can be paid with either {B} or {R}.)<br>{3}{B}, Discard a card: Target creature gets -2/-2 until end of turn.<br>{3}{R}: Create a 2/1 red Goblin creature token with haste. Exile it at the beginning of the next end step.<BR><a href="https://api.scryfall.com/cards/5211b39a-cbf3-4aec-861e-cf721da53c6d/rulings">Rulings</a>|Champs and States|Rare||Jeremy Jarvis|3|R$ 1.30 <br>Finishes: nonfoil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/3/rakdos-guildmage?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/2/5211b39a-cbf3-4aec-861e-cf721da53c6d.jpg?1562384949}
265c269e-1b5e-4e5f-873f-7733bd4142aa|Voidslime|{G}{U}{U}|Instant|||Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)<BR><a href="https://api.scryfall.com/cards/265c269e-1b5e-4e5f-873f-7733bd4142aa/rulings">Rulings</a>|Champs and States|Rare||Jim Murray|4|F$ 39.54<br>Finishes: foil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/4/voidslime?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/6/265c269e-1b5e-4e5f-873f-7733bd4142aa.jpg?1562384947}
6f5725dc-82a7-48b3-857e-7ccbf3726cbd|Urza's Factory||Land - Urza's|||{T}: Add {C}.<br>{7}, {T}: Create a 2/2 colorless Assembly-Worker artifact creature token.<BR><a href="https://api.scryfall.com/cards/6f5725dc-82a7-48b3-857e-7ccbf3726cbd/rulings">Rulings</a>|Champs and States|Rare||Mark Tedin|5|R$ 15.76 <br>Finishes: nonfoil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/5/urzas-factory?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/f/6f5725dc-82a7-48b3-857e-7ccbf3726cbd.jpg?1562384954}
f3e3374a-e2e3-4c81-aa4f-098b190bbf66|Serra Avenger|{W}{W}|Creature - Angel|3|3|You can't cast Serra Avenger during your first, second, or third turns of the game.<br>Flying, vigilance<BR><a href="https://api.scryfall.com/cards/f3e3374a-e2e3-4c81-aa4f-098b190bbf66/rulings">Rulings</a>|Champs and States|Rare||Scott M. Fischer|6|F$ 61.19<br>Finishes: foil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/6/serra-avenger?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/3/f3e3374a-e2e3-4c81-aa4f-098b190bbf66.jpg?1562384958}
64d02c9b-7362-4479-b26d-7de843bd2ac3|Blood Knight|{R}{R}|Creature - Human Knight|2|2|First strike, protection from white<BR><a href="https://api.scryfall.com/cards/64d02c9b-7362-4479-b26d-7de843bd2ac3/rulings">Rulings</a>|Champs and States|Rare||Matt Cavotta|7|R$ 9.99 <br>Finishes: nonfoil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/7/blood-knight?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/64d02c9b-7362-4479-b26d-7de843bd2ac3.jpg?1682719446}
1692ba5a-7ccd-4623-876d-a587d6491cec|Groundbreaker|{G}{G}{G}|Creature - Elemental|6|1|Trample, haste<br>At the beginning of the end step, sacrifice this creature.<BR><a href="https://api.scryfall.com/cards/1692ba5a-7ccd-4623-876d-a587d6491cec/rulings">Rulings</a>|Champs and States|Rare||Matt Cavotta|8|F$ 43.48<br>Finishes: foil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/8/groundbreaker?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/1692ba5a-7ccd-4623-876d-a587d6491cec.jpg?1562384945}
4bffc964-b397-409c-8d3a-9f52107e09ca|Imperious Perfect|{2}{G}|Creature - Elf Warrior|2|2|Other Elves you control get +1/+1.<br>{G}, {T}: Create a 1/1 green Elf Warrior creature token.<BR><a href="https://api.scryfall.com/cards/4bffc964-b397-409c-8d3a-9f52107e09ca/rulings">Rulings</a>|Champs and States|Rare||Scott M. Fischer|9|R$ 13.55 <br>Finishes: nonfoil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/9/imperious-perfect?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/b/4bffc964-b397-409c-8d3a-9f52107e09ca.jpg?1562384948}
f78edb37-e36e-4761-8293-154744040d65|Doran, the Siege Tower|{W}{B}{G}|Legendary Creature - Treefolk Shaman|0|5|Each creature assigns combat damage equal to its toughness rather than its power.<BR><a href="https://api.scryfall.com/cards/f78edb37-e36e-4761-8293-154744040d65/rulings">Rulings</a>|Champs and States|Rare||Mark Zug|10|F$ 199.00<br>Finishes: foil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/10/doran-the-siege-tower?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f78edb37-e36e-4761-8293-154744040d65.jpg?1562384960}
ca687bef-3503-4020-a054-953152be7aad|Bramblewood Paragon|{1}{G}|Creature - Elf Warrior|2|2|Each other Warrior creature you control enters with an additional +1/+1 counter on it.<br>Each creature you control with a +1/+1 counter on it has trample.<BR><a href="https://api.scryfall.com/cards/ca687bef-3503-4020-a054-953152be7aad/rulings">Rulings</a>|Champs and States|Rare||Jim Murray|11|R$ 40.50 <br>Finishes: nonfoil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/11/bramblewood-paragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/a/ca687bef-3503-4020-a054-953152be7aad.jpg?1562384957}
85985b9a-274a-49be-be46-6e32efcce9fb|Mutavault||Land|||{T}: Add {C}.<br>{1}: This land becomes a 2/2 creature with all creature types until end of turn. It's still a land.<BR><a href="https://api.scryfall.com/cards/85985b9a-274a-49be-be46-6e32efcce9fb/rulings">Rulings</a>|Champs and States|Rare||Fred Fields|12|F$ 850.00<br>Finishes: foil:<br>FullArt: true<br>Promos: tourney:<br><br><a href="https://scryfall.com/card/pcmp/12/mutavault?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/5/85985b9a-274a-49be-be46-6e32efcce9fb.jpg?1562384955}
