ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
c646e923-46ac-459c-96a2-304150785efd|Basri, Tomorrow's Champion|{W}|Legendary Creature - Human Knight|2|1|{W}, {T}, Exert Basri: Create a 1/1 white Cat creature token with lifelink. (An exerted creature won't untap during your next untap step.)<br>Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)<br>When you cycle this card, Cats you control gain hexproof and indestructible until end of turn.|Aetherdrift Promos|Rare||Kai Carpenter|3p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdft/3p/basri-tomorrows-champion?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c646e923-46ac-459c-96a2-304150785efd.jpg?1739664811}
ada382fb-64f5-427a-813e-c2de972f7f83|Basri, Tomorrow's Champion|{W}|Legendary Creature - Human Knight|2|1|{W}, {T}, Exert Basri: Create a 1/1 white Cat creature token with lifelink. (An exerted creature won't untap during your next untap step.)<br>Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)<br>When you cycle this card, Cats you control gain hexproof and indestructible until end of turn.|Aetherdrift Promos|Rare||Kai Carpenter|3s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdft/3s/basri-tomorrows-champion?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/d/ada382fb-64f5-427a-813e-c2de972f7f83.jpg?1739665026}
79f7a8dc-ba78-4ce4-9f33-9f81b660081b|Bulwark Ox|{1}{W}|Creature - Ox Mount|2|2|Whenever this creature attacks while saddled, put a +1/+1 counter on target creature.<br>Sacrifice this creature: Creatures you control with counters on them gain hexproof and indestructible until end of turn.<br>Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)|Aetherdrift Promos|Rare||Brent Hollowell|7p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdft/7p/bulwark-ox?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/79f7a8dc-ba78-4ce4-9f33-9f81b660081b.jpg?1739664509}
20fbad95-78c4-41d9-add3-4ba1e344a4c1|Bulwark Ox|{1}{W}|Creature - Ox Mount|2|2|Whenever this creature attacks while saddled, put a +1/+1 counter on target creature.<br>Sacrifice this creature: Creatures you control with counters on them gain hexproof and indestructible until end of turn.<br>Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)|Aetherdrift Promos|Rare||Brent Hollowell|7s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdft/7s/bulwark-ox?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/0/20fbad95-78c4-41d9-add3-4ba1e344a4c1.jpg?1739664529}
6344d012-8c13-457f-bad2-e265a1aa24eb|Guardian Sunmare|{3}{W}{W}|Creature - Horse Mount|5|5|Ward {2}<br>Whenever this creature attacks while saddled, search your library for a nonland permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.<br>Saddle 4|Aetherdrift Promos|Rare||Christina Kraus|15p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdft/15p/guardian-sunmare?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/3/6344d012-8c13-457f-bad2-e265a1aa24eb.jpg?1739664721}
8ad8724d-98a7-44d9-ad22-e82e78cc6229|Guardian Sunmare|{3}{W}{W}|Creature - Horse Mount|5|5|Ward {2}<br>Whenever this creature attacks while saddled, search your library for a nonland permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.<br>Saddle 4|Aetherdrift Promos|Rare||Christina Kraus|15s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdft/15s/guardian-sunmare?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/a/8ad8724d-98a7-44d9-ad22-e82e78cc6229.jpg?1739664914}
6d79c080-297b-48f9-a4cb-91ebe7e6ff80|Perilous Snare|{2}{W}|Artifact|||Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)<br>When this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield.<br>Max speed — {T}: Put a +1/+1 counter on target creature or Vehicle you control. Activate only as a sorcery.|Aetherdrift Promos|Rare||Chris Seaman|23p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdft/23p/perilous-snare?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/d/6d79c080-297b-48f9-a4cb-91ebe7e6ff80.jpg?1739664623}
64559309-b8c1-403d-bd3f-e3d10553907f|Perilous Snare|{2}{W}|Artifact|||Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)<br>When this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield.<br>Max speed — {T}: Put a +1/+1 counter on target creature or Vehicle you control. Activate only as a sorcery.|Aetherdrift Promos|Rare||Chris Seaman|23s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdft/23s/perilous-snare?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/64559309-b8c1-403d-bd3f-e3d10553907f.jpg?1739664733}
449d132f-cc2f-445e-abe6-98624ddc012b|Salvation Engine|{4}{W}|Artifact - Vehicle|6|10|Other artifact creatures you control get +2/+2.<br>Whenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.<br>Crew 6|Aetherdrift Promos|Mythic||Ben Wootten|27p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdft/27p/salvation-engine?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/449d132f-cc2f-445e-abe6-98624ddc012b.jpg?1739664567}
f22881ff-9e88-44e6-9f48-89f5e302f2e1|Salvation Engine|{4}{W}|Artifact - Vehicle|6|10|Other artifact creatures you control get +2/+2.<br>Whenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.<br>Crew 6|Aetherdrift Promos|Mythic||Ben Wootten|27s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdft/27s/salvation-engine?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f22881ff-9e88-44e6-9f48-89f5e302f2e1.jpg?1739664631}
a94562d4-3405-4f0d-9db1-0d4beddb9684|Skyseer's Chariot|{1}{W}|Artifact - Vehicle|3|3|Flying<br>As this Vehicle enters, choose a nonland card name.<br>Activated abilities of sources with the chosen name cost {2} more to activate.<br>Crew 2|Aetherdrift Promos|Rare||Carl Critchlow|28p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdft/28p/skyseers-chariot?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/9/a94562d4-3405-4f0d-9db1-0d4beddb9684.jpg?1739664789}
