ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
f2724bc7-c342-4f4e-bbe2-ffe267658a59|Karn, Living Legacy|{4}|Legendary Planeswalker - Karn|||+1: Create a tapped Powerstone token. (It's an artifact with "{T}: Add {C}. This mana can't be spent to cast a nonartifact spell.")<br>−1: Pay any amount of mana. Look at that many cards from the top of your library, then put one of those cards into your hand and the rest on the bottom of your library in a random order.<br>−7: You get an emblem with "Tap an untapped artifact you control: This emblem deals 1 damage to any target."<BR><a href="https://api.scryfall.com/cards/f2724bc7-c342-4f4e-bbe2-ffe267658a59/rulings">Rulings</a>|Dominaria United Promos|Mythic||Chris Rahn|1p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdmu/1p/karn-living-legacy?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f2724bc7-c342-4f4e-bbe2-ffe267658a59.jpg?1675620257}
1b674243-f953-4d67-b15f-dd7ad88c289e|Karn, Living Legacy|{4}|Legendary Planeswalker - Karn|||+1: Create a tapped Powerstone token. (It's an artifact with "{T}: Add {C}. This mana can't be spent to cast a nonartifact spell.")<br>−1: Pay any amount of mana. Look at that many cards from the top of your library, then put one of those cards into your hand and the rest on the bottom of your library in a random order.<br>−7: You get an emblem with "Tap an untapped artifact you control: This emblem deals 1 damage to any target."<BR><a href="https://api.scryfall.com/cards/1b674243-f953-4d67-b15f-dd7ad88c289e/rulings">Rulings</a>|Dominaria United Promos|Mythic||Chris Rahn|1s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdmu/1s/karn-living-legacy?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/b/1b674243-f953-4d67-b15f-dd7ad88c289e.jpg?1681396304}
09a6cc7d-b3d7-428c-8b31-0c5691c43c32|Llanowar Elves|{G}|Creature - Elf Druid|1|1|{T}: Add {G}.<BR><a href="https://api.scryfall.com/cards/09a6cc7d-b3d7-428c-8b31-0c5691c43c32/rulings">Rulings</a>|Dominaria United Promos|Rare||Chris Rahn|1★|Finishes: foil:<br>Promos: resale:<br><br><a href="https://scryfall.com/card/pdmu/1%E2%98%85/llanowar-elves?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/9/09a6cc7d-b3d7-428c-8b31-0c5691c43c32.jpg?1738268198}
af0aa30a-17d6-48ba-b7f4-9572776b25f2|Anointed Peacekeeper|{2}{W}|Creature - Human Cleric|3|3|Vigilance<br>As this creature enters, look at an opponent's hand, then choose any card name.<br>Spells your opponents cast with the chosen name cost {2} more to cast.<br>Activated abilities of sources with the chosen name cost {2} more to activate unless they're mana abilities.<BR><a href="https://api.scryfall.com/cards/af0aa30a-17d6-48ba-b7f4-9572776b25f2/rulings">Rulings</a>|Dominaria United Promos|Rare||Tia Masic|2p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdmu/2p/anointed-peacekeeper?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/af0aa30a-17d6-48ba-b7f4-9572776b25f2.jpg?1675620240}
873817ee-0f54-4745-a882-a928f6a5ee0b|Anointed Peacekeeper|{2}{W}|Creature - Human Cleric|3|3|Vigilance<br>As this creature enters, look at an opponent's hand, then choose any card name.<br>Spells your opponents cast with the chosen name cost {2} more to cast.<br>Activated abilities of sources with the chosen name cost {2} more to activate unless they're mana abilities.<BR><a href="https://api.scryfall.com/cards/873817ee-0f54-4745-a882-a928f6a5ee0b/rulings">Rulings</a>|Dominaria United Promos|Rare||Tia Masic|2s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdmu/2s/anointed-peacekeeper?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/873817ee-0f54-4745-a882-a928f6a5ee0b.jpg?1681396292}
a4112426-f6fb-40e8-aed9-8f9287d70c10|Archangel of Wrath|{2}{W}{W}|Creature - Angel|3|4|Kicker {B} and/or {R} (You may pay an additional {B} and/or {R} as you cast this spell.)<br>Flying, lifelink<br>When this creature enters, if it was kicked, it deals 2 damage to any target.<br>When this creature enters, if it was kicked twice, it deals 2 damage to any target.<BR><a href="https://api.scryfall.com/cards/a4112426-f6fb-40e8-aed9-8f9287d70c10/rulings">Rulings</a>|Dominaria United Promos|Rare||Miguel Mercado|3p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdmu/3p/archangel-of-wrath?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/4/a4112426-f6fb-40e8-aed9-8f9287d70c10.jpg?1675620223}
aa6dd775-f642-4802-9697-e8fdb6f3d4c5|Archangel of Wrath|{2}{W}{W}|Creature - Angel|3|4|Kicker {B} and/or {R} (You may pay an additional {B} and/or {R} as you cast this spell.)<br>Flying, lifelink<br>When this creature enters, if it was kicked, it deals 2 damage to any target.<br>When this creature enters, if it was kicked twice, it deals 2 damage to any target.<BR><a href="https://api.scryfall.com/cards/aa6dd775-f642-4802-9697-e8fdb6f3d4c5/rulings">Rulings</a>|Dominaria United Promos|Rare||Miguel Mercado|3s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdmu/3s/archangel-of-wrath?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/a/aa6dd775-f642-4802-9697-e8fdb6f3d4c5.jpg?1681396280}
38aec729-8cfa-4aeb-87e6-a4bdd8061f6c|Danitha, Benalia's Hope|{4}{W}|Legendary Creature - Human Knight|4|4|First strike, vigilance, lifelink<br>When Danitha enters, you may put an Aura or Equipment card from your hand or graveyard onto the battlefield attached to Danitha.<BR><a href="https://api.scryfall.com/cards/38aec729-8cfa-4aeb-87e6-a4bdd8061f6c/rulings">Rulings</a>|Dominaria United Promos|Rare||Magali Villeneuve|15p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdmu/15p/danitha-benalias-hope?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/38aec729-8cfa-4aeb-87e6-a4bdd8061f6c.jpg?1675620208}
0ba32ccb-6234-4e25-bfa2-b202323c94d5|Danitha, Benalia's Hope|{4}{W}|Legendary Creature - Human Knight|4|4|First strike, vigilance, lifelink<br>When Danitha enters, you may put an Aura or Equipment card from your hand or graveyard onto the battlefield attached to Danitha.<BR><a href="https://api.scryfall.com/cards/0ba32ccb-6234-4e25-bfa2-b202323c94d5/rulings">Rulings</a>|Dominaria United Promos|Rare||Magali Villeneuve|15s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdmu/15s/danitha-benalias-hope?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0ba32ccb-6234-4e25-bfa2-b202323c94d5.jpg?1681396269}
390d35fc-7fcd-4eee-837d-720ec4a41172|Defiler of Faith|{3}{W}{W}|Creature - Phyrexian Human|5|5|Vigilance<br>As an additional cost to cast white permanent spells, you may pay 2 life. Those spells cost {W} less to cast if you paid life this way. This effect reduces only the amount of white mana you pay.<br>Whenever you cast a white permanent spell, create a 1/1 white Soldier creature token.<BR><a href="https://api.scryfall.com/cards/390d35fc-7fcd-4eee-837d-720ec4a41172/rulings">Rulings</a>|Dominaria United Promos|Rare||Magali Villeneuve|16p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdmu/16p/defiler-of-faith?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/9/390d35fc-7fcd-4eee-837d-720ec4a41172.jpg?1675620192}
fea6b284-14cf-472a-b55b-51fdc90dbd12|Defiler of Faith|{3}{W}{W}|Creature - Phyrexian Human|5|5|Vigilance<br>As an additional cost to cast white permanent spells, you may pay 2 life. Those spells cost {W} less to cast if you paid life this way. This effect reduces only the amount of white mana you pay.<br>Whenever you cast a white permanent spell, create a 1/1 white Soldier creature token.<BR><a href="https://api.scryfall.com/cards/fea6b284-14cf-472a-b55b-51fdc90dbd12/rulings">Rulings</a>|Dominaria United Promos|Rare||Magali Villeneuve|16s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdmu/16s/defiler-of-faith?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fea6b284-14cf-472a-b55b-51fdc90dbd12.jpg?1681396257}
c89d6d00-1a32-45f5-b24f-c644043decbd|Guardian of New Benalia|{1}{W}|Creature - Human Soldier|2|2|Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)<br>Whenever this creature enlists a creature, scry 2.<br>Discard a card: This creature gains indestructible until end of turn. Tap it.<BR><a href="https://api.scryfall.com/cards/c89d6d00-1a32-45f5-b24f-c644043decbd/rulings">Rulings</a>|Dominaria United Promos|Rare||Ernanda Souza|19p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdmu/19p/guardian-of-new-benalia?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c89d6d00-1a32-45f5-b24f-c644043decbd.jpg?1675620178}
3f7137ff-cba5-4685-9777-78ff37689e72|Guardian of New Benalia|{1}{W}|Creature - Human Soldier|2|2|Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)<br>Whenever this creature enlists a creature, scry 2.<br>Discard a card: This creature gains indestructible until end of turn. Tap it.<BR><a href="https://api.scryfall.com/cards/3f7137ff-cba5-4685-9777-78ff37689e72/rulings">Rulings</a>|Dominaria United Promos|Rare||Ernanda Souza|19s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdmu/19s/guardian-of-new-benalia?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3f7137ff-cba5-4685-9777-78ff37689e72.jpg?1681396244}
b63df6d7-23ba-4659-8e17-1b9c7eacae47|Leyline Binding|{5}{W}|Enchantment|||Flash<br>Domain — This spell costs {1} less to cast for each basic land type among lands you control.<br>When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.<BR><a href="https://api.scryfall.com/cards/b63df6d7-23ba-4659-8e17-1b9c7eacae47/rulings">Rulings</a>|Dominaria United Promos|Rare||Cristi Balanescu|24p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdmu/24p/leyline-binding?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/6/b63df6d7-23ba-4659-8e17-1b9c7eacae47.jpg?1675620164}
aa4d36f1-1e7c-4773-8547-fd0cf0b5915d|Leyline Binding|{5}{W}|Enchantment|||Flash<br>Domain — This spell costs {1} less to cast for each basic land type among lands you control.<br>When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.<BR><a href="https://api.scryfall.com/cards/aa4d36f1-1e7c-4773-8547-fd0cf0b5915d/rulings">Rulings</a>|Dominaria United Promos|Rare||Cristi Balanescu|24s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdmu/24s/leyline-binding?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/a/aa4d36f1-1e7c-4773-8547-fd0cf0b5915d.jpg?1681396232}
3fa560c9-4c40-4158-8f6c-e38dd924e2f3|Serra Paragon|{2}{W}{W}|Creature - Angel|3|4|Flying<br>Once during each of your turns, you may play a land from your graveyard or cast a permanent spell with mana value 3 or less from your graveyard. If you do, it gains "When this permanent is put into a graveyard from the battlefield, exile it and you gain 2 life."<BR><a href="https://api.scryfall.com/cards/3fa560c9-4c40-4158-8f6c-e38dd924e2f3/rulings">Rulings</a>|Dominaria United Promos|Mythic||Heonhwa Choe|32p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdmu/32p/serra-paragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3fa560c9-4c40-4158-8f6c-e38dd924e2f3.jpg?1675620152}
72ae055a-9f19-4b3e-86e1-de7bd30b5c9c|Serra Paragon|{2}{W}{W}|Creature - Angel|3|4|Flying<br>Once during each of your turns, you may play a land from your graveyard or cast a permanent spell with mana value 3 or less from your graveyard. If you do, it gains "When this permanent is put into a graveyard from the battlefield, exile it and you gain 2 life."<BR><a href="https://api.scryfall.com/cards/72ae055a-9f19-4b3e-86e1-de7bd30b5c9c/rulings">Rulings</a>|Dominaria United Promos|Mythic||Heonhwa Choe|32s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdmu/32s/serra-paragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/2/72ae055a-9f19-4b3e-86e1-de7bd30b5c9c.jpg?1681396219}
