ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
fb381cb8-71dd-4c64-8a57-c37ac16ec97f|Dazzling Theater // Prop Room|{3}{W}|Enchantment - Room|||Creature spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a creature spell pays for {1} or one mana of that creature's color.)<br>(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)|Duskmourn: House of Horror Promos|Rare||Henry Peters|3p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdsk/3p/dazzling-theater-prop-room?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fb381cb8-71dd-4c64-8a57-c37ac16ec97f.jpg?1727559845, FLIPID=-fb381cb8-71dd-4c64-8a57-c37ac16ec97f}
-fb381cb8-71dd-4c64-8a57-c37ac16ec97f|Dazzling Theater // Prop Room (split)|{2}{W}|Enchantment - Room|||Untap each creature you control during each other player's untap step.<br>(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)|Duskmourn: House of Horror Promos|Rare||Henry Peters|3pb|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdsk/3p/dazzling-theater-prop-room?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fb381cb8-71dd-4c64-8a57-c37ac16ec97f.jpg?1727559845, FLIPID=fb381cb8-71dd-4c64-8a57-c37ac16ec97f}
4fda5116-4124-4103-a329-2b397c0d62e4|Dazzling Theater // Prop Room|{3}{W}|Enchantment - Room|||Creature spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a creature spell pays for {1} or one mana of that creature's color.)<br>(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)|Duskmourn: House of Horror Promos|Rare||Henry Peters|3s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdsk/3s/dazzling-theater-prop-room?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/f/4fda5116-4124-4103-a329-2b397c0d62e4.jpg?1727559670, FLIPID=-4fda5116-4124-4103-a329-2b397c0d62e4}
-4fda5116-4124-4103-a329-2b397c0d62e4|Dazzling Theater // Prop Room (split)|{2}{W}|Enchantment - Room|||Untap each creature you control during each other player's untap step.<br>(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)|Duskmourn: House of Horror Promos|Rare||Henry Peters|3sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdsk/3s/dazzling-theater-prop-room?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/f/4fda5116-4124-4103-a329-2b397c0d62e4.jpg?1727559670, FLIPID=4fda5116-4124-4103-a329-2b397c0d62e4}
bb6dd879-eb15-4c31-a28b-0943f274e607|Dollmaker's Shop // Porcelain Gallery|{1}{W}|Enchantment - Room|||Whenever one or more non-Toy creatures you control attack a player, create a 1/1 white Toy artifact creature token.<br>(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)|Duskmourn: House of Horror Promos|Mythic||Chris Cold|4p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdsk/4p/dollmakers-shop-porcelain-gallery?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bb6dd879-eb15-4c31-a28b-0943f274e607.jpg?1727559851, FLIPID=-bb6dd879-eb15-4c31-a28b-0943f274e607}
-bb6dd879-eb15-4c31-a28b-0943f274e607|Dollmaker's Shop // Porcelain Gallery (split)|{4}{W}{W}|Enchantment - Room|||Creatures you control have base power and toughness each equal to the number of creatures you control.<br>(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)|Duskmourn: House of Horror Promos|Mythic||Chris Cold|4pb|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdsk/4p/dollmakers-shop-porcelain-gallery?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bb6dd879-eb15-4c31-a28b-0943f274e607.jpg?1727559851, FLIPID=bb6dd879-eb15-4c31-a28b-0943f274e607}
507e07e7-52d1-473a-b64c-a2386551cced|Dollmaker's Shop // Porcelain Gallery|{1}{W}|Enchantment - Room|||Whenever one or more non-Toy creatures you control attack a player, create a 1/1 white Toy artifact creature token.<br>(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)|Duskmourn: House of Horror Promos|Mythic||Chris Cold|4s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdsk/4s/dollmakers-shop-porcelain-gallery?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/0/507e07e7-52d1-473a-b64c-a2386551cced.jpg?1727559679, FLIPID=-507e07e7-52d1-473a-b64c-a2386551cced}
-507e07e7-52d1-473a-b64c-a2386551cced|Dollmaker's Shop // Porcelain Gallery (split)|{4}{W}{W}|Enchantment - Room|||Creatures you control have base power and toughness each equal to the number of creatures you control.<br>(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)|Duskmourn: House of Horror Promos|Mythic||Chris Cold|4sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdsk/4s/dollmakers-shop-porcelain-gallery?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/0/507e07e7-52d1-473a-b64c-a2386551cced.jpg?1727559679, FLIPID=507e07e7-52d1-473a-b64c-a2386551cced}
f0ddac0d-b1a2-429e-832a-8c5d19288066|Enduring Innocence|{1}{W}{W}|Enchantment Creature - Sheep Glimmer|2|1|Lifelink<br>Whenever one or more other creatures you control with power 2 or less enter, draw a card. This ability triggers only once each turn.<br>When Enduring Innocence dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)|Duskmourn: House of Horror Promos|Rare||Liiga Smilshkalne|6p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pdsk/6p/enduring-innocence?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f0ddac0d-b1a2-429e-832a-8c5d19288066.jpg?1727557670}
c83220c9-9e06-4bc5-9c57-de3ae3d67dee|Enduring Innocence|{1}{W}{W}|Enchantment Creature - Sheep Glimmer|2|1|Lifelink<br>Whenever one or more other creatures you control with power 2 or less enter, draw a card. This ability triggers only once each turn.<br>When Enduring Innocence dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)|Duskmourn: House of Horror Promos|Rare||Liiga Smilshkalne|6s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pdsk/6s/enduring-innocence?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c83220c9-9e06-4bc5-9c57-de3ae3d67dee.jpg?1727557628}
