ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
57950af0-92d8-467e-9124-2206c84228c8|Adept Watershaper|{2}{W}|Creature - Merfolk Cleric|3|4|Other tapped creatures you control have indestructible.<BR><a href="https://api.scryfall.com/cards/57950af0-92d8-467e-9124-2206c84228c8/rulings">Rulings</a>|Lorwyn Eclipsed Promos|Rare||Pauline Voss|3p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pecl/3p/adept-watershaper?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/7/57950af0-92d8-467e-9124-2206c84228c8.jpg?1769126310}
fbb6197c-8595-4420-9559-ce1d867c5b21|Ajani, Outland Chaperone|{1}{W}{W}|Legendary Planeswalker - Ajani|||+1: Create a 1/1 green and white Kithkin creature token.<br>−2: Ajani deals 4 damage to target tapped creature.<br>−8: Look at the top X cards of your library, where X is your life total. You may put any number of nonland permanent cards with mana value 3 or less from among them onto the battlefield. Then shuffle.<BR><a href="https://api.scryfall.com/cards/fbb6197c-8595-4420-9559-ce1d867c5b21/rulings">Rulings</a>|Lorwyn Eclipsed Promos|Mythic||Daren Bader|4p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pecl/4p/ajani-outland-chaperone?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fbb6197c-8595-4420-9559-ce1d867c5b21.jpg?1769126253}
3fd504e4-c7ae-41b2-a614-ea7e635f5ae3|Brigid, Clachan's Heart // Brigid, Doun's Mind|{2}{W}|Legendary Creature - Kithkin Warrior|3|2|Whenever this creature enters or transforms into Brigid, Clachan's Heart, create a 1/1 green and white Kithkin creature token.<br>At the beginning of your first main phase, you may pay {G}. If you do, transform Brigid.<BR><a href="https://api.scryfall.com/cards/3fd504e4-c7ae-41b2-a614-ea7e635f5ae3/rulings">Rulings</a>|Lorwyn Eclipsed Promos|Rare||Zoltan Boros|7p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pecl/7p/brigid-clachans-heart-brigid-douns-mind?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3fd504e4-c7ae-41b2-a614-ea7e635f5ae3.jpg?1769126705, FLIPID=-3fd504e4-c7ae-41b2-a614-ea7e635f5ae3}
-3fd504e4-c7ae-41b2-a614-ea7e635f5ae3|Brigid, Clachan's Heart // Brigid, Doun's Mind (transform)||Legendary Creature - Kithkin Soldier|3|2|{T}: Add X {G} or X {W}, where X is the number of other creatures you control.<br>At the beginning of your first main phase, you may pay {W}. If you do, transform Brigid.<BR><a href="https://api.scryfall.com/cards/3fd504e4-c7ae-41b2-a614-ea7e635f5ae3/rulings">Rulings</a>|Lorwyn Eclipsed Promos|Rare||Zoltan Boros|7pb|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pecl/7p/brigid-clachans-heart-brigid-douns-mind?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/3/f/3fd504e4-c7ae-41b2-a614-ea7e635f5ae3.jpg?1769126705, FLIPID=3fd504e4-c7ae-41b2-a614-ea7e635f5ae3}
bca900b0-5d01-45af-a2b5-9692e7bb6b59|Champion of the Clachan|{3}{W}|Creature - Kithkin Knight|4|5|Flash<br>As an additional cost to cast this spell, behold a Kithkin and exile it. (Exile a Kithkin you control or a Kithkin card from your hand.)<br>Other Kithkin you control get +1/+1.<br>When this creature leaves the battlefield, return the exiled card to its owner's hand.<BR><a href="https://api.scryfall.com/cards/bca900b0-5d01-45af-a2b5-9692e7bb6b59/rulings">Rulings</a>|Lorwyn Eclipsed Promos|Rare||Edgar Sánchez Hidalgo|9p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pecl/9p/champion-of-the-clachan?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/c/bca900b0-5d01-45af-a2b5-9692e7bb6b59.jpg?1769126159}
62b74089-db4c-40ad-a7b1-87fa8792823a|Curious Colossus|{5}{W}{W}|Creature - Giant Warrior|7|7|When this creature enters, each creature target opponent controls loses all abilities, becomes a Coward in addition to its other types, and has base power and toughness 1/1.<BR><a href="https://api.scryfall.com/cards/62b74089-db4c-40ad-a7b1-87fa8792823a/rulings">Rulings</a>|Lorwyn Eclipsed Promos|Mythic||Raoul Vitale|12p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pecl/12p/curious-colossus?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/2/62b74089-db4c-40ad-a7b1-87fa8792823a.jpg?1769126234}
be117bfa-63d3-4b0f-8289-8d3a7788cc5f|Eirdu, Carrier of Dawn // Isilu, Carrier of Twilight|{3}{W}{W}|Legendary Creature - Elemental God|5|5|Flying, lifelink<br>Creature spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a creature spell pays for {1} or one mana of that creature's color.)<br>At the beginning of your first main phase, you may pay {B}. If you do, transform Eirdu.<BR><a href="https://api.scryfall.com/cards/be117bfa-63d3-4b0f-8289-8d3a7788cc5f/rulings">Rulings</a>|Lorwyn Eclipsed Promos|Mythic||Lucas Graciano|13p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pecl/13p/eirdu-carrier-of-dawn-isilu-carrier-of-twilight?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/be117bfa-63d3-4b0f-8289-8d3a7788cc5f.jpg?1769126530, FLIPID=-be117bfa-63d3-4b0f-8289-8d3a7788cc5f}
-be117bfa-63d3-4b0f-8289-8d3a7788cc5f|Eirdu, Carrier of Dawn // Isilu, Carrier of Twilight (transform)||Legendary Creature - Elemental God|5|5|Flying, lifelink<br>Each other nontoken creature you control has persist. (When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)<br>At the beginning of your first main phase, you may pay {W}. If you do, transform Isilu.<BR><a href="https://api.scryfall.com/cards/be117bfa-63d3-4b0f-8289-8d3a7788cc5f/rulings">Rulings</a>|Lorwyn Eclipsed Promos|Mythic||Lucas Graciano|13pb|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pecl/13p/eirdu-carrier-of-dawn-isilu-carrier-of-twilight?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/e/be117bfa-63d3-4b0f-8289-8d3a7788cc5f.jpg?1769126530, FLIPID=be117bfa-63d3-4b0f-8289-8d3a7788cc5f}
96217252-d1a7-4fe8-b290-8fe32a04c2e1|Kinbinding|{3}{W}{W}|Enchantment|||Creatures you control get +X/+X, where X is the number of creatures that entered the battlefield under your control this turn.<br>At the beginning of combat on your turn, create a 1/1 green and white Kithkin creature token.<BR><a href="https://api.scryfall.com/cards/96217252-d1a7-4fe8-b290-8fe32a04c2e1/rulings">Rulings</a>|Lorwyn Eclipsed Promos|Rare||Caio Monteiro|20p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pecl/20p/kinbinding?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/6/96217252-d1a7-4fe8-b290-8fe32a04c2e1.jpg?1769126574}
10a838c6-9c0a-43c2-be54-957b03c67ac3|Kinscaer Sentry|{1}{W}|Creature - Kithkin Soldier|2|2|First strike, lifelink<br>Whenever this creature attacks, you may put a creature card with mana value X or less from your hand onto the battlefield tapped and attacking, where X is the number of attacking creatures you control.<BR><a href="https://api.scryfall.com/cards/10a838c6-9c0a-43c2-be54-957b03c67ac3/rulings">Rulings</a>|Lorwyn Eclipsed Promos|Rare||Kev Fang|22p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pecl/22p/kinscaer-sentry?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/10a838c6-9c0a-43c2-be54-957b03c67ac3.jpg?1769126122}
