ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
77ba25cb-a8a6-46b6-82be-5c70e663dfdf|Acclaimed Contender|{2}{W}|Creature - Human Knight|3|3|When this creature enters, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.|Throne of Eldraine Promos|Rare||David Gaillet|1p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/peld/1p/acclaimed-contender?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/7/77ba25cb-a8a6-46b6-82be-5c70e663dfdf.jpg?1571886152}
9a675b33-ab47-4a34-ab10-384e0de2f71f|Acclaimed Contender|{2}{W}|Creature - Human Knight|3|3|When this creature enters, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.|Throne of Eldraine Promos|Rare||David Gaillet|1s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/peld/1s/acclaimed-contender?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9a675b33-ab47-4a34-ab10-384e0de2f71f.jpg?1571851323}
67ca015a-849f-4c9c-9e12-c049cfe16aeb|Charming Prince|{1}{W}|Creature - Human Noble|2|2|When this creature enters, choose one —<br>• Scry 2.<br>• You gain 3 life.<br>• Exile another target creature you own. Return it to the battlefield under your control at the beginning of the next end step.|Throne of Eldraine Promos|Rare||Randy Vargas|8p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/peld/8p/charming-prince?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/7/67ca015a-849f-4c9c-9e12-c049cfe16aeb.jpg?1571886148}
7e9d9a8a-ea85-4d2e-8580-38125aebc736|Charming Prince|{1}{W}|Creature - Human Noble|2|2|When this creature enters, choose one —<br>• Scry 2.<br>• You gain 3 life.<br>• Exile another target creature you own. Return it to the battlefield under your control at the beginning of the next end step.|Throne of Eldraine Promos|Rare||Randy Vargas|8s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/peld/8s/charming-prince?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/e/7e9d9a8a-ea85-4d2e-8580-38125aebc736.jpg?1571851315}
c1dbb04c-ee12-426a-bb7c-534faa0c2435|The Circle of Loyalty|{4}{W}{W}|Legendary Artifact|||Affinity for Knights (This spell costs {1} less to cast for each Knight you control.)<br>Creatures you control get +1/+1.<br>Whenever you cast a legendary spell, create a 2/2 white Knight creature token with vigilance.<br>{3}{W}, {T}: Create a 2/2 white Knight creature token with vigilance.|Throne of Eldraine Promos|Mythic||Bastien L. Deharme|9p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/peld/9p/the-circle-of-loyalty?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c1dbb04c-ee12-426a-bb7c-534faa0c2435.jpg?1571886145}
86a4ffbb-9113-4c61-a369-95c1a52cea02|The Circle of Loyalty|{4}{W}{W}|Legendary Artifact|||Affinity for Knights (This spell costs {1} less to cast for each Knight you control.)<br>Creatures you control get +1/+1.<br>Whenever you cast a legendary spell, create a 2/2 white Knight creature token with vigilance.<br>{3}{W}, {T}: Create a 2/2 white Knight creature token with vigilance.|Throne of Eldraine Promos|Mythic||Bastien L. Deharme|9s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/peld/9s/the-circle-of-loyalty?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/86a4ffbb-9113-4c61-a369-95c1a52cea02.jpg?1571851307}
a755e9d9-171f-421c-9ed9-7a296b2b0c9b|Giant Killer // Chop Down|{W}|Creature - Human Peasant|1|2|{1}{W}, {T}: Tap target creature.|Throne of Eldraine Promos|Rare||Jesper Ejsing|14p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/peld/14p/giant-killer-chop-down?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a755e9d9-171f-421c-9ed9-7a296b2b0c9b.jpg?1571886142, FLIPID=-a755e9d9-171f-421c-9ed9-7a296b2b0c9b}
-a755e9d9-171f-421c-9ed9-7a296b2b0c9b|Giant Killer // Chop Down (adventure)|{2}{W}|Instant - Adventure|||Destroy target creature with power 4 or greater. (Then exile this card. You may cast the creature later from exile.)|Throne of Eldraine Promos|Rare||Jesper Ejsing|14pb|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/peld/14p/giant-killer-chop-down?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a755e9d9-171f-421c-9ed9-7a296b2b0c9b.jpg?1571886142, FLIPID=a755e9d9-171f-421c-9ed9-7a296b2b0c9b}
f999067b-f7af-4482-9549-108d21be7acc|Giant Killer // Chop Down|{W}|Creature - Human Peasant|1|2|{1}{W}, {T}: Tap target creature.|Throne of Eldraine Promos|Rare||Jesper Ejsing|14s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/peld/14s/giant-killer-chop-down?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f999067b-f7af-4482-9549-108d21be7acc.jpg?1571851296, FLIPID=-f999067b-f7af-4482-9549-108d21be7acc}
-f999067b-f7af-4482-9549-108d21be7acc|Giant Killer // Chop Down (adventure)|{2}{W}|Instant - Adventure|||Destroy target creature with power 4 or greater. (Then exile this card. You may cast the creature later from exile.)|Throne of Eldraine Promos|Rare||Jesper Ejsing|14sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/peld/14s/giant-killer-chop-down?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f999067b-f7af-4482-9549-108d21be7acc.jpg?1571851296, FLIPID=f999067b-f7af-4482-9549-108d21be7acc}
