ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
356547d1-f97e-4ef6-ab32-43e4673393ff|Forest||Basic Land - Forest|||({T}: Add {G}.)<BR><a href="https://api.scryfall.com/cards/356547d1-f97e-4ef6-ab32-43e4673393ff/rulings">Rulings</a>|European Land Program|Common||Scott Bailey|1|R$ 24.29 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/1/forest?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/356547d1-f97e-4ef6-ab32-43e4673393ff.jpg?1654083289}
aff6f306-4e54-4535-aa35-f7ef058fec49|Island||Basic Land - Island|||({T}: Add {U}.)<BR><a href="https://api.scryfall.com/cards/aff6f306-4e54-4535-aa35-f7ef058fec49/rulings">Rulings</a>|European Land Program|Common||Ben Thompson|2|R$ 23.77 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/2/island?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/aff6f306-4e54-4535-aa35-f7ef058fec49.jpg?1654083361}
88f58cf9-a4ca-4a91-a800-9658b2689581|Mountain||Basic Land - Mountain|||({T}: Add {R}.)<BR><a href="https://api.scryfall.com/cards/88f58cf9-a4ca-4a91-a800-9658b2689581/rulings">Rulings</a>|European Land Program|Common||Kev Walker|3|R$ 9.52 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/3/mountain?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/88f58cf9-a4ca-4a91-a800-9658b2689581.jpg?1654083397}
b1b2f459-8878-4008-9c40-46f706d6872a|Plains||Basic Land - Plains|||({T}: Add {W}.)<BR><a href="https://api.scryfall.com/cards/b1b2f459-8878-4008-9c40-46f706d6872a/rulings">Rulings</a>|European Land Program|Common||Mike Ploog|4|R$ 24.27 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/4/plains?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/1/b1b2f459-8878-4008-9c40-46f706d6872a.jpg?1654083460}
12230b2f-06f6-4c9f-93e4-ed9755d88979|Swamp||Basic Land - Swamp|||({T}: Add {B}.)<BR><a href="https://api.scryfall.com/cards/12230b2f-06f6-4c9f-93e4-ed9755d88979/rulings">Rulings</a>|European Land Program|Common||Scott Bailey|5|R$ 18.66 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/5/swamp?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/2/12230b2f-06f6-4c9f-93e4-ed9755d88979.jpg?1654083497}
a6e62fd9-c184-4763-ad6c-8d2d7560879b|Forest||Basic Land - Forest|||({T}: Add {G}.)<BR><a href="https://api.scryfall.com/cards/a6e62fd9-c184-4763-ad6c-8d2d7560879b/rulings">Rulings</a>|European Land Program|Common||Kev Walker|6|R$ 30.88 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/6/forest?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/6/a6e62fd9-c184-4763-ad6c-8d2d7560879b.jpg?1654083298}
9097b246-a7a6-4dad-ad5b-5703eac4b7f0|Island||Basic Land - Island|||({T}: Add {U}.)<BR><a href="https://api.scryfall.com/cards/9097b246-a7a6-4dad-ad5b-5703eac4b7f0/rulings">Rulings</a>|European Land Program|Common||Eric Peterson|7|R$ 98.16 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/7/island?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/9097b246-a7a6-4dad-ad5b-5703eac4b7f0.jpg?1654083364}
b36c3a0c-554c-40e7-a443-951108c52487|Mountain||Basic Land - Mountain|||({T}: Add {R}.)<BR><a href="https://api.scryfall.com/cards/b36c3a0c-554c-40e7-a443-951108c52487/rulings">Rulings</a>|European Land Program|Common||Scott Bailey|8|R$ 29.92 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/8/mountain?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b36c3a0c-554c-40e7-a443-951108c52487.jpg?1654083401}
a2f3809e-e08e-45ff-8324-4046022fc6dd|Plains||Basic Land - Plains|||({T}: Add {W}.)<BR><a href="https://api.scryfall.com/cards/a2f3809e-e08e-45ff-8324-4046022fc6dd/rulings">Rulings</a>|European Land Program|Common||Eric Peterson|9|R$ 60.00 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/9/plains?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/2/a2f3809e-e08e-45ff-8324-4046022fc6dd.jpg?1654083464}
5e3264ab-2fe4-4708-97d6-36c51f83a414|Swamp||Basic Land - Swamp|||({T}: Add {B}.)<BR><a href="https://api.scryfall.com/cards/5e3264ab-2fe4-4708-97d6-36c51f83a414/rulings">Rulings</a>|European Land Program|Common||Kev Walker|10|R$ 22.76 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/10/swamp?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5e3264ab-2fe4-4708-97d6-36c51f83a414.jpg?1654083504}
da9112dd-ee4d-4554-87d4-3421fc6a9101|Forest||Basic Land - Forest|||({T}: Add {G}.)<BR><a href="https://api.scryfall.com/cards/da9112dd-ee4d-4554-87d4-3421fc6a9101/rulings">Rulings</a>|European Land Program|Common||Mike Ploog|11|R$ 44.97 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/11/forest?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/a/da9112dd-ee4d-4554-87d4-3421fc6a9101.jpg?1654083314}
62e230bc-a6df-4934-9a35-b87790daacae|Island||Basic Land - Island|||({T}: Add {U}.)<BR><a href="https://api.scryfall.com/cards/62e230bc-a6df-4934-9a35-b87790daacae/rulings">Rulings</a>|European Land Program|Common||Ben Thompson|12|R$ 37.26 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/12/island?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/2/62e230bc-a6df-4934-9a35-b87790daacae.jpg?1654083370}
3f5e8055-3ae8-4708-b430-e72cf988e702|Mountain||Basic Land - Mountain|||({T}: Add {R}.)<BR><a href="https://api.scryfall.com/cards/3f5e8055-3ae8-4708-b430-e72cf988e702/rulings">Rulings</a>|European Land Program|Common||Eric Peterson|13|R$ 24.98 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/13/mountain?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3f5e8055-3ae8-4708-b430-e72cf988e702.jpg?1654083406}
83995327-f921-4262-863b-f8ff49f44986|Plains||Basic Land - Plains|||({T}: Add {W}.)<BR><a href="https://api.scryfall.com/cards/83995327-f921-4262-863b-f8ff49f44986/rulings">Rulings</a>|European Land Program|Common||Ben Thompson|14|R$ 11.78 <br>Finishes: nonfoil:<br>Promos: event:<br><br><a href="https://scryfall.com/card/pelp/14/plains?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83995327-f921-4262-863b-f8ff49f44986.jpg?1654083468}
