ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
-dd08f30d-6bb8-45b9-a79c-81ff9578803e|Balamb Garden, SeeD Academy // Balamb Garden, Airborne (transform)||Legendary Artifact - Vehicle|5|4|Flying<br>Whenever Balamb Garden attacks, draw a card.<br>Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)|Final Fantasy Promos|Rare||Jonas De Ro|272sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pfin/272s/balamb-garden-seed-academy-balamb-garden-airborne?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/d/dd08f30d-6bb8-45b9-a79c-81ff9578803e.jpg?1750535905, FLIPID=dd08f30d-6bb8-45b9-a79c-81ff9578803e}
-579a2f93-6447-4b02-bbf7-b09ef91bd709|Cecil, Dark Knight // Cecil, Redeemed Paladin (transform)||Legendary Creature - Human Knight|4|4|Lifelink<br>Protect — Whenever Cecil attacks, other attacking creatures gain indestructible until end of turn.|Final Fantasy Promos|Rare||Josu Hernaiz|91sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pfin/91s/cecil-dark-knight-cecil-redeemed-paladin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/7/579a2f93-6447-4b02-bbf7-b09ef91bd709.jpg?1750535934, FLIPID=579a2f93-6447-4b02-bbf7-b09ef91bd709}
-421d443c-bd4c-4768-b801-5241f6b2658b|Clive, Ifrit's Dominant // Ifrit, Warden of Inferno (transform)||Legendary Enchantment Creature - Saga Demon|9|9|(As this Saga enters and after your draw step, add a lore counter.)<br>I — Lunge — Ifrit fights up to one other target creature.<br>II, III — Brimstone — Add {R}{R}{R}{R}. If Ifrit has three or more lore counters on it, exile it, then return it to the battlefield (front face up).|Final Fantasy Promos|Mythic||Nino Is|133sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pfin/133s/clive-ifrits-dominant-ifrit-warden-of-inferno?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/4/2/421d443c-bd4c-4768-b801-5241f6b2658b.jpg?1750536529, FLIPID=421d443c-bd4c-4768-b801-5241f6b2658b}
-a245ebd2-606c-40dc-981b-d619b00d7a07|Dion, Bahamut's Dominant // Bahamut, Warden of Light (transform)||Legendary Enchantment Creature - Saga Dragon|5|5|(As this Saga enters and after your draw step, add a lore counter.)<br>I, II — Wings of Light — Put a +1/+1 counter on each other creature you control. Those creatures gain flying until end of turn.<br>III — Gigaflare — Destroy target permanent. Exile Bahamut, then return it to the battlefield (front face up).<br>Flying|Final Fantasy Promos|Rare||Kevin Glint|16sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pfin/16s/dion-bahamuts-dominant-bahamut-warden-of-light?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/2/a245ebd2-606c-40dc-981b-d619b00d7a07.jpg?1750536459, FLIPID=a245ebd2-606c-40dc-981b-d619b00d7a07}
-5580fc6e-0192-4bd9-aace-ac2040fa729a|Emet-Selch, Unsundered // Hades, Sorcerer of Eld (transform)||Legendary Creature - Avatar|6|6|Vigilance<br>Echo of the Lost — During your turn, you may play cards from your graveyard.<br>If a card or token would be put into your graveyard from anywhere, exile it instead.|Final Fantasy Promos|Mythic||Néstor Ossandón Leal|218sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pfin/218s/emet-selch-unsundered-hades-sorcerer-of-eld?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/5/5580fc6e-0192-4bd9-aace-ac2040fa729a.jpg?1750536372, FLIPID=5580fc6e-0192-4bd9-aace-ac2040fa729a}
-87d03dd2-afb8-48c8-a0f6-90f282c05d92|Esper Origins // Summon: Esper Maduin (transform)||Enchantment Creature - Saga Elemental|4|4|(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)<br>I — Reveal the top card of your library. If it's a permanent card, put it into your hand.<br>II — Add {G}{G}.<br>III — Other creatures you control get +2/+2 and gain trample until end of turn.|Final Fantasy Promos|Rare||Danciao|185sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pfin/185s/esper-origins-summon:-esper-maduin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/7/87d03dd2-afb8-48c8-a0f6-90f282c05d92.jpg?1750536001, FLIPID=87d03dd2-afb8-48c8-a0f6-90f282c05d92}
-5558304a-3d04-4549-b812-517667fc608a|Ishgard, the Holy See // Faith & Grief (adventure)||Sorcery - Adventure|||Return up to two target artifact and/or enchantment cards from your graveyard to your hand. (Then exile this card. You may play the land later from exile.)|Final Fantasy Promos|Rare||KOHEI YAMADA|283sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pfin/283s/ishgard-the-holy-see-faith-&-grief?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/5/5558304a-3d04-4549-b812-517667fc608a.jpg?1750535970, FLIPID=5558304a-3d04-4549-b812-517667fc608a}
-021d0abf-7c1a-4081-9686-fba578120249|Jecht, Reluctant Guardian // Braska's Final Aeon (transform)||Legendary Enchantment Creature - Saga Nightmare|7|7|(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)<br>I, II — Jecht Beam — Each opponent discards a card and you draw a card.<br>III — Ultimate Jecht Shot — Each opponent sacrifices two creatures of their choice.<br>Menace|Final Fantasy Promos|Rare||Michael MacRae|104sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pfin/104s/jecht-reluctant-guardian-braskas-final-aeon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/2/021d0abf-7c1a-4081-9686-fba578120249.jpg?1750536263, FLIPID=021d0abf-7c1a-4081-9686-fba578120249}
-50aa744e-61e8-44c9-817c-0dc6086d736f|Jidoor, Aristocratic Capital // Overture (adventure)||Sorcery - Adventure|||Target opponent mills half their library, rounded down. (Then exile this card. You may play the land later from exile.)|Final Fantasy Promos|Rare||Erikas Perl|284sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pfin/284s/jidoor-aristocratic-capital-overture?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/0/50aa744e-61e8-44c9-817c-0dc6086d736f.jpg?1750536517, FLIPID=50aa744e-61e8-44c9-817c-0dc6086d736f}
-246c2602-a8fd-4e01-bf32-5a513ae3c056|Jill, Shiva's Dominant // Shiva, Warden of Ice (transform)||Legendary Enchantment Creature - Saga Elemental|4|5|(As this Saga enters and after your draw step, add a lore counter.)<br>I, II — Mesmerize — Target creature can't be blocked this turn.<br>III — Cold Snap — Tap all lands your opponents control. Exile Shiva, then return it to the battlefield (front face up).|Final Fantasy Promos|Rare||Arif Wijaya|58sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pfin/58s/jill-shivas-dominant-shiva-warden-of-ice?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/4/246c2602-a8fd-4e01-bf32-5a513ae3c056.jpg?1750536097, FLIPID=246c2602-a8fd-4e01-bf32-5a513ae3c056}
