ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
50a38cb7-d663-4fca-a462-a0199694aee3|Angelic Skirmisher|{4}{W}{W}|Creature - Angel|4|4|Flying<br>At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.<BR><a href="https://api.scryfall.com/cards/50a38cb7-d663-4fca-a462-a0199694aee3/rulings">Rulings</a>|Gatecrash Promos|Rare||David Rapoza|A11|Finishes: foil:<br>Promos: setpromo:resale:<br><br><a href="https://scryfall.com/card/pgtc/A11/angelic-skirmisher?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/0/50a38cb7-d663-4fca-a462-a0199694aee3.jpg?1733012325}
0357e2ce-da68-46ff-a7e6-86df8a8ce91c|Skarrg Goliath|{6}{G}{G}|Creature - Beast|9|9|Trample<br>Bloodrush — {5}{G}{G}, Discard this card: Target attacking creature gets +9/+9 and gains trample until end of turn.<BR><a href="https://api.scryfall.com/cards/0357e2ce-da68-46ff-a7e6-86df8a8ce91c/rulings">Rulings</a>|Gatecrash Promos|Rare||Karl Kopinski|133★|Finishes: foil:<br>Promos: setpromo:datestamped:release:<br><br><a href="https://scryfall.com/card/pgtc/133%E2%98%85/skarrg-goliath?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/3/0357e2ce-da68-46ff-a7e6-86df8a8ce91c.jpg?1605371304}
ca2a714e-4254-4138-ad36-4ae11da17289|Consuming Aberration|{3}{U}{B}|Creature - Horror|*|*|Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.<br>Whenever you cast a spell, each opponent reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.<BR><a href="https://api.scryfall.com/cards/ca2a714e-4254-4138-ad36-4ae11da17289/rulings">Rulings</a>|Gatecrash Promos|Rare||Volkan Baǵa|152★|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pgtc/152%E2%98%85/consuming-aberration?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/a/ca2a714e-4254-4138-ad36-4ae11da17289.jpg?1605370640}
f67f79ac-f28d-4244-994e-44cb8819db61|Fathom Mage|{2}{G}{U}|Creature - Human Wizard|1|1|Evolve (Whenever a creature you control enters, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)<br>Whenever a +1/+1 counter is put on this creature, you may draw a card.<BR><a href="https://api.scryfall.com/cards/f67f79ac-f28d-4244-994e-44cb8819db61/rulings">Rulings</a>|Gatecrash Promos|Rare||Dan Murayama Scott|162★|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pgtc/162%E2%98%85/fathom-mage?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f67f79ac-f28d-4244-994e-44cb8819db61.jpg?1605370734}
05607d21-7613-4c28-b81f-995f36ab64f6|Firemane Avenger|{2}{R}{W}|Creature - Angel|3|3|Flying<br>Battalion — Whenever this creature and at least two other creatures attack, this creature deals 3 damage to any target and you gain 3 life.<BR><a href="https://api.scryfall.com/cards/05607d21-7613-4c28-b81f-995f36ab64f6/rulings">Rulings</a>|Gatecrash Promos|Rare||Ryan Barger|163|Finishes: foil:<br>FullArt: true<br>Promos: setpromo:gameday:<br><br><a href="https://scryfall.com/card/pgtc/163/firemane-avenger?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/05607d21-7613-4c28-b81f-995f36ab64f6.jpg?1561756594}
9e42ff7d-b6f9-4e98-9782-bed98c202253|Foundry Champion|{4}{R}{W}|Creature - Elemental Soldier|4|4|When this creature enters, it deals damage to any target equal to the number of creatures you control.<br>{R}: This creature gets +1/+0 until end of turn.<br>{W}: This creature gets +0/+1 until end of turn.<BR><a href="https://api.scryfall.com/cards/9e42ff7d-b6f9-4e98-9782-bed98c202253/rulings">Rulings</a>|Gatecrash Promos|Rare||James Ryman|165★|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pgtc/165%E2%98%85/foundry-champion?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9e42ff7d-b6f9-4e98-9782-bed98c202253.jpg?1605370735}
3422b1bf-c5b6-4d1c-bcea-8e81b83b996e|Rubblehulk|{4}{R}{G}|Creature - Elemental|*|*|Rubblehulk's power and toughness are each equal to the number of lands you control.<br>Bloodrush — {1}{R}{G}, Discard this card: Target attacking creature gets +X/+X until end of turn, where X is the number of lands you control.<BR><a href="https://api.scryfall.com/cards/3422b1bf-c5b6-4d1c-bcea-8e81b83b996e/rulings">Rulings</a>|Gatecrash Promos|Rare||Cliff Childs|191★|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pgtc/191%E2%98%85/rubblehulk?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/4/3422b1bf-c5b6-4d1c-bcea-8e81b83b996e.jpg?1605370824}
d9243a56-3551-454b-ab47-95d461b471b4|Treasury Thrull|{4}{W}{B}|Creature - Thrull|4|4|Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)<br>Whenever this creature attacks, you may return target artifact, creature, or enchantment card from your graveyard to your hand.<BR><a href="https://api.scryfall.com/cards/d9243a56-3551-454b-ab47-95d461b471b4/rulings">Rulings</a>|Gatecrash Promos|Rare||Lucas Graciano|201★|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pgtc/201%E2%98%85/treasury-thrull?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/9/d9243a56-3551-454b-ab47-95d461b471b4.jpg?1605370793}
ed0bdf8f-9086-4e30-8865-bb1eb55516f8|Zameck Guildmage|{G}{U}|Creature - Elf Wizard|2|2|{G}{U}: This turn, each creature you control enters with an additional +1/+1 counter on it.<br>{G}{U}, Remove a +1/+1 counter from a creature you control: Draw a card.<BR><a href="https://api.scryfall.com/cards/ed0bdf8f-9086-4e30-8865-bb1eb55516f8/rulings">Rulings</a>|Gatecrash Promos|Uncommon||Raymond Swanland|209|Finishes: nonfoil:<br>FullArt: true<br>Promos: setpromo:gameday:<br><br><a href="https://scryfall.com/card/pgtc/209/zameck-guildmage?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/d/ed0bdf8f-9086-4e30-8865-bb1eb55516f8.jpg?1561758383}
bd7305f2-6e91-4d30-961b-b74a830d6eb3|Nightveil Specter|{U/B}{U/B}{U/B}|Creature - Specter|2|3|Flying<br>Whenever this creature deals combat damage to a player, that player exiles the top card of their library.<br>You may play lands and cast spells from among cards exiled with this creature.<BR><a href="https://api.scryfall.com/cards/bd7305f2-6e91-4d30-961b-b74a830d6eb3/rulings">Rulings</a>|Gatecrash Promos|Rare||Steven Belledin|222★|Finishes: foil:<br>Promos: setpromo:buyabox:<br><br><a href="https://scryfall.com/card/pgtc/222%E2%98%85/nightveil-specter?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bd7305f2-6e91-4d30-961b-b74a830d6eb3.jpg?1662281022}
