ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
9bfeda36-26ee-41c2-935d-07d02cf3e940|Dawnbringer Charioteers|{2}{W}{W}|Creature - Human Soldier|2|4|Flying, lifelink<br>Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on this creature.|Journey into Nyx Promos|Rare||Volkan Baǵa|6★|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br>https://scryfall.com/card/pjou/6%E2%98%85/dawnbringer-charioteers?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/b/9bfeda36-26ee-41c2-935d-07d02cf3e940.jpg?1605370641}
d6306f45-36fd-42b1-88b1-31b915410879|Dictate of Kruphix|{1}{U}{U}|Enchantment|||Flash (You may cast this spell any time you could cast an instant.)<br>At the beginning of each player's draw step, that player draws an additional card.|Journey into Nyx Promos|Rare||Ryan Barger|37|Finishes: foil:<br>FullArt: true<br>Promos: setpromo:gameday:<br>https://scryfall.com/card/pjou/37/dictate-of-kruphix?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/6/d6306f45-36fd-42b1-88b1-31b915410879.jpg?1561758153}
005be4aa-9800-4f68-b341-90328dc34d13|Scourge of Fleets|{5}{U}{U}|Creature - Kraken|6|6|When this creature enters, return each creature your opponents control with toughness X or less to its owner's hand, where X is the number of Islands you control.|Journey into Nyx Promos|Rare||Adam Paquette|51★|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br>https://scryfall.com/card/pjou/51%E2%98%85/scourge-of-fleets?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/0/005be4aa-9800-4f68-b341-90328dc34d13.jpg?1605370826}
95ca8091-5282-4c87-88a8-cc84717e9d41|Doomwake Giant|{4}{B}|Enchantment Creature - Giant|4|6|Constellation — Whenever this creature or another enchantment you control enters, creatures your opponents control get -1/-1 until end of turn.|Journey into Nyx Promos|Rare||Nils Hamm|66★|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br>https://scryfall.com/card/pjou/66%E2%98%85/doomwake-giant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/5/95ca8091-5282-4c87-88a8-cc84717e9d41.jpg?1605370684}
b564f16b-c212-4788-84a5-a95e4a748372|Squelching Leeches|{2}{B}{B}|Creature - Leech|*|*|Squelching Leeches's power and toughness are each equal to the number of Swamps you control.|Journey into Nyx Promos|Uncommon||Tomasz Jedruszek|84|Finishes: nonfoil:<br>FullArt: true<br>Promos: setpromo:gameday:<br>https://scryfall.com/card/pjou/84/squelching-leeches?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/5/b564f16b-c212-4788-84a5-a95e4a748372.jpg?1561757881}
be67e7aa-25ca-409f-9382-aa6b259cfa41|Dictate of the Twin Gods|{3}{R}{R}|Enchantment|||Flash<br>If a source would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.|Journey into Nyx Promos|Rare||Chase Stone|93★|Finishes: foil:<br>Promos: setpromo:datestamped:release:<br>https://scryfall.com/card/pjou/93%E2%98%85/dictate-of-the-twin-gods?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/be67e7aa-25ca-409f-9382-aa6b259cfa41.jpg?1605371437}
402a302a-4ba5-44a8-b291-afe74f3d0e67|Spawn of Thraxes|{5}{R}{R}|Creature - Dragon|5|5|Flying<br>When this creature enters, it deals damage to any target equal to the number of Mountains you control.|Journey into Nyx Promos|Rare||Jason Rainville|112★|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br>https://scryfall.com/card/pjou/112%E2%98%85/spawn-of-thraxes?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/0/402a302a-4ba5-44a8-b291-afe74f3d0e67.jpg?1605370831}
bb2d43eb-a72f-4721-82b5-121a7c4d2ffa|Eidolon of Blossoms|{2}{G}{G}|Enchantment Creature - Spirit|2|2|Constellation — Whenever this creature or another enchantment you control enters, draw a card.|Journey into Nyx Promos|Rare||Seb McKinnon|122★|Finishes: foil:<br>Promos: setpromo:buyabox:<br>https://scryfall.com/card/pjou/122%E2%98%85/eidolon-of-blossoms?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bb2d43eb-a72f-4721-82b5-121a7c4d2ffa.jpg?1662281017}
f4fed10c-74f8-49af-8daa-b9c081f549f8|Heroes' Bane|{3}{G}{G}|Creature - Hydra|0|0|This creature enters with four +1/+1 counters on it.<br>{2}{G}{G}: Put X +1/+1 counters on this creature, where X is its power.|Journey into Nyx Promos|Rare||Volkan Baǵa|126★|Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br>https://scryfall.com/card/pjou/126%E2%98%85/heroes-bane?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/4/f4fed10c-74f8-49af-8daa-b9c081f549f8.jpg?1605370732}
2e60397c-5d21-4b8c-be4e-38554b8b405c|Hall of Triumph|{3}|Legendary Artifact|||As Hall of Triumph enters, choose a color.<br>Creatures you control of the chosen color get +1/+1.|Journey into Nyx Promos|Rare||Chuck Lukacs|162|Finishes: foil:<br>Promos: setpromo:gameday:<br>https://scryfall.com/card/pjou/162/hall-of-triumph?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/e/2e60397c-5d21-4b8c-be4e-38554b8b405c.jpg?1625943329}
