ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
f6a4394a-9ce2-4876-8a04-38e3775123af|Aven Riftwatcher|{2}{W}|Creature - Bird Rebel Soldier|2|3|Flying<br>Vanishing 3 (This creature enters with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)<br>When this creature enters or leaves the battlefield, you gain 2 life.|Planar Chaos|Common||Don Hazeltine|1|MID: 108899<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/plc/1/aven-riftwatcher?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f6a4394a-9ce2-4876-8a04-38e3775123af.jpg?1562586085}
44814da0-3bc8-423d-9b22-3fea123048fa|Benalish Commander|{3}{W}|Creature - Human Soldier|*|*|Benalish Commander's power and toughness are each equal to the number of Soldiers you control.<br>Suspend X—{X}{W}{W}. X can't be 0.<br>Whenever a time counter is removed from this card while it's exiled, create a 1/1 white Soldier creature token.|Planar Chaos|Rare||Paolo Parente|2|MID: 122408<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/plc/2/benalish-commander?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/44814da0-3bc8-423d-9b22-3fea123048fa.jpg?1562570693}
63049fe4-de25-4606-a271-4ccb1b8298f1|Crovax, Ascendant Hero|{4}{W}{W}|Legendary Creature - Human Noble|4|4|Other white creatures get +1/+1.<br>Nonwhite creatures get -1/-1.<br>Pay 2 life: Return Crovax to its owner's hand.|Planar Chaos|Rare||Pete Venters|3|MID: 122487<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/plc/3/crovax-ascendant-hero?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/3/63049fe4-de25-4606-a271-4ccb1b8298f1.jpg?1579814053}
a4c9667b-1d94-42eb-ae8e-1ae4755e200a|Dawn Charm|{1}{W}|Instant|||Choose one —<br>• Prevent all combat damage that would be dealt this turn.<br>• Regenerate target creature.<br>• Counter target spell that targets you.|Planar Chaos|Common||John Avon|4|MID: 124080<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/plc/4/dawn-charm?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/4/a4c9667b-1d94-42eb-ae8e-1ae4755e200a.jpg?1562578420}
144e9391-f417-464b-8c04-c952193997c7|Dust Elemental|{2}{W}{W}|Creature - Elemental|6|6|Flash (You may cast this spell any time you could cast an instant.)<br>Flying; fear (This creature can't be blocked except by artifact creatures and/or black creatures.)<br>When this creature enters, return three creatures you control to their owner's hand.|Planar Chaos|Rare||rk post|5|MID: 124343<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/plc/5/dust-elemental?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/4/144e9391-f417-464b-8c04-c952193997c7.jpg?1562566245}
56ab366c-085b-4b13-b5ad-918965c34d22|Ghost Tactician|{4}{W}|Creature - Spirit Spellshaper|2|5|{W}, {T}, Discard a card: Creatures you control get +1/+0 until end of turn.|Planar Chaos|Common||Zoltan Boros & Gabor Szikszai|6|MID: 126809<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/plc/6/ghost-tactician?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/6/56ab366c-085b-4b13-b5ad-918965c34d22.jpg?1562571772}
9902b260-82cf-4b10-a353-321231824a3b|Heroes Remembered|{6}{W}{W}{W}|Sorcery|||You gain 20 life.<br>Suspend 10—{W} (Rather than cast this card from your hand, you may pay {W} and exile it with ten time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)|Planar Chaos|Rare||Michael Phillippi|7|MID: 122438<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/plc/7/heroes-remembered?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/9/9902b260-82cf-4b10-a353-321231824a3b.jpg?1562577041}
dd520f8c-93fb-4cf3-8dd5-d05abbd86c74|Magus of the Tabernacle|{3}{W}|Creature - Human Wizard|2|6|All creatures have "At the beginning of your upkeep, sacrifice this creature unless you pay {1}."|Planar Chaos|Rare||Randy Gallegos|8|MID: 130719<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/plc/8/magus-of-the-tabernacle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/dd520f8c-93fb-4cf3-8dd5-d05abbd86c74.jpg?1562583749}
9ef5d122-cf18-42c3-be24-cfd92bd18be9|Mantle of Leadership|{1}{W}|Enchantment - Aura|||Flash (You may cast this spell any time you could cast an instant.)<br>Enchant creature<br>Whenever a creature enters, enchanted creature gets +2/+2 until end of turn.|Planar Chaos|Uncommon||Thomas M. Baxa|9|MID: 122349<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/plc/9/mantle-of-leadership?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9ef5d122-cf18-42c3-be24-cfd92bd18be9.jpg?1562577928}
3a11b639-a5a3-424d-80c6-42d7252472a1|Pallid Mycoderm|{3}{W}|Creature - Fungus|2|4|At the beginning of your upkeep, put a spore counter on this creature.<br>Remove three spore counters from this creature: Create a 1/1 green Saproling creature token.<br>Sacrifice a Saproling: Each creature you control that's a Fungus or a Saproling gets +1/+1 until end of turn.|Planar Chaos|Common||Jim Nelson|10|MID: 124508<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/plc/10/pallid-mycoderm?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/a/3a11b639-a5a3-424d-80c6-42d7252472a1.jpg?1562569390}
