ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
508c8a22-a11a-42e3-9968-b0ced52ed3f5|Aven Mindcensor|{2}{W}|Creature - Bird Wizard|2|1|Flash<br>Flying<br>If an opponent would search a library, that player searches the top four cards of that library instead.|Love Your LGS 2021|Rare||Rebecca Guay|1|Finishes: foil:<br><br><a href="https://scryfall.com/card/plg21/1/aven-mindcensor?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/0/508c8a22-a11a-42e3-9968-b0ced52ed3f5.jpg?1630204750}
2c0edd02-181e-4077-9829-1c1ed5035eeb|Orb of Dragonkind|{1}{R}|Artifact|||{1}, {T}: Add two mana in any combination of colors. Spend this mana only to cast Dragon spells or activate abilities of Dragons.<br>{R}, {T}, Sacrifice this artifact: Look at the top seven cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.|Love Your LGS 2021|Rare|Japanese|Kawasumi|J1|Finishes: foil:<br><br><a href="https://scryfall.com/card/plg21/J1/ja/%E3%82%AA%E3%83%BC%E3%83%96%E3%83%BB%E3%82%AA%E3%83%B4%E3%83%BB%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%AB%E3%82%A4%E3%83%B3%E3%83%89-(orb-of-dragonkind)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/c/2c0edd02-181e-4077-9829-1c1ed5035eeb.jpg?1633782471}
fa49f3a9-9b64-4fe0-8ecf-df5f9d73defe|Xantcha, Sleeper Agent|{1}{B}{R}|Legendary Creature - Phyrexian Minion|5|5|Xantcha enters under the control of an opponent of your choice.<br>Xantcha attacks each combat if able and can't attack its owner or planeswalkers its owner controls.<br>{3}: Xantcha's controller loses 2 life and you draw a card. Any player may activate this ability.|Love Your LGS 2021|Rare|Chinese Traditional|Mark Winters|C1|Finishes: foil:<br><br><a href="https://scryfall.com/card/plg21/C1/zht/xantcha-sleeper-agent?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/a/fa49f3a9-9b64-4fe0-8ecf-df5f9d73defe.jpg?1683840313}
9914fb69-ebe8-469a-953a-763d89deb810|Dig Through Time|{6}{U}{U}|Instant|||Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)<br>Look at the top seven cards of your library. Put two of them into your hand and the rest on the bottom of your library in any order.|Love Your LGS 2021|Rare||Ryan Yee|2|Finishes: foil:<br><br><a href="https://scryfall.com/card/plg21/2/dig-through-time?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/9/9914fb69-ebe8-469a-953a-763d89deb810.jpg?1630204780}
bc9c39d1-1e10-4cd3-a4b1-b6eb7c1a0b65|Orb of Dragonkind|{1}{R}|Artifact|||{1}, {T}: Add two mana in any combination of colors. Spend this mana only to cast Dragon spells or activate abilities of Dragons.<br>{R}, {T}, Sacrifice this artifact: Look at the top seven cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.|Love Your LGS 2021|Rare|Japanese|Kawasumi|J2|Finishes: foil:<br><br><a href="https://scryfall.com/card/plg21/J2/ja/%E3%82%AA%E3%83%BC%E3%83%96%E3%83%BB%E3%82%AA%E3%83%B4%E3%83%BB%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%AB%E3%82%A4%E3%83%B3%E3%83%89-(orb-of-dragonkind)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/c/bc9c39d1-1e10-4cd3-a4b1-b6eb7c1a0b65.jpg?1633782474}
de2f26fc-1c69-490d-83a9-4031bcff6895|Yuriko, the Tiger's Shadow|{1}{U}{B}|Legendary Creature - Human Ninja|1|3|Commander ninjutsu {U}{B} ({U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand or the command zone tapped and attacking.)<br>Whenever a Ninja you control deals combat damage to a player, reveal the top card of your library and put that card into your hand. Each opponent loses life equal to that card's mana value.|Love Your LGS 2021|Rare|Chinese Simplified|Yongjae Choi|C2|Finishes: foil:<br><br><a href="https://scryfall.com/card/plg21/C2/zhs/yuriko-the-tigers-shadow?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/de2f26fc-1c69-490d-83a9-4031bcff6895.jpg?1643844646}
1e6e80ec-68a4-4cfb-a712-2ea0d26dc6a1|Bolas's Citadel|{3}{B}{B}{B}|Legendary Artifact|||You may look at the top card of your library any time.<br>You may play lands and cast spells from the top of your library. If you cast a spell this way, pay life equal to its mana value rather than pay its mana cost.<br>{T}, Sacrifice ten nonland permanents: Each opponent loses 10 life.|Love Your LGS 2021|Rare||Jonas De Ro|3|Finishes: foil:<br><br><a href="https://scryfall.com/card/plg21/3/bolass-citadel?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1e6e80ec-68a4-4cfb-a712-2ea0d26dc6a1.jpg?1630204804}
4a5ae275-5983-45c2-85fc-e87747b2198b|Orb of Dragonkind|{1}{R}|Artifact|||{1}, {T}: Add two mana in any combination of colors. Spend this mana only to cast Dragon spells or activate abilities of Dragons.<br>{R}, {T}, Sacrifice this artifact: Look at the top seven cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.|Love Your LGS 2021|Rare|Japanese|Kawasumi|J3|Finishes: foil:<br><br><a href="https://scryfall.com/card/plg21/J3/ja/%E3%82%AA%E3%83%BC%E3%83%96%E3%83%BB%E3%82%AA%E3%83%B4%E3%83%BB%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%AB%E3%82%A4%E3%83%B3%E3%83%89-(orb-of-dragonkind)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/a/4a5ae275-5983-45c2-85fc-e87747b2198b.jpg?1633782477}
116ca4c6-394e-42d9-bbef-def35e7dbed5|Path of Ancestry||Land|||This land enters tapped.<br>{T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)|Love Your LGS 2021|Rare||Andreas Rocha|C3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/plg21/C3/path-of-ancestry?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/1/116ca4c6-394e-42d9-bbef-def35e7dbed5.jpg?1677548469}
636603a2-98d7-4d1e-a270-68756024b448|Goblin Guide|{R}|Creature - Goblin Scout|2|2|Haste<br>Whenever this creature attacks, defending player reveals the top card of their library. If it's a land card, that player puts it into their hand.|Love Your LGS 2021|Rare||Warren Mahy|4|Finishes: foil:<br><br><a href="https://scryfall.com/card/plg21/4/goblin-guide?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/3/636603a2-98d7-4d1e-a270-68756024b448.jpg?1630204827}
