ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
090f5ad6-e10e-49b3-8643-51a4e792517c|Aura Blast|{1}{W}|Instant|||Destroy target enchantment.<br>Draw a card.<BR><a href="https://api.scryfall.com/cards/090f5ad6-e10e-49b3-8643-51a4e792517c/rulings">Rulings</a>|Planeshift|Common||Ron Walotsky|1|MID: 26382<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/pls/1/aura-blast?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26382&printed=false">Gatherer</a>|26382|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/9/090f5ad6-e10e-49b3-8643-51a4e792517c.jpg?1562896922}
bfd6c695-1944-4bb0-a701-0daf47cdbcb4|Aurora Griffin|{3}{W}|Creature - Griffin|2|2|Flying<br>{W}: Target permanent becomes white until end of turn.<BR><a href="https://api.scryfall.com/cards/bfd6c695-1944-4bb0-a701-0daf47cdbcb4/rulings">Rulings</a>|Planeshift|Common||Ciruelo|2|MID: 26284<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/pls/2/aurora-griffin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26284&printed=false">Gatherer</a>|26284|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bfd6c695-1944-4bb0-a701-0daf47cdbcb4.jpg?1562935568}
e268fe16-070b-4b78-9793-59755edb2fd5|Disciple of Kangee|{2}{W}|Creature - Human Wizard|2|2|{U}, {T}: Target creature gains flying and becomes blue until end of turn.<BR><a href="https://api.scryfall.com/cards/e268fe16-070b-4b78-9793-59755edb2fd5/rulings">Rulings</a>|Planeshift|Common||Wayne England|3|MID: 26285<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/pls/3/disciple-of-kangee?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26285&printed=false">Gatherer</a>|26285|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e268fe16-070b-4b78-9793-59755edb2fd5.jpg?1562942736}
9703d090-b415-48e2-8158-dd8fc57ecc50|Dominaria's Judgment|{2}{W}|Instant|||Until end of turn, creatures you control gain protection from white if you control a Plains, from blue if you control an Island, from black if you control a Swamp, from red if you control a Mountain, and from green if you control a Forest.<BR><a href="https://api.scryfall.com/cards/9703d090-b415-48e2-8158-dd8fc57ecc50/rulings">Rulings</a>|Planeshift|Rare||John Avon|4|MID: 26423<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/pls/4/dominarias-judgment?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26423&printed=false">Gatherer</a>|26423|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/9703d090-b415-48e2-8158-dd8fc57ecc50.jpg?1562926981}
ba32eee7-10ba-4f0b-8a87-c3ecfa22ae41|Guard Dogs|{3}{W}|Creature - Dog|2|2|{2}{W}, {T}: Choose a permanent you control. Prevent all combat damage target creature would deal this turn if it shares a color with that permanent.<BR><a href="https://api.scryfall.com/cards/ba32eee7-10ba-4f0b-8a87-c3ecfa22ae41/rulings">Rulings</a>|Planeshift|Uncommon||Mike Raabe|5|MID: 19141<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/pls/5/guard-dogs?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=19141&printed=false">Gatherer</a>|19141|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/ba32eee7-10ba-4f0b-8a87-c3ecfa22ae41.jpg?1562934351}
0dc1aa36-5d3b-4d25-9d54-937cdabf72a4|Heroic Defiance|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +3/+3 unless it shares a color with the most common color among all permanents or a color tied for most common.<BR><a href="https://api.scryfall.com/cards/0dc1aa36-5d3b-4d25-9d54-937cdabf72a4/rulings">Rulings</a>|Planeshift|Common||Terese Nielsen|6|MID: 26420<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/pls/6/heroic-defiance?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26420&printed=false">Gatherer</a>|26420|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/d/0dc1aa36-5d3b-4d25-9d54-937cdabf72a4.jpg?1562897813}
54c76a22-f9e3-408b-a5bd-403add57e31a|Hobble|{2}{W}|Enchantment - Aura|||Enchant creature<br>When this Aura enters, draw a card.<br>Enchanted creature can't attack.<br>Enchanted creature can't block if it's black.<BR><a href="https://api.scryfall.com/cards/54c76a22-f9e3-408b-a5bd-403add57e31a/rulings">Rulings</a>|Planeshift|Common||Alan Pollack|7|MID: 26292<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/pls/7/hobble?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26292&printed=false">Gatherer</a>|26292|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/4/54c76a22-f9e3-408b-a5bd-403add57e31a.jpg?1562912681}
bd311758-0352-4b7d-a24f-7f3f2b5d7b0f|Honorable Scout|{W}|Creature - Human Soldier Scout|1|1|When this creature enters, you gain 2 life for each black and/or red creature target opponent controls.<BR><a href="https://api.scryfall.com/cards/bd311758-0352-4b7d-a24f-7f3f2b5d7b0f/rulings">Rulings</a>|Planeshift|Common||Mike Ploog|8|MID: 26263<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/pls/8/honorable-scout?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26263&printed=false">Gatherer</a>|26263|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bd311758-0352-4b7d-a24f-7f3f2b5d7b0f.jpg?1562934946}
2485c10d-de02-4be9-8119-afb2296e3317|Lashknife Barrier|{2}{W}|Enchantment|||When this enchantment enters, draw a card.<br>If a source would deal damage to a creature you control, it deals that much damage minus 1 to that creature instead.<BR><a href="https://api.scryfall.com/cards/2485c10d-de02-4be9-8119-afb2296e3317/rulings">Rulings</a>|Planeshift|Uncommon||Paolo Parente|9|MID: 26833<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/pls/9/lashknife-barrier?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26833&printed=false">Gatherer</a>|26833|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/2485c10d-de02-4be9-8119-afb2296e3317.jpg?1562902725}
f07dd0f1-b80b-4af0-ae76-907ec55ec7d5|March of Souls|{4}{W}|Sorcery|||Destroy all creatures. They can't be regenerated. For each creature destroyed this way, its controller creates a 1/1 white Spirit creature token with flying.<BR><a href="https://api.scryfall.com/cards/f07dd0f1-b80b-4af0-ae76-907ec55ec7d5/rulings">Rulings</a>|Planeshift|Rare||Marc Fishman|10|MID: 26277<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/pls/10/march-of-souls?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26277&printed=false">Gatherer</a>|26277|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f07dd0f1-b80b-4af0-ae76-907ec55ec7d5.jpg?1562945732}
