ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
170c3e85-3ebf-4011-b9e2-b6c20b34f93d|Abolish|{1}{W}{W}|Instant|||You may discard a Plains card rather than pay this spell's mana cost.<br>Destroy target artifact or enchantment.<BR><a href="https://api.scryfall.com/cards/170c3e85-3ebf-4011-b9e2-b6c20b34f93d/rulings">Rulings</a>|The List|Uncommon||Kev Walker|PCY-1|R$ 0.28 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/plst/PCY-1/abolish?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/170c3e85-3ebf-4011-b9e2-b6c20b34f93d.jpg?1723441520}
bebb51d4-5fc8-4aa2-8464-1674f8afd3f5|Aboshan, Cephalid Emperor|{4}{U}{U}|Legendary Creature - Octopus Noble|3|3|Tap an untapped Octopus you control: Tap target permanent.<br>{U}{U}{U}: Tap all creatures without flying.<BR><a href="https://api.scryfall.com/cards/bebb51d4-5fc8-4aa2-8464-1674f8afd3f5/rulings">Rulings</a>|The List|Rare||Christopher Moeller|ODY-58|R$ 0.51 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/plst/ODY-58/aboshan-cephalid-emperor?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/bebb51d4-5fc8-4aa2-8464-1674f8afd3f5.jpg?1643939406}
f4b2bce0-4275-4b5d-9a4e-7720a01a18a2|About Face|{R}|Instant|||Switch target creature's power and toughness until end of turn.<BR><a href="https://api.scryfall.com/cards/f4b2bce0-4275-4b5d-9a4e-7720a01a18a2/rulings">Rulings</a>|The List|Common||Melissa A. Benson|ULG-73|R$ 0.12 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/plst/ULG-73/about-face?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/4/f4b2bce0-4275-4b5d-9a4e-7720a01a18a2.jpg?1723444347}
6c762283-0a35-42d7-8c28-3b349e56789a|Abrade|{1}{R}|Instant|||Choose one —<br>• Abrade deals 3 damage to target creature.<br>• Destroy target artifact.<BR><a href="https://api.scryfall.com/cards/6c762283-0a35-42d7-8c28-3b349e56789a/rulings">Rulings</a>|The List|Common||Jonas De Ro|2XM-114|R$ 0.14 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/plst/2XM-114/abrade?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/c/6c762283-0a35-42d7-8c28-3b349e56789a.jpg?1723432947}
61ada5ce-3a58-4da9-aff2-93a61411dd64|Abrade|{1}{R}|Instant|||Choose one —<br>• Abrade deals 3 damage to target creature.<br>• Destroy target artifact.<BR><a href="https://api.scryfall.com/cards/61ada5ce-3a58-4da9-aff2-93a61411dd64/rulings">Rulings</a>|The List|Uncommon||Florian de Gesincourt|HOU-83|R$ 1.27 <br>Finishes: nonfoil:<br>FullArt: true<br>Promos: gameday:<br><br><a href="https://scryfall.com/card/plst/HOU-83/abrade?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/1/61ada5ce-3a58-4da9-aff2-93a61411dd64.jpg?1736640016}
719b3e45-efbb-4506-8054-17cefaaa5b8e|Abrupt Decay|{B}{G}|Instant|||This spell can't be countered.<br>Destroy target nonland permanent with mana value 3 or less.<BR><a href="https://api.scryfall.com/cards/719b3e45-efbb-4506-8054-17cefaaa5b8e/rulings">Rulings</a>|The List|Rare||Svetlin Velinov|GK1-57|R$ 1.49 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/plst/GK1-57/abrupt-decay?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/1/719b3e45-efbb-4506-8054-17cefaaa5b8e.jpg?1632146198}
22984b84-5598-43cd-a18f-1701aa55f922|Absorb Vis|{6}{B}|Sorcery|||Target player loses 4 life and you gain 4 life.<br>Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)<BR><a href="https://api.scryfall.com/cards/22984b84-5598-43cd-a18f-1701aa55f922/rulings">Rulings</a>|The List|Common||Brandon Kitkouski|CN2-126|R$ 0.12 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/plst/CN2-126/absorb-vis?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/2/22984b84-5598-43cd-a18f-1701aa55f922.jpg?1573508879}
ae1d3532-d229-4674-9746-b7e73605892d|Abundant Growth|{G}|Enchantment - Aura|||Enchant land<br>When this Aura enters, draw a card.<br>Enchanted land has "{T}: Add one mana of any color."<BR><a href="https://api.scryfall.com/cards/ae1d3532-d229-4674-9746-b7e73605892d/rulings">Rulings</a>|The List|Common||Vincent Proce|EMA-156|R$ 0.22 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/plst/EMA-156/abundant-growth?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/e/ae1d3532-d229-4674-9746-b7e73605892d.jpg?1573512939}
a424dafb-c77a-46a7-b1dc-cf04e88bb938|Abzan Battle Priest|{3}{W}|Creature - Human Cleric|3|2|Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)<br>Each creature you control with a +1/+1 counter on it has lifelink.<BR><a href="https://api.scryfall.com/cards/a424dafb-c77a-46a7-b1dc-cf04e88bb938/rulings">Rulings</a>|The List|Uncommon||Chris Rahn|KTK-1|R$ 0.29 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/plst/KTK-1/abzan-battle-priest?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/4/a424dafb-c77a-46a7-b1dc-cf04e88bb938.jpg?1723438074}
ec2b30e2-f134-4fd0-bb3b-0e319630fd77|Abzan Beastmaster|{2}{G}|Creature - Dog Shaman|2|1|At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness.<BR><a href="https://api.scryfall.com/cards/ec2b30e2-f134-4fd0-bb3b-0e319630fd77/rulings">Rulings</a>|The List|Uncommon||Winona Nelson|FRF-119|R$ 0.19 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/plst/FRF-119/abzan-beastmaster?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/ec2b30e2-f134-4fd0-bb3b-0e319630fd77.jpg?1723436534}
