ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
-scry_6ab66344-4959-4c7b-8828-b1a89b274e0b|Nicol Bolas, the Ravager // Nicol Bolas, the Arisen (transform)||Legendary Planeswalker - Bolas|||+2: Draw two cards.<br>−3: Nicol Bolas deals 10 damage to target creature or planeswalker.<br>−4: Put target creature or planeswalker card from a graveyard onto the battlefield under your control.<br>−12: Exile all but the bottom card of target player's library.|Core Set 2019 Promos|Mythic||Svetlin Velinov|218sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pm19/218s/nicol-bolas-the-ravager-nicol-bolas-the-arisen?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/6/a/6ab66344-4959-4c7b-8828-b1a89b274e0b.jpg?1604987311, FLIPID=scry_6ab66344-4959-4c7b-8828-b1a89b274e0b}
scry_e2eb3bb2-0ba7-4632-9a74-f03b330c1ee3|Ajani, Adversary of Tyrants|{2}{W}{W}|Legendary Planeswalker - Ajani|||+1: Put a +1/+1 counter on each of up to two target creatures.<br>−2: Return target creature card with mana value 2 or less from your graveyard to the battlefield.<br>−7: You get an emblem with "At the beginning of your end step, create three 1/1 white Cat creature tokens with lifelink."|Core Set 2019 Promos|Mythic||Victor Adame Minguez|3s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pm19/3s/ajani-adversary-of-tyrants?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e2eb3bb2-0ba7-4632-9a74-f03b330c1ee3.jpg?1562949040}
scry_de422e80-b4d5-414b-a150-71805b371910|Ajani's Last Stand|{2}{W}{W}|Enchantment|||Whenever a creature or planeswalker you control dies, you may sacrifice this enchantment. If you do, create a 4/4 white Avatar creature token with flying.<br>When a spell or ability an opponent controls causes you to discard this card, if you control a Plains, create a 4/4 white Avatar creature token with flying.|Core Set 2019 Promos|Rare||Slawomir Maniak|4s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pm19/4s/ajanis-last-stand?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/de422e80-b4d5-414b-a150-71805b371910.jpg?1562947879}
scry_388703ff-16c5-46a6-bb05-a9c60ed6f06f|Cleansing Nova|{3}{W}{W}|Sorcery|||Choose one —<br>• Destroy all creatures.<br>• Destroy all artifacts and enchantments.|Core Set 2019 Promos|Rare||Noah Bradley|9p|Finishes: nonfoil:foil:<br>Promos: setpromo:promopack:stamped:<br>https://scryfall.com/card/pm19/9p/cleansing-nova?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/388703ff-16c5-46a6-bb05-a9c60ed6f06f.jpg?1566582805}
scry_d25eb278-8d4e-4e26-a4bc-eb210d3ec1eb|Cleansing Nova|{3}{W}{W}|Sorcery|||Choose one —<br>• Destroy all creatures.<br>• Destroy all artifacts and enchantments.|Core Set 2019 Promos|Rare||Noah Bradley|9s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pm19/9s/cleansing-nova?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d25eb278-8d4e-4e26-a4bc-eb210d3ec1eb.jpg?1562945082}
scry_0b7a5c66-07fa-417b-ae64-9cb3004d58b1|Isolate|{W}|Instant|||Exile target permanent with mana value 1.|Core Set 2019 Promos|Rare||Victor Adame Minguez|17s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pm19/17s/isolate?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0b7a5c66-07fa-417b-ae64-9cb3004d58b1.jpg?1562897582}
scry_636d64a0-6e7c-4849-b836-54b628f2984b|Lena, Selfless Champion|{4}{W}{W}|Legendary Creature - Human Knight|3|3|When Lena enters, create a 1/1 white Soldier creature token for each nontoken creature you control.<br>Sacrifice Lena: Creatures you control with power less than Lena's power gain indestructible until end of turn.|Core Set 2019 Promos|Rare||Lucas Graciano|21s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pm19/21s/lena-selfless-champion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/3/636d64a0-6e7c-4849-b836-54b628f2984b.jpg?1562918404}
scry_3289bc5f-ecc6-4534-b34e-5b1385b29a45|Leonin Warleader|{2}{W}{W}|Creature - Cat Soldier|4|4|Whenever this creature attacks, create two 1/1 white Cat creature tokens with lifelink that are tapped and attacking.|Core Set 2019 Promos|Rare||Jakub Kasper|23p|Finishes: nonfoil:foil:<br>Promos: setpromo:promopack:stamped:<br>https://scryfall.com/card/pm19/23p/leonin-warleader?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/2/3289bc5f-ecc6-4534-b34e-5b1385b29a45.jpg?1566582816}
scry_5c6adce2-756e-44bb-9a91-6cce8a3931dc|Leonin Warleader|{2}{W}{W}|Creature - Cat Soldier|4|4|Whenever this creature attacks, create two 1/1 white Cat creature tokens with lifelink that are tapped and attacking.|Core Set 2019 Promos|Rare||Jakub Kasper|23s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pm19/23s/leonin-warleader?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/c/5c6adce2-756e-44bb-9a91-6cce8a3931dc.jpg?1562916775}
scry_35d6761b-6221-47e7-807d-666924f04dc8|Mentor of the Meek|{2}{W}|Creature - Human Soldier|2|2|Whenever another creature you control with power 2 or less enters, you may pay {1}. If you do, draw a card.|Core Set 2019 Promos|Rare||Jana Schirmer & Johannes Voss|27s|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pm19/27s/mentor-of-the-meek?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/35d6761b-6221-47e7-807d-666924f04dc8.jpg?1562907641}
