ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
c7818c58-47f1-4031-8f7f-80b4b8c75530|Aang, Air Nomad|{3}{W}{W}|Legendary Creature - Human Avatar Ally|5|4|Flying (This creature can't be blocked except by creatures with flying or reach.)<br>Vigilance (Attacking doesn't cause this creature to tap.)<br>Other creatures you control have vigilance.<BR><a href="https://api.scryfall.com/cards/c7818c58-47f1-4031-8f7f-80b4b8c75530/rulings">Rulings</a>|Media and Collaboration Promos|Rare||Jinho Bae|2025-25|Finishes: foil:<br>Promos: mediainsert:universesbeyond:<br><br><a href="https://scryfall.com/card/pmei/2025-25/aang-air-nomad?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/7/c7818c58-47f1-4031-8f7f-80b4b8c75530.jpg?1766553725}
b4acc59c-8405-4d1e-8452-913399fd0f31|Ajani, Mentor of Heroes|{3}{G}{W}|Legendary Planeswalker - Ajani|||+1: Distribute three +1/+1 counters among one, two, or three target creatures you control.<br>+1: Look at the top four cards of your library. You may reveal an Aura, creature, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.<br>−8: You gain 100 life.<BR><a href="https://api.scryfall.com/cards/b4acc59c-8405-4d1e-8452-913399fd0f31/rulings">Rulings</a>|Media and Collaboration Promos|Mythic||Aaron Miller|2024-3|Finishes: foil:<br>Promos: mediainsert:<br><br><a href="https://scryfall.com/card/pmei/2024-3/ajani-mentor-of-heroes?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/4/b4acc59c-8405-4d1e-8452-913399fd0f31.jpg?1733252786}
b1373ef0-fbd9-4992-997d-b4147f6df5e7|Ancestral Mask|{2}{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 for each other enchantment on the battlefield.<BR><a href="https://api.scryfall.com/cards/b1373ef0-fbd9-4992-997d-b4147f6df5e7/rulings">Rulings</a>|Media and Collaboration Promos|Rare|Japanese|Massimiliano Frezzato|2025-2|Finishes: foil:<br>Promos: mediainsert:<br><br><a href="https://scryfall.com/card/pmei/2025-2/ja/%E7%A5%96%E5%85%88%E3%81%AE%E4%BB%AE%E9%9D%A2-(ancestral-mask)?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/1/b1373ef0-fbd9-4992-997d-b4147f6df5e7.jpg?1766556678}
e40d5c20-c599-4aa0-b214-48df40236b12|Archangel|{5}{W}{W}|Creature - Angel|5|5|Flying, vigilance<BR><a href="https://api.scryfall.com/cards/e40d5c20-c599-4aa0-b214-48df40236b12/rulings">Rulings</a>|Media and Collaboration Promos|Rare|Japanese|Donato Giancola|2000-4|Finishes: nonfoil:<br>Promos: mediainsert:<br><br><a href="https://scryfall.com/card/pmei/2000-4/ja/archangel?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/4/e40d5c20-c599-4aa0-b214-48df40236b12.jpg?1733254796}
5e1cf470-f2af-469d-914b-e250652c861d|Ascendant Evincar|{4}{B}{B}|Legendary Creature - Phyrexian Vampire Noble|3|3|Flying (This creature can't be blocked except by creatures with flying or reach.)<br>Other black creatures get +1/+1.<br>Nonblack creatures get -1/-1.<BR><a href="https://api.scryfall.com/cards/5e1cf470-f2af-469d-914b-e250652c861d/rulings">Rulings</a>|Media and Collaboration Promos|Rare|Japanese|Mark Zug|2000-7|Finishes: nonfoil:<br>Promos: mediainsert:<br><br><a href="https://scryfall.com/card/pmei/2000-7/ja/ascendant-evincar?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5e1cf470-f2af-469d-914b-e250652c861d.jpg?1733254799}
e6c861db-8107-4a0d-ab24-25e0c1d3576b|Avalanche Riders|{3}{R}|Creature - Human Nomad|2|2|Haste<br>Echo {3}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)<br>When this creature enters, destroy target land.<BR><a href="https://api.scryfall.com/cards/e6c861db-8107-4a0d-ab24-25e0c1d3576b/rulings">Rulings</a>|Media and Collaboration Promos|Rare|Japanese|Lake Hurwitz|2023-5|Finishes: foil:<br>Promos: mediainsert:<br><br><a href="https://scryfall.com/card/pmei/2023-5/ja/avalanche-riders?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/6/e6c861db-8107-4a0d-ab24-25e0c1d3576b.jpg?1736927675}
27f7db50-05b9-48f6-9086-f5b0788f9972|Blue Elemental Blast|{U}|Instant|||Choose one —<br>• Counter target red spell.<br>• Destroy target red permanent.<BR><a href="https://api.scryfall.com/cards/27f7db50-05b9-48f6-9086-f5b0788f9972/rulings">Rulings</a>|Media and Collaboration Promos|Common||Richard Thomas|1995-2|Finishes: nonfoil:<br>Promos: mediainsert:<br><br><a href="https://scryfall.com/card/pmei/1995-2/blue-elemental-blast?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/27f7db50-05b9-48f6-9086-f5b0788f9972.jpg?1733252054}
76a525da-aa38-4359-8eaf-90c70d98024e|Bone Shredder|{2}{B}|Creature - Phyrexian Minion|1|1|Flying<br>Echo {2}{B} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)<br>When this creature enters, destroy target nonartifact, nonblack creature.<BR><a href="https://api.scryfall.com/cards/76a525da-aa38-4359-8eaf-90c70d98024e/rulings">Rulings</a>|Media and Collaboration Promos|Rare|Japanese|Ron Spencer|2021-2|Finishes: foil:<br>Promos: mediainsert:<br><br><a href="https://scryfall.com/card/pmei/2021-2/ja/%E9%AA%A8%E7%A0%95%E3%81%8D-(bone-shredder)?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/6/76a525da-aa38-4359-8eaf-90c70d98024e.jpg?1736927647}
9731641c-f0c3-46eb-9fc2-155f9bc041a2|Cast Down|{1}{B}|Instant|||Destroy target nonlegendary creature.<BR><a href="https://api.scryfall.com/cards/9731641c-f0c3-46eb-9fc2-155f9bc041a2/rulings">Rulings</a>|Media and Collaboration Promos|Uncommon|Japanese|Ittoku|2019-1|Finishes: foil:<br>Promos: mediainsert:<br><br><a href="https://scryfall.com/card/pmei/2019-1/ja/%E5%96%AA%E5%BF%83-(cast-down)?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/9731641c-f0c3-46eb-9fc2-155f9bc041a2.jpg?1733252589}
b00553c7-d3f9-4d77-8433-2f425361516f|Chandra's Outrage|{2}{R}{R}|Instant|||Chandra's Outrage deals 4 damage to target creature and 2 damage to that creature's controller.<BR><a href="https://api.scryfall.com/cards/b00553c7-d3f9-4d77-8433-2f425361516f/rulings">Rulings</a>|Media and Collaboration Promos|Common|Japanese|Christopher Moeller|2010-3|Finishes: foil:<br>Promos: mediainsert:<br><br><a href="https://scryfall.com/card/pmei/2010-3/ja/chandras-outrage?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/0/b00553c7-d3f9-4d77-8433-2f425361516f.jpg?1733252564}
