ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
998d2321-955b-4453-980c-725d1cabf785|Devourer of Destiny|{5}{C}{C}|Creature - Eldrazi|6|6|You may reveal this card from your opening hand. If you do, at the beginning of your first upkeep, look at the top four cards of your library. You may put one of those cards back on top of your library. Exile the rest.<br>When you cast this spell, exile target permanent that's one or more colors.<BR><a href="https://api.scryfall.com/cards/998d2321-955b-4453-980c-725d1cabf785/rulings">Rulings</a>|Modern Horizons 3 Promos|Rare||Raph Lomotan|2s|F$ 3.74<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pmh3/2s/devourer-of-destiny?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/9/998d2321-955b-4453-980c-725d1cabf785.jpg?1719871502}
35d0fade-372a-4a02-b649-52966abc6e89|Echoes of Eternity|{3}{C}{C}{C}|Kindred Enchantment - Eldrazi|||If a triggered ability of a colorless spell you control or another colorless permanent you control triggers, that ability triggers an additional time.<br>Whenever you cast a colorless spell, copy it. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)<BR><a href="https://api.scryfall.com/cards/35d0fade-372a-4a02-b649-52966abc6e89/rulings">Rulings</a>|Modern Horizons 3 Promos|Rare||Isis|4p|R$ 1.67 F$ 1.62<br>Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/pmh3/4p/echoes-of-eternity?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/35d0fade-372a-4a02-b649-52966abc6e89.jpg?1755455815}
ebf7119e-9b77-4a76-90b6-7b56dfb6adfe|Echoes of Eternity|{3}{C}{C}{C}|Kindred Enchantment - Eldrazi|||If a triggered ability of a colorless spell you control or another colorless permanent you control triggers, that ability triggers an additional time.<br>Whenever you cast a colorless spell, copy it. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)<BR><a href="https://api.scryfall.com/cards/ebf7119e-9b77-4a76-90b6-7b56dfb6adfe/rulings">Rulings</a>|Modern Horizons 3 Promos|Rare||Isis|4s|F$ 3.81<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pmh3/4s/echoes-of-eternity?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/b/ebf7119e-9b77-4a76-90b6-7b56dfb6adfe.jpg?1719871875}
234f13ee-5e69-40d6-9eb4-ced75480ca7a|Emrakul, the World Anew|{12}|Legendary Creature - Eldrazi|12|12|When you cast this spell, gain control of all creatures target player controls.<br>Flying, protection from spells and from permanents that were cast this turn<br>When Emrakul leaves the battlefield, sacrifice all creatures you control.<br>Madness—Pay six {C}.<BR><a href="https://api.scryfall.com/cards/234f13ee-5e69-40d6-9eb4-ced75480ca7a/rulings">Rulings</a>|Modern Horizons 3 Promos|Mythic||Brent Hollowell|6s|F$ 12.49<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pmh3/6s/emrakul-the-world-anew?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/234f13ee-5e69-40d6-9eb4-ced75480ca7a.jpg?1719871984}
6db879dc-0e9f-448c-bda4-d6c77ae5477f|Herigast, Erupting Nullkite|{9}|Legendary Creature - Eldrazi Dragon|6|6|Emerge {6}{R}{R} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)<br>When you cast this spell, you may exile your hand. If you do, draw three cards.<br>Flying<br>Each creature spell you cast has emerge. The emerge cost is equal to its mana cost.<BR><a href="https://api.scryfall.com/cards/6db879dc-0e9f-448c-bda4-d6c77ae5477f/rulings">Rulings</a>|Modern Horizons 3 Promos|Mythic||Lucas Graciano|8s|F$ 6.01<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pmh3/8s/herigast-erupting-nullkite?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/d/6db879dc-0e9f-448c-bda4-d6c77ae5477f.jpg?1719871697}
d2c238c4-5012-4934-8ed4-48166883824d|Kozilek, the Broken Reality|{9}|Legendary Creature - Eldrazi|9|9|When you cast this spell, up to two target players each manifest two cards from their hands. For each card manifested this way, you draw a card. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)<br>Other colorless creatures you control get +3/+2.<BR><a href="https://api.scryfall.com/cards/d2c238c4-5012-4934-8ed4-48166883824d/rulings">Rulings</a>|Modern Horizons 3 Promos|Mythic||Brent Hollowell|10s|F$ 10.42<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pmh3/10s/kozilek-the-broken-reality?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d2c238c4-5012-4934-8ed4-48166883824d.jpg?1719870963}
7a753c5c-9271-4a10-9fdc-4849ce4fb412|Kozilek's Command|{X}{C}{C}|Kindred Instant - Eldrazi|||Choose two —<br>• Target player creates X 0/1 colorless Eldrazi Spawn creature tokens with "Sacrifice this token: Add {C}."<br>• Target player scries X, then draws a card.<br>• Exile target creature with mana value X or less.<br>• Exile up to X target cards from graveyards.<BR><a href="https://api.scryfall.com/cards/7a753c5c-9271-4a10-9fdc-4849ce4fb412/rulings">Rulings</a>|Modern Horizons 3 Promos|Rare||Yeong-Hao Han|11s|F$ 17.70<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pmh3/11s/kozileks-command?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/a/7a753c5c-9271-4a10-9fdc-4849ce4fb412.jpg?1719871755}
06b82c29-62bb-447b-a36a-d205627ed4f9|Nulldrifter|{7}|Creature - Eldrazi Elemental|4|4|When you cast this spell, draw two cards.<br>Flying<br>Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent of their choice.)<br>Evoke {2}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters.)<BR><a href="https://api.scryfall.com/cards/06b82c29-62bb-447b-a36a-d205627ed4f9/rulings">Rulings</a>|Modern Horizons 3 Promos|Rare||Johann Bodin|13s|F$ 2.73<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pmh3/13s/nulldrifter?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/6/06b82c29-62bb-447b-a36a-d205627ed4f9.jpg?1719871394}
c4209e00-2cd6-49a4-afc2-902e3b353bf9|Ulamog, the Defiler|{10}|Legendary Creature - Eldrazi|7|7|When you cast this spell, target opponent exiles the top half of their library, rounded up.<br>Ward—Sacrifice two permanents.<br>Ulamog enters with a number of +1/+1 counters on it equal to the greatest mana value among cards in exile.<br>Ulamog has annihilator X, where X is the number of +1/+1 counters on it.<BR><a href="https://api.scryfall.com/cards/c4209e00-2cd6-49a4-afc2-902e3b353bf9/rulings">Rulings</a>|Modern Horizons 3 Promos|Mythic||Chase Stone|15s|F$ 30.75<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pmh3/15s/ulamog-the-defiler?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/4/c4209e00-2cd6-49a4-afc2-902e3b353bf9.jpg?1719872308}
2d302eb7-15eb-497e-87dc-70ac8762b869|Argent Dais|{1}{W}|Artifact|||This artifact enters with two oil counters on it.<br>Whenever two or more creatures attack, put an oil counter on this artifact.<br>{2}, {T}, Remove two oil counters from this artifact: Exile another target nonland permanent. Its controller draws two cards.<BR><a href="https://api.scryfall.com/cards/2d302eb7-15eb-497e-87dc-70ac8762b869/rulings">Rulings</a>|Modern Horizons 3 Promos|Rare||Carlos Palma Cruchaga|20s|F$ 0.44<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pmh3/20s/argent-dais?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2d302eb7-15eb-497e-87dc-70ac8762b869.jpg?1719871911}
