ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
-eca77d44-2e1c-4b97-a4c4-e7ac3b576440|Fable of the Mirror-Breaker // Reflection of Kiki-Jiki (transform)||Enchantment Creature - Goblin Shaman|2|2|{1}, {T}: Create a token that's a copy of another target nonlegendary creature you control, except it has haste. Sacrifice it at the beginning of the next end step.|Kamigawa: Neon Dynasty Promos|Rare||Joseph Meehan|141sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pneo/141s/fable-of-the-mirror-breaker-reflection-of-kiki-jiki?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/e/c/eca77d44-2e1c-4b97-a4c4-e7ac3b576440.jpg?1681509195, FLIPID=eca77d44-2e1c-4b97-a4c4-e7ac3b576440}
-1a0d277e-cf88-4492-9f8b-1434acbfebc8|Hidetsugu Consumes All // Vessel of the All-Consuming (transform)||Enchantment Creature - Ogre Shaman|3|3|Trample<br>Whenever this creature deals damage, put a +1/+1 counter on it.<br>Whenever this creature deals damage to a player, if it has dealt 10 or more damage to that player this turn, they lose the game.|Kamigawa: Neon Dynasty Promos|Mythic||Chris Cold|221sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pneo/221s/hidetsugu-consumes-all-vessel-of-the-all-consuming?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/1/a/1a0d277e-cf88-4492-9f8b-1434acbfebc8.jpg?1681511148, FLIPID=1a0d277e-cf88-4492-9f8b-1434acbfebc8}
-8579318e-944b-4b43-9f1a-87cbc3898915|Inventive Iteration // Living Breakthrough (transform)||Enchantment Creature - Moonfolk|3|3|Flying<br>Whenever you cast a spell, your opponents can't cast spells with the same mana value as that spell until your next turn.|Kamigawa: Neon Dynasty Promos|Rare||Néstor Ossandón Leal|57sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pneo/57s/inventive-iteration-living-breakthrough?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/5/8579318e-944b-4b43-9f1a-87cbc3898915.jpg?1681511265, FLIPID=8579318e-944b-4b43-9f1a-87cbc3898915}
-d07659ac-f4d2-4198-af81-44bc9e677c0b|Jugan Defends the Temple // Remnant of the Rising Star (transform)||Enchantment Creature - Dragon Spirit|2|2|Flying<br>Whenever another creature you control enters, you may pay {X}. When you do, put X +1/+1 counters on that creature.<br>As long as you control five or more modified creatures, this creature gets +5/+5 and has trample. (Equipment, Auras you control, and counters are modifications.)|Kamigawa: Neon Dynasty Promos|Mythic||Daniel Ljunggren|194sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pneo/194s/jugan-defends-the-temple-remnant-of-the-rising-star?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/0/d07659ac-f4d2-4198-af81-44bc9e677c0b.jpg?1681511186, FLIPID=d07659ac-f4d2-4198-af81-44bc9e677c0b}
-a723de12-099d-4929-abbf-e2ec2123cc7f|Teachings of the Kirin // Kirin-Touched Orochi (transform)||Enchantment Creature - Snake Monk|1|1|Whenever this creature attacks, choose one —<br>• Exile target creature card from a graveyard. When you do, create a 1/1 colorless Spirit creature token.<br>• Exile target noncreature card from a graveyard. When you do, put a +1/+1 counter on target creature you control.|Kamigawa: Neon Dynasty Promos|Rare||Sam Burley|212sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pneo/212s/teachings-of-the-kirin-kirin-touched-orochi?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/7/a723de12-099d-4929-abbf-e2ec2123cc7f.jpg?1681511083, FLIPID=a723de12-099d-4929-abbf-e2ec2123cc7f}
-b46dd373-748e-4834-9a1d-6ef514adac4c|The Dragon-Kami Reborn // Dragon-Kami's Egg (transform)||Enchantment Creature - Egg|0|1|Whenever this creature or a Dragon you control dies, you may cast a creature spell from among cards you own in exile with hatching counters on them without paying its mana cost.|Kamigawa: Neon Dynasty Promos|Rare||Alix Branwyn|181sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pneo/181s/the-dragon-kami-reborn-dragon-kamis-egg?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/4/b46dd373-748e-4834-9a1d-6ef514adac4c.jpg?1681511204, FLIPID=b46dd373-748e-4834-9a1d-6ef514adac4c}
-1b041b21-fd9b-4a1a-9f08-0b1de3add014|The Kami War // O-Kagachi Made Manifest (transform)||Enchantment Creature - Dragon Spirit|6|6|O-Kagachi Made Manifest is all colors.<br>Flying, trample<br>Whenever this creature attacks, defending player chooses a nonland card in your graveyard. Return that card to your hand. This creature gets +X/+0 until end of turn, where X is the mana value of that card.|Kamigawa: Neon Dynasty Promos|Mythic||Kieran Yanner|227sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pneo/227s/the-kami-war-o-kagachi-made-manifest?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/1/b/1b041b21-fd9b-4a1a-9f08-0b1de3add014.jpg?1681511244, FLIPID=1b041b21-fd9b-4a1a-9f08-0b1de3add014}
-2daea13f-ae10-4355-870f-ac5c823f39ae|The Restoration of Eiganjo // Architect of Restoration (transform)||Enchantment Creature - Fox Monk|3|4|Vigilance<br>Whenever this creature attacks or blocks, create a 1/1 colorless Spirit creature token.|Kamigawa: Neon Dynasty Promos|Rare||Titus Lunter|34sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pneo/34s/the-restoration-of-eiganjo-architect-of-restoration?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/d/2daea13f-ae10-4355-870f-ac5c823f39ae.jpg?1681511224, FLIPID=2daea13f-ae10-4355-870f-ac5c823f39ae}
-203bcd8c-25ff-4ba1-952f-3208bcf08f12|Tribute to Horobi // Echo of Death's Wail (transform)||Enchantment Creature - Spirit|3|3|Flying, haste<br>When this creature enters, gain control of all Rat tokens.<br>Whenever this creature attacks, you may sacrifice another creature. If you do, draw a card.|Kamigawa: Neon Dynasty Promos|Rare||Robin Olausson|124sb|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pneo/124s/tribute-to-horobi-echo-of-deaths-wail?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/0/203bcd8c-25ff-4ba1-952f-3208bcf08f12.jpg?1681511121, FLIPID=203bcd8c-25ff-4ba1-952f-3208bcf08f12}
293a1aaa-ba01-4641-9ed3-255c2d7a6de4|Ao, the Dawn Sky|{3}{W}{W}|Legendary Creature - Dragon Spirit|5|4|Flying, vigilance<br>When Ao dies, choose one —<br>• Look at the top seven cards of your library. Put any number of nonland permanent cards with total mana value 4 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.<br>• Put two +1/+1 counters on each permanent you control that's a creature or Vehicle.|Kamigawa: Neon Dynasty Promos|Mythic||Chris Rahn|2p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br>https://scryfall.com/card/pneo/2p/ao-the-dawn-sky?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/9/293a1aaa-ba01-4641-9ed3-255c2d7a6de4.jpg?1675617861}
